日期,时间戳,股票代码,股票名称,操作类型,动作,价格,数量,金额,手续费,操作前持仓,操作前资金,操作后持仓,操作后资金,总资产,步骤,备注
2025-01-09,2025-01-09 00:00:00,sz.002706,良信股份,买入,买入25%,7.14,3500,24979.95,6.49,0,50000.00,3500,25013.55,49968.55,5,
2025-01-10,2025-01-10 00:00:00,sz.002706,良信股份,买入,买入25%,7.10,1700,12065.05,5.12,3500,25013.55,5200,12943.38,49811.38,6,
2025-01-13,2025-01-13 00:00:00,sz.002706,良信股份,买入,买入25%,6.95,900,6252.25,5.06,5200,12943.38,6100,6686.07,49020.07,7,
2025-01-14,2025-01-14 00:00:00,sz.002706,良信股份,买入,买入25%,7.04,400,2814.81,5.03,6100,6686.07,6500,3866.23,49561.23,8,
2025-01-15,2025-01-15 00:00:00,sz.002706,良信股份,买入,买入25%,7.02,200,1403.40,5.01,6500,3866.23,6700,2457.81,49424.81,9,
2025-01-16,2025-01-16 00:00:00,sz.002706,良信股份,买入,买入25%,7.40,100,739.74,5.01,6700,2457.81,6800,1713.07,51965.07,10,
2025-01-17,2025-01-17 00:00:00,sz.002706,良信股份,买入,买入25%,7.51,100,750.75,5.01,6800,1713.07,6900,957.31,52707.31,11,
2025-01-20,2025-01-20 00:00:00,sz.002706,良信股份,决策,买入25%,6.92,0,0.00,0.00,6900,957.31,6900,957.31,53535.31,13,未执行（可能资金不足或持仓不足）
2025-01-21,2025-01-21 00:00:00,sz.002706,良信股份,决策,买入25%,6.97,0,0.00,0.00,6900,957.31,6900,957.31,53949.31,14,未执行（可能资金不足或持仓不足）
2025-01-22,2025-01-22 00:00:00,sz.002706,良信股份,决策,买入25%,6.93,0,0.00,0.00,6900,957.31,6900,957.31,54294.31,15,未执行（可能资金不足或持仓不足）
2025-01-23,2025-01-23 00:00:00,sz.002706,良信股份,决策,买入25%,6.87,0,0.00,0.00,6900,957.31,6900,957.31,55812.31,16,未执行（可能资金不足或持仓不足）
2025-01-24,2025-01-24 00:00:00,sz.002706,良信股份,决策,买入25%,6.96,0,0.00,0.00,6900,957.31,6900,957.31,54363.31,17,未执行（可能资金不足或持仓不足）
2025-01-27,2025-01-27 00:00:00,sz.002706,良信股份,决策,买入25%,6.83,0,0.00,0.00,6900,957.31,6900,957.31,56847.31,18,未执行（可能资金不足或持仓不足）
2025-02-05,2025-02-05 00:00:00,sz.002706,良信股份,决策,买入25%,6.81,0,0.00,0.00,6900,957.31,6900,957.31,58296.31,19,未执行（可能资金不足或持仓不足）
2025-02-06,2025-02-06 00:00:00,sz.002706,良信股份,决策,买入25%,6.86,0,0.00,0.00,6900,957.31,6900,957.31,64023.31,20,未执行（可能资金不足或持仓不足）
2025-02-07,2025-02-07 00:00:00,sz.002706,良信股份,决策,买入25%,7.10,0,0.00,0.00,6900,957.31,6900,957.31,64782.31,21,未执行（可能资金不足或持仓不足）
2025-02-10,2025-02-10 00:00:00,sz.002706,良信股份,决策,买入25%,7.14,0,0.00,0.00,6900,957.31,6900,957.31,63540.31,22,未执行（可能资金不足或持仓不足）
2025-02-11,2025-02-11 00:00:00,sz.002706,良信股份,决策,买入25%,7.16,0,0.00,0.00,6900,957.31,6900,957.31,67335.31,23,未执行（可能资金不足或持仓不足）
2025-02-13,2025-02-13 00:00:00,sz.002706,良信股份,卖出,卖出100%,9.94,6900,68586.35,52.13,6900,957.31,0,69491.53,69491.53,24,
2025-02-14,2025-02-14 00:00:00,sz.002706,良信股份,决策,卖出100%,7.13,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,26,未执行（可能资金不足或持仓不足）
2025-02-17,2025-02-17 00:00:00,sz.002706,良信股份,决策,卖出100%,7.09,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,27,未执行（可能资金不足或持仓不足）
2025-02-18,2025-02-18 00:00:00,sz.002706,良信股份,决策,卖出100%,6.94,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,28,未执行（可能资金不足或持仓不足）
2025-02-19,2025-02-19 00:00:00,sz.002706,良信股份,决策,卖出50%,7.03,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,29,未执行（可能资金不足或持仓不足）
2025-02-20,2025-02-20 00:00:00,sz.002706,良信股份,决策,卖出50%,7.01,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,30,未执行（可能资金不足或持仓不足）
2025-02-21,2025-02-21 00:00:00,sz.002706,良信股份,决策,卖出50%,7.39,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,31,未执行（可能资金不足或持仓不足）
2025-02-24,2025-02-24 00:00:00,sz.002706,良信股份,决策,卖出50%,7.50,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,32,未执行（可能资金不足或持仓不足）
2025-02-25,2025-02-25 00:00:00,sz.002706,良信股份,决策,卖出50%,7.62,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,33,未执行（可能资金不足或持仓不足）
2025-02-26,2025-02-26 00:00:00,sz.002706,良信股份,决策,卖出50%,7.68,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,34,未执行（可能资金不足或持仓不足）
2025-02-27,2025-02-27 00:00:00,sz.002706,良信股份,决策,卖出50%,7.73,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,35,未执行（可能资金不足或持仓不足）
2025-02-28,2025-02-28 00:00:00,sz.002706,良信股份,决策,卖出50%,7.95,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,36,未执行（可能资金不足或持仓不足）
2025-03-03,2025-03-03 00:00:00,sz.002706,良信股份,决策,卖出50%,7.74,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,37,未执行（可能资金不足或持仓不足）
2025-03-04,2025-03-04 00:00:00,sz.002706,良信股份,决策,卖出50%,8.10,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,38,未执行（可能资金不足或持仓不足）
2025-03-05,2025-03-05 00:00:00,sz.002706,良信股份,决策,卖出50%,8.31,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,39,未执行（可能资金不足或持仓不足）
2025-03-06,2025-03-06 00:00:00,sz.002706,良信股份,决策,卖出50%,9.14,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,40,未执行（可能资金不足或持仓不足）
2025-03-07,2025-03-07 00:00:00,sz.002706,良信股份,决策,卖出50%,9.25,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,41,未执行（可能资金不足或持仓不足）
2025-03-10,2025-03-10 00:00:00,sz.002706,良信股份,决策,卖出50%,9.07,0,0.00,0.00,0,69491.53,0,69491.53,69491.53,42,未执行（可能资金不足或持仓不足）
2025-03-12,2025-03-12 00:00:00,sz.002706,良信股份,买入,买入25%,7.73,4400,34001.97,8.84,0,69491.53,4400,35480.72,69448.72,43,
2025-03-13,2025-03-13 00:00:00,sz.002706,良信股份,买入,买入25%,7.85,2200,17265.25,5.17,4400,35480.72,6600,18210.30,69954.30,44,
