日期,时间戳,股票代码,股票名称,操作类型,动作,当日涨跌幅(%),止盈触发,原始动作,价格,数量,金额,手续费,操作前持仓,操作前资金,操作后持仓,操作后资金,总资产,步骤,备注
2025-01-09,2025-01-09 00:00:00,sz.002706,良信股份,买入,买入25%,0.15,否,,7.14,3500,24979.95,6.49,0,50000.00,3500,25013.55,49968.55,5,
2025-01-10,2025-01-10 00:00:00,sz.002706,良信股份,买入,买入25%,-5.80,否,,7.10,1700,12065.05,5.12,3500,25013.55,5200,12943.38,49811.38,6,
2025-01-13,2025-01-13 00:00:00,sz.002706,良信股份,买入,买入25%,-1.54,否,,6.95,900,6252.25,5.06,5200,12943.38,6100,6686.07,49020.07,7,
2025-01-14,2025-01-14 00:00:00,sz.002706,良信股份,卖出,卖出100% (止盈触发:涨幅3.75%>3%),3.75,是,买入25%,7.02,6100,42840.12,32.56,6100,6686.07,0,49493.63,49493.63,8,
2025-01-15,2025-01-15 00:00:00,sz.002706,良信股份,买入,买入25%,-1.96,否,,7.02,3500,24559.53,6.39,0,49493.63,3500,24927.71,49462.71,9,
2025-01-16,2025-01-16 00:00:00,sz.002706,良信股份,卖出,卖出100% (止盈触发:涨幅6.30%>3%),6.30,是,买入25%,7.38,3500,25839.13,19.64,3500,24927.71,0,50747.20,50747.20,10,
2025-01-17,2025-01-17 00:00:00,sz.002706,良信股份,买入,买入25%,-1.45,否,,7.51,3300,24774.75,6.44,0,50747.20,3300,25966.01,50716.01,11,
2025-01-20,2025-01-20 00:00:00,sz.002706,良信股份,买入,买入25%,1.47,否,,7.63,1700,12966.95,5.13,3300,25966.01,5000,12993.93,51093.93,12,
2025-01-21,2025-01-21 00:00:00,sz.002706,良信股份,买入,买入25%,0.72,否,,7.69,800,6150.14,5.06,5000,12993.93,5800,6838.72,51382.72,13,
2025-01-22,2025-01-22 00:00:00,sz.002706,良信股份,买入,买入25%,-0.57,否,,7.74,400,3095.09,5.03,5800,6838.72,6200,3738.60,51664.60,14,
2025-01-23,2025-01-23 00:00:00,sz.002706,良信股份,买入,买入25%,-0.87,否,,7.96,200,1591.59,5.02,6200,3738.60,6400,2141.99,53021.99,15,
2025-01-24,2025-01-24 00:00:00,sz.002706,良信股份,买入,买入25%,1.31,否,,7.75,100,774.77,5.01,6400,2141.99,6500,1362.21,51672.21,16,
2025-01-27,2025-01-27 00:00:00,sz.002706,良信股份,决策,买入25%,-1.87,否,,6.83,0,0.00,0.00,6500,1362.21,6500,1362.21,54012.21,18,未执行（可能资金不足或持仓不足）
2025-02-05,2025-02-05 00:00:00,sz.002706,良信股份,决策,买入25%,-0.29,否,,6.81,0,0.00,0.00,6500,1362.21,6500,1362.21,55377.21,19,未执行（可能资金不足或持仓不足）
2025-02-06,2025-02-06 00:00:00,sz.002706,良信股份,决策,买入25%,0.73,否,,6.86,0,0.00,0.00,6500,1362.21,6500,1362.21,60772.21,20,未执行（可能资金不足或持仓不足）
2025-02-07,2025-02-07 00:00:00,sz.002706,良信股份,卖出,卖出100% (止盈触发:涨幅3.50%>3%),3.50,是,买入25%,9.24,6500,60064.88,45.65,6500,1362.21,0,61381.44,61381.44,20,
2025-02-12,2025-02-12 00:00:00,sz.002706,良信股份,决策,卖出100%,1.54,否,,7.27,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,24,未执行（可能资金不足或持仓不足）
2025-02-13,2025-02-13 00:00:00,sz.002706,良信股份,决策,卖出100%,-2.20,否,,7.11,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,25,未执行（可能资金不足或持仓不足）
2025-02-14,2025-02-14 00:00:00,sz.002706,良信股份,决策,卖出100%,0.28,否,,7.13,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,26,未执行（可能资金不足或持仓不足）
2025-02-17,2025-02-17 00:00:00,sz.002706,良信股份,决策,卖出100%,-0.56,否,,7.09,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,27,未执行（可能资金不足或持仓不足）
2025-02-18,2025-02-18 00:00:00,sz.002706,良信股份,决策,卖出100%,-2.12,否,,6.94,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,28,未执行（可能资金不足或持仓不足）
2025-02-19,2025-02-19 00:00:00,sz.002706,良信股份,决策,卖出50%,1.30,否,,7.03,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,29,未执行（可能资金不足或持仓不足）
2025-02-20,2025-02-20 00:00:00,sz.002706,良信股份,决策,卖出50%,-0.28,否,,7.01,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,30,未执行（可能资金不足或持仓不足）
2025-02-21,2025-02-21 00:00:00,sz.002706,良信股份,决策,卖出50%,5.42,否,,7.39,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,31,未执行（可能资金不足或持仓不足）
2025-02-24,2025-02-24 00:00:00,sz.002706,良信股份,决策,卖出50%,1.49,否,,7.50,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,32,未执行（可能资金不足或持仓不足）
2025-02-25,2025-02-25 00:00:00,sz.002706,良信股份,决策,卖出50%,1.60,否,,7.62,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,33,未执行（可能资金不足或持仓不足）
2025-02-26,2025-02-26 00:00:00,sz.002706,良信股份,决策,卖出50%,0.79,否,,7.68,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,34,未执行（可能资金不足或持仓不足）
2025-02-27,2025-02-27 00:00:00,sz.002706,良信股份,决策,卖出50%,0.65,否,,7.73,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,35,未执行（可能资金不足或持仓不足）
2025-02-28,2025-02-28 00:00:00,sz.002706,良信股份,决策,卖出50%,2.85,否,,7.95,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,36,未执行（可能资金不足或持仓不足）
2025-03-03,2025-03-03 00:00:00,sz.002706,良信股份,决策,卖出50%,-2.64,否,,7.74,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,37,未执行（可能资金不足或持仓不足）
2025-03-04,2025-03-04 00:00:00,sz.002706,良信股份,决策,卖出50%,4.65,否,,8.10,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,38,未执行（可能资金不足或持仓不足）
2025-03-05,2025-03-05 00:00:00,sz.002706,良信股份,决策,卖出50%,2.59,否,,8.31,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,39,未执行（可能资金不足或持仓不足）
2025-03-06,2025-03-06 00:00:00,sz.002706,良信股份,决策,卖出50%,9.99,否,,9.14,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,40,未执行（可能资金不足或持仓不足）
2025-03-07,2025-03-07 00:00:00,sz.002706,良信股份,决策,卖出50%,1.20,否,,9.25,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,41,未执行（可能资金不足或持仓不足）
2025-03-10,2025-03-10 00:00:00,sz.002706,良信股份,决策,买入100%,-1.95,否,,9.07,0,0.00,0.00,0,61381.44,0,61381.44,61381.44,42,未执行（可能资金不足或持仓不足）
2025-03-12,2025-03-12 00:00:00,sz.002706,良信股份,买入,买入25%,2.60,否,,7.73,3900,30138.11,7.84,0,61381.44,3900,31235.49,61343.49,43,
2025-03-13,2025-03-13 00:00:00,sz.002706,良信股份,买入,买入25%,0.81,否,,7.85,1900,14910.90,5.15,3900,31235.49,5800,16319.45,61791.45,44,
2025-03-14,2025-03-14 00:00:00,sz.002706,良信股份,买入,买入25%,-5.53,否,,7.82,1000,7817.81,5.08,5800,16319.45,6800,8496.56,61604.56,45,
2025-03-17,2025-03-17 00:00:00,sz.002706,良信股份,卖出,卖出100% (止盈触发:涨幅4.04%>3%),4.04,是,买入25%,7.64,6800,51967.98,39.50,6800,8496.56,0,60425.04,60425.04,46,
2025-04-02,2025-04-02 00:00:00,sz.002706,良信股份,决策,买入100%,0.00,否,,8.84,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,59,未执行（可能资金不足或持仓不足）
2025-04-03,2025-04-03 00:00:00,sz.002706,良信股份,决策,买入100%,-3.85,否,,8.50,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,60,未执行（可能资金不足或持仓不足）
2025-04-07,2025-04-07 00:00:00,sz.002706,良信股份,决策,买入100%,-10.00,否,,7.65,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,61,未执行（可能资金不足或持仓不足）
2025-04-08,2025-04-08 00:00:00,sz.002706,良信股份,决策,卖出100%,-5.88,否,,7.20,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,62,未执行（可能资金不足或持仓不足）
2025-04-09,2025-04-09 00:00:00,sz.002706,良信股份,决策,卖出100%,2.22,否,,7.36,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,63,未执行（可能资金不足或持仓不足）
2025-04-10,2025-04-10 00:00:00,sz.002706,良信股份,决策,卖出100%,4.89,否,,7.72,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,64,未执行（可能资金不足或持仓不足）
2025-04-11,2025-04-11 00:00:00,sz.002706,良信股份,决策,卖出50%,1.55,否,,7.84,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,65,未执行（可能资金不足或持仓不足）
2025-04-14,2025-04-14 00:00:00,sz.002706,良信股份,决策,卖出50%,-0.38,否,,7.81,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,66,未执行（可能资金不足或持仓不足）
2025-04-15,2025-04-15 00:00:00,sz.002706,良信股份,决策,卖出50%,-2.05,否,,7.65,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,67,未执行（可能资金不足或持仓不足）
2025-04-16,2025-04-16 00:00:00,sz.002706,良信股份,决策,卖出50%,-2.09,否,,7.49,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,68,未执行（可能资金不足或持仓不足）
2025-04-17,2025-04-17 00:00:00,sz.002706,良信股份,决策,卖出50%,0.27,否,,7.51,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,69,未执行（可能资金不足或持仓不足）
2025-04-18,2025-04-18 00:00:00,sz.002706,良信股份,决策,卖出50%,6.52,否,,8.00,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,70,未执行（可能资金不足或持仓不足）
2025-04-21,2025-04-21 00:00:00,sz.002706,良信股份,决策,卖出50%,-1.25,否,,7.90,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,71,未执行（可能资金不足或持仓不足）
2025-04-22,2025-04-22 00:00:00,sz.002706,良信股份,决策,卖出50%,-0.63,否,,7.85,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,72,未执行（可能资金不足或持仓不足）
2025-04-23,2025-04-23 00:00:00,sz.002706,良信股份,决策,卖出50%,2.68,否,,8.06,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,73,未执行（可能资金不足或持仓不足）
2025-04-24,2025-04-24 00:00:00,sz.002706,良信股份,决策,卖出50%,-0.87,否,,7.99,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,74,未执行（可能资金不足或持仓不足）
2025-04-25,2025-04-25 00:00:00,sz.002706,良信股份,决策,卖出50%,1.88,否,,8.14,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,75,未执行（可能资金不足或持仓不足）
2025-04-28,2025-04-28 00:00:00,sz.002706,良信股份,决策,卖出50%,-1.11,否,,8.05,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,76,未执行（可能资金不足或持仓不足）
2025-04-29,2025-04-29 00:00:00,sz.002706,良信股份,决策,卖出50%,2.48,否,,8.25,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,77,未执行（可能资金不足或持仓不足）
2025-04-30,2025-04-30 00:00:00,sz.002706,良信股份,决策,卖出50%,1.33,否,,8.36,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,78,未执行（可能资金不足或持仓不足）
2025-05-06,2025-05-06 00:00:00,sz.002706,良信股份,决策,卖出50%,1.20,否,,8.46,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,79,未执行（可能资金不足或持仓不足）
2025-05-07,2025-05-07 00:00:00,sz.002706,良信股份,决策,卖出50%,1.18,否,,8.56,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,80,未执行（可能资金不足或持仓不足）
2025-05-08,2025-05-08 00:00:00,sz.002706,良信股份,决策,卖出50%,1.75,否,,8.71,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,81,未执行（可能资金不足或持仓不足）
2025-05-09,2025-05-09 00:00:00,sz.002706,良信股份,决策,卖出50%,0.46,否,,8.75,0,0.00,0.00,0,60425.04,0,60425.04,60425.04,82,未执行（可能资金不足或持仓不足）
