日期,时间戳,股票代码,股票名称,操作类型,动作,当日涨跌幅(%),止损触发,原始动作,价格,数量,金额,手续费,操作前持仓,操作前资金,操作后持仓,操作后资金,总资产,步骤,备注
2025-01-09,2025-01-09 00:00:00,sz.002706,良信股份,买入,买入25%,0.15,否,,7.14,3500,24979.95,6.49,0,50000.00,3500,25013.55,49968.55,5,
2025-01-10,2025-01-10 00:00:00,sz.002706,良信股份,卖出,卖出100% (止损触发:跌幅-5.80%<-3%),-5.80,是,买入25%,7.08,3500,24790.19,18.84,3500,25013.55,0,49784.89,49784.89,6,
2025-01-13,2025-01-13 00:00:00,sz.002706,良信股份,买入,买入25%,-1.54,否,,6.95,3500,24314.29,6.32,0,49784.89,3500,25464.28,49754.28,7,
2025-01-14,2025-01-14 00:00:00,sz.002706,良信股份,买入,买入25%,3.75,否,,7.04,1800,12666.65,5.13,3500,25464.28,5300,12792.50,50051.50,8,
2025-01-15,2025-01-15 00:00:00,sz.002706,良信股份,买入,买入25%,-1.96,否,,7.02,900,6315.31,5.06,5300,12792.50,6200,6472.13,49934.13,9,
2025-01-16,2025-01-16 00:00:00,sz.002706,良信股份,买入,买入25%,6.30,否,,7.40,400,2958.96,5.03,6200,6472.13,6600,3508.14,52282.14,10,
2025-01-17,2025-01-17 00:00:00,sz.002706,良信股份,买入,买入25%,-1.45,否,,7.51,200,1501.50,5.02,6600,3508.14,6800,2001.63,53001.63,11,
2025-01-20,2025-01-20 00:00:00,sz.002706,良信股份,买入,买入25%,1.47,否,,7.63,100,762.76,5.01,6800,2001.63,6900,1233.86,53811.86,12,
2025-01-21,2025-01-21 00:00:00,sz.002706,良信股份,决策,买入25%,0.72,否,,6.97,0,0.00,0.00,6900,1233.86,6900,1233.86,54225.86,14,未执行（可能资金不足或持仓不足）
2025-01-22,2025-01-22 00:00:00,sz.002706,良信股份,决策,买入25%,-0.57,否,,6.93,0,0.00,0.00,6900,1233.86,6900,1233.86,54570.86,15,未执行（可能资金不足或持仓不足）
