date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2015-01-05,sz.002364,16.5900,17.0000,15.8600,16.8700,16.3300,3845481,63656782.0000,3,1.939023,1,3.306800,39.616433,8.343745,-52.275509,4.553251,0
2015-01-06,sz.002364,16.8800,17.5800,16.6500,17.3600,16.8700,2840638,49036361.0000,3,1.432347,1,2.904600,40.767117,8.586094,-53.793885,4.685503,0
2015-01-07,sz.002364,17.6300,17.9000,17.1100,17.3200,17.3600,1988774,34609860.0000,3,1.002808,1,-0.230400,40.673184,8.566310,-53.669936,4.674707,0
2015-01-08,sz.002364,17.4800,17.8800,17.3400,17.6100,17.3200,2938431,52046204.0000,3,1.481657,1,1.674400,41.354201,8.709742,-54.568567,4.752979,0
2015-01-09,sz.002364,17.6200,18.5000,17.6100,17.9700,17.6100,4054608,73726567.0000,3,2.044472,1,2.044300,42.199603,8.887794,-55.684108,4.850143,0
2015-01-12,sz.002364,17.9900,19.3000,17.8100,18.8200,17.9700,5312663,99849810.0000,3,2.678826,1,4.730100,44.195688,9.308196,-58.318025,5.079560,0
2015-01-13,sz.002364,18.8400,19.0200,18.6500,18.8600,18.8200,2095765,39584598.0000,3,1.056756,1,0.212500,44.289622,9.327980,-58.441974,5.090356,0
2015-01-14,sz.002364,18.8600,19.9700,18.8600,19.2000,18.8600,5783512,113039856.0000,3,2.916244,1,1.802800,45.088056,9.496141,-59.495541,5.182123,0
2015-01-15,sz.002364,19.3300,19.8700,19.1000,19.2000,19.2000,3324085,64697554.0000,3,1.676117,1,0.000000,45.088056,9.496141,-59.495541,5.182123,0
2015-01-16,sz.002364,19.7400,19.9400,19.4500,19.7100,19.2000,3696248,72708335.0000,3,1.863775,1,2.656200,46.285708,9.748382,-61.075892,5.319773,0
2015-01-19,sz.002364,19.3500,19.8900,18.0000,18.9500,19.7100,2791379,53939436.0000,3,1.407509,1,-3.855900,44.500972,9.372493,-58.720860,5.114648,0
2015-01-20,sz.002364,19.1000,20.2000,19.1000,20.2000,18.9500,4567154,90288494.0000,3,2.302915,1,6.596300,47.436392,9.990732,-62.594267,5.452025,0
2015-01-21,sz.002364,20.2000,20.3800,19.8700,20.0000,20.2000,4025012,80544061.0000,3,2.029549,1,-0.990100,46.966725,9.891813,-61.974522,5.398045,0
2015-01-22,sz.002364,20.0000,20.4300,19.7500,20.4300,20.0000,4155158,83535856.0000,3,2.095173,1,2.150000,47.976510,10.104487,-63.306974,5.514103,0
2015-01-23,sz.002364,20.4200,20.5000,19.5900,19.8000,20.4300,4851276,97079890.0000,3,2.446179,1,-3.083700,46.497058,9.792895,-61.354777,5.344064,0
2015-01-26,sz.002364,19.8000,20.0900,19.6300,20.0000,19.8000,2244436,44638940.0000,3,1.131721,1,1.010100,46.966725,9.891813,-61.974522,5.398045,0
2015-01-27,sz.002364,19.8200,20.4500,19.8000,20.3000,20.0000,3194371,64680526.0000,3,1.610711,1,1.500000,47.671226,10.040191,-62.904140,5.479016,0
2015-01-28,sz.002364,20.2800,20.5300,20.0600,20.2500,20.3000,2977250,60765657.0000,3,1.501231,1,-0.246300,47.553809,10.015461,-62.749204,5.465520,0
2015-01-29,sz.002364,20.3000,20.3000,19.8800,20.2100,20.2500,1732155,34869040.0000,3,0.873412,1,-0.197500,47.459876,9.995677,-62.625255,5.454724,0
2015-01-30,sz.002364,22.0000,22.0800,20.3300,21.1200,20.2100,6735232,143999474.0000,3,3.396134,1,4.502700,49.596862,10.445755,-65.445095,5.700335,0
2015-02-02,sz.002364,20.9900,21.7600,20.4000,21.2000,21.1200,2870732,60467885.0000,3,1.447521,1,0.378800,49.784729,10.485322,-65.692993,5.721928,0
2015-02-03,sz.002364,21.3300,22.3000,21.3300,22.0400,21.2000,5457810,119935535.0000,3,2.752014,1,3.962300,51.757331,10.900778,-68.295923,5.948645,0
2015-02-04,sz.002364,22.1100,22.3000,21.8700,22.2200,22.0400,3650166,80958655.0000,3,1.840538,1,0.816700,52.180032,10.989805,-68.853694,5.997228,0
2015-02-05,sz.002364,22.0800,22.8500,22.0000,22.0500,22.2200,3396409,76050589.0000,3,1.712586,1,-0.765100,51.780814,10.905724,-68.326911,5.951345,0
2015-02-06,sz.002364,22.0000,22.3200,21.0000,21.4700,22.0500,3017992,64499429.0000,3,1.521775,1,-2.630400,50.418779,10.618862,-66.529649,5.794801,0
2015-02-09,sz.002364,21.4500,21.6900,21.0000,21.5700,21.4700,1267332,27063653.0000,3,0.639032,1,0.465800,50.653613,10.668321,-66.839522,5.821791,0
2015-02-10,sz.002364,21.5700,22.6000,21.3000,22.5400,21.5700,2345733,52125174.0000,3,1.182799,1,4.497000,52.931499,11.148074,-69.845286,6.083597,0
2015-02-11,sz.002364,22.3000,23.0300,22.3000,23.0000,22.5400,2397762,54561822.0000,3,1.209034,1,2.040800,54.011734,11.375585,-71.270700,6.207752,0
2015-02-12,sz.002364,23.0100,25.3000,23.0000,24.7600,23.0000,6120212,149362841.0000,3,3.086020,1,7.652200,58.144806,12.246065,-76.724458,6.682780,0
2015-02-13,sz.002364,25.0000,27.0000,24.7000,27.0000,24.7600,10256323,266813621.0000,3,5.171589,1,9.046800,56.083950,11.732728,-131.476043,7.332287,0
2015-02-16,sz.002364,25.0000,28.8800,24.8000,27.3400,27.0000,7125417,195214238.0000,3,3.592879,1,1.259300,56.790193,11.880473,-133.131668,7.424619,0
2015-02-17,sz.002364,27.5300,28.3000,26.3800,28.2000,27.3400,5089397,140977788.0000,3,2.566248,1,3.145600,58.576570,12.254183,-137.319423,7.658166,0
2015-02-25,sz.002364,27.7200,28.4000,27.2300,27.9700,28.2000,2187321,60684513.0000,3,1.102922,1,-0.815600,58.098818,12.154237,-136.199442,7.595706,0
2015-02-26,sz.002364,27.7000,28.2000,26.1000,26.3300,27.9700,5885278,156985677.0000,3,2.967558,1,-5.863400,54.692237,11.441582,-128.213490,7.150338,0
2015-02-27,sz.002364,26.3400,28.9600,25.7000,28.9600,26.3300,9081386,247192252.0000,3,4.579145,1,9.988600,60.155230,12.584437,-141.020230,7.864557,0
2015-03-02,sz.002364,29.0000,31.8600,29.0000,31.8600,28.9600,7959923,247164252.0000,3,4.013665,1,10.013800,66.179061,13.844619,-155.141731,8.652099,0
2015-03-03,sz.002364,32.9000,34.7900,31.1800,32.4000,31.8600,10045637,330214224.0000,3,5.065354,1,1.694900,67.300740,14.079274,-157.771252,8.798744,0
2015-03-04,sz.002364,32.7000,34.2900,31.6900,33.6600,32.4000,6722795,222343308.0000,3,3.389863,1,3.888900,69.917991,14.626801,-163.906801,9.140918,0
2015-03-05,sz.002364,32.9800,33.5500,32.3700,32.6000,33.6600,4041819,133243614.0000,3,2.038023,1,-3.149100,67.716177,14.166183,-158.745149,8.853058,0
2015-03-06,sz.002364,32.5000,34.3000,31.5500,32.0000,32.6000,7258590,239441989.0000,3,3.660029,1,-1.840500,66.469867,13.905455,-155.823459,8.690118,0
2015-03-09,sz.002364,31.9000,33.7600,31.1100,33.0000,32.0000,5367153,174356398.0000,3,2.706302,1,3.125000,68.547050,14.340001,-160.692942,8.961684,0
2015-03-10,sz.002364,32.7900,36.3000,32.5200,36.3000,33.0000,5923314,207456062.0000,3,2.986737,1,10.000000,75.401755,15.774001,-176.762236,9.857852,0
2015-03-11,sz.002364,37.0100,38.8700,36.0000,38.2000,36.3000,5941980,223022742.0000,3,2.996149,1,5.234200,79.348404,16.599637,-186.014254,10.373828,0
2015-03-12,sz.002364,37.6600,37.6600,34.3800,35.1800,38.2000,8096449,286879408.0000,3,4.082506,1,-7.905800,73.075310,15.287310,-171.308415,9.553698,0
2015-03-13,sz.002364,35.2000,36.7500,33.7000,36.5700,35.1800,6813030,236433289.0000,3,3.435363,1,3.951100,75.962595,15.891328,-178.076997,9.931175,0
2015-03-16,sz.002364,36.0100,39.3800,35.5900,38.6800,36.5700,7887343,295306048.0000,3,3.977068,1,5.769800,80.345452,16.808219,-188.351606,10.504180,0
2015-03-17,sz.002364,38.2000,39.7500,37.3000,38.6900,38.6800,7701419,295714112.0000,3,3.883319,1,0.025800,80.366223,16.812565,-188.400301,10.506896,0
2015-03-18,sz.002364,38.1800,39.8200,37.9500,38.6200,38.6900,5596235,217267937.0000,3,2.821813,1,-0.180900,80.220821,16.782146,-188.059437,10.487886,0
2015-03-19,sz.002364,38.0000,38.3400,36.7500,37.7000,38.6200,7991330,299916976.0000,3,4.029502,1,-2.382200,78.309812,16.382365,-183.579513,10.238045,0
2015-03-20,sz.002364,37.2900,39.1700,37.0500,38.5900,37.7000,6806239,261328490.0000,3,3.431938,1,2.360700,80.158505,16.769110,-187.913352,10.479739,0
2015-03-23,sz.002364,38.9300,41.5000,38.4100,41.0700,38.5900,8729189,352424048.0000,3,4.401556,1,6.426500,85.309920,17.846783,-199.989671,11.153223,0
2015-03-24,sz.002364,42.3600,44.6800,41.0100,44.6000,41.0700,10842614,463207216.0000,3,5.297585,1,8.595100,92.642377,19.380728,-217.178946,12.111852,0
2015-03-25,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.642377,19.380728,-217.178946,12.111852,0
2015-03-26,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.642377,19.380728,-217.178946,12.111852,0
2015-03-27,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.642377,19.380728,-217.178946,12.111852,0
2015-03-30,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.642377,19.380728,-217.178946,12.111852,0
2015-03-31,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.819770,19.417839,-217.594804,12.135044,0
2015-04-01,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.819770,19.417839,-217.594804,12.135044,0
2015-04-02,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.819770,19.417839,-217.594804,12.135044,0
2015-04-03,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.819770,19.417839,-217.594804,12.135044,0
2015-04-07,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.819770,19.417839,-217.594804,12.135044,0
2015-04-08,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.819770,19.417839,-217.594804,12.135044,0
2015-04-09,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.819770,19.417839,-217.594804,12.135044,0
2015-04-10,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.819770,19.417839,-217.594804,12.135044,0
2015-04-13,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.819770,19.417839,-217.594804,12.135044,0
2015-04-14,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.819770,19.417839,-217.594804,12.135044,0
2015-04-15,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.819770,19.417839,-217.594804,12.135044,0
2015-04-16,sz.002364,44.6000,44.6000,44.6000,44.6000,44.6000,0,0.0000,3,,0,0.000000,92.819770,19.417839,-217.594804,12.135044,0
2015-04-17,sz.002364,49.0600,49.0600,49.0600,49.0600,44.6000,377028,18496993.0000,3,0.179792,1,10.000000,102.101748,21.359623,-239.354285,13.348548,0
2015-04-20,sz.002364,51.9800,51.9800,44.2100,44.8800,49.0600,15278200,748224352.0000,3,7.285644,1,-8.520200,93.402495,19.539745,-218.960870,12.211228,0
2015-04-21,sz.002364,47.4600,49.3700,46.3000,49.3700,44.8800,7434115,360152016.0000,3,3.545072,1,10.004500,102.746907,21.494590,-240.866715,13.432895,0
2015-04-22,sz.002364,53.0000,54.3100,50.7800,54.3100,49.3700,10209896,535944720.0000,3,4.868746,1,10.006100,113.027842,23.645355,-264.968023,14.777001,0
2015-04-23,sz.002364,54.3500,54.8800,51.7000,52.5900,54.3100,7773725,410852720.0000,3,3.707020,1,-3.167000,109.448245,22.896506,-256.576474,14.309012,0
2015-04-24,sz.002364,51.3000,57.6100,49.2800,55.0000,52.5900,8155587,425474736.0000,3,3.889117,1,4.582600,114.463843,23.945766,-268.334400,14.964740,0
2015-04-27,sz.002364,55.1000,60.0900,55.1000,56.4500,55.0000,6142699,355203888.0000,3,2.929240,1,2.636400,117.481526,24.577063,-275.408671,15.359265,0
2015-04-28,sz.002364,55.8900,56.0000,51.8400,53.2600,56.4500,5579842,300990752.0000,3,2.660833,1,-5.651000,110.842623,23.188209,-259.845275,14.491310,0
2015-04-29,sz.002364,52.2500,55.0000,52.0000,54.0500,53.2600,3889540,209092468.0000,3,1.854787,1,1.483300,107.068350,21.791178,-326.107126,14.322156,0
2015-04-30,sz.002364,54.0900,58.6900,52.4900,56.9000,54.0500,6031714,337707568.0000,3,2.876315,1,5.272900,112.713952,22.940204,-343.302413,15.077348,0
2015-05-04,sz.002364,56.0200,56.7600,53.8000,54.6100,56.9000,3957774,218607988.0000,3,1.887325,1,-4.024600,108.177661,22.016952,-329.485849,14.470544,0
2015-05-05,sz.002364,54.0000,54.0400,49.5000,50.7800,54.6100,7557484,388699536.0000,3,3.603902,1,-7.013400,100.590764,20.472822,-306.377795,13.455672,0
2015-05-06,sz.002364,50.7800,52.6600,49.7500,50.0000,50.7800,4480634,228539532.0000,3,2.136659,1,-1.536000,99.045652,20.158352,-301.671716,13.248988,0
2015-05-07,sz.002364,48.9800,52.3000,48.6000,51.1500,50.0000,3264141,164171985.0000,3,1.556556,1,2.300000,101.323702,20.621994,-308.610166,13.553715,0
2015-05-08,sz.002364,52.9500,52.9800,49.6100,50.3000,51.1500,4514487,229865105.0000,3,2.152802,1,-1.661800,99.639926,20.279302,-303.481747,13.328482,0
2015-05-11,sz.002364,50.8800,55.3300,50.4300,54.8000,50.3000,7142747,384242432.0000,3,3.365902,1,8.946300,108.554035,22.093553,-330.632201,14.520891,0
