股票代码,股票名称,最终净值,总收益率(%),买入持有收益(%),超额收益(%),最大回撤(%),夏普比率,交易次数,胜率(%)
sh.601138,工业富联,"124,172.75",+148.35,+122.73,+25.62,43.77,1.54,9,100.00
sh.603296,华勤技术,"78,989.30",+57.98,+63.57,-5.59,39.75,0.91,1,0.00
sz.002156,通富微电,"79,096.65",+58.19,+58.11,+0.08,38.18,0.90,2,0.00
sz.300475,香农芯创,"217,963.19",+335.93,+336.14,-0.22,39.22,1.83,8,100.00
sh.688733,壹石通,"101,562.67",+103.13,+105.07,-1.94,44.09,1.07,1,0.00
sz.002559,亚威股份,"67,690.05",+35.38,+35.51,-0.13,36.72,0.70,1,0.00
sz.002229,鸿博股份,"71,806.32",+43.61,+43.51,+0.10,45.77,0.72,2,0.00
sz.300560,中富通,"92,802.13",+85.60,+86.00,-0.39,45.43,1.00,1,0.00
sz.001287,中电港,"65,475.07",+30.95,+31.93,-0.98,33.03,0.63,1,0.00
sz.300308,中际旭创,"178,067.39",+256.13,+298.60,-42.47,54.37,1.72,1,0.00
