date,time,open,high,low,close,volume
2025-08-14,20250814150000,15.47,15.56,14.69,14.69,43716691.0
2025-08-15,20250815150000,14.69,15.56,14.57,15.09,41444731.0
2025-08-18,20250818150000,14.98,15.43,14.98,15.21,28516569.0
2025-08-19,20250819150000,15.21,15.21,14.71,14.76,27687040.0
2025-08-20,20250820150000,14.75,15.05,14.65,14.85,21172070.0
2025-08-21,20250821150000,14.79,15.01,14.71,14.85,18150336.0
2025-08-22,20250822150000,14.95,14.95,14.44,14.94,31789873.0
2025-08-25,20250825150000,14.97,15.57,14.86,15.53,48283242.0
2025-08-26,20250826150000,15.58,15.75,15.2,15.48,30510391.0
2025-08-27,20250827150000,15.47,15.6,14.48,14.56,33712149.0
2025-08-28,20250828150000,14.64,15.04,14.18,15.03,31878534.0
2025-08-29,20250829150000,14.9,15.08,14.75,15.03,17587609.0
2025-09-01,20250901150000,15.03,15.03,14.43,14.51,23740810.0
2025-09-02,20250902150000,14.5,14.56,13.87,14.25,22531038.0
2025-09-03,20250903150000,14.25,14.31,13.41,13.44,20431683.0
2025-09-04,20250904150000,13.54,13.77,13.15,13.47,16756521.0
2025-09-05,20250905150000,13.4,13.47,13.18,13.4,13561913.0
2025-09-08,20250908150000,13.53,14.43,13.28,14.22,26707166.0
2025-09-09,20250909150000,14.2,14.88,13.9,14.43,30175481.0
2025-09-10,20250910150000,14.32,14.51,14.2,14.23,11393876.0
2025-09-11,20250911150000,14.3,14.68,14.1,14.48,17711697.0
2025-09-12,20250912150000,14.43,14.53,14.31,14.35,10502043.0
2025-09-15,20250915150000,14.19,14.25,14.01,14.01,10085321.0
2025-09-16,20250916150000,14.01,14.4,13.88,14.32,12586538.0
2025-09-17,20250917150000,14.32,14.42,14.12,14.23,7464303.0
2025-09-18,20250918150000,14.13,14.42,13.86,14.03,12419741.0
2025-09-19,20250919150000,13.95,14.23,13.94,14.12,8119948.0
2025-09-22,20250922150000,14.04,15.05,13.75,14.84,29591061.0
2025-09-23,20250923150000,14.78,14.8,14.35,14.78,18521533.0
2025-09-24,20250924150000,14.65,15.09,14.38,15.08,30579495.0
2025-09-25,20250925150000,15.17,15.17,14.89,14.9,13510983.0
2025-09-26,20250926150000,14.85,15.24,14.72,14.95,15525353.0
2025-09-29,20250929150000,14.83,14.99,14.72,14.95,11004932.0
2025-09-30,20250930150000,14.9,15.04,14.64,14.9,13474543.0
2025-10-09,20251009150000,14.88,15.25,14.69,15.13,16793994.0
2025-10-10,20251010150000,15.08,15.25,15.0,15.1,13610293.0
2025-10-13,20251013150000,14.7,15.38,14.6,15.25,17845988.0
2025-10-14,20251014150000,15.35,15.35,14.82,14.89,14956500.0
