date,time,open,high,low,close,volume
2025-08-14,20250814150000,5.85,5.91,5.75,5.78,25587563.0
2025-08-15,20250815150000,5.75,5.78,5.71,5.77,14969344.0
2025-08-18,20250818150000,5.77,5.79,5.75,5.78,17069410.0
2025-08-19,20250819150000,5.8,5.86,5.77,5.84,22254102.0
2025-08-20,20250820150000,5.82,5.98,5.78,5.94,37914962.0
2025-08-21,20250821150000,5.93,6.12,5.88,6.12,65216902.0
2025-08-22,20250822150000,6.12,6.12,5.95,6.0,39277000.0
2025-08-25,20250825150000,5.99,6.56,5.95,6.23,70821118.0
2025-08-26,20250826150000,6.2,6.5,6.19,6.47,74518627.0
2025-08-27,20250827150000,6.4,7.0,6.3,6.66,105485368.0
2025-08-28,20250828150000,6.67,7.2,6.56,6.81,105169318.0
2025-08-29,20250829150000,6.67,7.0,6.57,6.72,89997361.0
2025-09-01,20250901150000,6.56,6.88,6.45,6.67,66466451.0
2025-09-02,20250902150000,6.66,7.1,6.57,6.98,106944519.0
2025-09-03,20250903150000,6.86,6.94,6.43,6.49,80951573.0
2025-09-04,20250904150000,6.4,6.99,6.35,6.75,97281348.0
2025-09-05,20250905150000,6.65,6.73,6.3,6.64,79209602.0
2025-09-08,20250908150000,6.57,6.77,6.5,6.56,53325800.0
2025-09-09,20250909150000,6.58,6.7,6.5,6.59,60278902.0
2025-09-10,20250910150000,6.55,7.15,6.52,6.74,81682839.0
2025-09-11,20250911150000,6.74,6.83,6.57,6.75,65835427.0
2025-09-12,20250912150000,6.69,6.98,6.65,6.69,71372508.0
2025-09-15,20250915150000,6.65,6.72,6.51,6.52,51131900.0
2025-09-16,20250916150000,6.55,6.64,6.48,6.55,39864830.0
2025-09-17,20250917150000,6.58,6.58,6.33,6.34,45256102.0
2025-09-18,20250918150000,6.31,6.4,6.18,6.25,36644000.0
2025-09-19,20250919150000,6.24,6.29,6.13,6.27,28911032.0
2025-09-22,20250922150000,6.2,6.25,6.07,6.11,25607763.0
2025-09-23,20250923150000,6.09,6.11,5.87,5.96,28206775.0
2025-09-24,20250924150000,5.92,6.02,5.9,6.01,19006706.0
2025-09-25,20250925150000,5.99,5.99,5.86,5.89,15678476.0
2025-09-26,20250926150000,5.87,5.95,5.8,5.86,18871900.0
2025-09-29,20250929150000,5.81,5.89,5.73,5.86,16511100.0
2025-09-30,20250930150000,5.86,5.91,5.86,5.9,13324600.0
2025-10-09,20251009150000,5.9,5.91,5.75,5.81,19447682.0
2025-10-10,20251010150000,5.79,5.98,5.79,5.89,20620800.0
2025-10-13,20251013150000,5.7,6.03,5.69,5.96,30570610.0
2025-10-14,20251014150000,5.96,6.0,5.91,5.94,24583770.0
2025-10-15,20251015150000,6.0,6.09,5.95,6.03,28008510.0
2025-10-16,20251016150000,5.98,6.06,5.87,5.89,21901600.0
2025-10-17,20251017150000,5.85,5.95,5.82,5.82,15558844.0
2025-10-20,20251020150000,5.82,5.88,5.79,5.86,14602700.0
2025-10-21,20251021150000,5.87,6.31,5.86,6.2,56052752.0
2025-10-22,20251022150000,6.1,6.19,6.04,6.1,37349344.0
2025-10-23,20251023150000,6.07,6.14,5.92,6.01,24332706.0
2025-10-24,20251024150000,6.02,6.05,5.92,5.93,17666500.0
2025-10-27,20251027150000,5.94,6.05,5.92,6.02,21380801.0
2025-10-28,20251028150000,5.97,6.62,5.95,6.32,81017401.0
2025-10-29,20251029150000,6.25,6.32,6.1,6.15,43760994.0
2025-10-30,20251030150000,6.15,6.18,6.02,6.02,30845400.0
2025-10-31,20251031150000,6.13,6.27,6.11,6.2,45633344.0
2025-11-03,20251103150000,6.16,6.23,6.11,6.18,31683251.0
2025-11-04,20251104150000,6.15,6.54,6.12,6.41,79205286.0
2025-11-05,20251105150000,6.35,7.05,6.26,7.05,102015692.0
2025-11-06,20251106150000,6.91,6.96,6.68,6.72,131240920.0
2025-11-07,20251107150000,6.69,7.01,6.69,6.83,101575570.0
2025-11-10,20251110150000,6.71,7.51,6.63,7.51,114459446.0
2025-11-11,20251111150000,8.26,8.26,8.26,8.26,10606720.0
2025-11-12,20251112150000,9.08,9.09,8.92,9.09,70570831.0
2025-11-13,20251113150000,9.66,10.0,9.11,10.0,211377330.0
2025-11-14,20251114150000,9.82,11.0,9.82,11.0,63149052.0
2025-11-17,20251117150000,11.36,12.1,11.0,11.7,221474161.0
2025-11-18,20251118150000,11.13,11.4,10.53,10.53,77958586.0
