date,time,open,high,low,close,volume
2025-08-14,20250814150000,11.37,11.38,11.08,11.15,12824126.0
2025-08-15,20250815150000,11.14,11.29,11.12,11.26,10164440.0
2025-08-18,20250818150000,11.26,11.66,11.24,11.44,21332940.0
2025-08-19,20250819150000,11.43,11.49,11.36,11.46,13120101.0
2025-08-20,20250820150000,11.36,11.79,11.31,11.69,29507660.0
2025-08-21,20250821150000,11.67,11.86,11.54,11.63,22542571.0
2025-08-22,20250822150000,11.57,11.73,11.55,11.73,18807105.0
2025-08-25,20250825150000,11.78,11.96,11.63,11.85,25983898.0
2025-08-26,20250826150000,11.8,11.92,11.72,11.88,19457148.0
2025-08-27,20250827150000,11.88,12.29,11.69,11.7,35047383.0
2025-08-28,20250828150000,11.71,12.36,11.67,12.23,51492934.0
2025-08-29,20250829150000,12.19,12.67,12.15,12.29,56078039.0
2025-09-01,20250901150000,12.3,12.4,12.08,12.37,32371196.0
2025-09-02,20250902150000,12.38,12.38,11.8,11.98,29251471.0
2025-09-03,20250903150000,12.05,12.06,11.51,11.54,19483800.0
2025-09-04,20250904150000,11.6,11.96,11.3,11.48,20635385.0
2025-09-05,20250905150000,11.49,11.8,11.4,11.79,14836946.0
2025-09-08,20250908150000,11.75,11.85,11.61,11.79,15251221.0
2025-09-09,20250909150000,11.78,11.84,11.48,11.52,13707604.0
2025-09-10,20250910150000,11.55,12.67,11.49,12.67,38933451.0
2025-09-11,20250911150000,13.4,13.94,13.12,13.94,105844242.0
2025-09-12,20250912150000,14.66,15.09,13.79,13.8,168974856.0
2025-09-15,20250915150000,13.79,14.38,13.23,14.3,116887804.0
2025-09-16,20250916150000,13.9,14.2,13.8,14.0,74508909.0
2025-09-17,20250917150000,14.03,14.35,13.55,13.68,61501470.0
2025-09-18,20250918150000,13.58,13.66,12.88,13.11,61892182.0
2025-09-19,20250919150000,13.01,13.43,13.0,13.18,37367562.0
2025-09-22,20250922150000,13.14,13.66,12.91,13.38,40035201.0
2025-09-23,20250923150000,13.23,13.62,12.74,13.0,38619820.0
2025-09-24,20250924150000,12.87,13.38,12.76,13.36,31928684.0
2025-09-25,20250925150000,13.32,13.33,12.99,13.09,27816213.0
2025-09-26,20250926150000,12.93,13.08,12.58,12.58,29939260.0
2025-09-29,20250929150000,12.58,12.71,12.34,12.65,21270101.0
2025-09-30,20250930150000,12.67,12.86,12.67,12.68,17651355.0
2025-10-09,20251009150000,12.69,13.06,12.69,13.01,26614492.0
2025-10-10,20251010150000,12.92,12.95,12.65,12.7,19141153.0
2025-10-13,20251013150000,12.1,12.6,12.06,12.57,18186726.0
2025-10-14,20251014150000,12.59,12.68,12.22,12.27,20319223.0
2025-10-15,20251015150000,12.45,12.64,12.3,12.59,19669064.0
2025-10-16,20251016150000,12.57,12.58,12.27,12.31,13367974.0
2025-10-17,20251017150000,12.33,12.43,11.95,11.96,18381306.0
2025-10-20,20251020150000,12.1,12.32,12.09,12.18,13180644.0
2025-10-21,20251021150000,12.13,12.38,12.11,12.33,15192274.0
2025-10-22,20251022150000,12.24,12.6,12.15,12.48,18912488.0
2025-10-23,20251023150000,12.38,12.57,12.19,12.55,14994774.0
2025-10-24,20251024150000,12.66,13.0,12.57,12.92,37829175.0
2025-10-27,20251027150000,12.98,13.09,12.73,12.79,24850698.0
2025-10-28,20251028150000,12.81,12.88,12.68,12.74,15917186.0
2025-10-29,20251029150000,12.81,12.93,12.75,12.89,18404656.0
2025-10-30,20251030150000,13.5,13.89,13.13,13.2,62205843.0
2025-10-31,20251031150000,13.35,13.38,12.88,13.08,33970854.0
2025-11-03,20251103150000,13.09,13.18,12.81,13.18,23015023.0
2025-11-04,20251104150000,13.11,13.11,12.78,12.84,18415167.0
2025-11-05,20251105150000,12.7,13.15,12.65,12.93,17121200.0
2025-11-06,20251106150000,12.91,12.99,12.78,12.93,15220920.0
