date,time,open,high,low,close,volume
2025-08-14,20250814150000,15.83,15.86,15.52,15.56,87492570.0
2025-08-15,20250815150000,15.52,16.18,15.5,16.16,155680825.0
2025-08-18,20250818150000,16.3,16.6,16.22,16.31,157541848.0
2025-08-19,20250819150000,16.37,16.45,15.96,15.97,125239882.0
2025-08-20,20250820150000,16.21,16.4,15.88,16.2,139107645.0
2025-08-21,20250821150000,16.13,16.47,16.09,16.2,102652532.0
2025-08-22,20250822150000,16.2,16.58,16.12,16.52,135135078.0
2025-08-25,20250825150000,16.52,16.98,16.49,16.77,186489890.0
2025-08-26,20250826150000,16.79,17.04,16.58,16.85,138440095.0
2025-08-27,20250827150000,16.86,17.34,16.55,16.55,152330048.0
2025-08-28,20250828150000,16.51,17.04,16.41,16.89,160517844.0
2025-08-29,20250829150000,16.93,17.3,16.79,17.17,177731547.0
2025-09-01,20250901150000,17.14,17.14,16.8,17.08,141622645.0
2025-09-02,20250902150000,17.08,17.47,16.62,16.74,167230605.0
2025-09-03,20250903150000,16.81,17.29,16.76,17.18,259791261.0
2025-09-04,20250904150000,17.17,18.1,17.11,17.4,338670513.0
2025-09-05,20250905150000,17.48,18.2,17.3,18.1,338285539.0
2025-09-08,20250908150000,18.39,18.45,17.85,17.99,217614487.0
2025-09-09,20250909150000,17.81,18.05,17.53,17.61,146856909.0
2025-09-10,20250910150000,17.5,17.58,17.0,17.2,153766867.0
2025-09-11,20250911150000,17.14,17.36,17.01,17.28,109961425.0
2025-09-12,20250912150000,17.29,17.36,16.98,17.12,109656683.0
2025-09-15,20250915150000,17.13,17.5,17.1,17.16,106744870.0
2025-09-16,20250916150000,17.29,17.5,16.85,17.05,119800928.0
2025-09-17,20250917150000,17.0,17.47,16.82,17.3,132376823.0
2025-09-18,20250918150000,17.31,17.4,16.64,16.82,153904661.0
2025-09-19,20250919150000,16.82,17.11,16.78,16.9,110138554.0
2025-09-22,20250922150000,16.9,16.91,16.43,16.6,106842351.0
2025-09-23,20250923150000,16.55,16.7,16.07,16.29,103434227.0
2025-09-24,20250924150000,16.28,17.4,16.18,17.4,180419126.0
2025-09-25,20250925150000,17.38,18.05,17.23,17.76,226022677.0
2025-09-26,20250926150000,17.65,17.83,17.48,17.5,96418760.0
2025-09-29,20250929150000,17.48,17.7,17.39,17.58,117091910.0
2025-09-30,20250930150000,17.59,18.05,17.46,18.0,169237697.0
2025-10-09,20251009150000,18.05,19.11,17.87,18.88,275340655.0
2025-10-10,20251010150000,18.97,19.22,18.26,18.4,188872474.0
2025-10-13,20251013150000,17.65,18.29,17.63,18.13,157447206.0
2025-10-14,20251014150000,18.4,19.94,18.4,19.28,556940097.0
2025-10-15,20251015150000,19.27,20.24,18.84,19.72,461251232.0
2025-10-16,20251016150000,19.65,20.35,19.51,20.25,356063887.0
2025-10-17,20251017150000,20.09,20.74,19.52,19.7,339417902.0
2025-10-20,20251020150000,19.65,19.67,18.92,19.06,218274742.0
2025-10-21,20251021150000,19.08,19.26,18.93,19.01,140583302.0
2025-10-22,20251022150000,19.17,19.39,18.72,18.77,137123602.0
2025-10-23,20251023150000,18.65,19.11,18.38,19.04,174756453.0
2025-10-24,20251024150000,19.05,19.48,18.69,18.84,142630836.0
2025-10-27,20251027150000,19.0,19.38,18.87,19.06,164710636.0
2025-10-28,20251028150000,19.19,19.22,18.76,18.9,116418558.0
2025-10-29,20251029150000,18.9,20.79,18.81,20.79,390006627.0
2025-10-30,20251030150000,21.01,22.14,21.0,21.51,492543812.0
2025-10-31,20251031150000,21.41,22.24,21.0,21.11,319061395.0
2025-11-03,20251103150000,21.37,21.88,21.2,21.76,289819163.0
2025-11-04,20251104150000,21.78,21.93,21.18,21.35,195737981.0
2025-11-05,20251105150000,21.01,22.52,20.73,21.85,330328825.0
2025-11-06,20251106150000,21.85,22.16,21.42,21.77,221645802.0
2025-11-07,20251107150000,21.64,23.3,21.64,22.43,422335016.0
2025-11-10,20251110150000,22.88,23.57,22.6,22.8,403103509.0
2025-11-11,20251111150000,22.8,23.09,22.41,22.44,280837054.0
2025-11-12,20251112150000,22.3,22.3,20.22,20.79,522345318.0
2025-11-13,20251113150000,20.8,21.64,20.69,21.3,321939600.0
2025-11-14,20251114150000,21.0,23.11,20.8,21.88,404831662.0
2025-11-17,20251117150000,22.0,22.1,21.26,21.69,231245721.0
2025-11-18,20251118150000,21.54,21.88,21.01,21.15,173462373.0
2025-11-19,20251119150000,21.15,21.44,20.64,21.2,196251424.0
2025-11-20,20251120150000,21.2,21.3,20.0,20.1,233883865.0
2025-11-21,20251121150000,19.7,19.9,18.81,18.84,287123974.0
2025-11-24,20251124150000,19.02,19.09,18.51,18.76,161506415.0
2025-11-25,20251125150000,18.91,19.23,18.8,18.98,137779698.0
2025-11-26,20251126150000,19.12,19.2,18.7,18.81,147489566.0
2025-11-27,20251127150000,18.76,19.07,18.52,18.58,157044053.0
2025-11-28,20251128150000,18.49,18.72,18.35,18.57,125989153.0
2025-12-01,20251201150000,18.7,18.85,18.5,18.75,127434712.0
2025-12-02,20251202150000,18.65,18.66,18.25,18.31,126276537.0
2025-12-03,20251203150000,18.3,18.34,17.98,18.02,112054210.0
2025-12-04,20251204150000,17.87,18.03,17.8,17.91,86869694.0
2025-12-05,20251205150000,17.92,18.07,17.81,18.02,102873797.0
2025-12-08,20251208150000,17.99,18.17,17.9,18.08,108315049.0
2025-12-09,20251209150000,18.06,18.26,17.9,18.2,150069026.0
2025-12-10,20251210150000,18.29,18.54,17.8,18.2,171883421.0
2025-12-11,20251211150000,18.16,18.26,17.86,17.88,100935567.0
2025-12-12,20251212150000,17.95,18.25,17.86,18.19,129753760.0
