date,time,open,high,low,close,volume
2025-08-14,20250814150000,3.38,3.38,3.29,3.3,81947508.0
2025-08-15,20250815150000,3.29,3.33,3.29,3.32,65088781.0
2025-08-18,20250818150000,3.33,3.35,3.31,3.32,84584273.0
2025-08-19,20250819150000,3.33,3.35,3.3,3.3,76020576.0
2025-08-20,20250820150000,3.3,3.35,3.29,3.35,96793460.0
2025-08-21,20250821150000,3.36,3.38,3.33,3.35,91077920.0
2025-08-22,20250822150000,3.34,3.37,3.31,3.37,87778348.0
2025-08-25,20250825150000,3.38,3.43,3.37,3.41,125974198.0
2025-08-26,20250826150000,3.41,3.42,3.37,3.41,91842546.0
2025-08-27,20250827150000,3.41,3.45,3.34,3.34,126933541.0
2025-08-28,20250828150000,3.33,3.37,3.25,3.35,103555485.0
2025-08-29,20250829150000,3.35,3.37,3.31,3.31,67577100.0
2025-09-01,20250901150000,3.32,3.35,3.29,3.33,70289509.0
2025-09-02,20250902150000,3.35,3.4,3.28,3.38,129131958.0
2025-09-03,20250903150000,3.38,3.4,3.27,3.28,93829759.0
2025-09-04,20250904150000,3.27,3.31,3.23,3.26,77582500.0
2025-09-05,20250905150000,3.26,3.34,3.23,3.34,80235305.0
2025-09-08,20250908150000,3.34,3.38,3.33,3.36,77449775.0
2025-09-09,20250909150000,3.35,3.37,3.32,3.34,59709474.0
2025-09-10,20250910150000,3.33,3.37,3.33,3.36,53404191.0
2025-09-11,20250911150000,3.36,3.4,3.32,3.4,95024127.0
2025-09-12,20250912150000,3.4,3.43,3.38,3.4,82589046.0
2025-09-15,20250915150000,3.41,3.44,3.36,3.39,72780172.0
2025-09-16,20250916150000,3.39,3.41,3.37,3.41,63342669.0
2025-09-17,20250917150000,3.4,3.4,3.37,3.4,56121181.0
2025-09-18,20250918150000,3.39,3.54,3.38,3.46,199077767.0
2025-09-19,20250919150000,3.46,3.48,3.37,3.4,101399054.0
2025-09-22,20250922150000,3.4,3.4,3.32,3.37,72056024.0
2025-09-23,20250923150000,3.37,3.41,3.26,3.35,84267723.0
2025-09-24,20250924150000,3.33,3.35,3.3,3.35,51255492.0
2025-09-25,20250925150000,3.35,3.41,3.32,3.34,71775947.0
2025-09-26,20250926150000,3.33,3.37,3.3,3.3,71335871.0
2025-09-29,20250929150000,3.29,3.33,3.25,3.32,59767060.0
2025-09-30,20250930150000,3.28,3.33,3.26,3.28,58848512.0
2025-10-09,20251009150000,3.31,3.53,3.31,3.52,240408674.0
2025-10-10,20251010150000,3.55,3.61,3.47,3.54,184038151.0
2025-10-13,20251013150000,3.45,3.59,3.44,3.56,169018129.0
2025-10-14,20251014150000,3.6,3.76,3.54,3.61,217224052.0
2025-10-15,20251015150000,3.57,3.69,3.55,3.6,137337407.0
2025-10-16,20251016150000,3.59,3.6,3.48,3.51,117024192.0
2025-10-17,20251017150000,3.49,3.51,3.36,3.37,108657020.0
2025-10-20,20251020150000,3.4,3.45,3.37,3.43,86550073.0
2025-10-21,20251021150000,3.44,3.77,3.43,3.65,291345247.0
2025-10-22,20251022150000,3.63,3.69,3.58,3.63,194227446.0
2025-10-23,20251023150000,3.59,3.7,3.51,3.67,199902732.0
2025-10-24,20251024150000,3.66,3.68,3.54,3.59,157966071.0
2025-10-27,20251027150000,3.6,3.72,3.57,3.7,225527311.0
2025-10-28,20251028150000,3.69,3.75,3.64,3.68,193254990.0
2025-10-29,20251029150000,3.66,3.74,3.65,3.66,150453869.0
2025-10-30,20251030150000,3.64,3.72,3.58,3.63,155643742.0
2025-10-31,20251031150000,3.63,3.65,3.53,3.54,130587284.0
2025-11-03,20251103150000,3.59,3.77,3.58,3.71,231383717.0
2025-11-04,20251104150000,3.67,3.74,3.66,3.69,127727000.0
2025-11-05,20251105150000,3.66,3.74,3.63,3.71,137964994.0
2025-11-06,20251106150000,3.71,3.83,3.71,3.77,182294503.0
2025-11-07,20251107150000,3.73,3.83,3.71,3.72,149938590.0
2025-11-10,20251110150000,3.73,3.75,3.67,3.69,97300338.0
2025-11-11,20251111150000,3.69,3.75,3.66,3.68,108589500.0
2025-11-12,20251112150000,3.69,3.69,3.55,3.58,143322594.0
2025-11-13,20251113150000,3.56,3.64,3.54,3.61,104755878.0
2025-11-14,20251114150000,3.64,3.74,3.59,3.59,190626278.0
2025-11-17,20251117150000,3.57,3.6,3.51,3.53,111967746.0
2025-11-18,20251118150000,3.51,3.53,3.4,3.42,112897942.0
2025-11-19,20251119150000,3.41,3.44,3.37,3.4,71676948.0
2025-11-20,20251120150000,3.42,3.44,3.35,3.36,60642869.0
2025-11-21,20251121150000,3.33,3.35,3.26,3.27,102694160.0
2025-11-24,20251124150000,3.28,3.31,3.25,3.3,58826632.0
2025-11-25,20251125150000,3.31,3.32,3.28,3.29,63812520.0
2025-11-26,20251126150000,3.29,3.3,3.26,3.27,47277092.0
2025-11-27,20251127150000,3.27,3.27,3.22,3.23,56746780.0
2025-11-28,20251128150000,3.22,3.26,3.21,3.25,46990061.0
2025-12-01,20251201150000,3.25,3.52,3.24,3.45,211636520.0
2025-12-02,20251202150000,3.43,3.55,3.42,3.48,138947607.0
2025-12-03,20251203150000,3.47,3.83,3.45,3.83,447115726.0
2025-12-04,20251204150000,4.08,4.21,4.08,4.21,290822024.0
2025-12-05,20251205150000,4.35,4.63,4.31,4.63,543312313.0
2025-12-08,20251208150000,4.79,5.07,4.56,4.92,912462226.0
2025-12-09,20251209150000,4.88,4.91,4.45,4.63,596689381.0
2025-12-10,20251210150000,4.77,4.96,4.66,4.74,558097723.0
2025-12-11,20251211150000,4.94,5.21,4.67,4.71,689869269.0
