date,time,open,high,low,close,volume
2025-08-14,20250814150000,4.65,4.97,4.63,4.76,118284509.0
2025-08-15,20250815150000,4.72,5.24,4.69,5.24,136091897.0
2025-08-18,20250818150000,5.71,5.76,5.52,5.76,75927964.0
2025-08-19,20250819150000,6.03,6.3,5.71,6.12,230619248.0
2025-08-20,20250820150000,6.0,6.1,5.68,5.83,143626806.0
2025-08-21,20250821150000,5.85,6.41,5.85,6.41,212390030.0
2025-08-22,20250822150000,6.21,6.48,6.1,6.1,163731274.0
2025-08-25,20250825150000,6.11,6.71,5.98,6.33,197857602.0
2025-08-26,20250826150000,6.33,6.56,6.15,6.22,136120883.0
2025-08-27,20250827150000,6.25,6.45,5.95,5.95,130502841.0
2025-08-28,20250828150000,5.88,6.33,5.88,6.3,138140040.0
2025-08-29,20250829150000,6.42,6.45,5.88,5.96,123829235.0
2025-09-01,20250901150000,5.83,6.02,5.76,5.8,91922502.0
2025-09-02,20250902150000,5.75,5.79,5.46,5.53,70222809.0
2025-09-03,20250903150000,5.52,5.53,5.34,5.36,39490481.0
2025-09-04,20250904150000,5.38,5.43,5.11,5.22,47325472.0
2025-09-05,20250905150000,5.22,5.29,5.14,5.27,37791892.0
2025-09-08,20250908150000,5.27,5.35,5.22,5.29,43752960.0
2025-09-09,20250909150000,5.29,5.31,5.18,5.24,41414870.0
2025-09-10,20250910150000,5.24,5.35,5.22,5.33,49341163.0
2025-09-11,20250911150000,5.33,5.61,5.22,5.56,79139985.0
2025-09-12,20250912150000,5.5,5.52,5.38,5.38,58517925.0
2025-09-15,20250915150000,5.38,5.41,5.26,5.29,35669225.0
2025-09-16,20250916150000,5.33,5.37,5.25,5.37,27194460.0
2025-09-17,20250917150000,5.37,5.39,5.27,5.35,25345254.0
2025-09-18,20250918150000,5.33,5.48,5.21,5.28,51591770.0
2025-09-19,20250919150000,5.28,5.36,5.22,5.27,25646730.0
2025-09-22,20250922150000,5.27,5.38,5.21,5.38,34158526.0
2025-09-23,20250923150000,5.35,5.38,5.02,5.22,46949449.0
2025-09-24,20250924150000,5.24,5.31,5.15,5.3,24126282.0
2025-09-25,20250925150000,5.29,5.29,5.14,5.16,26397488.0
2025-09-26,20250926150000,5.14,5.25,5.11,5.14,24969834.0
2025-09-29,20250929150000,4.91,4.95,4.69,4.92,55262715.0
2025-09-30,20250930150000,4.93,5.06,4.93,5.01,31896956.0
2025-10-09,20251009150000,5.05,5.08,4.95,5.04,26665435.0
2025-10-10,20251010150000,5.04,5.15,4.98,5.09,24027339.0
2025-10-13,20251013150000,4.95,5.09,4.78,5.08,26241631.0
2025-10-14,20251014150000,5.09,5.18,4.99,5.0,26712478.0
2025-10-15,20251015150000,5.0,5.06,4.96,5.02,20665012.0
2025-10-16,20251016150000,5.0,5.03,4.84,4.87,30109940.0
2025-10-17,20251017150000,4.86,4.92,4.72,4.73,22106574.0
2025-10-20,20251020150000,4.77,4.84,4.77,4.81,18772990.0
2025-10-21,20251021150000,4.8,4.88,4.77,4.87,19507903.0
2025-10-22,20251022150000,4.89,5.01,4.84,4.93,28442090.0
2025-10-23,20251023150000,4.92,4.93,4.76,4.85,22191230.0
2025-10-24,20251024150000,4.87,5.09,4.86,4.87,28066713.0
2025-10-27,20251027150000,4.9,4.97,4.88,4.9,21947580.0
2025-10-28,20251028150000,4.86,4.98,4.82,4.93,26435486.0
2025-10-29,20251029150000,4.93,4.98,4.86,4.93,21886723.0
2025-10-30,20251030150000,4.92,4.92,4.76,4.77,33652795.0
2025-10-31,20251031150000,4.79,4.83,4.74,4.76,23874085.0
2025-11-03,20251103150000,4.75,4.78,4.69,4.78,24118749.0
2025-11-04,20251104150000,4.77,4.79,4.67,4.72,26630480.0
2025-11-05,20251105150000,4.67,4.82,4.65,4.8,29839601.0
2025-11-06,20251106150000,4.8,4.86,4.75,4.82,27165915.0
2025-11-07,20251107150000,4.84,5.15,4.81,5.01,60585828.0
2025-11-10,20251110150000,5.01,5.04,4.9,4.94,41297275.0
2025-11-11,20251111150000,4.95,5.02,4.92,4.97,30716440.0
2025-11-12,20251112150000,4.97,4.98,4.86,4.88,23177897.0
2025-11-13,20251113150000,4.89,4.98,4.87,4.96,27024998.0
2025-11-14,20251114150000,4.97,5.07,4.92,4.97,36185155.0
2025-11-17,20251117150000,4.99,5.0,4.9,4.95,20780940.0
2025-11-18,20251118150000,4.94,4.94,4.78,4.82,29693228.0
2025-11-19,20251119150000,4.81,4.83,4.69,4.7,21793340.0
2025-11-20,20251120150000,4.72,4.75,4.65,4.67,17087007.0
