date,time,open,high,low,close,volume
2025-08-14,20250814150000,46.72,47.4,45.62,46.62,17875315.0
2025-08-15,20250815150000,46.48,53.1,46.37,51.9,26358023.0
2025-08-18,20250818150000,54.5,56.5,52.77,54.3,29053923.0
2025-08-19,20250819150000,54.67,56.23,53.36,54.58,21015189.0
2025-08-20,20250820150000,53.18,55.18,51.51,54.5,14513695.0
2025-08-21,20250821150000,55.0,55.59,51.01,51.4,18199417.0
2025-08-22,20250822150000,51.55,53.2,51.2,52.12,12730793.0
2025-08-25,20250825150000,54.16,58.08,54.16,56.21,24291472.0
2025-08-26,20250826150000,56.97,59.56,56.1,57.81,16337510.0
2025-08-27,20250827150000,57.33,60.6,55.54,55.54,19409363.0
2025-08-28,20250828150000,55.5,59.17,55.5,58.85,17203389.0
2025-08-29,20250829150000,60.0,62.35,59.03,60.04,17236777.0
2025-09-01,20250901150000,60.47,60.99,56.08,57.9,21519897.0
2025-09-02,20250902150000,57.3,58.97,53.58,53.92,24202566.0
2025-09-03,20250903150000,53.95,55.88,53.93,54.7,13596712.0
2025-09-04,20250904150000,55.7,56.32,50.41,52.1,20983603.0
2025-09-05,20250905150000,52.0,55.66,51.41,55.56,23058945.0
2025-09-08,20250908150000,55.39,55.5,50.2,50.42,24697605.0
2025-09-09,20250909150000,50.68,52.5,50.23,50.92,15636577.0
2025-09-10,20250910150000,51.0,52.86,51.0,51.85,12382159.0
2025-09-11,20250911150000,52.0,55.22,51.7,54.12,15178737.0
2025-09-12,20250912150000,54.2,56.17,53.53,53.55,16090576.0
2025-09-15,20250915150000,53.0,53.75,51.8,52.48,13520989.0
2025-09-16,20250916150000,52.19,54.03,51.7,53.22,12967738.0
2025-09-17,20250917150000,53.35,56.02,52.72,55.69,18522957.0
2025-09-18,20250918150000,55.06,56.77,53.8,54.91,17249756.0
2025-09-19,20250919150000,54.42,57.62,54.3,56.72,15485974.0
2025-09-22,20250922150000,56.76,58.29,55.8,57.88,12270116.0
2025-09-23,20250923150000,58.88,60.86,54.8,56.44,15404317.0
2025-09-24,20250924150000,55.66,57.17,54.4,56.56,13529571.0
2025-09-25,20250925150000,56.73,57.88,55.5,56.18,8366792.0
2025-09-26,20250926150000,56.0,56.3,52.5,52.92,11127865.0
2025-09-29,20250929150000,53.69,54.76,53.15,53.58,11464411.0
2025-09-30,20250930150000,53.73,54.34,52.88,52.9,8699515.0
2025-10-09,20251009150000,53.5,56.58,53.5,54.93,16115773.0
2025-10-10,20251010150000,54.96,63.7,54.96,58.77,33960340.0
2025-10-13,20251013150000,54.98,58.79,54.98,57.35,24217201.0
2025-10-14,20251014150000,60.0,64.52,57.53,57.84,32561397.0
2025-10-15,20251015150000,57.35,69.41,57.35,69.41,38682109.0
2025-10-16,20251016150000,74.73,74.88,66.88,71.65,48476731.0
2025-10-17,20251017150000,71.83,72.29,62.3,62.82,36376868.0
2025-10-20,20251020150000,64.8,67.2,63.21,64.14,23998952.0
2025-10-21,20251021150000,63.78,68.46,63.0,65.62,27231805.0
2025-10-22,20251022150000,64.5,65.4,61.8,62.3,18467715.0
2025-10-23,20251023150000,61.75,62.0,58.95,59.67,18823850.0
2025-10-24,20251024150000,60.33,66.26,60.19,64.63,24883924.0
2025-10-27,20251027150000,66.87,68.51,65.71,67.5,25690849.0
2025-10-28,20251028150000,67.5,69.3,66.55,67.99,22805708.0
2025-10-29,20251029150000,69.82,78.4,68.51,75.6,32385752.0
2025-10-30,20251030150000,75.6,78.33,73.11,73.26,30420934.0
2025-10-31,20251031150000,73.26,74.3,68.15,68.48,29739059.0
2025-11-03,20251103150000,69.66,76.27,68.89,73.3,31897083.0
2025-11-04,20251104150000,75.7,79.88,72.44,73.9,31898448.0
2025-11-05,20251105150000,68.71,88.68,68.7,87.29,54308688.0
2025-11-06,20251106150000,85.0,91.8,82.78,88.57,45847589.0
2025-11-07,20251107150000,87.0,96.5,87.0,92.18,37531325.0
2025-11-10,20251110150000,92.51,95.26,86.18,91.01,38582882.0
2025-11-11,20251111150000,91.41,91.99,82.85,83.8,37834349.0
2025-11-12,20251112150000,82.01,82.78,77.69,79.57,33831494.0
2025-11-13,20251113150000,79.0,81.54,78.0,79.31,26201063.0
2025-11-14,20251114150000,77.2,82.35,77.15,77.52,29021233.0
2025-11-17,20251117150000,77.5,80.57,76.13,80.0,20360500.0
2025-11-18,20251118150000,79.01,79.01,73.1,74.67,24898761.0
2025-11-19,20251119150000,74.87,76.22,74.37,74.85,12776208.0
2025-11-20,20251120150000,78.78,79.43,74.85,76.88,18294514.0
2025-11-21,20251121150000,73.68,77.35,72.44,72.5,23313471.0
2025-11-24,20251124150000,73.2,73.77,70.31,72.0,15887076.0
2025-11-25,20251125150000,73.82,79.15,73.64,76.78,20836136.0
2025-11-26,20251126150000,75.9,80.38,74.26,78.08,21388359.0
2025-11-27,20251127150000,78.1,81.0,74.51,75.2,18723090.0
2025-11-28,20251128150000,74.01,83.62,73.47,81.86,26067698.0
2025-12-01,20251201150000,82.0,83.19,78.8,79.83,18858210.0
2025-12-02,20251202150000,79.82,81.8,78.08,79.09,11818144.0
2025-12-03,20251203150000,78.25,80.0,77.03,77.48,9852235.0
2025-12-04,20251204150000,76.29,78.66,74.42,78.25,11434674.0
2025-12-05,20251205150000,78.5,82.5,77.61,81.03,17535231.0
2025-12-08,20251208150000,82.2,84.77,80.65,83.35,15182523.0
2025-12-09,20251209150000,82.15,84.0,80.44,82.35,14050778.0
2025-12-10,20251210150000,82.2,84.87,79.3,83.98,17597246.0
2025-12-11,20251211150000,85.3,86.94,79.01,79.01,18097605.0
2025-12-12,20251212150000,79.98,84.99,79.52,83.3,19384720.0
