date,time,open,high,low,close,volume
2025-08-14,20250814150000,13.01,13.04,12.69,12.71,11647900.0
2025-08-15,20250815150000,12.72,12.84,12.66,12.75,10872517.0
2025-08-18,20250818150000,12.59,12.7,12.11,12.58,22236100.0
2025-08-19,20250819150000,12.57,12.67,12.36,12.61,14058900.0
2025-08-20,20250820150000,12.55,12.75,12.43,12.72,13122317.0
2025-08-21,20250821150000,12.77,12.99,12.52,12.72,20583017.0
2025-08-22,20250822150000,12.67,12.7,12.38,12.46,16585400.0
2025-08-25,20250825150000,12.5,12.57,12.26,12.39,17074300.0
2025-08-26,20250826150000,12.33,12.46,12.26,12.35,10471262.0
2025-08-27,20250827150000,12.31,12.38,11.95,11.97,13087800.0
2025-08-28,20250828150000,11.91,12.13,11.55,11.92,13703399.0
2025-08-29,20250829150000,11.91,12.12,11.8,12.07,11972600.0
2025-09-01,20250901150000,12.1,12.22,12.03,12.09,8693100.0
2025-09-02,20250902150000,12.06,12.09,11.69,11.94,10809400.0
2025-09-03,20250903150000,11.99,12.1,11.72,11.74,7906600.0
2025-09-04,20250904150000,11.73,11.9,11.51,11.7,8112600.0
2025-09-05,20250905150000,11.69,11.94,11.68,11.93,7121345.0
2025-09-08,20250908150000,11.87,12.19,11.87,12.08,8573879.0
2025-09-09,20250909150000,12.1,12.22,11.9,12.05,8679600.0
2025-09-10,20250910150000,12.07,12.12,11.92,11.92,5791300.0
2025-09-11,20250911150000,12.0,12.75,11.9,12.64,28293284.0
2025-09-12,20250912150000,12.6,12.87,12.46,12.68,19704571.0
2025-09-15,20250915150000,12.68,12.68,12.45,12.5,11358500.0
2025-09-16,20250916150000,12.43,12.72,12.38,12.68,11309162.0
2025-09-17,20250917150000,12.66,12.82,12.55,12.78,11853200.0
2025-09-18,20250918150000,12.78,13.17,12.59,12.73,18044217.0
2025-09-19,20250919150000,12.71,13.05,12.71,13.02,18212900.0
2025-09-22,20250922150000,13.19,13.41,13.01,13.41,26379550.0
2025-09-23,20250923150000,13.35,13.35,12.9,13.32,19756500.0
2025-09-24,20250924150000,14.65,14.65,14.65,14.65,17857764.0
2025-09-25,20250925150000,14.67,14.67,13.41,13.65,84663107.0
2025-09-26,20250926150000,13.08,13.11,12.47,12.47,48036820.0
2025-09-29,20250929150000,12.74,12.89,12.33,12.37,25634600.0
2025-09-30,20250930150000,12.47,12.51,12.25,12.26,18986800.0
2025-10-09,20251009150000,12.35,12.87,12.3,12.82,28303233.0
2025-10-10,20251010150000,12.78,13.3,12.69,13.08,30928500.0
2025-10-13,20251013150000,12.5,12.98,12.29,12.95,18899889.0
2025-10-14,20251014150000,13.03,13.08,12.63,12.67,17038388.0
2025-10-15,20251015150000,12.66,13.09,12.54,13.08,17036345.0
2025-10-16,20251016150000,13.12,13.18,12.81,12.87,14014200.0
2025-10-17,20251017150000,12.85,12.86,12.2,12.22,17587800.0
2025-10-20,20251020150000,12.42,12.6,12.28,12.41,9720900.0
2025-10-21,20251021150000,12.41,12.59,12.36,12.55,9072400.0
2025-10-22,20251022150000,12.37,12.45,12.04,12.09,14365100.0
2025-10-23,20251023150000,12.1,12.31,11.86,12.28,10278700.0
2025-10-24,20251024150000,12.27,12.46,11.98,12.05,13607900.0
2025-10-27,20251027150000,12.13,12.2,12.02,12.14,8759400.0
2025-10-28,20251028150000,12.08,12.19,12.03,12.05,8457400.0
2025-10-29,20251029150000,12.1,12.99,12.07,12.52,27246408.0
2025-10-30,20251030150000,12.5,12.5,12.11,12.11,17295200.0
2025-10-31,20251031150000,12.08,12.15,12.05,12.07,10956300.0
2025-11-03,20251103150000,12.18,12.44,12.13,12.36,13761300.0
2025-11-04,20251104150000,12.3,12.58,12.24,12.37,13340100.0
2025-11-05,20251105150000,12.2,12.75,12.11,12.7,21591000.0
2025-11-06,20251106150000,12.7,12.87,12.65,12.72,17730600.0
2025-11-07,20251107150000,12.61,12.84,12.57,12.74,12073600.0
2025-11-10,20251110150000,12.74,12.91,12.62,12.87,14283100.0
2025-11-11,20251111150000,12.89,12.9,12.64,12.68,11834400.0
2025-11-12,20251112150000,12.64,12.69,12.36,12.5,10109700.0
2025-11-13,20251113150000,12.51,12.56,12.37,12.44,7750000.0
2025-11-14,20251114150000,12.37,12.46,12.22,12.26,8622300.0
2025-11-17,20251117150000,12.27,12.34,12.17,12.29,6727800.0
2025-11-18,20251118150000,12.27,12.27,11.97,12.04,9127300.0
2025-11-19,20251119150000,12.02,12.08,11.75,11.88,7871600.0
2025-11-20,20251120150000,11.9,11.97,11.77,11.79,4755300.0
2025-11-21,20251121150000,11.72,11.78,11.18,11.27,10016700.0
2025-11-24,20251124150000,11.3,11.55,11.27,11.48,5860592.0
2025-11-25,20251125150000,11.58,11.76,11.45,11.5,7709092.0
2025-11-26,20251126150000,11.47,11.51,11.12,11.16,11991500.0
2025-11-27,20251127150000,11.12,11.35,11.11,11.27,6855400.0
2025-11-28,20251128150000,11.27,11.54,11.25,11.53,6386600.0
2025-12-01,20251201150000,11.54,12.0,11.54,11.69,8885301.0
2025-12-02,20251202150000,11.59,11.85,11.49,11.72,7410200.0
2025-12-03,20251203150000,11.75,11.92,11.71,11.82,8019050.0
2025-12-04,20251204150000,11.89,12.15,11.82,12.12,12456100.0
2025-12-05,20251205150000,12.13,12.75,12.0,12.68,26189700.0
2025-12-08,20251208150000,12.69,12.9,12.5,12.85,26824250.0
2025-12-09,20251209150000,12.79,13.08,12.71,12.81,19699900.0
2025-12-10,20251210150000,14.09,14.09,13.09,13.5,99158527.0
2025-12-11,20251211150000,14.85,14.85,14.85,14.85,16003100.0
2025-12-12,20251212150000,16.34,16.34,16.34,16.34,5282900.0
