date,time,open,high,low,close,volume
2025-08-14,20250814150000,332.36,349.5,332.36,341.66,12831505.0
2025-08-15,20250815150000,341.0,343.69,334.89,342.03,7440956.0
2025-08-18,20250818150000,343.67,349.5,339.39,347.22,8737856.0
2025-08-19,20250819150000,346.9,346.9,339.7,339.96,6780983.0
2025-08-20,20250820150000,337.72,351.86,335.16,350.49,9368012.0
2025-08-21,20250821150000,350.49,368.0,348.5,360.98,15887225.0
2025-08-22,20250822150000,360.8,389.03,360.62,383.4,18899413.0
2025-08-25,20250825150000,394.28,402.57,374.79,380.08,19566268.0
2025-08-26,20250826150000,378.0,388.48,373.12,383.0,11687582.0
2025-08-27,20250827150000,380.0,389.11,373.12,373.5,14567860.0
2025-08-28,20250828150000,372.5,398.22,372.01,396.93,17921984.0
2025-08-29,20250829150000,380.0,381.59,362.0,372.5,24198561.0
2025-09-01,20250901150000,377.0,380.24,367.1,377.84,15627095.0
2025-09-02,20250902150000,377.0,387.86,372.0,378.51,16775193.0
2025-09-03,20250903150000,378.51,378.96,369.46,373.43,9569487.0
2025-09-04,20250904150000,371.0,371.7,345.0,350.95,14436389.0
2025-09-05,20250905150000,350.95,358.8,346.0,357.28,9806120.0
2025-09-08,20250908150000,355.0,371.0,353.02,370.4,11025264.0
2025-09-09,20250909150000,368.8,371.8,358.08,363.69,8882510.0
2025-09-10,20250910150000,363.79,370.26,363.79,368.2,7834225.0
2025-09-11,20250911150000,366.1,381.6,364.8,377.44,11626855.0
2025-09-12,20250912150000,377.45,383.5,375.28,377.04,7686319.0
2025-09-15,20250915150000,382.41,383.04,376.01,380.0,7117179.0
2025-09-16,20250916150000,378.08,382.96,376.38,377.86,7600639.0
2025-09-17,20250917150000,374.0,395.0,369.55,389.39,12825964.0
2025-09-18,20250918150000,391.78,427.9,389.91,407.7,18101808.0
2025-09-19,20250919150000,408.2,413.02,400.99,402.0,10237715.0
2025-09-22,20250922150000,401.54,418.8,398.25,412.7,10331046.0
2025-09-23,20250923150000,417.67,422.05,405.0,418.8,9939363.0
2025-09-24,20250924150000,422.0,460.68,419.79,460.68,18705396.0
2025-09-25,20250925150000,469.33,469.33,442.02,453.65,17473446.0
2025-09-26,20250926150000,451.0,462.0,448.4,452.8,10947510.0
2025-09-29,20250929150000,450.8,459.0,439.05,459.0,12663183.0
2025-09-30,20250930150000,457.96,463.39,450.0,452.36,12145404.0
2025-10-09,20251009150000,457.0,473.66,452.81,458.05,17038770.0
2025-10-10,20251010150000,449.97,454.44,432.0,437.9,14386195.0
2025-10-13,20251013150000,424.0,442.72,422.01,435.8,10047385.0
2025-10-14,20251014150000,441.15,442.72,398.0,402.0,16122071.0
2025-10-15,20251015150000,405.5,413.55,395.54,412.38,10855984.0
2025-10-16,20251016150000,412.0,418.78,407.34,410.69,6713530.0
2025-10-17,20251017150000,408.0,409.8,398.08,399.43,7235780.0
2025-10-20,20251020150000,406.0,411.0,398.23,400.16,7746022.0
2025-10-21,20251021150000,402.72,410.93,401.2,408.49,7539897.0
2025-10-22,20251022150000,405.0,407.68,400.0,404.39,5761278.0
2025-10-23,20251023150000,401.28,404.88,396.52,403.58,4754218.0
2025-10-24,20251024150000,406.02,417.6,406.0,414.8,8956096.0
2025-10-27,20251027150000,422.3,433.47,418.63,429.1,11234509.0
2025-10-28,20251028150000,427.0,432.97,423.52,426.0,7291079.0
2025-10-29,20251029150000,425.98,427.25,418.05,423.62,6498635.0
2025-10-30,20251030150000,423.0,423.62,415.0,415.5,7301277.0
2025-10-31,20251031150000,415.6,420.23,404.0,407.05,7511396.0
2025-11-03,20251103150000,406.2,407.0,390.03,401.0,8342846.0
2025-11-04,20251104150000,401.0,410.46,397.8,405.43,7790481.0
