date,time,open,high,low,close,volume
2025-08-14,20250814150000,10.78,10.82,10.42,10.51,51100489.0
2025-08-15,20250815150000,10.55,11.13,10.43,10.9,78689521.0
2025-08-18,20250818150000,11.49,11.66,11.13,11.32,90085930.0
2025-08-19,20250819150000,11.32,12.0,11.15,11.8,89304124.0
2025-08-20,20250820150000,11.78,11.8,11.38,11.48,46919335.0
2025-08-21,20250821150000,11.55,11.6,11.1,11.15,41627518.0
2025-08-22,20250822150000,11.12,11.42,10.93,11.32,48549485.0
2025-08-25,20250825150000,11.75,12.45,11.75,12.45,44677682.0
2025-08-26,20250826150000,11.87,12.7,11.84,12.33,97741328.0
2025-08-27,20250827150000,12.25,12.44,11.55,11.56,67401060.0
2025-08-28,20250828150000,11.55,11.9,11.37,11.81,50406795.0
2025-08-29,20250829150000,11.8,11.82,11.4,11.52,39962207.0
2025-09-01,20250901150000,11.58,11.91,11.37,11.43,52524939.0
2025-09-02,20250902150000,11.43,11.51,10.78,10.85,62188675.0
2025-09-03,20250903150000,10.86,11.33,10.73,11.15,48600789.0
2025-09-04,20250904150000,11.12,11.35,10.54,10.71,33097875.0
2025-09-05,20250905150000,10.71,11.19,10.67,11.18,36243750.0
2025-09-08,20250908150000,11.54,11.73,11.26,11.45,38504697.0
2025-09-09,20250909150000,11.5,11.5,11.0,11.07,25389873.0
2025-09-10,20250910150000,11.11,11.21,10.9,10.98,19516275.0
2025-09-11,20250911150000,10.95,12.08,10.86,12.08,56175499.0
2025-09-12,20250912150000,12.03,12.19,11.55,11.6,55497299.0
2025-09-15,20250915150000,11.64,11.91,11.45,11.59,41489263.0
2025-09-16,20250916150000,11.6,11.9,11.43,11.79,44722145.0
2025-09-17,20250917150000,11.77,11.96,11.58,11.92,39381854.0
2025-09-18,20250918150000,11.94,12.06,11.51,11.71,42569954.0
2025-09-19,20250919150000,11.65,11.8,11.44,11.55,25128304.0
2025-09-22,20250922150000,11.55,11.75,11.46,11.75,25290864.0
2025-09-23,20250923150000,12.01,12.72,11.82,12.14,70084389.0
2025-09-24,20250924150000,12.06,12.07,11.7,12.0,40317222.0
2025-09-25,20250925150000,11.96,12.23,11.9,11.93,34537809.0
2025-09-26,20250926150000,11.86,11.95,11.57,11.57,26429900.0
2025-09-29,20250929150000,11.6,11.69,11.43,11.56,23330830.0
2025-09-30,20250930150000,11.57,11.63,11.33,11.35,29401478.0
2025-10-09,20251009150000,11.37,11.56,11.33,11.41,28946730.0
2025-10-10,20251010150000,11.39,12.09,11.26,11.73,50881372.0
2025-10-13,20251013150000,10.96,11.4,10.95,11.23,39071744.0
2025-10-14,20251014150000,11.36,11.88,11.18,11.25,41973286.0
2025-10-15,20251015150000,11.31,12.38,11.18,12.38,86610029.0
2025-10-16,20251016150000,12.98,13.09,12.15,12.25,105526925.0
2025-10-17,20251017150000,12.26,12.31,11.03,11.03,81304005.0
2025-10-20,20251020150000,10.97,11.5,10.55,11.18,70639693.0
2025-10-21,20251021150000,11.15,11.91,11.1,11.55,65026677.0
2025-10-22,20251022150000,11.5,11.6,11.26,11.39,36290839.0
2025-10-23,20251023150000,11.29,11.34,10.83,11.04,34528713.0
2025-10-24,20251024150000,11.11,11.57,11.1,11.49,37205544.0
2025-10-27,20251027150000,11.26,11.33,10.43,10.71,111088640.0
2025-10-28,20251028150000,10.65,10.81,10.53,10.65,35871340.0
2025-10-29,20251029150000,10.6,10.97,10.55,10.91,50083026.0
2025-10-30,20251030150000,10.8,11.24,10.66,10.68,41787477.0
2025-10-31,20251031150000,10.66,10.94,10.57,10.6,38021273.0
2025-11-03,20251103150000,10.63,10.85,10.38,10.84,43675573.0
2025-11-04,20251104150000,10.87,11.18,10.76,10.9,36699320.0
2025-11-05,20251105150000,10.75,11.5,10.59,11.37,61661907.0
2025-11-06,20251106150000,11.25,11.86,11.21,11.78,62141744.0
2025-11-07,20251107150000,11.66,12.96,11.61,12.96,144682645.0
2025-11-10,20251110150000,12.8,12.82,11.66,11.66,161623701.0
