date,time,open,high,low,close,volume
2025-08-14,20250814150000,56.89,61.3,55.67,58.23,104024168.0
2025-08-15,20250815150000,58.02,64.05,57.28,63.82,109104324.0
2025-08-18,20250818150000,64.16,70.2,63.36,70.2,111673270.0
2025-08-19,20250819150000,69.0,69.99,64.99,67.46,124664023.0
2025-08-20,20250820150000,66.0,69.98,64.8,69.3,95560340.0
2025-08-21,20250821150000,71.16,71.6,62.99,64.6,112955753.0
2025-08-22,20250822150000,63.5,67.0,63.5,65.66,108194159.0
2025-08-25,20250825150000,65.37,69.85,64.5,68.1,109099266.0
2025-08-26,20250826150000,67.3,72.61,67.01,68.04,106860752.0
2025-08-27,20250827150000,68.7,74.84,67.97,71.85,126159255.0
2025-08-28,20250828150000,69.6,79.04,68.69,79.04,125146954.0
2025-08-29,20250829150000,82.0,85.0,79.6,80.0,121304569.0
2025-09-01,20250901150000,81.62,82.48,77.18,80.16,93563505.0
2025-09-02,20250902150000,78.63,79.89,72.14,72.15,99376246.0
2025-09-03,20250903150000,73.02,75.0,71.19,73.75,85921462.0
2025-09-04,20250904150000,73.75,74.11,66.38,67.68,103248646.0
2025-09-05,20250905150000,68.68,71.52,66.9,71.07,75789847.0
2025-09-08,20250908150000,69.08,70.55,68.0,69.13,62853754.0
2025-09-09,20250909150000,68.9,70.3,66.6,67.15,49912954.0
2025-09-10,20250910150000,68.31,73.87,67.5,72.33,104844176.0
2025-09-11,20250911150000,72.4,76.88,70.99,75.81,105381004.0
2025-09-12,20250912150000,74.15,79.4,73.1,75.31,88895632.0
2025-09-15,20250915150000,73.92,76.0,72.21,74.47,61737075.0
2025-09-16,20250916150000,73.5,76.8,73.38,75.52,63297953.0
2025-09-17,20250917150000,75.16,78.35,73.7,75.42,59424662.0
2025-09-18,20250918150000,74.76,81.2,74.76,78.08,96559448.0
2025-09-19,20250919150000,78.0,79.7,74.2,74.44,70327971.0
2025-09-22,20250922150000,74.12,81.88,74.12,81.88,60425436.0
2025-09-23,20250923150000,87.61,89.99,80.38,82.7,117342826.0
2025-09-24,20250924150000,80.13,80.99,77.5,79.01,78769955.0
2025-09-25,20250925150000,79.23,86.91,79.23,85.28,102221564.0
2025-09-26,20250926150000,86.05,86.9,79.68,79.8,77713642.0
2025-09-29,20250929150000,79.82,84.5,79.34,83.78,61188091.0
2025-09-30,20250930150000,84.7,85.25,79.85,79.98,68746273.0
2025-10-09,20251009150000,81.0,82.85,77.6,77.75,64204063.0
2025-10-10,20251010150000,77.37,79.98,75.73,76.53,51946443.0
2025-10-13,20251013150000,70.0,79.1,70.0,78.6,59448028.0
