date,time,open,high,low,close,volume
2025-08-14,20250814150000,16.91,17.11,16.67,16.72,16745552.0
2025-08-15,20250815150000,16.72,16.96,16.72,16.91,9949240.0
2025-08-18,20250818150000,16.95,17.11,16.88,17.05,12629800.0
2025-08-19,20250819150000,16.99,17.5,16.76,17.1,12082948.0
2025-08-20,20250820150000,16.99,17.0,16.7,16.91,8678864.0
2025-08-21,20250821150000,16.92,17.05,16.6,16.65,8671000.0
2025-08-22,20250822150000,16.56,16.69,16.27,16.48,7806080.0
2025-08-25,20250825150000,16.48,16.66,16.29,16.39,7961436.0
2025-08-26,20250826150000,16.34,16.5,16.3,16.35,6133620.0
2025-08-27,20250827150000,16.32,16.38,15.68,15.68,8398285.0
2025-08-28,20250828150000,15.54,15.87,15.02,15.59,8405278.0
2025-08-29,20250829150000,15.55,15.6,15.27,15.32,4893830.0
2025-09-01,20250901150000,15.23,15.56,15.19,15.25,5396443.0
2025-09-02,20250902150000,15.25,15.29,14.79,15.11,6120937.0
2025-09-03,20250903150000,15.04,15.19,14.61,14.68,5206900.0
2025-09-04,20250904150000,14.8,15.05,14.61,14.77,5860165.0
2025-09-05,20250905150000,14.79,15.08,14.76,15.08,4201382.0
2025-09-08,20250908150000,15.15,15.23,14.97,15.2,4561822.0
2025-09-09,20250909150000,15.18,15.26,14.94,15.07,3777420.0
2025-09-10,20250910150000,15.06,15.15,14.96,15.06,3060000.0
2025-09-11,20250911150000,15.05,15.25,14.88,15.19,4223575.0
2025-09-12,20250912150000,15.19,15.23,15.0,15.09,4368599.0
2025-09-15,20250915150000,15.01,15.16,14.84,14.95,4105198.0
2025-09-16,20250916150000,14.95,15.14,14.85,15.13,3971141.0
2025-09-17,20250917150000,15.1,15.23,15.0,15.13,4100549.0
2025-09-18,20250918150000,15.11,15.16,14.73,14.83,5418683.0
2025-09-19,20250919150000,14.87,14.88,14.63,14.68,3157732.0
2025-09-22,20250922150000,14.9,14.95,14.57,14.7,2510227.0
2025-09-23,20250923150000,14.74,14.81,14.25,14.6,4507179.0
2025-09-24,20250924150000,14.55,14.81,14.36,14.79,2686260.0
2025-09-25,20250925150000,14.9,15.0,14.63,14.69,3068923.0
2025-09-26,20250926150000,14.62,14.82,14.54,14.62,2619831.0
2025-09-29,20250929150000,14.72,14.89,14.38,14.79,3997211.0
2025-09-30,20250930150000,14.8,14.95,14.73,14.84,2493156.0
2025-10-09,20251009150000,14.86,15.06,14.76,15.05,4015800.0
2025-10-10,20251010150000,15.0,16.44,14.96,15.52,14292315.0
2025-10-13,20251013150000,14.8,15.25,14.77,15.15,9414532.0
2025-10-14,20251014150000,15.39,15.59,15.13,15.21,7297559.0
2025-10-15,20251015150000,15.21,16.03,15.11,15.95,14917249.0
2025-10-16,20251016150000,16.43,16.6,15.85,15.96,16080481.0
2025-10-17,20251017150000,16.23,16.36,15.21,15.25,10493928.0
2025-10-20,20251020150000,15.41,15.7,15.34,15.52,6916619.0
2025-10-21,20251021150000,15.5,15.78,15.34,15.57,7762383.0
2025-10-22,20251022150000,15.46,15.51,15.22,15.24,5721683.0
2025-10-23,20251023150000,15.2,15.31,14.9,15.19,4725783.0
2025-10-24,20251024150000,15.22,15.45,15.17,15.42,4767056.0
2025-10-27,20251027150000,15.43,15.6,15.26,15.49,5001620.0
2025-10-28,20251028150000,15.42,15.69,15.33,15.53,5028851.0
2025-10-29,20251029150000,15.44,15.9,15.4,15.82,8647856.0
2025-10-30,20251030150000,15.6,15.67,15.23,15.24,6498235.0
2025-10-31,20251031150000,15.2,15.49,15.18,15.43,3867423.0
2025-11-03,20251103150000,15.43,15.73,15.35,15.7,5183623.0
2025-11-04,20251104150000,15.64,16.18,15.52,15.97,10540545.0
2025-11-05,20251105150000,15.75,16.66,15.73,16.55,18657226.0
2025-11-06,20251106150000,16.51,16.75,16.33,16.59,15238027.0
2025-11-07,20251107150000,16.49,18.25,16.4,18.25,38173602.0
2025-11-10,20251110150000,18.42,19.82,17.61,18.91,50966320.0
2025-11-11,20251111150000,18.92,19.8,18.44,19.22,35708514.0
2025-11-12,20251112150000,19.46,21.14,18.95,20.39,47155331.0
2025-11-13,20251113150000,19.73,19.86,18.81,19.06,36768172.0
2025-11-14,20251114150000,19.05,19.6,18.42,18.49,26536092.0
2025-11-17,20251117150000,18.39,20.34,18.39,20.34,23262274.0
2025-11-18,20251118150000,19.67,20.16,18.8,19.3,30085504.0
2025-11-19,20251119150000,19.78,21.23,19.36,21.23,19598646.0
