date,time,open,high,low,close,volume
2025-08-14,20250814150000,33.81,35.05,33.12,34.13,49830700.0
2025-08-15,20250815150000,34.0,36.48,33.7,35.69,51376006.0
2025-08-18,20250818150000,35.84,42.83,35.84,42.83,58101496.0
2025-08-19,20250819150000,46.14,49.98,44.85,47.25,88929617.0
2025-08-20,20250820150000,46.48,50.5,44.88,49.9,69884587.0
2025-08-21,20250821150000,48.4,50.98,45.88,46.39,51719569.0
2025-08-22,20250822150000,46.26,47.56,44.99,47.21,43139712.0
2025-08-25,20250825150000,48.0,48.33,46.31,47.01,42967869.0
2025-08-26,20250826150000,46.42,47.17,45.3,46.37,33427701.0
2025-08-27,20250827150000,45.56,47.9,43.95,45.3,53370205.0
2025-08-28,20250828150000,44.8,45.41,42.5,44.4,42873689.0
2025-08-29,20250829150000,44.41,44.41,42.31,42.7,29875572.0
2025-09-01,20250901150000,43.7,43.8,41.48,41.77,26983833.0
2025-09-02,20250902150000,41.88,41.98,37.77,38.17,33513216.0
2025-09-03,20250903150000,38.22,38.6,36.91,37.15,20545514.0
2025-09-04,20250904150000,37.5,38.21,34.6,35.43,25138979.0
2025-09-05,20250905150000,35.52,37.87,35.04,37.67,34480405.0
2025-09-08,20250908150000,37.26,37.5,36.28,36.71,25970758.0
2025-09-09,20250909150000,36.49,37.1,35.55,35.8,20172147.0
2025-09-10,20250910150000,36.27,37.28,36.27,36.55,34261240.0
2025-09-11,20250911150000,39.16,42.15,39.13,39.98,64407999.0
2025-09-12,20250912150000,39.0,41.97,38.87,39.05,53076727.0
2025-09-15,20250915150000,38.25,39.62,37.55,38.57,37490620.0
2025-09-16,20250916150000,38.08,39.23,37.83,38.97,27463989.0
2025-09-17,20250917150000,38.6,40.14,38.2,39.37,33173496.0
2025-09-18,20250918150000,39.01,40.0,37.64,38.37,33324909.0
2025-09-19,20250919150000,38.01,38.52,37.12,37.39,20328395.0
2025-09-22,20250922150000,37.8,38.75,37.36,38.75,18489261.0
2025-09-23,20250923150000,39.3,40.4,37.9,39.19,38519251.0
2025-09-24,20250924150000,38.38,39.27,37.38,38.66,24943461.0
2025-09-25,20250925150000,38.53,42.31,38.4,42.3,61566939.0
2025-09-26,20250926150000,41.0,42.2,39.5,39.51,40609344.0
2025-09-29,20250929150000,39.28,41.41,39.02,39.98,26908711.0
2025-09-30,20250930150000,39.68,41.88,39.68,40.29,29102586.0
2025-10-09,20251009150000,39.51,40.2,38.69,39.19,28195512.0
2025-10-10,20251010150000,38.9,38.94,36.41,36.59,25862756.0
