date,time,open,high,low,close,volume
2025-08-14,20250814150000,24.35,25.38,23.62,24.11,84706594.0
2025-08-15,20250815150000,24.4,26.5,24.24,25.78,93776900.0
2025-08-18,20250818150000,27.28,30.94,27.19,30.94,72142238.0
2025-08-19,20250819150000,33.76,36.04,32.1,33.0,129364584.0
2025-08-20,20250820150000,32.61,33.23,31.2,32.46,74407520.0
2025-08-21,20250821150000,32.74,33.0,29.67,32.41,89258705.0
2025-08-22,20250822150000,32.27,32.75,31.4,32.16,68994978.0
2025-08-25,20250825150000,32.18,33.89,30.82,33.42,97536276.0
2025-08-26,20250826150000,32.7,34.3,31.75,32.0,78844668.0
2025-08-27,20250827150000,31.0,33.76,30.88,31.8,88172436.0
2025-08-28,20250828150000,31.03,33.2,30.1,33.02,82797911.0
2025-08-29,20250829150000,34.05,34.23,32.0,32.44,66552384.0
2025-09-01,20250901150000,33.0,33.92,31.75,32.02,56336690.0
2025-09-02,20250902150000,32.04,32.22,28.8,28.96,67023575.0
2025-09-03,20250903150000,29.25,31.06,28.8,29.83,57697551.0
2025-09-04,20250904150000,29.82,30.35,27.04,27.67,51682735.0
2025-09-05,20250905150000,28.1,29.25,27.9,29.17,39284942.0
2025-09-08,20250908150000,29.21,29.66,28.23,28.54,37492414.0
2025-09-09,20250909150000,28.5,29.3,27.78,28.02,35709423.0
2025-09-10,20250910150000,28.66,29.68,28.21,29.38,52457611.0
2025-09-11,20250911150000,29.38,30.62,28.65,30.04,69669341.0
2025-09-12,20250912150000,29.5,30.57,29.22,29.54,49802944.0
2025-09-15,20250915150000,29.08,30.29,28.3,29.83,41403319.0
2025-09-16,20250916150000,30.17,31.8,29.41,30.99,63950637.0
2025-09-17,20250917150000,30.73,33.18,30.5,32.26,70772799.0
2025-09-18,20250918150000,31.99,35.85,31.38,34.51,93392544.0
2025-09-19,20250919150000,34.4,34.49,31.85,31.98,64335374.0
2025-09-22,20250922150000,31.92,33.83,31.6,33.16,54359238.0
2025-09-23,20250923150000,34.24,36.19,32.1,32.74,68736468.0
2025-09-24,20250924150000,32.75,32.8,31.21,31.84,48313232.0
2025-09-25,20250925150000,32.0,35.0,31.95,32.9,66767004.0
2025-09-26,20250926150000,32.32,32.91,30.74,30.78,50521680.0
2025-09-29,20250929150000,30.81,32.92,30.46,32.26,45411955.0
2025-09-30,20250930150000,32.5,33.75,32.11,32.52,40740299.0
2025-10-09,20251009150000,32.86,33.99,32.1,32.26,47117545.0
2025-10-10,20251010150000,31.83,33.33,31.39,32.2,44247715.0
2025-10-13,20251013150000,30.01,32.05,29.91,31.89,41853644.0
2025-10-14,20251014150000,31.93,33.14,30.21,30.49,43905973.0
2025-10-15,20251015150000,30.4,31.5,29.15,31.17,36183707.0
2025-10-16,20251016150000,30.8,31.07,30.05,30.46,26098429.0
2025-10-17,20251017150000,30.2,30.5,28.15,28.45,32541158.0
2025-10-20,20251020150000,28.88,29.85,28.45,28.81,28629799.0
2025-10-21,20251021150000,28.9,29.7,28.5,29.45,22626502.0
2025-10-22,20251022150000,29.02,29.45,28.5,29.08,16777190.0
2025-10-23,20251023150000,28.99,29.1,28.07,29.03,17781194.0
2025-10-24,20251024150000,29.01,29.88,28.9,29.86,30633931.0
