股票代码,股票名称,收益率(%),夏普比率,最大回撤(%),交易次数,胜率(%),综合评分
unknown,sh.688102.斯瑞新材.csv,+41.97,1.49,19.15,19,32.16,0.567
unknown,sh.603267.鸿远电子.csv,+28.77,2.11,5.90,8,11.56,0.550
unknown,sz.002025.航天电器.csv,+21.30,1.78,7.31,9,13.57,0.501
unknown,sz.000932.华菱线缆.csv,+21.40,1.71,2.99,23,29.15,0.497
unknown,sz.000768.中航西飞.csv,+12.84,1.56,3.90,11,13.07,0.455
unknown,sz.002151.北斗星通.csv,+13.75,1.44,4.75,7,14.07,0.452
unknown,sh.603678.火炬电子.csv,+11.24,1.09,8.04,8,9.05,0.421
unknown,sz.001208.华菱线缆.csv,+10.12,1.09,10.62,33,29.15,0.417
unknown,sh.600893.航发动力.csv,+7.72,0.95,5.23,7,15.08,0.399
unknown,sh.600879.航天电子.csv,+7.36,0.58,9.31,22,25.13,0.377
unknown,sh.600118.中国卫星.csv,+2.69,0.31,11.56,14,32.66,0.343
unknown,sh.688066.航天宏图.csv,+1.64,0.23,11.30,8,34.17,0.334
unknown,sh.600855.航天长峰.csv,+0.00,0.00,0.00,0,0.00,0.314
unknown,sz.300424.航新科技.csv,+0.00,0.00,0.00,0,0.00,0.314
unknown,sz.300456.赛微电子.csv,-21.00,-2.95,24.87,4,47.22,0.116
