date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2002-09-11,sh.600577,23.1800,23.1800,21.4500,21.4700,9.9000,9519887,208177722.0000,3,47.599435,1,116.868700,64.915248,4.072981,470.026395,15.663057,0
2002-09-12,sh.600577,21.2800,22.3600,21.2000,22.2700,21.4700,3732400,81864544.0000,3,18.662000,1,3.730000,67.334074,4.224746,487.540187,16.246683,0
2002-09-13,sh.600577,22.2700,24.2900,22.1200,23.6100,22.2700,5177552,120852576.0000,3,25.887760,1,6.020000,71.385608,4.478951,516.875788,17.224256,0
2002-09-16,sh.600577,23.5100,24.2000,23.4000,23.5200,23.6100,3293532,78313095.0000,3,16.467660,1,-0.380000,71.113490,4.461878,514.905487,17.158598,0
2002-09-17,sh.600577,23.5200,24.1700,23.4200,23.7700,23.5200,2320035,55246148.0000,3,11.600175,1,1.060000,71.869373,4.509304,520.378547,17.340981,0
2002-09-18,sh.600577,23.8500,24.7200,23.7100,24.1400,23.7700,2842688,69144777.0000,3,14.213440,1,1.560000,72.988080,4.579495,528.478676,17.610908,0
2002-09-19,sh.600577,24.1000,24.3000,23.8000,24.0100,24.1400,1788087,42853652.0000,3,8.940435,1,-0.540000,72.595021,4.554834,525.632684,17.516069,0
2002-09-20,sh.600577,24.1400,24.4500,23.6800,23.7400,24.0100,1782847,42870527.0000,3,8.914235,1,-1.120000,71.778667,4.503613,519.721780,17.319095,0
2002-09-23,sh.600577,23.6600,23.8800,23.6100,23.7500,23.7400,586939,13927975.0000,3,2.934695,1,0.040000,71.808903,4.505510,519.940702,17.326391,0
2002-09-24,sh.600577,23.7500,23.8500,23.4100,23.4300,23.7500,867237,20415278.0000,3,4.336185,1,-1.350000,70.841372,4.444804,512.935185,17.092940,0
2002-09-25,sh.600577,23.4300,23.7500,23.2100,23.2400,23.4300,779340,18292001.0000,3,3.896700,1,-0.810000,70.266901,4.408760,508.775660,16.954329,0
2002-09-26,sh.600577,23.3100,23.3200,22.7600,22.7700,23.2400,1495174,34377537.0000,3,7.475870,1,-2.020000,68.845841,4.319599,498.486307,16.611449,0
2002-09-27,sh.600577,22.7000,23.0000,22.5000,22.7500,22.7700,685486,15593031.0000,3,3.427430,1,-0.090000,68.785370,4.315804,498.048462,16.596858,0
2002-10-08,sh.600577,22.5200,22.6600,21.9300,22.1700,22.7500,661259,14704491.0000,3,3.306295,1,-2.550000,67.031721,4.205775,485.350963,16.173730,0
2002-10-09,sh.600577,22.1600,22.7900,21.8000,22.4800,22.1700,926393,20678365.0000,3,4.631965,1,1.400000,67.969016,4.264584,492.137557,16.399885,0
2002-10-10,sh.600577,22.4600,22.9200,22.2200,22.3500,22.4800,562326,12727601.0000,3,2.811630,1,-0.580000,67.575957,4.239922,489.291566,16.305045,0
2002-10-11,sh.600577,22.8900,22.8900,21.8200,21.9900,22.3500,656243,14545638.0000,3,3.281215,1,-1.610000,66.487485,4.171628,481.410359,16.042414,0
2002-10-14,sh.600577,21.7700,22.4400,21.7700,22.3300,21.9900,383831,8484183.0000,3,1.919155,1,1.550000,67.515486,4.236128,488.853721,16.290455,0
2002-10-15,sh.600577,22.3000,22.3000,21.4900,21.7200,22.3300,954914,20760078.0000,3,4.774570,1,-2.730000,65.671131,4.120408,475.499455,15.845440,0
2002-10-16,sh.600577,21.7800,22.2800,21.7500,21.8100,21.7200,473075,10397310.0000,3,2.365375,1,0.410000,65.943249,4.137481,477.469756,15.911098,0
2002-10-17,sh.600577,21.7500,21.8800,21.5200,21.7200,21.8100,359157,7775776.0000,3,1.795785,1,-0.410000,65.671131,4.120408,475.499455,15.845440,0
2002-10-18,sh.600577,21.7200,21.7200,21.7200,21.7200,21.7200,0,0.0000,3,,0,0.000000,65.671131,4.120408,475.499455,15.845440,0
2002-10-21,sh.600577,21.9200,22.2200,21.7900,22.2000,21.7200,368330,8112157.0000,3,1.841650,1,2.210000,67.122427,4.211466,486.007730,16.195616,0
