date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1998-05-20,sh.600150,7.0000,8.0000,6.9900,7.6500,3.8300,40912507,311623034.0000,3,64.940487,1,99.738910,37.063420,2.063712,0.000000,8.471973,0
1998-05-21,sh.600150,7.5000,8.4200,7.2500,8.1800,7.6500,21351325,167370574.0000,3,33.890992,1,6.928107,39.631212,2.206688,0.000000,9.058920,0
1998-05-22,sh.600150,8.1500,8.2300,7.7600,7.8300,8.1800,13072322,104652799.0000,3,20.749717,1,-4.278733,37.935500,2.112270,0.000000,8.671313,0
1998-05-25,sh.600150,7.9000,8.0000,7.7000,7.8300,7.8300,7310301,57212752.0000,3,11.603652,1,0.000000,37.935500,2.112270,0.000000,8.671313,0
1998-05-26,sh.600150,7.8800,8.5500,7.7800,8.2800,7.8300,10953652,90518582.0000,3,17.386749,1,5.747124,40.115701,2.233665,0.000000,9.169665,0
1998-05-27,sh.600150,8.3000,8.3800,7.9800,8.1200,8.2800,5309685,43346138.0000,3,8.428071,1,-1.932365,39.340519,2.190502,0.000000,8.992473,0
1998-05-28,sh.600150,8.1200,8.1700,7.8900,7.9700,8.1200,4923692,39316041.0000,3,7.815384,1,-1.847292,38.613785,2.150037,0.000000,8.826356,0
1998-05-29,sh.600150,8.0100,8.1900,7.9600,8.0400,7.9700,3893700,31296906.0000,3,6.180476,1,0.878296,38.952927,2.168921,0.000000,8.903877,0
1998-06-01,sh.600150,8.1200,8.1400,7.8600,7.9000,8.0400,4165249,33085825.0000,3,6.611506,1,-1.741292,38.274643,2.131154,0.000000,8.748835,0
1998-06-02,sh.600150,7.9000,7.9800,7.7700,7.9000,7.9000,2257827,17701528.0000,3,3.583852,1,0.000000,38.274643,2.131154,0.000000,8.748835,0
1998-06-03,sh.600150,7.9600,8.2000,7.9000,8.0800,7.9000,2331273,18745307.0000,3,3.700433,1,2.278479,39.146723,2.179711,0.000000,8.948175,0
1998-06-04,sh.600150,8.1100,8.5000,7.9300,8.4500,8.0800,4776167,39097859.0000,3,7.581217,1,4.579206,40.939333,2.279525,0.000000,9.357931,0
1998-06-05,sh.600150,8.4000,8.4000,8.0600,8.1600,8.4500,4072721,33487819.0000,3,6.464637,1,-3.431952,39.534314,2.201293,0.000000,9.036771,0
1998-06-08,sh.600150,8.2100,8.4900,8.0500,8.2800,8.1600,4011671,33407364.0000,3,6.367732,1,1.470587,40.115701,2.233665,0.000000,9.169665,0
1998-06-09,sh.600150,8.2000,8.2500,7.9100,8.0300,8.2800,2095745,16916702.0000,3,3.326579,1,-3.019324,38.904479,2.166223,0.000000,8.892803,0
1998-06-10,sh.600150,7.9800,8.0800,7.8800,7.9000,8.0300,1496108,11903462.0000,3,2.374775,1,-1.618924,38.274643,2.131154,0.000000,8.748835,0
