date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2002-02-07,sh.600585,6.2000,6.5900,6.1900,6.4700,4.1000,157143557,999592474.0000,3,78.571778,1,57.804880,37.770767,3.720028,29.645945,3.463937,0
2002-02-08,sh.600585,6.4400,6.4800,6.3600,6.3700,6.4700,38785049,249146886.0000,3,19.392525,1,-1.545594,37.186984,3.662532,29.187739,3.410398,0
2002-02-25,sh.600585,6.4800,6.6300,6.4100,6.5500,6.3700,37165489,242720655.0000,3,18.582745,1,2.825751,38.237793,3.766025,30.012510,3.506767,0
2002-02-26,sh.600585,6.4500,6.5800,6.4000,6.5700,6.5500,12665550,82322095.0000,3,6.332775,1,0.305343,38.354550,3.777525,30.104151,3.517475,0
2002-02-27,sh.600585,6.5700,6.8700,6.5400,6.7400,6.5700,42434972,286674441.0000,3,21.217486,1,2.587513,39.346981,3.875269,30.883102,3.608490,0
2002-02-28,sh.600585,6.7400,6.8200,6.6600,6.7100,6.7400,15721214,105920100.0000,3,7.860607,1,-0.445100,39.171846,3.858020,30.745640,3.592429,0
2002-03-01,sh.600585,6.7000,6.8300,6.6900,6.7300,6.7100,11076894,75003335.0000,3,5.538447,1,0.298062,39.288603,3.869519,30.837281,3.603137,0
2002-03-04,sh.600585,6.7200,6.8100,6.7000,6.8000,6.7300,7568820,51187931.0000,3,3.784410,1,1.040121,39.697251,3.909767,31.158026,3.640613,0
2002-03-05,sh.600585,6.8300,6.9600,6.7600,6.8800,6.8000,13290463,91277578.0000,3,6.645231,1,1.176469,40.164277,3.955764,31.524591,3.683444,0
2002-03-06,sh.600585,6.9100,6.9400,6.8200,6.8300,6.8800,14427583,99100352.0000,3,7.213791,1,-0.726747,39.872386,3.927016,31.295488,3.656675,0
2002-03-07,sh.600585,6.8300,7.1700,6.8200,7.1300,6.8300,24617125,173100535.0000,3,12.308563,1,4.392389,41.623735,4.099506,32.670106,3.817290,0
2002-03-08,sh.600585,7.1600,7.2000,6.9600,7.0800,7.1300,27282820,192144631.0000,3,13.641410,1,-0.701265,41.331844,4.070757,32.441003,3.790521,0
2002-03-11,sh.600585,7.0800,7.1300,7.0000,7.1100,7.0800,13260852,93821698.0000,3,6.630426,1,0.423732,41.506978,4.088006,32.578465,3.806583,0
2002-03-12,sh.600585,7.1100,7.1100,6.8900,6.9100,7.1100,15668232,109533674.0000,3,7.834116,1,-2.812943,40.339412,3.973013,31.662053,3.699506,0
2002-03-13,sh.600585,6.9100,6.9900,6.8200,6.8900,6.9100,6288087,43407106.0000,3,3.144044,1,-0.289435,40.222656,3.961514,31.570411,3.688798,0
