date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1996-03-12,sh.600887,9.0000,9.1700,8.2100,8.3900,5.9500,14155049,122456107.0000,3,78.639161,1,41.008410,26.080888,2.012628,0.000000,8.481339,0
1996-03-13,sh.600887,8.0100,8.5600,8.0100,8.3400,8.3900,3400842,28181306.0000,3,18.893567,1,-0.595950,25.925460,2.000634,0.000000,8.430795,0
1996-03-14,sh.600887,8.3100,8.3900,8.1300,8.1800,8.3400,2015991,16585471.0000,3,11.199950,1,-1.918463,25.428089,1.962252,0.000000,8.269053,0
1996-03-15,sh.600887,8.1200,8.3200,7.9300,8.2500,8.1800,1699630,13792529.0000,3,9.442389,1,0.855742,25.645689,1.979044,0.000000,8.339815,0
1996-03-18,sh.600887,8.2600,8.6800,8.2200,8.6100,8.2500,4058374,34665866.0000,3,22.546522,1,4.363632,26.764773,2.065402,0.000000,8.703734,0
1996-03-19,sh.600887,8.6800,8.6900,8.4000,8.4700,8.6100,2077738,17767437.0000,3,11.542989,1,-1.626009,26.329574,2.031819,0.000000,8.562210,0
1996-03-20,sh.600887,8.5000,8.9800,8.5000,8.8000,8.4700,3503931,30722439.0000,3,19.466283,1,3.896103,27.355401,2.110980,0.000000,8.895803,0
1996-03-21,sh.600887,8.8000,9.1500,8.6800,8.7000,8.8000,4380401,39093492.0000,3,24.335561,1,-1.136368,27.044545,2.086992,0.000000,8.794714,0
1996-03-22,sh.600887,8.7000,8.7800,8.5800,8.7500,8.7000,2146857,18629681.0000,3,11.926983,1,0.574715,27.199973,2.098986,0.000000,8.845258,0
1996-03-25,sh.600887,8.8100,8.8500,8.5700,8.6200,8.7500,1309474,11377627.0000,3,7.274856,1,-1.485716,26.795859,2.067801,0.000000,8.713843,0
1996-03-26,sh.600887,8.6000,8.6600,8.4200,8.4400,8.6200,1266940,10807319.0000,3,7.038556,1,-2.088171,26.236317,2.024622,0.000000,8.531884,0
1996-03-27,sh.600887,8.3600,8.6100,8.3200,8.6000,8.4400,1146772,9721906.0000,3,6.370956,1,1.895744,26.733688,2.063003,0.000000,8.693625,0
1996-03-28,sh.600887,8.5800,8.6000,8.3000,8.3200,8.6000,791500,6677917.0000,3,4.397222,1,-3.255822,25.863289,1.995836,0.000000,8.410577,0
1996-03-29,sh.600887,8.2800,8.3600,8.1800,8.3100,8.3200,951924,7877247.0000,3,5.288467,1,-0.120184,25.832203,1.993437,0.000000,8.400468,0
1996-04-01,sh.600887,8.6000,8.6500,8.2100,8.3500,8.3100,1317930,11217120.0000,3,7.321833,1,0.481347,25.956546,2.003032,0.000000,8.440904,0
1996-04-02,sh.600887,8.3400,8.3500,8.2300,8.2300,8.3500,515900,4274901.0000,3,2.866111,1,-1.437136,25.583518,1.974246,0.000000,8.319597,0
1996-04-03,sh.600887,8.2300,8.3900,8.2300,8.3000,8.2300,198092,1649645.0000,3,1.100511,1,0.850555,25.801117,1.991038,0.000000,8.390359,0
1996-04-04,sh.600887,8.3500,8.4000,8.2800,8.3000,8.3000,307700,2572733.0000,3,1.709444,1,0.000000,25.801117,1.991038,0.000000,8.390359,0
1996-04-05,sh.600887,8.2900,8.7800,8.2400,8.7200,8.3000,1815144,15472710.0000,3,10.084133,1,5.060242,27.106716,2.091790,0.000000,8.814932,0
1996-04-08,sh.600887,8.7000,8.7400,8.4000,8.6000,8.7200,1942704,16787747.0000,3,10.792800,1,-1.376145,26.733688,2.063003,0.000000,8.693625,0
1996-04-09,sh.600887,8.5600,8.6200,8.5100,8.5300,8.6000,529301,4534906.0000,3,2.940561,1,-0.813961,26.516088,2.046212,0.000000,8.622863,0
1996-04-10,sh.600887,8.5200,8.6900,8.5000,8.5200,8.5300,798928,6887086.0000,3,4.438489,1,-0.117225,26.485002,2.043813,0.000000,8.612754,0
1996-04-11,sh.600887,8.5500,8.6400,8.4600,8.6100,8.5200,623399,5325992.0000,3,3.463328,1,1.056329,26.764773,2.065402,0.000000,8.703734,0
1996-04-12,sh.600887,8.5500,8.7100,8.5300,8.5500,8.6100,966600,8334287.0000,3,5.370000,1,-0.696858,26.578259,2.051009,0.000000,8.643081,0
1996-04-15,sh.600887,8.5400,8.5400,8.3600,8.4300,8.5500,584291,4928516.0000,3,3.246061,1,-1.403507,26.205231,2.022223,0.000000,8.521775,0
1996-04-16,sh.600887,8.4600,8.5400,8.4000,8.4500,8.4300,337958,2857969.0000,3,1.877544,1,0.237242,26.267403,2.027021,0.000000,8.541992,0
1996-04-17,sh.600887,8.4800,8.6000,8.4500,8.4900,8.4500,716987,6106681.0000,3,3.983261,1,0.473372,26.391745,2.036616,0.000000,8.582428,0
1996-04-18,sh.600887,8.5100,8.7800,8.4700,8.7400,8.4900,905549,7865512.0000,3,5.030828,1,2.944641,27.168887,2.096587,0.000000,8.835150,0
