date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2007-12-03,sh.601390,7.5000,8.1000,7.2100,8.0900,4.8000,1869806435,14433034910.0000,3,57.137815,1,68.541660,85.873957,0.886247,10.396443,16.917924,0
2007-12-04,sh.601390,8.2100,8.3400,7.7600,7.8300,8.0900,776483301,6275305056.0000,3,23.727889,1,-3.213847,83.114102,0.857764,10.062317,16.374208,0
2007-12-05,sh.601390,8.1000,8.6100,7.9800,8.4800,7.8300,822591672,6892018280.0000,3,25.136875,1,8.301400,90.013740,0.928971,10.897631,17.733497,0
2007-12-06,sh.601390,8.2300,8.3900,8.1400,8.3500,8.4800,475612589,3931115769.0000,3,14.533838,1,-1.533009,88.633812,0.914729,10.730568,17.461639,0
2007-12-07,sh.601390,8.3000,8.7500,8.2400,8.4400,8.3500,492004097,4196497114.0000,3,15.034732,1,1.077835,106.640563,1.100565,12.910579,21.009127,0
2007-12-10,sh.601390,8.3500,8.7400,8.3000,8.6500,8.4400,315252599,2708590518.0000,3,9.633534,1,2.488152,109.293942,1.127949,13.231814,21.531866,0
2007-12-11,sh.601390,8.6600,8.7200,8.4200,8.5900,8.6500,216466016,1852015722.0000,3,6.614800,1,-0.693635,108.535834,1.120125,13.140032,21.382512,0
2007-12-12,sh.601390,8.5000,9.0000,8.3100,8.9700,8.5900,290815815,2495177433.0000,3,8.886792,1,4.423750,113.337186,1.169676,13.721314,22.328421,0
2007-12-13,sh.601390,9.1300,9.2500,8.8600,8.8800,8.9700,389085638,3525894643.0000,3,11.889735,1,-1.003346,112.200024,1.157940,13.583642,22.104390,0
2007-12-14,sh.601390,8.8700,8.9500,8.5300,8.8100,8.8800,216065091,1885388819.0000,3,6.602548,1,-0.788285,113.985404,1.176366,13.799792,22.456125,0
2007-12-17,sh.601390,8.8200,9.0000,8.6200,8.7900,8.8100,118618575,1045235383.0000,3,3.624764,1,-0.227020,113.726640,1.173696,13.768464,22.405147,0
2007-12-18,sh.601390,8.6800,9.1200,8.6800,8.9600,8.7900,135751663,1214654226.0000,3,4.148319,1,1.934017,115.926132,1.196395,14.034748,22.838466,0
2007-12-19,sh.601390,9.1400,9.1800,8.9300,9.0600,8.9600,132446263,1198694713.0000,3,4.047312,1,1.116076,117.219950,1.209748,14.191386,23.093359,0
2007-12-20,sh.601390,9.0900,9.9700,8.9600,9.9700,9.0600,329628207,3160571746.0000,3,10.072826,1,10.044150,128.993698,1.331257,15.616790,25.412891,0
2007-12-21,sh.601390,10.0400,10.8800,9.9400,10.5900,9.9700,409412795,4218348350.0000,3,12.510895,1,6.218655,137.015372,1.414043,16.587945,26.993231,0
2007-12-24,sh.601390,10.7400,11.1800,10.3800,10.7800,10.5900,311686346,3369719656.0000,3,9.524556,1,1.794141,139.473627,1.439413,16.885557,27.477529,0
