date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2008-08-18,sh.601766,3.8600,4.0000,3.3400,3.4500,2.1800,1792594164,6670840171.0000,3,74.691423,1,58.256880,42.732322,1.259080,21.669024,7.317574,0
2008-08-19,sh.601766,3.5800,3.8000,3.4200,3.7000,3.4500,688749395,2500497187.0000,3,28.697891,1,7.246400,45.828867,1.350317,23.239243,7.847833,0
2008-08-20,sh.601766,3.5600,4.0300,3.4600,3.8800,3.7000,773059666,2938261883.0000,3,32.210819,1,4.864900,48.058380,1.416009,24.369801,8.229619,0
2008-08-21,sh.601766,3.7700,3.8000,3.4900,3.4900,3.8800,480229503,1732016601.0000,3,20.009563,1,-10.051500,50.144212,1.477466,25.427501,8.586802,0
2008-08-22,sh.601766,3.2900,3.3300,3.1400,3.1900,3.4900,446439588,1436116863.0000,3,18.601650,1,-8.596000,45.833822,1.350463,23.241755,7.848681,0
2008-08-25,sh.601766,3.2000,3.3600,3.1200,3.2700,3.1900,239680751,779910292.0000,3,9.986698,1,2.507800,46.983259,1.384331,23.824621,8.045513,0
2008-08-26,sh.601766,3.2000,3.2800,3.1600,3.2400,3.2700,111003526,356507484.0000,3,4.625147,1,-0.917400,46.552220,1.371631,23.606046,7.971701,0
2008-08-27,sh.601766,3.2000,3.2900,3.0500,3.1900,3.2400,183802268,580214229.0000,3,7.658428,1,-1.543200,45.833822,1.350463,23.241755,7.848681,0
2008-08-28,sh.601766,3.1100,3.3400,3.0900,3.2900,3.1900,215461306,695996542.0000,3,8.977554,1,3.134800,47.270619,1.392798,23.970337,8.094722,0
2008-08-29,sh.601766,3.3100,3.5100,3.2800,3.4200,3.2900,196162498,668881348.0000,3,8.173437,1,3.951400,49.138455,1.447832,24.917493,8.414574,0
2008-09-01,sh.601766,3.3700,3.4800,3.3400,3.4400,3.4200,99631875,340116636.0000,3,4.151328,1,0.584800,49.425814,1.456299,25.063210,8.463782,0
2008-09-02,sh.601766,3.4100,3.5000,3.3700,3.4700,3.4400,79156098,272407688.0000,3,3.298171,1,0.872100,49.856853,1.468999,25.281784,8.537594,0
2008-09-03,sh.601766,3.4500,3.5100,3.2700,3.3400,3.4700,151344471,509472981.0000,3,6.306020,1,-3.746400,47.989017,1.413965,24.334628,8.217742,0
2008-09-04,sh.601766,3.3400,3.4400,3.1900,3.2900,3.3400,128856728,426912292.0000,3,5.369030,1,-1.497000,47.270619,1.392798,23.970337,8.094722,0
2008-09-05,sh.601766,3.1800,3.3100,3.1400,3.2800,3.2900,104068519,337765573.0000,3,4.336188,1,-0.304000,47.126939,1.388564,23.897479,8.070117,0
2008-09-08,sh.601766,3.3100,3.3200,3.0800,3.1000,3.2800,98189650,311156041.0000,3,4.091235,1,-5.487800,44.540704,1.312363,22.586032,7.627245,0
2008-09-09,sh.601766,3.1200,3.2100,3.1000,3.1900,3.1000,55069660,174643572.0000,3,2.294569,1,2.903200,45.833822,1.350463,23.241755,7.848681,0
2008-09-10,sh.601766,3.1600,3.5100,3.1500,3.3400,3.1900,174396365,588983324.0000,3,7.266515,1,4.702200,47.989017,1.413965,24.334628,8.217742,0
2008-09-11,sh.601766,3.3100,3.5500,3.2500,3.4900,3.3400,178060095,608085636.0000,3,7.419171,1,4.491000,50.144212,1.477466,25.427501,8.586802,0
2008-09-12,sh.601766,3.4800,3.5400,3.4100,3.4700,3.4900,130110656,452099813.0000,3,5.421277,1,-0.573100,49.856853,1.468999,25.281784,8.537594,0
2008-09-16,sh.601766,3.4700,3.5200,3.3800,3.4700,3.4700,115279436,400759536.0000,3,4.803310,1,0.000000,49.856853,1.468999,25.281784,8.537594,0
2008-09-17,sh.601766,3.4800,3.4900,3.3400,3.3800,3.4700,133707030,456871580.0000,3,5.571126,1,-2.593700,48.563736,1.430899,24.626061,8.316158,0
2008-09-18,sh.601766,3.2900,3.4900,3.1300,3.4400,3.3800,127035916,417778951.0000,3,5.293163,1,1.775100,49.425814,1.456299,25.063210,8.463782,0
2008-09-19,sh.601766,3.7000,3.7800,3.6000,3.7800,3.4400,390994922,1465719510.0000,3,16.291455,1,9.883700,55.434598,1.633344,28.110189,9.492739,0
2008-09-22,sh.601766,3.8300,4.1400,3.5800,3.7400,3.7800,593424958,2280334781.0000,3,24.726040,1,-1.058200,54.847988,1.616060,27.812726,9.392286,0
2008-09-23,sh.601766,3.5200,3.6200,3.3700,3.4300,3.7400,260083463,902099283.0000,3,10.836811,1,-8.288800,50.301765,1.482108,25.507393,8.613781,0
2008-09-24,sh.601766,3.3500,3.5200,3.3100,3.5100,3.4300,101879709,351350848.0000,3,4.244988,1,2.332400,51.474984,1.516677,26.102318,8.814686,0
2008-09-25,sh.601766,3.4900,3.7200,3.4400,3.5700,3.5100,199066762,720333825.0000,3,8.294448,1,1.709400,52.354898,1.542603,26.548511,8.965364,0
2008-09-26,sh.601766,3.6000,3.6200,3.3900,3.5000,3.5700,179395132,623349713.0000,3,7.474797,1,-1.960800,51.328331,1.512356,26.027952,8.789573,0
2008-10-06,sh.601766,3.4500,3.6500,3.4100,3.5400,3.5000,142255988,507372363.0000,3,5.927333,1,1.142900,51.914941,1.529640,26.325415,8.890025,0
2008-10-07,sh.601766,3.4000,3.6300,3.4000,3.6100,3.5400,110632060,393600818.0000,3,4.609669,1,1.977400,52.941507,1.559887,26.845974,9.065817,0
2008-10-08,sh.601766,3.5400,3.6400,3.5200,3.5700,3.6100,98440781,352427656.0000,3,4.101699,1,-1.108000,52.354898,1.542603,26.548511,8.965364,0
2008-10-09,sh.601766,3.6200,3.6500,3.5500,3.5700,3.5700,84708149,305177691.0000,3,3.529506,1,0.000000,52.354898,1.542603,26.548511,8.965364,0
2008-10-10,sh.601766,3.4600,3.5800,3.4200,3.5400,3.5700,77698526,274084916.0000,3,3.237439,1,-0.840300,51.914941,1.529640,26.325415,8.890025,0
2008-10-13,sh.601766,3.5100,3.7600,3.4900,3.7400,3.5400,116467701,422510170.0000,3,4.852821,1,5.649700,54.847988,1.616060,27.812726,9.392286,0
2008-10-14,sh.601766,3.8400,3.8500,3.5900,3.6000,3.7400,145057675,537076820.0000,3,6.044070,1,-3.743300,52.794855,1.555566,26.771608,9.040704,0
2008-10-15,sh.601766,3.6000,3.6600,3.5400,3.6100,3.6000,61420606,221586494.0000,3,2.559192,1,0.277800,52.941507,1.559887,26.845974,9.065817,0
2008-10-16,sh.601766,3.5400,3.6200,3.5100,3.5500,3.6100,57509555,205511411.0000,3,2.396231,1,-1.662000,52.061593,1.533961,26.399780,8.915138,0
2008-10-17,sh.601766,3.5700,3.6000,3.5100,3.5700,3.5500,44497548,158231553.0000,3,1.854065,1,0.563400,52.354898,1.542603,26.548511,8.965364,0
2008-10-20,sh.601766,3.5900,3.7000,3.5200,3.6500,3.5700,66117489,238708458.0000,3,2.754895,1,2.240900,53.528117,1.577171,27.143436,9.166269,0
2008-10-21,sh.601766,3.6800,3.6800,3.5300,3.5900,3.6500,122155479,438412038.0000,3,5.089812,1,-1.643800,52.648203,1.551245,26.697243,9.015590,0
2008-10-22,sh.601766,3.5400,3.5400,3.3500,3.4000,3.5900,169296044,578615086.0000,3,7.054002,1,-5.292500,49.861808,1.469145,25.284297,8.538442,0
2008-10-23,sh.601766,3.3000,3.4400,3.2500,3.4200,3.4000,67083546,227211750.0000,3,2.795148,1,0.588200,50.155112,1.477787,25.433028,8.588668,0
2008-10-24,sh.601766,3.4200,3.5300,3.3800,3.4700,3.4200,82454381,285568397.0000,3,3.435599,1,1.462000,50.888374,1.499392,25.804856,8.714234,0
2008-10-27,sh.601766,3.4700,3.5500,3.2900,3.3100,3.4700,146378279,501090148.0000,3,6.099095,1,-4.611000,48.541936,1.430256,24.615006,2.488068,0
2008-10-28,sh.601766,3.2000,3.4600,3.2000,3.4400,3.3100,110020864,369735393.0000,3,4.584203,1,3.927500,50.448417,1.486429,25.581759,2.585787,0
2008-10-29,sh.601766,3.4700,3.4900,3.3900,3.4000,3.4400,69304132,238126365.0000,3,2.887672,1,-1.162800,49.861808,1.469145,25.284297,2.555720,0
2008-10-30,sh.601766,3.4400,3.6300,3.3900,3.5400,3.4000,122748520,432493315.0000,3,5.114522,1,4.117600,51.914941,1.529640,26.325415,2.660955,0
2008-10-31,sh.601766,3.5000,3.5500,3.4800,3.4900,3.5400,51745080,181423107.0000,3,2.156045,1,-1.412400,51.181679,1.508034,25.953587,2.623371,0
2008-11-03,sh.601766,3.4800,3.5600,3.4700,3.5200,3.4900,32218945,113519628.0000,3,1.342456,1,0.859600,51.621636,1.520998,26.176683,2.645922,0
2008-11-04,sh.601766,3.5200,3.5200,3.3800,3.4000,3.5200,57162241,195821291.0000,3,2.381760,1,-3.409100,49.861808,1.469145,25.284297,2.555720,0
2008-11-05,sh.601766,3.4600,3.5800,3.4100,3.5200,3.4000,103081681,361283438.0000,3,4.295070,1,3.529400,51.621636,1.520998,26.176683,2.645922,0
2008-11-06,sh.601766,3.4500,3.5000,3.3900,3.4500,3.5200,52125109,179418864.0000,3,2.171880,1,-1.988600,50.595069,1.490750,25.656124,2.593304,0
2008-11-07,sh.601766,3.4000,3.5500,3.4000,3.4900,3.4500,65200489,228322096.0000,3,2.716687,1,1.159400,51.181679,1.508034,25.953587,2.623371,0
2008-11-10,sh.601766,3.6000,3.8400,3.5500,3.8400,3.4900,343643001,1297482861.0000,3,14.318458,1,10.028700,56.314512,1.659270,28.556382,2.886460,0
2008-11-11,sh.601766,3.7800,3.8400,3.6900,3.7000,3.8400,197491776,743918297.0000,3,8.228824,1,-3.645800,54.261379,1.598776,27.515264,2.781224,0
