date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2019-03-25,sz.300766,15.7000,18.8400,15.7000,18.8400,13.0800,23144,431261.1400,3,0.057716,1,44.036700,30.298593,13.976938,42.258154,6.671483,0
2019-03-26,sz.300766,20.7200,20.7200,20.7200,20.7200,18.8400,8426,174586.7200,3,0.021012,1,9.978764,33.322020,15.371664,46.474997,7.337214,0
2019-03-27,sz.300766,22.7900,22.7900,22.7900,22.7900,20.7200,8795,200438.0500,3,0.021933,1,9.990355,36.651005,16.907347,51.118011,8.070228,0
2019-03-28,sz.300766,25.0700,25.0700,25.0700,25.0700,22.7900,11479,287778.5300,3,0.028626,1,10.004380,40.317714,18.598823,56.232055,8.877604,0
2019-03-29,sz.300766,27.5800,27.5800,27.5800,27.5800,25.0700,32662,900817.9600,3,0.081451,1,10.011970,44.354310,20.460931,61.861989,9.766427,0
2019-04-01,sz.300766,30.3400,30.3400,30.3400,30.3400,27.5800,31356,951341.0400,3,0.078195,1,10.007250,48.792958,22.508508,68.052674,10.743778,0
2019-04-02,sz.300766,33.3700,33.3700,33.3700,33.3700,30.3400,69898,2332496.2600,3,0.174309,1,9.986812,53.665821,24.756391,74.848969,11.816740,0
2019-04-03,sz.300766,36.7100,36.7100,36.7100,36.7100,33.3700,54210,1990049.1000,3,0.135187,1,10.008990,59.037227,27.234256,82.340595,12.999476,0
2019-04-04,sz.300766,40.3800,40.3800,40.3800,40.3800,36.7100,99268,4008441.8400,3,0.247551,1,9.997281,64.939342,29.956940,90.572412,14.299069,0
2019-04-08,sz.300766,44.4200,44.4200,44.4200,44.4200,40.3800,151363,6723544.4600,3,0.377464,1,10.004950,71.436492,32.954118,99.634139,15.729685,0
2019-04-09,sz.300766,48.8600,48.8600,48.8600,48.8600,44.4200,167425,8180385.5000,3,0.417519,1,9.995503,78.576925,36.248046,109.593067,17.301945,0
2019-04-10,sz.300766,53.7500,53.7500,53.7500,53.7500,48.8600,185628,9977505.0000,3,0.462913,1,10.008190,86.441051,39.875818,120.561346,19.033556,0
2019-04-11,sz.300766,59.1300,59.1300,59.1300,59.1300,53.7500,149024,8811789.1200,3,0.371631,1,10.009300,95.093197,43.867109,132.628695,20.938682,0
2019-04-12,sz.300766,65.0400,65.0400,65.0400,65.0400,59.1300,1294262,84178800.4800,3,3.227586,1,9.994926,104.597692,48.251594,145.884836,23.031488,0
2019-04-15,sz.300766,71.5400,71.5400,68.2000,69.1200,65.0400,29918718,2102163572.5900,3,74.610269,1,6.273066,111.159170,51.278447,155.036283,24.476267,0
2019-04-16,sz.300766,66.8600,68.0000,62.2200,64.5500,69.1200,18727837,1216192088.3100,3,46.702835,1,-6.611689,103.809671,47.888075,144.785765,22.857972,0
2019-04-17,sz.300766,64.0200,71.0100,64.0200,71.0100,64.5500,16278317,1106005715.7800,3,40.594307,1,10.007740,114.198679,52.680592,159.275556,25.145540,0
2019-04-18,sz.300766,71.0000,72.8900,65.1000,69.9100,71.0100,16233949,1117088295.1900,3,40.483663,1,-1.549075,112.429653,51.864529,156.808254,24.756016,0
2019-04-19,sz.300766,69.3000,72.6800,67.3300,68.5000,69.9100,10956442,764652650.9400,3,27.322798,1,-2.016884,110.162083,50.818484,153.645622,24.256717,0
2019-04-22,sz.300766,67.5600,71.2900,66.9100,69.5600,68.5000,10083443,699550878.8000,3,25.145743,1,1.547442,111.866781,51.604872,156.023204,24.632077,0
2019-04-23,sz.300766,69.8000,75.0000,68.6100,68.6100,69.5600,11845999,849118269.3100,3,29.541145,1,-1.365723,110.338986,50.900090,153.892352,24.295670,0
2019-04-24,sz.300766,69.7100,71.4700,68.0100,69.6100,68.6100,9093164,636127872.9200,3,22.676219,1,1.457513,111.947191,51.641966,156.135354,24.649782,0
2019-04-25,sz.300766,66.7000,67.7900,64.2100,64.4500,69.6100,8750708,578648565.8400,3,21.822214,1,-7.412733,103.648850,47.813887,144.561465,22.822561,0
2019-04-26,sz.300766,64.6600,65.5800,58.3000,58.7800,64.4500,9574179,587770650.4700,3,23.875758,1,-8.797515,97.041172,42.863681,719.397291,14.337377,0
2019-04-29,sz.300766,58.3400,58.9900,53.5800,54.7000,58.7800,7203626,406132037.5700,3,17.964155,1,-6.941133,90.305411,39.888454,669.462944,13.342200,0
2019-04-30,sz.300766,54.8000,58.2300,53.7900,56.7900,54.7000,5831117,324655828.8200,3,14.541439,1,3.820841,93.755838,41.412528,695.042058,13.851984,0
2019-05-06,sz.300766,53.8000,54.7800,51.1100,51.1100,56.7900,4562218,241507738.7600,3,11.377102,1,-10.001760,84.378603,37.270546,625.525613,12.466542,0
2019-05-07,sz.300766,51.5800,52.6300,49.6100,50.5800,51.1100,5663131,288824509.0100,3,14.122521,1,-1.036977,83.503614,36.884059,619.039044,12.337267,0
2019-05-08,sz.300766,48.5000,51.6600,47.5700,50.2100,50.5800,5816105,289657480.6100,3,14.504002,1,-0.731520,82.892773,36.614246,614.510684,12.247018,0
2019-05-09,sz.300766,49.3100,51.7900,48.8800,49.0000,50.2100,4061110,204424692.6900,3,10.127456,1,-2.409877,80.895158,35.731888,599.701723,11.951880,0
2019-05-10,sz.300766,50.0900,51.7100,48.5000,51.6000,49.0000,5394162,272816021.0200,3,13.451776,1,5.306119,85.187554,37.627865,631.522631,12.586061,0
2019-05-13,sz.300766,50.5100,51.5700,49.8200,50.6800,51.6000,3257235,165231947.0900,3,8.122781,1,-1.782942,83.668707,36.956981,620.262925,12.361658,0
2019-05-14,sz.300766,49.9900,55.7500,48.0500,55.7500,50.6800,7432639,383194051.1500,3,18.535259,1,10.003950,92.038879,40.654137,682.313695,13.598312,0
2019-05-15,sz.300766,54.0600,56.3500,54.0300,55.0800,55.7500,6882511,380411487.8200,3,17.163369,1,-1.201790,90.932762,40.165559,674.113692,13.434888,0
2019-05-16,sz.300766,54.5800,55.3000,52.8300,53.7000,55.0800,3951835,212840258.2500,3,9.854950,1,-2.505448,88.654490,39.159232,657.224133,13.098284,0
2019-05-17,sz.300766,53.2200,54.5000,48.3300,48.3300,53.7000,5414560,276746233.4700,3,13.502643,1,-9.999998,79.789041,35.243309,591.501720,11.788456,0
