date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1996-10-09,sh.600761,9.9800,10.3200,9.3000,10.3000,5.2000,18870484,186604412.0000,3,62.901613,1,98.076930,46.577626,2.234439,0.000000,7.873097,0
1996-10-10,sh.600761,10.3000,11.2000,10.2000,11.1800,10.3000,8616015,93587187.0000,3,28.720050,1,8.543691,50.557074,2.425342,0.000000,8.545750,0
1996-10-11,sh.600761,11.1800,11.7800,10.8000,11.7700,11.1800,8487189,97135549.0000,3,28.290630,1,5.277282,53.225112,2.553334,0.000000,8.996734,0
1996-10-14,sh.600761,12.0500,12.1400,11.6000,12.0100,11.7700,5138233,61281962.0000,3,17.127443,1,2.039080,54.310416,2.605399,0.000000,9.180184,0
1996-10-15,sh.600761,12.0600,13.1900,12.0200,13.1800,12.0100,8152879,102323706.0000,3,27.176263,1,9.741882,59.601273,2.859214,0.000000,10.074507,0
1996-10-16,sh.600761,13.3000,13.9000,12.6600,12.8000,13.1800,6702982,90098880.0000,3,22.343273,1,-2.883157,57.882875,2.776778,0.000000,9.784043,0
1996-10-17,sh.600761,13.0000,13.0000,12.0000,12.7000,12.8000,5010229,62140369.0000,3,16.700763,1,-0.781253,57.430665,2.755085,0.000000,9.707606,0
1996-10-18,sh.600761,12.4000,12.4000,11.9000,12.2300,12.7000,3855460,46590381.0000,3,12.851533,1,-3.700789,55.305278,2.653125,0.000000,9.348348,0
1996-10-21,sh.600761,12.0500,12.0500,11.0500,11.0500,12.2300,2245900,25881613.0000,3,7.486333,1,-9.648400,49.969201,2.397141,0.000000,8.446381,0
1996-10-22,sh.600761,11.1000,11.6500,11.0000,11.1500,11.0500,2792019,31554681.0000,3,9.306730,1,0.904972,50.421411,2.418834,0.000000,8.522819,0
1996-10-23,sh.600761,11.1800,11.3700,10.9300,11.2500,11.1500,2911878,32515559.0000,3,9.706260,1,0.896864,50.873621,2.440528,0.000000,8.599257,0
1996-10-24,sh.600761,11.2800,11.9800,11.2800,11.9000,11.2500,4447441,51976986.0000,3,14.824803,1,5.777774,53.812985,2.581536,0.000000,9.096103,0
1996-10-25,sh.600761,11.9000,12.0600,11.5800,11.8000,11.9000,2919328,34438979.0000,3,9.731093,1,-0.840331,53.360775,2.559842,0.000000,9.019665,0
1996-10-28,sh.600761,11.6000,12.0900,11.0800,11.7000,11.8000,2374586,28156729.0000,3,7.915287,1,-0.847461,52.908566,2.538149,0.000000,8.943227,0
1996-10-29,sh.600761,11.8000,12.3800,11.7100,12.1000,11.7000,3777942,45944941.0000,3,12.593140,1,3.418808,54.717405,2.624923,0.000000,9.248979,0
1996-10-30,sh.600761,12.1800,12.1800,11.0200,11.2000,12.1000,1404589,16219398.0000,3,4.681963,1,-7.438021,50.647516,2.429681,0.000000,8.561038,0
1996-10-31,sh.600761,11.2800,11.4500,11.0300,11.4500,11.2000,1467758,16487831.0000,3,4.892527,1,2.232143,51.778041,2.483915,0.000000,8.752133,0
1996-11-01,sh.600761,11.1800,11.4000,10.5700,11.4000,11.4500,1137341,12514721.0000,3,3.791137,1,-0.436683,51.551936,2.473068,0.000000,8.713914,0
1996-11-04,sh.600761,11.2000,11.6900,11.0600,11.6400,11.4000,1867139,21479442.0000,3,6.223797,1,2.105270,52.637240,2.525133,0.000000,8.897364,0
1996-11-05,sh.600761,11.6000,11.9500,11.4000,11.4100,11.6400,1753000,20512669.0000,3,5.843333,1,-1.975949,51.597157,2.475237,0.000000,8.721557,0
1996-11-06,sh.600761,11.6000,11.8800,11.4200,11.7800,11.4100,1488770,17369728.0000,3,4.962567,1,3.242769,53.270333,2.555504,0.000000,9.004377,0
1996-11-07,sh.600761,11.8800,12.5500,11.8800,12.3500,11.7800,5771062,70777029.0000,3,19.236873,1,4.838715,55.847930,2.679157,0.000000,9.440073,0
1996-11-08,sh.600761,12.3000,12.4500,11.8600,12.1000,12.3500,3344869,40620801.0000,3,11.149563,1,-2.024292,54.717405,2.624923,0.000000,9.248979,0
1996-11-11,sh.600761,12.2100,12.5600,11.9000,12.1400,12.1000,3680207,45245696.0000,3,12.267357,1,0.330578,54.898289,2.633601,0.000000,9.279554,0
1996-11-12,sh.600761,12.1500,12.4400,11.7500,11.8000,12.1400,3616270,43390225.0000,3,12.054233,1,-2.800660,53.360775,2.559842,0.000000,9.019665,0
1996-11-13,sh.600761,11.9800,12.0100,11.3600,11.5000,11.8000,2775483,32128810.0000,3,9.251610,1,-2.542374,52.004146,2.494762,0.000000,8.790351,0
1996-11-14,sh.600761,11.5000,12.0000,11.4000,11.5000,11.5000,3415040,39713339.0000,3,11.383467,1,0.000000,52.004146,2.494762,0.000000,8.790351,0
1996-11-15,sh.600761,11.5800,11.6800,11.0100,11.1000,11.5000,5225055,58443920.0000,3,17.416850,1,-3.478258,50.195306,2.407987,0.000000,8.484600,0
1996-11-18,sh.600761,11.1000,11.6900,11.0600,11.6000,11.1000,2289999,26042605.0000,3,7.633330,1,4.504504,52.456356,2.516455,0.000000,8.866789,0
1996-11-19,sh.600761,11.8000,12.1400,11.4800,11.5000,11.6000,2516479,29598780.0000,3,8.388263,1,-0.862072,52.004146,2.494762,0.000000,8.790351,0
1996-11-20,sh.600761,11.5000,11.7500,11.4100,11.5500,11.5000,2011500,23299552.0000,3,6.705000,1,0.434784,52.230251,2.505608,0.000000,8.828570,0
1996-11-21,sh.600761,11.6000,11.9500,11.0100,11.0100,11.5500,2108521,24417695.0000,3,7.028403,1,-4.675324,49.788317,2.388463,0.000000,8.415806,0
1996-11-22,sh.600761,10.8000,11.2000,10.7000,10.9500,11.0100,1214598,13231075.0000,3,4.048660,1,-0.544963,49.516991,2.375447,0.000000,8.369943,0
1996-11-25,sh.600761,10.9000,11.2000,10.7100,11.1500,10.9500,1171002,12823902.0000,3,3.903340,1,1.826482,50.421411,2.418834,0.000000,8.522819,0
1996-11-26,sh.600761,11.2000,11.2500,10.8000,10.8200,11.1500,1236100,13562997.0000,3,4.120333,1,-2.959641,48.929118,2.347245,0.000000,8.270574,0
1996-11-27,sh.600761,10.9700,11.4200,10.7500,11.1500,10.8200,1037852,11537335.0000,3,3.459507,1,3.049907,50.421411,2.418834,0.000000,8.522819,0
1996-11-28,sh.600761,11.1500,11.8800,11.0200,11.8000,11.1500,3102131,35946848.0000,3,10.340437,1,5.829602,53.360775,2.559842,0.000000,9.019665,0
1996-11-29,sh.600761,11.8000,12.5800,11.6100,12.3700,11.8000,5853623,70709298.0000,3,19.512077,1,4.830506,55.938372,2.683496,0.000000,9.455361,0
1996-12-02,sh.600761,12.8000,13.3000,12.7100,13.2500,12.3700,5564306,72991230.0000,3,18.547687,1,7.113986,59.917820,2.874399,0.000000,10.128014,0
