date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1997-09-08,sh.600118,12.0700,12.4000,11.8000,12.1200,5.2800,15533353,187421286.0000,3,64.534080,1,129.545400,61.010448,6.576083,0.000000,14.602821,0
1997-09-09,sh.600118,12.0000,12.1000,11.3500,11.3800,12.1200,5136833,59832822.0000,3,21.341226,1,-6.105609,57.285388,6.174573,0.000000,13.711229,0
1997-09-10,sh.600118,11.3600,11.6900,11.2100,11.6500,11.3800,2341054,26674996.0000,3,9.726024,1,2.372579,58.644532,6.321070,0.000000,14.036540,0
1997-09-11,sh.600118,11.6500,11.7500,11.2000,11.3500,11.6500,1479234,16996427.0000,3,6.145550,1,-2.575101,57.134372,6.158295,0.000000,13.675084,0
1997-09-12,sh.600118,11.4200,11.9500,11.2500,11.7500,11.3500,2957113,34466401.0000,3,12.285472,1,3.524225,59.147918,6.375328,0.000000,14.157025,0
1997-09-15,sh.600118,11.9800,12.0600,11.4500,11.5000,11.7500,2081858,24299099.0000,3,8.649182,1,-2.127660,57.889452,6.239683,0.000000,13.855812,0
1997-09-16,sh.600118,11.6000,11.7000,11.2500,11.4500,11.5000,1116166,12698382.0000,3,4.637167,1,-0.434784,57.637758,6.212554,0.000000,13.795569,0
1997-09-17,sh.600118,11.4800,11.5000,10.8300,11.0000,11.4500,981866,10913465.0000,3,4.079211,1,-3.930130,55.372519,5.968392,0.000000,13.253385,0
1997-09-18,sh.600118,10.9500,11.3500,10.9200,11.0800,11.0000,1154159,12766704.0000,3,4.795010,1,0.727272,55.775228,6.011799,0.000000,13.349774,0
1997-09-19,sh.600118,11.1600,11.3900,11.0100,11.1800,11.0800,947538,10621719.0000,3,3.936593,1,0.902531,56.278615,6.066057,0.000000,13.470259,0
1997-09-22,sh.600118,11.4500,11.4500,10.3000,10.3800,11.1800,1065588,11454096.0000,3,4.427038,1,-7.155637,52.251523,5.631992,0.000000,12.506376,0
1997-09-23,sh.600118,10.3800,10.4600,9.4600,9.7700,10.3800,1484171,14803113.0000,3,6.166061,1,-5.876683,49.180865,5.301017,0.000000,11.771416,0
1997-09-24,sh.600118,10.1900,10.3600,9.8200,10.2700,9.7700,1363313,13724357.0000,3,5.663951,1,5.117707,51.697797,5.572308,0.000000,12.373842,0
1997-09-25,sh.600118,10.1800,10.2800,9.9000,10.1600,10.2700,1067503,10788866.0000,3,4.434994,1,-1.071087,51.144072,5.512624,0.000000,12.241309,0
1997-09-26,sh.600118,10.2500,10.4800,9.8800,10.3600,10.1600,953780,9699482.0000,3,3.962526,1,1.968502,52.150845,5.621140,0.000000,12.482279,0
1997-09-29,sh.600118,10.3600,10.3600,10.0500,10.1000,10.3600,711719,7242346.0000,3,2.956872,1,-2.509645,50.842040,5.480069,0.000000,12.169017,0
1997-09-30,sh.600118,10.1000,10.5800,10.1000,10.3500,10.1000,839045,8705385.0000,3,3.485854,1,2.475247,52.100507,5.615714,0.000000,12.470231,0
1997-10-06,sh.600118,10.4000,10.4800,10.1500,10.2900,10.3500,489138,5048328.0000,3,2.032148,1,-0.579714,51.798475,5.583159,0.000000,12.397940,0
1997-10-07,sh.600118,10.2800,10.3000,9.9500,10.1400,10.2900,409034,4131692.0000,3,1.699352,1,-1.457722,51.043395,5.501772,0.000000,12.217212,0
1997-10-08,sh.600118,10.4800,10.6200,10.2500,10.5100,10.1400,742532,7758661.0000,3,3.084886,1,3.648914,52.905925,5.702527,0.000000,12.663007,0
1997-10-09,sh.600118,10.5400,10.6900,10.2800,10.3000,10.5100,481864,5065223.0000,3,2.001928,1,-1.998097,51.848813,5.588585,0.000000,12.409988,0
