date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1996-10-11,sh.600760,27.5000,27.7900,25.8000,26.0000,13.3800,7455430,200693843.0000,3,42.602457,1,94.319880,23.899402,3.617746,0.000000,14.431431,0
1996-10-14,sh.600760,26.0000,26.2800,22.5000,25.9000,26.0000,1737096,44401617.0000,3,9.926263,1,-0.384617,23.807481,3.603832,0.000000,14.375926,0
1996-10-15,sh.600760,25.8000,26.3000,25.5100,25.9800,25.9000,539624,14038830.0000,3,3.083566,1,0.308880,23.881018,3.614964,0.000000,14.420330,0
1996-10-16,sh.600760,26.3000,28.4800,26.2000,28.4800,25.9800,1709990,46662207.0000,3,9.771371,1,9.622787,26.179037,3.962824,0.000000,15.807968,0
1996-10-17,sh.600760,28.8000,30.3900,28.4800,29.5000,28.4800,2657821,79173427.0000,3,15.187549,1,3.581462,27.116629,4.104751,0.000000,16.374124,0
1996-10-18,sh.600760,29.5000,29.5900,27.7600,28.0000,29.5000,1176954,33415600.0000,3,6.725451,1,-5.084745,25.737818,3.896035,0.000000,15.541541,0
1996-10-21,sh.600760,28.0000,28.1500,27.0900,27.1200,28.0000,603100,16587306.0000,3,3.446286,1,-3.142854,24.928915,3.773588,0.000000,15.053093,0
1996-10-22,sh.600760,26.1000,27.9700,26.1000,26.7500,27.1200,682890,18289056.0000,3,3.902229,1,-1.364310,24.588808,3.722105,0.000000,14.847722,0
1996-10-23,sh.600760,27.1200,27.2000,26.6000,26.9500,26.7500,413103,11078917.0000,3,2.360589,1,0.747666,24.772650,3.749933,0.000000,14.958733,0
1996-10-24,sh.600760,27.3000,27.5000,26.6000,26.6000,26.9500,342400,9306868.0000,3,1.956571,1,-1.298703,24.450927,3.701233,0.000000,14.764464,0
1996-10-25,sh.600760,27.0000,27.4500,26.4600,26.6600,26.6000,402230,10732684.0000,3,2.298457,1,0.225562,24.506079,3.709582,0.000000,14.797767,0
1996-10-28,sh.600760,26.5800,26.9900,26.5800,26.7500,26.6600,350462,9374390.0000,3,2.002640,1,0.337585,24.588808,3.722105,0.000000,14.847722,0
1996-10-29,sh.600760,26.7800,28.0900,26.5200,28.0000,26.7500,689135,18701328.0000,3,3.937914,1,4.672897,25.737818,3.896035,0.000000,15.541541,0
1996-10-30,sh.600760,28.0200,28.6900,26.7100,27.1000,28.0000,742269,20514959.0000,3,4.241537,1,-3.214284,24.910531,3.770805,0.000000,15.041992,0
1996-10-31,sh.600760,27.3000,27.8000,26.8800,27.2500,27.1000,579486,15874861.0000,3,3.311349,1,0.553504,25.048412,3.791677,0.000000,15.125250,0
1996-11-01,sh.600760,27.0000,27.1800,25.5200,26.2000,27.2500,606224,15996346.0000,3,3.464137,1,-3.853208,24.083244,3.645575,0.000000,14.542442,0
1996-11-04,sh.600760,26.1700,26.5900,26.0000,26.3000,26.2000,245864,6440946.0000,3,1.404937,1,0.381673,24.175165,3.659490,0.000000,14.597948,0
1996-11-05,sh.600760,26.8000,26.8000,25.7000,25.7000,26.3000,373968,9778738.0000,3,2.136960,1,-2.281363,23.623640,3.576003,0.000000,14.264915,0
1996-11-06,sh.600760,25.7000,26.2000,25.0000,25.6100,25.7000,229619,5854062.0000,3,1.312109,1,-0.350195,23.540911,3.563480,0.000000,14.214960,0
1996-11-07,sh.600760,25.7800,26.0000,25.5800,25.7500,25.6100,155714,4009893.0000,3,0.889794,1,0.546659,23.669600,3.582960,0.000000,14.292667,0
