date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1993-12-06,sh.600699,7.4900,8.9300,7.0300,8.9300,3.2000,22186320,184917972.6500,3,88.745280,1,179.062500,98.589956,9.297550,0.000000,7.370476,0
1993-12-07,sh.600699,9.2000,9.4000,8.0700,8.2000,8.9300,16032745,143116382.2800,3,64.130980,1,-8.174697,90.530531,8.537504,0.000000,6.767963,0
1993-12-08,sh.600699,8.3500,8.4800,7.8100,8.0500,8.2000,4081390,33363408.0800,3,16.325560,1,-1.829264,88.874485,8.381330,0.000000,6.644159,0
1993-12-09,sh.600699,8.0800,8.1500,7.5100,7.7500,8.0500,1572800,12335826.9500,3,6.291200,1,-3.726710,85.562392,8.068982,0.000000,6.396550,0
1993-12-10,sh.600699,7.7000,7.7500,7.3000,7.5100,7.7500,1506904,11329787.8800,3,6.027616,1,-3.096771,82.912718,7.819104,0.000000,6.198463,0
1993-12-13,sh.600699,7.6100,7.6700,7.0200,7.1200,7.5100,889450,6530286.1000,3,3.557800,1,-5.193080,78.606998,7.413052,0.000000,5.876572,0
1993-12-14,sh.600699,7.1000,7.2000,6.7200,7.1000,7.1200,1633430,11377660.0000,3,6.533720,1,-0.280899,78.386191,7.392229,0.000000,5.860065,0
1993-12-15,sh.600699,7.2400,7.2800,6.9200,7.2000,7.1000,1772600,12645274.9800,3,7.090400,1,1.408449,79.490222,7.496345,0.000000,5.942601,0
1993-12-16,sh.600699,7.2000,7.2000,6.6400,6.6400,7.2000,894900,6230824.5000,3,3.579600,1,-7.777777,73.307649,6.913296,0.000000,5.480399,0
1993-12-17,sh.600699,6.7100,6.9600,6.4600,6.5600,6.6400,1267100,8448875.5000,3,5.068400,1,-1.204818,72.424425,6.830003,0.000000,5.414370,0
1993-12-20,sh.600699,5.8800,6.2000,5.0500,5.5400,6.5600,1779050,10076451.8000,3,7.116200,1,-15.548780,61.163310,5.768021,0.000000,4.572502,0
1993-12-21,sh.600699,5.5400,6.0500,5.3500,6.0500,5.5400,2975077,17048682.1700,3,11.900308,1,9.205780,66.793867,6.299012,0.000000,4.993436,0
1993-12-22,sh.600699,6.0400,6.1500,5.6100,5.7000,6.0500,2016651,11829741.0000,3,8.066604,1,-5.785130,62.929759,5.934606,0.000000,4.704559,0
1993-12-23,sh.600699,5.7000,5.9500,5.6500,5.8000,5.7000,1217330,7044409.0000,3,4.869320,1,1.754393,64.033790,6.038722,0.000000,4.787096,0
1993-12-24,sh.600699,5.9000,5.9800,5.6500,5.7200,5.8000,1023700,5953572.0000,3,4.094800,1,-1.379317,63.150566,5.955430,0.000000,4.721067,0
1993-12-27,sh.600699,5.9000,5.9500,5.7300,5.8700,5.7200,894628,5227789.9800,3,3.578512,1,2.622379,64.806612,6.111603,0.000000,4.844871,0
1993-12-28,sh.600699,5.8500,5.9000,5.6000,5.6500,5.8700,963490,5555840.6000,3,3.853960,1,-3.747867,62.377744,5.882548,0.000000,4.663291,0
1993-12-29,sh.600699,5.7100,5.7200,5.3800,5.4500,5.6500,882250,4847340.0000,3,3.529000,1,-3.539828,60.169682,5.674317,0.000000,4.498219,0
1993-12-30,sh.600699,5.4200,5.4400,5.2800,5.3000,5.4500,567700,3029723.0000,3,2.270800,1,-2.752287,58.513636,5.518143,0.000000,4.374415,0
1993-12-31,sh.600699,5.3100,5.5700,5.3100,5.5000,5.3000,1403870,7712863.1000,3,5.615480,1,3.773581,60.721698,5.726375,0.000000,4.539487,0
1994-01-03,sh.600699,5.6000,5.6200,5.4000,5.5100,5.5000,684895,3780104.7500,3,2.739580,1,0.181822,56.698331,5.346950,0.000000,4.238705,0
1994-01-04,sh.600699,5.5000,5.5400,5.3500,5.4000,5.5100,1032790,5657292.1000,3,4.131160,1,-1.996373,55.566422,5.240205,0.000000,4.154084,0
1994-01-05,sh.600699,5.3600,5.4000,5.3100,5.3200,5.4000,278400,1484794.0000,3,1.113600,1,-1.481480,54.743216,5.162572,0.000000,4.092542,0
1994-01-06,sh.600699,5.3900,5.4700,5.0900,5.2100,5.3200,503200,2655383.0000,3,2.012800,1,-2.067672,53.611308,5.055828,0.000000,4.007922,0
1994-01-07,sh.600699,5.3000,5.3500,5.2100,5.3100,5.2100,956548,5033811.5600,3,3.826192,1,1.919384,54.640315,5.152868,0.000000,4.084850,0
1994-01-10,sh.600699,5.6100,5.6100,5.3500,5.4000,5.3100,1243887,6772934.9500,3,4.975548,1,1.694918,55.566422,5.240205,0.000000,4.154084,0
1994-01-11,sh.600699,5.4500,5.4800,5.2200,5.2200,5.4000,563500,2999679.0000,3,2.254000,1,-3.333339,53.714208,5.065532,0.000000,4.015615,0
1994-01-12,sh.600699,5.2500,5.2800,5.1600,5.1800,5.2200,394700,2053346.0000,3,1.578800,1,-0.766283,53.302605,5.026715,0.000000,3.984844,0
1994-01-13,sh.600699,5.1800,5.4500,5.1800,5.3600,5.1800,1307100,7018590.6000,3,5.228400,1,3.474910,55.154819,5.201389,0.000000,4.123313,0
1994-01-14,sh.600699,5.4300,5.4400,4.9500,5.0500,5.3600,1153200,5919505.0000,3,4.612800,1,-5.783581,51.964895,4.900562,0.000000,3.884838,0
1994-01-17,sh.600699,5.1500,5.1800,5.0000,5.0000,5.0500,397000,2014942.0000,3,1.588000,1,-0.990103,51.450391,4.852042,0.000000,3.846375,0
1994-01-18,sh.600699,5.0500,5.0500,4.5200,4.7000,5.0000,601100,2838959.0000,3,2.404400,1,-6.000004,48.363368,4.560919,0.000000,3.615592,0
1994-01-19,sh.600699,4.7000,4.7000,4.4800,4.5200,4.7000,557150,2554069.0000,3,2.228600,1,-3.829784,46.511154,4.386246,0.000000,3.477123,0
1994-01-20,sh.600699,4.5000,4.5000,4.3600,4.4300,4.5200,442200,1950227.0000,3,1.768800,1,-1.991154,45.585047,4.298909,0.000000,3.407888,0
1994-01-21,sh.600699,4.3800,4.5500,4.3100,4.4700,4.4300,331900,1479559.9000,3,1.327600,1,0.902934,45.996650,4.337725,0.000000,3.438659,0
1994-01-24,sh.600699,4.5500,4.7800,4.5100,4.7200,4.4700,616895,2848170.2500,3,2.467580,1,5.592841,48.569169,4.580327,0.000000,3.630978,0
1994-01-25,sh.600699,4.7200,4.9300,4.6400,4.6500,4.7200,1316800,6346641.0000,3,5.267200,1,-1.483045,47.848864,4.512399,0.000000,3.577128,0
1994-01-26,sh.600699,4.5700,4.7000,4.4800,4.5200,4.6500,323300,1476949.0000,3,1.293200,1,-2.795701,46.511154,4.386246,0.000000,3.477123,0
1994-01-27,sh.600699,4.4500,4.6300,4.4500,4.5400,4.5200,122800,560266.0000,3,0.491200,1,0.442478,46.716955,4.405654,0.000000,3.492508,0
1994-01-28,sh.600699,4.5100,4.5200,4.3800,4.4200,4.5400,257200,1142254.0000,3,1.028800,1,-2.643169,45.482146,4.289205,0.000000,3.400195,0
1994-01-31,sh.600699,4.3900,4.3900,4.0600,4.2600,4.4200,229300,963958.5000,3,0.917200,1,-3.619906,43.835733,4.133940,0.000000,3.277111,0
1994-02-01,sh.600699,4.1800,4.2900,4.1100,4.1400,4.2600,162900,681725.0000,3,0.651600,1,-2.816910,42.600924,4.017491,0.000000,3.184798,0
1994-02-02,sh.600699,4.1100,4.2400,4.0300,4.2200,4.1400,225310,940845.5000,3,0.901240,1,1.932365,43.424130,4.095123,0.000000,3.246340,0
1994-02-03,sh.600699,4.2300,4.3900,4.2100,4.3000,4.2200,417750,1798613.0000,3,1.671000,1,1.895744,44.247336,4.172756,0.000000,3.307882,0
1994-02-04,sh.600699,4.3200,4.4800,4.2600,4.4100,4.3000,543000,2372777.8000,3,2.172000,1,2.558131,45.379245,4.279501,0.000000,3.392502,0
1994-02-14,sh.600699,4.5900,4.5900,4.1800,4.2500,4.4100,393100,1724542.0000,3,1.572400,1,-3.628115,43.732832,4.124235,0.000000,3.269418,0
1994-02-15,sh.600699,4.1800,4.3000,4.1200,4.2400,4.2500,182100,763675.0000,3,0.728400,1,-0.235299,43.629932,4.114531,0.000000,3.261726,0
1994-02-16,sh.600699,4.2800,4.2800,4.2400,4.2400,4.2400,77700,330429.0000,3,0.310800,1,0.000000,43.629932,4.114531,0.000000,3.261726,0
1994-02-17,sh.600699,4.1300,4.2000,4.1300,4.1900,4.2400,121300,506621.0000,3,0.485200,1,-1.179239,43.115428,4.066011,0.000000,3.223262,0
1994-02-18,sh.600699,4.2400,4.2400,4.1700,4.2200,4.1900,172550,721762.5000,3,0.690200,1,0.715984,43.424130,4.095123,0.000000,3.246340,0
1994-02-21,sh.600699,4.1900,4.2500,4.1000,4.1300,4.2200,155000,642981.0000,3,0.620000,1,-2.132694,42.498023,4.007786,0.000000,3.177105,0
1994-02-22,sh.600699,4.1100,4.2700,4.1100,4.2300,4.1300,283000,1198398.5000,3,1.132000,1,2.421305,43.527031,4.104827,0.000000,3.254033,0
1994-02-23,sh.600699,4.2200,4.4000,4.1600,4.2900,4.2300,593300,2558335.0000,3,2.373200,1,1.418438,44.144436,4.163052,0.000000,3.300189,0
1994-02-24,sh.600699,4.2800,4.2800,4.1600,4.2400,4.2900,233750,985392.5000,3,0.935000,1,-1.165506,43.629932,4.114531,0.000000,3.261726,0
1994-02-25,sh.600699,4.3400,4.4200,4.1900,4.3600,4.2400,777610,3380582.8000,3,3.110440,1,2.830197,44.864741,4.230980,0.000000,3.354039,0
1994-02-28,sh.600699,4.3600,4.3800,4.0000,4.1000,4.3600,586200,2494333.0000,3,2.344800,1,-5.963308,42.189321,3.978674,0.000000,3.154027,0
1994-03-01,sh.600699,4.1100,4.2100,4.0500,4.0900,4.1000,409800,1684333.0000,3,1.639200,1,-0.243896,42.086420,3.968970,0.000000,3.146334,0
1994-03-02,sh.600699,4.0300,4.1400,4.0100,4.0400,4.0900,488200,1981966.0000,3,1.952800,1,-1.222499,41.571916,3.920450,0.000000,3.107871,0
1994-03-03,sh.600699,4.0000,4.2500,4.0000,4.1000,4.0400,487200,1974740.0000,3,1.948800,1,1.485147,42.189321,3.978674,0.000000,3.154027,0
1994-03-04,sh.600699,4.0700,4.1600,4.0100,4.1600,4.1000,584500,2388922.0000,3,2.338000,1,1.463413,42.806725,4.036899,0.000000,3.200184,0
1994-03-07,sh.600699,4.1200,4.2500,4.0600,4.0800,4.1600,67800,280471.0000,3,0.271200,1,-1.923075,41.983519,3.959266,0.000000,3.138642,0
1994-03-08,sh.600699,4.1500,4.5000,4.1500,4.5000,4.0800,3583092,15513497.0000,3,14.332368,1,10.294120,46.305352,4.366838,0.000000,3.461737,0
1994-03-09,sh.600699,4.7400,4.8800,4.6200,4.8000,4.5000,5414960,25647382.0000,3,21.659840,1,6.666671,49.392375,4.657960,0.000000,3.692520,0
1994-03-10,sh.600699,4.8000,4.8500,4.0500,4.7700,4.8000,3839900,17930654.0000,3,15.359600,1,-0.625004,49.083673,4.628848,0.000000,3.669441,0
1994-03-11,sh.600699,4.6000,4.6000,4.3100,4.5800,4.7700,1604550,7252746.0000,3,6.418200,1,-3.983230,47.128558,4.444470,0.000000,3.523279,0
1994-03-14,sh.600699,4.9500,5.4000,4.7000,5.2500,4.5800,5339568,27005032.0000,3,21.358272,1,14.628820,54.022911,5.094644,0.000000,4.038693,0
1994-03-15,sh.600699,5.3100,5.4400,4.8300,5.0200,5.2500,3261163,16876516.0000,3,13.044652,1,-4.380952,51.656193,4.871450,0.000000,3.861760,0
1994-03-16,sh.600699,5.0000,5.0000,4.7000,4.9400,5.0200,1648463,8021510.0000,3,6.593852,1,-1.593624,50.832986,4.793817,0.000000,3.800218,0
1994-03-17,sh.600699,5.0000,5.1500,4.6100,4.7900,4.9400,1002320,4796117.0000,3,4.009280,1,-3.036439,34.783256,4.761857,0.000000,2.098774,0
1994-03-18,sh.600699,4.7800,4.7800,4.5000,4.7200,4.7900,1675902,7788235.0000,3,6.703608,1,-1.461381,34.274941,4.692269,0.000000,2.068103,0
1994-03-21,sh.600699,4.5000,4.6500,4.3500,4.3500,4.7200,787120,3539433.0000,3,3.148480,1,-7.838981,31.588134,4.324442,0.000000,1.905985,0
1994-03-22,sh.600699,4.2100,4.4100,4.2100,4.4100,4.3500,551500,2403695.0000,3,2.206000,1,1.379309,32.023833,4.384090,0.000000,1.932275,0
1994-03-23,sh.600699,4.4200,4.6700,4.3800,4.6400,4.4100,1630200,7437209.0000,3,6.520800,1,5.215420,33.694010,4.612739,0.000000,2.033051,0
1994-03-24,sh.600699,4.6600,4.9800,4.6500,4.9800,4.6400,4869554,23533097.0000,3,19.478216,1,7.327590,36.162967,4.950741,0.000000,2.182024,0
1994-03-25,sh.600699,5.1000,5.4500,4.5500,4.8500,4.9800,13662396,70091728.0000,3,54.649584,1,-2.610444,35.218954,4.821505,0.000000,2.125064,0
1994-03-28,sh.600699,4.7000,4.9100,4.5800,4.9100,4.8500,2571441,12248426.0000,3,10.285764,1,1.237112,35.654653,4.881152,0.000000,2.151353,0
