date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1996-08-26,sh.600741,10.0100,11.0000,9.3000,9.6700,5.8000,9999220,101602293.0000,3,39.996880,1,66.724140,53.714491,4.984884,0.000000,13.685662,0
1996-08-27,sh.600741,9.5000,10.4200,9.3600,10.2600,9.6700,3335608,33079308.0000,3,13.342432,1,6.101346,56.991797,5.289029,0.000000,14.520671,0
1996-08-28,sh.600741,10.2900,11.0900,10.1400,11.0400,10.2600,6613950,69565158.0000,3,26.455800,1,7.602336,61.324507,5.691119,0.000000,15.624582,0
1996-08-29,sh.600741,10.8200,11.3600,10.6200,10.8900,11.0400,5050474,55675074.0000,3,20.201896,1,-1.358692,60.491294,5.613794,0.000000,12.893091,0
1996-08-30,sh.600741,10.9500,11.3800,10.8800,11.0400,10.8900,3917200,43486129.0000,3,15.668800,1,1.377407,61.324507,5.691119,0.000000,13.070682,0
1996-09-02,sh.600741,11.1700,11.6500,11.0000,11.4500,11.0400,3964504,45253955.0000,3,15.858016,1,3.713767,63.601957,5.902474,0.000000,13.556097,0
1996-09-03,sh.600741,11.4500,11.5000,10.8800,11.0000,11.4500,2273700,25466086.0000,3,9.094800,1,-3.930130,61.102317,5.670499,0.000000,13.023324,0
1996-09-04,sh.600741,10.9900,11.7000,10.8800,11.7000,11.0000,3784440,43249303.0000,3,15.137760,1,6.363635,64.990646,6.031349,0.000000,13.852081,0
1996-09-05,sh.600741,11.8800,12.5000,11.6200,11.7300,11.7000,5431400,66114738.0000,3,21.725600,1,0.256408,65.157289,6.046814,0.000000,13.887599,0
1996-09-06,sh.600741,11.7300,12.3400,11.6900,12.3000,11.7300,3508080,42036192.0000,3,14.032320,1,4.859341,68.323500,6.340649,0.000000,14.562444,0
1996-09-09,sh.600741,12.4500,13.1500,11.9800,13.1500,12.3000,5696898,72163198.0000,3,22.787592,1,6.910564,73.045042,6.778824,0.000000,15.568792,0
1996-09-10,sh.600741,12.8000,13.0400,11.7000,11.8500,13.1500,3883568,48071544.0000,3,15.534272,1,-9.885926,65.823859,6.108674,0.000000,14.029672,0
1996-09-11,sh.600741,11.8000,12.3000,11.7000,12.1000,11.8500,1997800,24050245.0000,3,7.991200,1,2.109704,67.212548,6.237549,0.000000,14.325657,0
1996-09-12,sh.600741,12.2500,12.4000,11.8700,12.1400,12.1000,1898676,22912411.0000,3,7.594704,1,0.330578,67.434739,6.258169,0.000000,14.373014,0
1996-09-13,sh.600741,12.8000,13.4800,12.2000,13.3900,12.1400,5381090,69869632.0000,3,21.524360,1,10.296540,74.378184,6.902544,0.000000,15.852937,0
1996-09-16,sh.600741,13.3000,13.7000,13.0100,13.4500,13.3900,3022950,40569335.0000,3,12.091800,1,0.448092,74.711469,6.933474,0.000000,15.923974,0
1996-09-17,sh.600741,13.4200,14.0500,13.2200,13.8200,13.4500,2686390,36858968.0000,3,10.745560,1,2.750928,76.766729,7.124209,0.000000,16.362031,0
1996-09-18,sh.600741,13.8800,14.2900,13.3600,13.4000,13.8200,2103700,29246020.0000,3,8.414800,1,-3.039074,74.433731,6.907699,0.000000,15.864777,0
1996-09-19,sh.600741,13.4000,13.5900,13.1500,13.3900,13.4000,771600,10269887.0000,3,3.086400,1,-0.074621,74.378184,6.902544,0.000000,15.852937,0
1996-09-20,sh.600741,13.4800,14.1000,13.4800,13.9300,13.3900,2295860,31721065.0000,3,9.183440,1,4.032860,77.377752,7.180914,0.000000,16.492264,0
1996-09-23,sh.600741,14.0500,14.3000,13.8000,14.0800,13.9300,2166003,30537233.0000,3,8.664012,1,1.076810,78.210965,7.258239,0.000000,16.669855,0
1996-09-24,sh.600741,14.2000,15.2000,14.2000,14.9000,14.0800,4906297,72806675.0000,3,19.625188,1,5.823862,82.765865,7.680949,0.000000,17.640685,0
1996-09-25,sh.600741,14.8000,15.3400,14.5100,14.8000,14.9000,1557107,23230272.0000,3,6.228428,1,-0.671137,82.210390,7.629399,0.000000,17.522291,0
1996-09-26,sh.600741,15.3800,16.0000,15.0900,15.6900,14.8000,3778545,59089944.0000,3,15.114180,1,6.013509,87.154123,8.088193,0.000000,18.575996,0
1996-09-27,sh.600741,15.7800,15.7800,15.0800,15.4000,15.6900,1691780,26064109.0000,3,6.767120,1,-1.848311,85.543243,7.938699,0.000000,18.232654,0
1996-10-03,sh.600741,15.5500,15.5500,15.0000,15.1000,15.4000,977650,14947862.0000,3,3.910600,1,-1.948047,83.876817,7.784049,0.000000,17.877472,0
1996-10-04,sh.600741,15.1500,15.4500,14.0100,14.7000,15.1000,1743300,26119437.0000,3,6.973200,1,-2.649010,81.654914,7.577849,0.000000,17.403897,0
1996-10-07,sh.600741,14.8800,14.9500,14.0800,14.3000,14.7000,909100,13131907.0000,3,3.636400,1,-2.721086,79.433012,7.371649,0.000000,16.930322,0
1996-10-08,sh.600741,14.3500,14.7500,14.2800,14.4500,14.3000,1238720,17974234.0000,3,4.954880,1,1.048948,80.266225,7.448974,0.000000,17.107912,0
1996-10-09,sh.600741,14.5800,14.7300,14.1200,14.6000,14.4500,1033450,14965439.0000,3,4.133800,1,1.038066,81.099439,7.526299,0.000000,17.285503,0
1996-10-10,sh.600741,14.7200,14.9800,14.5300,14.8000,14.6000,1307000,19258462.0000,3,5.228000,1,1.369862,82.210390,7.629399,0.000000,17.522291,0
1996-10-11,sh.600741,14.8800,14.9000,14.1800,14.3000,14.8000,757800,10981350.0000,3,3.031200,1,-3.378378,79.433012,7.371649,0.000000,16.930322,0
1996-10-14,sh.600741,14.2000,15.2000,14.1800,14.8700,14.3000,1761844,25945972.0000,3,7.047376,1,3.986012,82.599223,7.665484,0.000000,17.605167,0
