date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2012-10-09,sh.603993,8.7000,9.6800,8.6600,9.6300,3.0000,175040418,1571741690.0000,3,87.520209,1,221.000000,38.620996,8.221596,-99.002891,4.384790,0
2012-10-10,sh.603993,9.8800,10.5900,8.9900,10.5900,9.6300,146349124,1397022023.0000,3,73.174562,1,9.968800,42.471064,9.041194,-108.872338,4.821903,0
2012-10-11,sh.603993,10.1100,10.4400,9.5300,9.6800,10.5900,120872279,1213281052.0000,3,60.436139,1,-8.593000,38.821521,8.264283,-99.516925,4.407556,0
2012-10-12,sh.603993,9.4500,9.7600,9.0300,9.0900,9.6800,75998677,709372476.0000,3,37.999339,1,-6.095000,36.455333,7.760572,-93.451327,4.138914,0
2012-10-15,sh.603993,9.1000,9.2700,8.8500,9.1100,9.0900,55633510,504666843.0000,3,27.816755,1,0.220000,36.535543,7.777647,-93.656941,4.148020,0
2012-10-16,sh.603993,9.0000,9.1500,8.7900,8.8600,9.1100,43095012,386985012.0000,3,21.547506,1,-2.744200,35.532921,7.564210,-91.086772,4.034189,0
2012-10-17,sh.603993,8.8800,8.9500,8.5300,8.7600,8.8600,45126451,393767565.0000,3,22.563226,1,-1.128700,35.131872,7.478835,-90.058705,3.988656,0
2012-10-18,sh.603993,8.7500,9.1000,8.6900,9.0100,8.7600,55210820,491810765.0000,3,27.605410,1,2.853900,36.134494,7.692272,-92.628873,4.102488,0
2012-10-19,sh.603993,8.9800,8.9800,8.6600,8.6900,9.0100,35181409,310167487.0000,3,17.590705,1,-3.551616,34.851138,7.419072,-89.339058,3.956784,0
2012-10-22,sh.603993,8.5000,8.5700,8.3000,8.5300,8.6900,31156050,263086740.0000,3,15.578025,1,-1.841200,34.209460,7.282473,-87.694150,3.883931,0
2012-10-23,sh.603993,8.6000,9.2800,8.5100,8.9400,8.5300,65124957,582180336.0000,3,32.562479,1,4.806600,35.853760,7.632509,-91.909226,4.070615,0
2012-10-24,sh.603993,8.7900,8.8300,8.6200,8.7900,8.9400,31220333,272258058.0000,3,15.610167,1,-1.677900,35.252187,7.504447,-90.367125,4.002316,0
2012-10-25,sh.603993,8.7000,8.8600,8.3600,8.5000,8.7900,32584679,280109595.0000,3,16.292340,1,-3.299200,36.734898,7.648581,31.556964,3.612354,0
2012-10-26,sh.603993,8.5100,8.5500,7.9000,7.9900,8.5000,33099025,269476876.0000,3,16.549512,1,-6.000000,34.530804,7.189666,29.663546,3.395613,0
2012-10-29,sh.603993,7.9100,8.0600,7.8400,8.0100,7.9900,16396693,130437190.0000,3,8.198347,1,0.250300,34.617239,7.207663,29.737798,3.404113,0
2012-10-30,sh.603993,7.9800,8.1500,7.8600,8.0400,8.0100,19765438,158126824.0000,3,9.882719,1,0.374500,34.746892,7.234658,29.849175,3.416862,0
2012-10-31,sh.603993,7.9800,8.0300,7.8200,7.9800,8.0400,15893521,125898556.0000,3,7.946760,1,-0.746300,34.487587,7.180668,29.626420,3.391363,0
2012-11-01,sh.603993,8.0000,8.5800,7.9600,8.2300,7.9800,56262080,469265090.0000,3,28.131040,1,3.132800,35.568025,7.405626,30.554566,3.497609,0
2012-11-02,sh.603993,8.1800,8.6900,8.1600,8.4000,8.2300,49745183,420437096.0000,3,24.872591,1,2.065600,36.302723,7.558598,31.185705,3.569856,0
