date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-07-20,sh.688256,250.0000,295.0000,205.6000,212.4000,64.3900,24237613,5645861832.0000,3,77.922500,1,229.864900,-67.198140,192.594469,-444.654616,19.997478,0
2020-07-21,sh.688256,208.0000,285.6000,202.0000,274.0000,212.4000,17584895,4292970831.0000,3,56.534400,1,29.001900,-86.686866,248.450492,-573.612829,25.797123,0
2020-07-22,sh.688256,260.0000,284.3300,257.7700,281.0000,274.0000,12701827,3450335246.0000,3,40.835600,1,2.554700,-88.901494,254.797767,-588.267171,26.456173,0
2020-07-23,sh.688256,274.9200,297.7700,268.0000,281.5000,281.0000,9920207,2791441975.9400,3,31.892900,1,0.177900,-89.059682,255.251144,-589.313910,26.503248,0
2020-07-24,sh.688256,273.0000,276.0000,240.4400,259.3300,281.5000,11385255,2940728530.0000,3,36.602900,1,-7.875700,-82.045639,235.148416,-542.901514,24.415941,0
2020-07-27,sh.688256,252.2800,257.9000,227.9400,234.0100,259.3300,8338869,2022044467.0000,3,26.809000,1,-9.763600,-74.035013,212.189414,-489.894664,22.032061,0
2020-07-28,sh.688256,236.0000,243.8000,227.5000,238.6400,234.0100,5977562,1410915512.0000,3,19.217500,1,1.978600,-75.499831,216.387684,-499.587465,22.467976,0
2020-07-29,sh.688256,234.5300,245.7800,229.6600,241.5000,238.6400,5473260,1312286233.0000,3,17.596200,1,1.198500,-76.404665,218.980999,-505.574811,22.737245,0
2020-07-30,sh.688256,240.0000,254.9900,236.3600,243.1700,241.5000,6180875,1516837929.4300,3,19.871100,1,0.691500,-76.933012,220.495278,-509.070918,22.894476,0
2020-07-31,sh.688256,238.0100,255.5500,237.1000,249.6000,243.1700,5629413,1392176361.0000,3,18.098200,1,2.644200,-78.967306,226.325703,-522.531978,23.499861,0
2020-08-03,sh.688256,250.0100,257.8800,247.0100,249.5000,249.6000,6972166,1760964726.0000,3,22.415100,1,-0.040100,-78.935669,226.235028,-522.322630,23.490446,0
2020-08-04,sh.688256,250.9700,252.8800,232.9900,235.0000,249.5000,5908943,1424160483.0000,3,18.996900,1,-5.811600,-74.348225,213.087101,-491.967207,22.125269,0
2020-08-05,sh.688256,246.0000,246.0000,236.7900,236.9200,235.0000,4082217,985070039.2900,3,13.124100,1,0.817000,-74.955666,214.828068,-495.986684,22.306038,0
2020-08-06,sh.688256,233.9600,247.4500,231.8000,243.8300,236.9200,5013107,1211258410.3000,3,16.116800,1,2.916600,-77.141820,221.093735,-510.452613,22.956615,0
2020-08-07,sh.688256,240.9800,240.9800,223.3700,227.4400,243.8300,4853751,1119390462.0000,3,15.604500,1,-6.721900,-71.956427,206.232043,-476.140517,21.413495,0
2020-08-10,sh.688256,219.9900,225.8900,218.0000,222.5000,227.4400,2517723,556920403.0000,3,8.094300,1,-2.172000,-70.393532,201.752680,-465.798739,20.948393,0
2020-08-11,sh.688256,220.8800,226.3000,219.1000,221.4900,222.5000,2243543,499535721.0000,3,7.212900,1,-0.453900,-70.073993,200.836859,-463.684326,20.853302,0
2020-08-12,sh.688256,220.3300,222.0000,213.5000,217.7600,221.4900,2028145,437985755.0000,3,6.520400,1,-1.684100,-68.893913,197.454668,-455.875655,20.502122,0
2020-08-13,sh.688256,219.0000,219.6000,212.0000,212.5000,217.7600,1744022,375895504.0000,3,5.606900,1,-2.415500,-67.229778,192.685144,-444.863964,20.006893,0
2020-08-14,sh.688256,212.3300,213.9000,207.5000,212.6800,212.5000,1653598,348869120.0000,3,5.316200,1,0.084700,-67.286725,192.848360,-445.240790,20.023840,0
2020-08-17,sh.688256,213.0000,219.8000,209.6800,219.0800,212.6800,2056219,443435980.0000,3,6.610600,1,3.009200,-69.311528,198.651583,-458.639046,20.626400,0
2020-08-18,sh.688256,219.1800,219.1800,212.3000,213.8100,219.0800,1839468,394749714.8900,3,5.913800,1,-2.405500,-67.644230,193.872991,-447.606419,20.130229,0
2020-08-19,sh.688256,213.8800,214.5000,204.8700,205.2000,213.8100,1968958,411339029.0000,3,6.330100,1,-4.026900,-64.920237,186.065843,-429.581578,19.319597,0
2020-08-20,sh.688256,204.0000,207.2700,200.1100,201.5100,205.2000,1634059,331414026.1300,3,5.253400,1,-1.798200,-63.752812,182.719922,-421.856646,18.972183,0
2020-08-21,sh.688256,202.5000,205.6200,201.1100,204.9500,201.5100,1081110,219802675.6700,3,3.475700,1,1.707100,-64.841143,185.839154,-429.058209,19.296059,0
2020-08-24,sh.688256,206.3000,207.8400,196.5000,197.9000,204.9500,2042284,407457572.5500,3,6.565800,1,-3.439900,-62.610697,179.446541,-414.299193,18.632301,0
2020-08-25,sh.688256,198.3800,199.8800,189.6600,189.9800,197.9000,2647656,513330948.0000,3,8.512100,1,-4.002000,-60.105003,172.265053,-397.718851,17.886633,0
2020-08-26,sh.688256,189.6600,190.9200,173.5100,176.4000,189.9800,3925619,711521259.0000,3,12.620600,1,-7.148100,-55.808625,159.951338,-369.289427,16.608075,0
2020-08-27,sh.688256,177.2000,188.8700,170.5100,182.5600,176.4000,3263707,586419659.3700,3,10.492600,1,3.492100,-57.757498,165.536941,-382.185248,17.188039,0
2020-08-28,sh.688256,177.7300,177.8800,168.0200,174.2800,182.5600,3513509,604292859.0000,3,11.295700,1,-4.535500,-51.649713,160.981658,111.434676,16.777627,0
2020-08-31,sh.688256,173.0000,177.2000,170.0000,170.0000,174.2800,2203273,382994315.0000,3,7.083400,1,-2.455800,-50.381290,157.028241,108.698043,16.365599,0
2020-09-01,sh.688256,170.2100,173.8000,169.0300,171.1800,170.0000,1594161,273420605.0000,3,5.125100,1,0.694100,-50.730996,158.118202,109.452536,16.479195,0
2020-09-02,sh.688256,170.9900,172.3500,167.1200,167.7600,171.1800,1469648,248042528.0000,3,4.724800,1,-1.997900,-49.717443,154.959163,107.265787,16.149958,0
2020-09-03,sh.688256,167.9000,172.5600,164.2800,170.0900,167.7600,2584763,437472228.4700,3,8.309900,1,1.388900,-50.407963,157.111374,108.755589,16.374263,0
2020-09-04,sh.688256,166.7800,182.3000,166.7800,174.5300,170.0900,3431503,606661796.6100,3,11.032100,1,2.610400,-51.723803,161.212582,111.594526,16.801694,0
2020-09-07,sh.688256,170.4000,172.8000,163.5200,163.5200,174.5300,2828212,473534230.0000,3,9.092500,1,-6.308400,-48.460874,151.042694,104.554730,15.741781,0
2020-09-08,sh.688256,163.5100,163.5100,160.0100,160.8600,163.5200,1465181,236398576.0000,3,4.710500,1,-1.626700,-47.672555,148.585664,102.853925,15.485707,0
2020-09-09,sh.688256,159.0000,165.9000,155.0000,160.6800,160.8600,2242834,359860676.0000,3,7.210600,1,-0.111900,-47.619210,148.419399,102.738833,15.468379,0
2020-09-10,sh.688256,162.0000,165.7700,157.3300,157.5800,160.6800,1454894,235198490.0000,3,4.677400,1,-1.929300,-46.700492,145.555943,100.756692,15.169948,0
2020-09-11,sh.688256,158.0700,162.8900,155.5500,161.9600,157.5800,1374164,219382545.0000,3,4.417900,1,2.779500,-47.998551,149.601729,103.557265,15.591602,0
2020-09-14,sh.688256,164.0000,167.5000,163.0000,164.7200,161.9600,1550297,256600966.9600,3,4.984100,1,1.704100,-48.816507,152.151129,105.322010,15.857303,0
2020-09-15,sh.688256,163.5000,170.8700,161.2600,169.3400,164.7200,2191487,366601497.0000,3,7.045500,1,2.804800,-50.185692,156.418602,108.276039,16.302062,0
2020-09-16,sh.688256,167.0000,170.5500,165.3900,166.7700,169.3400,1420541,237916832.0000,3,4.567000,1,-1.517700,-49.424046,154.044705,106.632780,16.054653,0
2020-09-17,sh.688256,166.7600,178.0000,163.7800,174.2200,166.7700,3009337,518489580.0000,3,9.674800,1,4.467200,-51.631932,160.926237,111.396312,16.771851,0
2020-09-18,sh.688256,173.0000,176.5000,172.0100,174.2600,174.2200,1629983,283449999.0000,3,5.240300,1,0.023000,-51.643786,160.963184,111.421888,16.775702,0
2020-09-21,sh.688256,173.9900,176.8800,169.5000,170.7700,174.2600,1433184,246903265.6600,3,4.607600,1,-2.002800,-50.609488,157.739487,109.190382,16.439725,0
