date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2015-03-18,sz.300433,27.5900,33.1100,27.5900,33.1100,22.9900,56200,1847168.0000,3,0.083432,1,44.019140,18.944480,1.537899,168.253388,3.008526,0
2015-03-19,sz.300433,36.4200,36.4200,36.4200,36.4200,33.1100,13100,477102.0000,3,0.019448,1,9.997000,20.838356,1.691643,185.073646,3.309288,0
2015-03-20,sz.300433,40.0600,40.0600,40.0600,40.0600,36.4200,10800,432648.0000,3,0.016033,1,9.994500,22.921048,1.860714,203.570847,3.640035,0
2015-03-23,sz.300433,44.0700,44.0700,44.0700,44.0700,40.0600,18900,832923.0000,3,0.028058,1,10.010000,25.215441,2.046972,223.948258,4.004402,0
2015-03-24,sz.300433,48.4800,48.4800,48.4800,48.4800,44.0700,29400,1425312.0000,3,0.043646,1,10.006800,27.738702,2.251808,246.358329,4.405114,0
2015-03-25,sz.300433,53.3300,53.3300,53.3300,53.3300,48.4800,44500,2373185.0000,3,0.066063,1,10.004100,30.513716,2.477082,271.004325,4.845807,0
2015-03-26,sz.300433,58.6600,58.6600,58.6600,58.6600,53.3300,127056,7453104.0000,3,0.188622,1,9.994400,33.563371,2.724651,298.089513,5.330116,0
2015-03-27,sz.300433,64.5300,64.5300,64.5300,64.5300,58.6600,269800,17410194.0000,3,0.400534,1,10.006800,36.921997,2.997301,327.918790,5.863491,0
2015-03-30,sz.300433,70.9800,70.9800,70.9800,70.9800,64.5300,462900,32856642.0000,3,0.687203,1,9.995400,40.612480,3.296892,360.695425,6.449567,0
2015-03-31,sz.300433,78.0800,78.0800,78.0800,78.0800,70.9800,488199,38118577.0000,3,0.724761,1,10.002800,44.674872,3.626674,396.775130,7.094705,0
2015-04-01,sz.300433,85.8900,85.8900,85.8900,85.8900,78.0800,1085271,93213926.0000,3,1.611151,1,10.002600,49.143504,3.989435,436.462807,7.804358,0
2015-04-02,sz.300433,94.4800,94.4800,94.4800,94.4800,85.8900,1107247,104612696.0000,3,1.643775,1,10.001200,54.058427,4.388425,480.114169,8.584884,0
2015-04-03,sz.300433,103.9300,103.9300,99.9900,103.9300,94.4800,26992043,2783676144.0000,3,40.071323,1,10.002100,59.465414,4.827360,528.135749,9.443555,0
2015-04-07,sz.300433,103.9900,108.8800,100.0000,106.4900,103.9300,26596659,2799209984.0000,3,39.484351,1,2.463200,60.930164,4.946267,541.144770,9.676168,0
2015-04-08,sz.300433,102.8000,105.4500,100.1200,103.5200,106.4900,14873259,1527880368.0000,3,22.080254,1,-2.789000,59.230825,4.808316,526.052273,9.406300,0
2015-04-09,sz.300433,103.0000,113.8700,99.0000,113.8700,103.5200,22852743,2462877120.0000,3,33.926281,1,9.998100,65.152763,5.289055,578.647337,10.346748,0
2015-04-10,sz.300433,112.0000,118.7900,110.1100,112.2900,113.8700,14431584,1647862480.0000,3,21.424561,1,-1.387500,64.248738,5.215667,570.618332,10.203182,0
2015-04-13,sz.300433,109.1000,110.9900,106.0000,106.9000,112.2900,12014306,1293283856.0000,3,17.835965,1,-4.800100,61.164752,4.965311,543.228246,9.713422,0
2015-04-14,sz.300433,107.0000,111.8800,103.8000,105.9800,106.9000,11305017,1226913808.0000,3,16.782982,1,-0.860600,60.638358,4.922579,538.553129,9.629827,0
2015-04-15,sz.300433,103.0000,103.8600,97.9000,97.9000,105.9800,10856182,1087017328.0000,3,16.116660,1,-7.624100,56.015241,4.547277,497.493408,8.895641,0
2015-04-16,sz.300433,95.8000,99.8800,95.0100,96.7100,97.9000,6554444,638877232.0000,3,9.730469,1,-1.215500,55.334361,4.492004,491.446246,8.787512,0
2015-04-17,sz.300433,98.2200,99.7400,97.5000,97.8300,96.7100,5759567,568472096.0000,3,8.550426,1,1.158100,55.975189,4.544026,497.137692,8.889281,0
2015-04-20,sz.300433,97.0000,97.0000,94.4100,94.5000,97.8300,7738943,739357184.0000,3,11.488930,1,-3.403900,54.069870,4.389354,480.215802,8.586702,0
