date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1995-10-10,sh.600875,12.9800,18.0000,12.9400,16.9100,4.1000,44484898,678581831.0000,3,74.141497,1,312.439000,87.703128,13.270369,0.000000,8.474050,0
1995-10-11,sh.600875,16.0000,17.5000,16.0000,17.4500,16.9100,25323659,427528934.0000,3,42.206098,1,3.193382,90.503819,13.694142,0.000000,8.744658,0
1995-10-12,sh.600875,17.6000,18.0000,17.2000,17.3800,17.4500,15715830,276048334.0000,3,26.193050,1,-0.401155,90.140767,13.639208,0.000000,8.709579,0
1995-10-13,sh.600875,17.4500,18.3000,16.2800,16.5000,17.3800,18302848,312381713.0000,3,30.504747,1,-5.063286,85.576677,12.948615,0.000000,8.268588,0
1995-10-16,sh.600875,16.5000,16.6600,15.5000,15.5000,16.5000,7162521,112848340.0000,3,11.937535,1,-6.060606,80.390212,12.163851,0.000000,7.767461,0
1995-10-17,sh.600875,15.3000,16.1000,15.2000,15.7000,15.5000,4080159,63591311.0000,3,6.800265,1,1.290321,81.427505,12.320804,0.000000,7.867686,0
1995-10-18,sh.600875,16.0000,16.1500,15.3100,15.4900,15.7000,5127912,80274769.0000,3,8.546520,1,-1.337580,80.338347,12.156003,0.000000,7.762450,0
1995-10-19,sh.600875,15.4000,15.4900,14.5000,14.5500,15.4900,6463078,96450304.0000,3,10.771797,1,-6.068429,75.463070,11.418324,0.000000,7.291391,0
1995-10-20,sh.600875,14.3100,15.2000,13.7000,14.8100,14.5500,5287832,75494116.0000,3,8.813053,1,1.786943,76.811551,11.622363,0.000000,7.421684,0
1995-10-23,sh.600875,14.7000,14.7500,14.1500,14.3000,14.8100,2574876,37250217.0000,3,4.291460,1,-3.443621,74.166454,11.222133,0.000000,7.166109,0
1995-10-24,sh.600875,14.2100,14.5900,14.2100,14.3500,14.3000,1553179,22339329.0000,3,2.588632,1,0.349652,74.425777,11.261372,0.000000,7.191166,0
1995-10-25,sh.600875,15.5000,15.6800,14.5800,14.7500,14.3500,3598849,53664247.0000,3,5.998082,1,2.787454,76.500363,11.575277,0.000000,7.391616,0
1995-10-26,sh.600875,14.7500,15.0000,14.3000,14.3300,14.7500,2246300,33055259.0000,3,3.743833,1,-2.847458,74.322048,11.245676,0.000000,7.181143,0
1995-10-27,sh.600875,14.8000,15.1000,14.5500,14.6000,14.3300,2188300,32268539.0000,3,3.647167,1,1.884162,75.722393,11.457563,0.000000,7.316447,0
1995-10-30,sh.600875,14.8500,14.8700,14.5000,14.7400,14.6000,1947814,28574158.0000,3,3.246357,1,0.958900,76.448499,11.567430,0.000000,7.386605,0
1995-10-31,sh.600875,14.6000,14.6500,13.8100,13.9600,14.7400,3157174,44460303.0000,3,5.261957,1,-5.291722,72.403056,10.955313,0.000000,6.995726,0
1995-11-01,sh.600875,13.8000,13.9000,13.4400,13.4800,13.9600,2534489,34557737.0000,3,4.224148,1,-3.438399,69.913552,10.578626,0.000000,6.755186,0
1995-11-02,sh.600875,13.4000,13.7700,13.2800,13.4100,13.4800,1103070,14849779.0000,3,1.838450,1,-0.519286,69.550500,10.523693,0.000000,6.720107,0
1995-11-03,sh.600875,13.5100,13.8500,13.5100,13.5800,13.4100,1217815,16687398.0000,3,2.029692,1,1.267711,70.432199,10.657103,0.000000,6.805298,0
1995-11-06,sh.600875,13.7000,13.7900,13.2800,13.3500,13.5800,968951,12967316.0000,3,1.614918,1,-1.693664,69.239312,10.476607,0.000000,6.690039,0
1995-11-07,sh.600875,13.5000,13.5000,13.2000,13.2400,13.3500,909140,12044877.0000,3,1.515233,1,-0.823975,68.668801,10.390283,0.000000,6.634915,0
