date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1996-04-08,sh.600893,8.4300,8.7700,8.0800,8.5500,6.9800,34988687,292990645.0000,3,79.519743,1,22.492840,20.081624,2.405975,0.000000,6.782759,0
1996-04-09,sh.600893,8.4200,8.6400,8.3100,8.4700,8.5500,10596763,89720145.0000,3,24.083552,1,-0.935672,19.893726,2.383463,0.000000,6.719294,0
1996-04-10,sh.600893,8.5500,9.1900,8.5500,9.1900,8.4700,16563097,148466967.0000,3,37.643402,1,8.500582,21.584810,2.586072,0.000000,7.290474,0
1996-04-11,sh.600893,9.2900,9.4000,8.7800,9.1500,9.1900,12994969,117947751.0000,3,29.534020,1,-0.435255,21.490861,2.574816,0.000000,7.258742,0
1996-04-12,sh.600893,9.2000,9.5000,9.1300,9.5000,9.1500,7636919,71162773.0000,3,17.356634,1,3.825141,22.312916,2.673306,0.000000,7.536399,0
1996-04-15,sh.600893,9.4200,9.5600,9.3800,9.4400,9.5000,3387100,31988157.0000,3,7.697955,1,-0.631583,22.171992,2.656422,0.000000,7.488800,0
1996-04-16,sh.600893,9.4500,9.7500,9.2300,9.5900,9.4400,4482138,42848969.0000,3,10.186677,1,1.588989,22.524301,2.698632,0.000000,7.607796,0
1996-04-17,sh.600893,9.5800,9.5800,9.3200,9.4200,9.5900,4143680,39141578.0000,3,9.417455,1,-1.772681,22.125017,2.650794,0.000000,7.472934,0
1996-04-18,sh.600893,9.4000,9.7500,9.3800,9.7500,9.4200,5396640,51688647.0000,3,12.265091,1,3.503184,22.900098,2.743656,0.000000,7.734725,0
1996-04-19,sh.600893,9.9800,11.0500,9.8500,11.0400,9.7500,10431480,109394818.0000,3,23.707909,1,13.230770,25.929957,3.106663,0.000000,8.758089,0
1996-04-22,sh.600893,11.1000,11.2500,10.4100,10.6800,11.0400,8930753,97351932.0000,3,20.297166,1,-3.260867,25.084415,3.005359,0.000000,8.472499,0
1996-04-23,sh.600893,10.5800,11.3800,10.5100,11.3100,10.6800,5306374,58377233.0000,3,12.059941,1,5.898877,26.564113,3.182641,0.000000,8.972281,0
1996-04-24,sh.600893,11.5000,11.7500,11.3200,11.7000,11.3100,7589814,87847879.0000,3,17.249577,1,3.448270,27.480117,3.292387,0.000000,9.281670,0
1996-04-25,sh.600893,11.7000,11.7500,10.7100,10.9000,11.7000,5896780,66262393.0000,3,13.401773,1,-6.837609,25.601135,3.067267,0.000000,8.647026,0
1996-04-26,sh.600893,11.0100,12.0200,10.8300,11.5400,10.9000,12564620,144960223.0000,3,28.555955,1,5.871563,27.104321,3.247363,0.000000,9.154741,0
1996-04-29,sh.600893,11.6100,11.8700,10.9500,11.3400,11.5400,7964769,90099536.0000,3,18.101748,1,-1.733101,26.634575,3.191083,0.000000,8.996080,0
1996-04-30,sh.600893,11.3100,11.3100,9.5800,9.9600,11.3400,4847900,51472370.0000,3,11.017955,1,-12.169310,23.393330,2.802750,0.000000,7.901319,0
1996-05-02,sh.600893,10.2000,10.6800,9.1800,9.3800,9.9600,3812440,37640186.0000,3,8.664636,1,-5.823292,22.031068,2.639538,0.000000,7.441202,0
1996-05-03,sh.600893,9.4500,9.5000,9.1000,9.2800,9.3800,1591200,14865780.0000,3,3.616364,1,-1.066102,21.796195,2.611398,0.000000,7.361871,0
1996-05-06,sh.600893,9.2800,9.6000,9.2800,9.3800,9.2800,1124619,10640124.0000,3,2.555952,1,1.077590,22.031068,2.639538,0.000000,7.441202,0
1996-05-07,sh.600893,9.4700,9.7000,9.1700,9.2900,9.3800,1164850,10987727.0000,3,2.647386,1,-0.959490,21.819683,2.614212,0.000000,7.369805,0
1996-05-08,sh.600893,9.2000,9.4900,9.1500,9.3000,9.2900,556200,5167344.0000,3,1.264091,1,0.107645,21.843170,2.617026,0.000000,7.377738,0
1996-05-09,sh.600893,9.4000,9.8400,9.4000,9.5500,9.3000,1731160,16701674.0000,3,3.934455,1,2.688172,22.430352,2.687376,0.000000,7.576064,0
1996-05-10,sh.600893,9.4500,9.4900,9.1200,9.4100,9.5500,562438,5217104.0000,3,1.278268,1,-1.465972,22.101530,2.647980,0.000000,7.465001,0
1996-05-13,sh.600893,9.5000,9.5000,9.2000,9.2900,9.4100,915290,8504634.0000,3,2.080205,1,-1.275238,21.819683,2.614212,0.000000,7.369805,0
1996-05-14,sh.600893,9.3200,9.3800,9.2000,9.3000,9.2900,1076593,9958260.0000,3,2.446802,1,0.107645,21.843170,2.617026,0.000000,7.377738,0
1996-05-15,sh.600893,9.3700,9.8100,9.2000,9.8000,9.3000,2432680,23342684.0000,3,5.528818,1,5.376344,23.017534,2.757726,0.000000,7.774390,0
1996-05-16,sh.600893,9.9000,9.9400,9.3500,9.5900,9.8000,2047800,19914290.0000,3,4.654091,1,-2.142858,22.524301,2.698632,0.000000,7.607796,0
1996-05-17,sh.600893,9.5000,9.9000,9.4500,9.8500,9.5900,1393158,13431769.0000,3,3.166268,1,2.711160,23.134970,2.771796,0.000000,7.814055,0
1996-05-20,sh.600893,9.8500,9.9000,9.4500,9.5900,9.8500,1582040,15366084.0000,3,3.595545,1,-2.639596,22.524301,2.698632,0.000000,7.607796,0
1996-05-21,sh.600893,9.5900,9.6700,8.5000,9.0800,9.5900,1147660,10658240.0000,3,2.608318,1,-5.318042,21.326450,2.555118,0.000000,7.203210,0
1996-05-22,sh.600893,9.0000,9.0800,8.8400,9.0000,9.0800,827150,7429287.0000,3,1.879886,1,-0.881056,21.138552,2.532606,0.000000,7.139746,0
1996-05-23,sh.600893,9.0000,9.0100,8.4500,8.5800,9.0000,719850,6273195.0000,3,1.636023,1,-4.666667,20.152086,2.414417,0.000000,6.806558,0
1996-05-24,sh.600893,8.5000,8.5000,8.0900,8.3000,8.5800,600150,4987284.0000,3,1.363977,1,-3.263400,19.494442,2.335625,0.000000,6.584432,0
1996-05-27,sh.600893,8.3500,8.4800,8.2600,8.3200,8.3000,337500,2808861.0000,3,0.767045,1,0.240958,19.541417,2.341253,0.000000,6.600299,0
1996-05-28,sh.600893,8.3000,8.4600,8.2800,8.4200,8.3200,370498,3090912.0000,3,0.842041,1,1.201928,19.776289,2.369393,0.000000,6.679629,0
1996-05-29,sh.600893,8.4300,8.5100,8.3600,8.4700,8.4200,324600,2737985.0000,3,0.737727,1,0.593827,19.893726,2.383463,0.000000,6.719294,0
1996-05-30,sh.600893,8.4900,8.4900,8.1800,8.4800,8.4700,518422,4319603.0000,3,1.178232,1,0.118055,19.917213,2.386277,0.000000,6.727227,0
1996-05-31,sh.600893,8.3000,9.2000,8.3000,9.0500,8.4800,4369670,39061468.0000,3,9.931068,1,6.721706,21.255988,2.546676,0.000000,7.179411,0
1996-06-03,sh.600893,9.3000,9.6500,8.9800,9.6200,9.0500,4435060,41233943.0000,3,10.079682,1,6.298339,22.594763,2.707074,0.000000,7.631595,0
1996-06-04,sh.600893,9.6400,9.8800,9.3000,9.4000,9.6200,2761112,26563796.0000,3,6.275255,1,-2.286905,22.078043,2.645166,0.000000,7.457068,0
1996-06-05,sh.600893,9.3500,9.7800,9.1800,9.7000,9.4000,2353658,22219952.0000,3,5.349223,1,3.191492,22.782661,2.729586,0.000000,7.695060,0
1996-06-06,sh.600893,9.6700,10.0800,9.1800,10.0500,9.7000,3335774,31978878.0000,3,7.581305,1,3.608251,23.604716,2.828076,0.000000,7.972716,0
1996-06-07,sh.600893,10.2000,10.2500,9.8500,10.1400,10.0500,3901691,39298623.0000,3,8.867480,1,0.895524,23.816102,2.853402,0.000000,8.044114,0
1996-06-10,sh.600893,10.1500,10.3100,9.9500,10.2600,10.1400,2059584,20819034.0000,3,4.680873,1,1.183431,24.097949,2.887171,0.000000,8.139311,0
