date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2021-08-18,sh.118001,136.0,139.89,131.0,132.13,132.13,1348910.0,178231478.29999998,3,0,1,0.0,,,,,0
2021-08-19,sh.118001,132.3,140.0,131.9,138.0,132.13,3982120.0,549532560.0,3,0,1,4.44,,,,,0
2021-08-20,sh.118001,136.4,140.2,135.0,137.49,138.0,1063180.0,146176618.20000002,3,0,1,-0.37,,,,,0
2021-08-23,sh.118001,137.49,146.0,137.08,144.18,137.49,999920.0,144168465.6,3,0,1,4.87,,,,,0
2021-08-24,sh.118001,145.5,148.0,143.8,146.43,144.18,763030.0,111730482.9,3,0,1,1.56,,,,,0
2021-08-25,sh.118001,163.0,171.99,156.71,159.42,146.43,4960740.0,790841170.8,3,0,1,8.87,,,,,0
2021-08-26,sh.118001,161.6,165.99,160.18,162.1,159.42,2235340.0,362348614.0,3,0,1,1.68,,,,,0
2021-08-27,sh.118001,162.1,164.5,159.71,161.36,162.1,1025360.0,165452089.60000002,3,0,1,-0.46,,,,,0
2021-08-30,sh.118001,161.36,181.8,161.36,173.52,161.36,3299740.0,572570884.8000001,3,0,1,7.54,,,,,0
2021-08-31,sh.118001,174.0,180.57,170.3,174.71,173.52,1094930.0,191295220.3,3,0,1,0.69,,,,,0
2021-09-01,sh.118001,176.3,177.0,167.39,171.65,174.71,811740.0,139335171.0,3,0,1,-1.75,,,,,0
2021-09-02,sh.118001,172.0,177.43,171.02,175.41,171.65,770110.0,135084995.1,3,0,1,2.19,,,,,0
2021-09-03,sh.118001,175.0,176.0,163.0,165.28,175.41,761680.0,125890470.4,3,0,1,-5.78,,,,,0
2021-09-06,sh.118001,165.28,170.18,164.49,166.42,165.28,453470.0,75466477.39999999,3,0,1,0.69,,,,,0
2021-09-07,sh.118001,167.4,176.59,166.12,171.21,166.42,1136380.0,194559619.8,3,0,1,2.88,,,,,0
2021-09-08,sh.118001,170.3,176.44,168.15,169.52,171.21,673110.0,114105607.2,3,0,1,-0.99,,,,,0
2021-09-09,sh.118001,168.82,176.31,167.55,170.98,169.52,808090.0,138167228.2,3,0,1,0.86,,,,,0
2021-09-10,sh.118001,177.0,195.09,173.5,173.94,170.98,1386140.0,241105191.6,3,0,1,1.73,,,,,0
2021-09-13,sh.118001,174.0,176.0,169.44,171.97,173.94,425390.0,73154318.3,3,0,1,-1.13,,,,,0
2021-09-14,sh.118001,172.26,175.88,169.03,172.24,171.97,551600.0,95007584.0,3,0,1,0.16,,,,,0
2021-09-15,sh.118001,172.7,176.7,170.88,174.3,172.24,336970.0,58733871.00000001,3,0,1,1.2,,,,,0
2021-09-16,sh.118001,176.0,178.39,157.32,159.87,174.3,535330.0,85583207.10000001,3,0,1,-8.28,,,,,0
2021-09-17,sh.118001,159.48,164.48,149.02,159.32,159.87,725010.0,115508593.19999999,3,0,1,-0.34,,,,,0
2021-09-22,sh.118001,157.0,165.21,156.5,161.77,159.32,624630.0,101046395.10000001,3,0,1,1.54,,,,,0
2021-09-23,sh.118001,161.21,162.49,158.0,158.94,161.77,319040.0,50708217.6,3,0,1,-1.75,,,,,0
2021-09-24,sh.118001,160.0,170.2,158.02,159.27,158.94,1424400.0,226864188.0,3,0,1,0.21,,,,,0
2021-09-27,sh.118001,159.99,169.0,158.23,160.07,159.27,690250.0,110488317.5,3,0,1,0.5,,,,,0
2021-09-28,sh.118001,159.5,161.96,153.33,154.83,160.07,717290.0,111058010.7,3,0,1,-3.27,,,,,0
2021-09-29,sh.118001,154.8,158.8,149.34,151.15,154.83,748070.0,113070780.5,3,0,1,-2.38,,,,,0
2021-09-30,sh.118001,152.0,157.28,149.34,156.8,151.15,489600.0,76769280.0,3,0,1,3.74,,,,,0
2021-10-08,sh.118001,160.5,161.7,151.31,153.05,156.8,223280.0,34173004.0,3,0,1,-2.39,,,,,0
