date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2021-09-01,sh.118002,150.0,150.0,139.98,142.99,142.99,8000630.0,1144010083.7,3,0,1,0.0,,,,,0
2021-09-02,sh.118002,140.11,153.2,139.0,150.19,142.99,30345000.0,4557515550.0,3,0,1,5.04,,,,,0
2021-09-03,sh.118002,149.7,153.05,146.8,147.64,150.19,7144310.0,1054785928.3999999,3,0,1,-1.7,,,,,0
2021-09-06,sh.118002,147.01,147.1,140.27,144.92,147.64,6279590.0,910038182.8,3,0,1,-1.84,,,,,0
2021-09-07,sh.118002,144.7,151.0,143.15,147.99,144.92,5179440.0,766505325.6,3,0,1,2.12,,,,,0
2021-09-08,sh.118002,148.0,149.77,144.04,145.48,147.99,2757110.0,401104362.79999995,3,0,1,-1.7,,,,,0
2021-09-09,sh.118002,145.08,146.66,142.36,143.0,145.48,2597080.0,371382440.0,3,0,1,-1.7,,,,,0
2021-09-10,sh.118002,143.48,147.88,142.41,146.49,143.0,3051260.0,446979077.40000004,3,0,1,2.44,,,,,0
2021-09-13,sh.118002,146.01,146.01,143.0,144.51,146.49,1175080.0,169810810.79999998,3,0,1,-1.35,,,,,0
2021-09-14,sh.118002,144.0,146.04,142.52,142.98,144.51,1613350.0,230676782.99999997,3,0,1,-1.06,,,,,0
2021-09-15,sh.118002,144.55,150.0,142.8,143.77,142.98,4017780.0,577636230.6,3,0,1,0.55,,,,,0
2021-09-16,sh.118002,144.0,144.0,135.61,135.8,143.77,1985160.0,269584728.0,3,0,1,-5.54,,,,,0
2021-09-17,sh.118002,135.8,139.68,132.5,135.01,135.8,2426450.0,327595014.5,3,0,1,-0.58,,,,,0
2021-09-22,sh.118002,134.8,139.3,134.0,137.57,135.01,1717300.0,236248961.0,3,0,1,1.9,,,,,0
2021-09-23,sh.118002,137.55,139.98,135.92,136.25,137.57,1463090.0,199346012.5,3,0,1,-0.96,,,,,0
2021-09-24,sh.118002,136.5,143.98,135.39,136.91,136.25,4934250.0,675548167.5,3,0,1,0.48,,,,,0
2021-09-27,sh.118002,137.54,138.5,134.6,137.01,136.91,2462850.0,337435078.5,3,0,1,0.07,,,,,0
