date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2022-07-28,sh.118013,128.78,130.0,125.42,127.98,127.98,4038910.0,516899701.8,3,0,1,0.0,,,,,0
2022-07-29,sh.118013,129.1,141.0,129.1,137.31,127.98,10769430.0,1478750433.3,3,0,1,7.29,,,,,0
2022-08-01,sh.118013,136.9,143.2,132.98,141.1,137.31,3442700.0,485754641.90000004,3,0,1,2.76,,,,,0
2022-08-02,sh.118013,141.0,141.0,136.3,138.15,141.1,987030.0,136361155.59,3,0,1,-2.09,,,,,0
2022-08-03,sh.118013,137.15,143.74,137.13,137.86,138.15,2010430.0,277155869.37,3,0,1,-0.21,,,,,0
2022-08-04,sh.118013,139.5,140.0,135.7,136.72,137.86,576910.0,78876865.93,3,0,1,-0.82,,,,,0
2022-08-05,sh.118013,136.82,144.44,136.82,143.35,136.72,2062850.0,295703358.95,3,0,1,4.84,,,,,0
2022-08-08,sh.118013,143.35,149.0,139.56,146.5,143.35,1621910.0,237613058.82000002,3,0,1,2.2,,,,,0
2022-08-09,sh.118013,146.5,154.0,145.5,147.57,146.5,1099460.0,162252809.5,3,0,1,0.73,,,,,0
2022-08-10,sh.118013,147.57,152.11,146.8,150.53,147.57,1204900.0,181369982.29999998,3,0,1,2.0,,,,,0
2022-08-11,sh.118013,151.5,157.83,150.53,153.75,150.53,2677690.0,411702870.56999993,3,0,1,2.14,,,,,0
2022-08-12,sh.118013,153.5,154.5,146.5,147.95,153.75,725790.0,107380630.49999999,3,0,1,-3.77,,,,,0
2022-08-15,sh.118013,147.41,147.9,144.3,145.44,147.95,559040.0,81309572.8,3,0,1,-1.69,,,,,0
2022-08-16,sh.118013,145.45,148.2,145.0,145.62,145.44,623910.0,90853150.29,3,0,1,0.12,,,,,0
2022-08-17,sh.118013,146.2,147.68,145.06,147.1,145.62,1078070.0,158578706.65,3,0,1,1.01,,,,,0
2022-08-18,sh.118013,144.5,146.3,138.96,141.42,147.1,1658830.0,234595056.26,3,0,1,-3.86,,,,,0
