date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-02-13,sh.688208,80.4000,80.4000,68.8800,74.1000,24.3600,32775721,2403350966.0000,3,72.271800,1,204.187200,109.121907,31.087257,-737.786044,31.005470,0
2020-02-14,sh.688208,73.5000,73.5000,65.8100,66.0600,74.1000,16832520,1157344860.0000,3,37.116400,1,-10.850200,97.281959,27.714227,-657.734765,27.641314,0
2020-02-17,sh.688208,64.4900,68.8700,63.8800,67.0000,66.0600,12832732,850749329.0000,3,28.296700,1,1.423000,98.666232,28.108586,-667.093994,28.034636,0
2020-02-18,sh.688208,65.7300,67.6800,63.9000,64.7600,67.0000,10420090,677413999.0000,3,22.976700,1,-3.343300,95.367540,27.168836,-644.791150,27.097358,0
2020-02-19,sh.688208,64.6000,65.0000,60.5000,60.8900,64.7600,9659946,599563499.0000,3,21.300600,1,-5.975900,95.367540,27.168836,-644.791150,27.097358,0
2020-02-20,sh.688208,61.2100,61.9500,57.7700,58.0200,60.8900,9077342,534919496.0000,3,20.015900,1,-4.713400,85.442011,24.341196,-577.683486,24.277158,0
2020-02-21,sh.688208,57.7100,60.6000,56.0800,58.0500,58.0200,9399360,547532813.0000,3,20.726000,1,0.051700,85.486190,24.353782,-577.982184,24.289711,0
2020-02-24,sh.688208,57.5000,59.2000,56.5200,58.2000,58.0500,5825798,337540494.0000,3,12.846100,1,0.258400,85.707085,24.416712,-579.475678,24.352475,0
2020-02-25,sh.688208,56.7900,60.3000,56.1300,59.7500,58.2000,8008109,472379753.0000,3,17.658200,1,2.663200,87.989662,25.066985,-594.908450,25.001037,0
2020-02-26,sh.688208,59.0300,60.1500,56.3000,56.7100,59.7500,6481511,376099502.0000,3,14.292000,1,-5.087900,78.046631,21.340950,-564.640304,23.729018,0
2020-02-27,sh.688208,56.7800,57.4700,52.5000,52.8000,56.7100,6933098,378081099.0000,3,15.287800,1,-6.894700,72.665528,19.869550,-525.709894,22.092967,0
2020-02-28,sh.688208,49.6900,50.6600,47.7600,47.8200,52.8000,6554467,323519810.0000,3,14.452900,1,-9.431800,65.811848,17.995490,-476.125892,20.009198,0
2020-03-02,sh.688208,48.5200,50.4300,48.0300,49.5500,47.8200,4914655,241688312.0000,3,10.837000,1,3.617700,68.192745,18.646519,-493.350857,20.733078,0
2020-03-03,sh.688208,50.4900,52.4400,49.7600,50.3600,49.5500,5777755,294164100.0000,3,12.740200,1,1.634700,69.307500,18.951336,-501.415724,21.072004,0
2020-03-04,sh.688208,49.4900,50.0000,47.8700,49.3400,50.3600,4317973,211219085.0000,3,9.521300,1,-2.025400,67.903734,18.567492,-491.259965,20.645208,0
2020-03-05,sh.688208,49.9000,51.2400,49.7000,50.1200,49.3400,3825203,192617187.0000,3,8.434700,1,1.580900,68.977202,18.861020,-499.026134,20.971581,0
2020-03-06,sh.688208,49.0500,51.2000,49.0000,50.2700,50.1200,3826180,191620729.0000,3,8.436900,1,0.299300,69.183638,18.917467,-500.519628,21.034345,0
2020-03-09,sh.688208,49.0400,49.7600,47.6100,47.6200,50.2700,3406445,165325513.0000,3,7.511400,1,-5.271500,65.536599,17.920227,-474.134567,19.925513,0
2020-03-10,sh.688208,46.8400,48.2700,45.2800,48.2000,47.6200,4355304,204278135.0000,3,9.603600,1,1.218000,66.334819,18.138491,-479.909411,20.168201,0
2020-03-11,sh.688208,48.5200,49.0000,46.7500,46.7500,48.2000,3031141,145190488.0000,3,6.683800,1,-3.008300,64.339270,17.592831,-465.472302,19.561481,0
