date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-05-15,sz.123050,123.11,125.0,120.13,121.7,121.7,9030272.0,1098984102.4,3,0,1,0.0,,,,,0
2020-05-18,sz.123050,121.7,123.0,119.7,119.71,121.7,1383143.0,165576048.53,3,0,1,-1.64,,,,,0
2020-05-19,sz.123050,120.1,121.78,120.01,121.5,119.71,907311.0,110238286.5,3,0,1,1.5,,,,,0
2020-05-20,sz.123050,121.0,121.75,120.3,120.3,121.5,385076.0,46324642.8,3,0,1,-0.99,,,,,0
2020-05-21,sz.123050,120.3,120.3,118.35,118.8,120.3,307101.0,36483598.8,3,0,1,-1.25,,,,,0
2020-05-22,sz.123050,118.1,118.78,115.12,116.5,118.8,258293.0,30091392.793,3,0,1,-1.94,,,,,0
2020-05-25,sz.123050,116.4,116.4,114.5,115.0,116.5,285562.0,32839915.562000003,3,0,1,-1.29,,,,,0
2020-05-26,sz.123050,115.15,117.45,115.15,116.5,115.0,184444.0,21487726.0,3,0,1,1.3,,,,,0
2020-05-27,sz.123050,116.5,117.0,116.01,116.02,116.5,110958.0,12873347.16,3,0,1,-0.41,,,,,0
2020-05-28,sz.123050,115.8,116.5,115.41,115.92,116.02,98941.0,11468746.015,3,0,1,-0.09,,,,,0
2020-05-29,sz.123050,115.5,116.48,115.1,116.4,115.92,156773.0,18248377.2,3,0,1,0.42,,,,,0
2020-06-01,sz.123050,116.4,121.8,116.36,120.9,116.4,320784.0,38782785.6,3,0,1,3.87,,,,,0
2020-06-02,sz.123050,120.2,124.8,120.2,121.9,120.9,789923.0,96291613.7,3,0,1,0.83,,,,,0
2020-06-03,sz.123050,122.24,124.0,122.0,122.28,121.9,416548.0,50935489.44,3,0,1,0.31,,,,,0
2020-06-04,sz.123050,122.2,125.11,121.66,122.31,122.28,118147.0,14450559.57,3,0,1,0.02,,,,,0
2020-06-05,sz.123050,120.31,122.9,120.31,121.37,122.31,59927.0,7273339.99,3,0,1,-0.77,,,,,0
2020-06-08,sz.123050,122.0,125.22,122.0,123.5,121.37,299725.0,37016337.225,3,0,1,1.76,,,,,0
2020-06-09,sz.123050,123.01,123.5,121.0,121.55,123.5,129585.0,15751056.75,3,0,1,-1.58,,,,,0
2020-06-10,sz.123050,121.65,123.06,121.65,122.4,121.55,128075.0,15676380.0,3,0,1,0.7,,,,,0
2020-06-11,sz.123050,123.1,123.1,121.01,121.46,122.4,58528.0,7108810.88,3,0,1,-0.77,,,,,0
2020-06-12,sz.123050,120.51,121.39,119.98,120.82,121.46,53515.0,6465682.3,3,0,1,-0.53,,,,,0
2020-06-15,sz.123050,119.5,122.4,119.5,122.25,120.82,134540.0,16447515.0,3,0,1,1.18,,,,,0
2020-06-16,sz.123050,122.45,123.47,121.0,122.42,122.25,78710.0,9635678.2,3,0,1,0.14,,,,,0
2020-06-17,sz.123050,122.5,122.9,121.51,121.88,122.42,56156.0,6844293.279999999,3,0,1,-0.44,,,,,0
2020-06-18,sz.123050,121.2,122.87,121.2,121.88,121.88,73669.0,8978998.727,3,0,1,0.0,,,,,0
2020-06-19,sz.123050,121.56,124.25,121.56,123.5,121.88,101679.0,12557356.5,3,0,1,1.33,,,,,0
2020-06-22,sz.123050,123.51,125.2,123.0,123.34,123.5,89972.0,11097326.424,3,0,1,-0.13,,,,,0
2020-06-23,sz.123050,123.34,124.15,122.4,122.85,123.34,59565.0,7317560.25,3,0,1,-0.4,,,,,0
2020-06-24,sz.123050,123.01,123.5,122.5,122.9,122.85,106257.0,13059091.557,3,0,1,0.04,,,,,0
2020-06-29,sz.123050,122.01,123.27,121.52,122.26,122.9,89070.0,10889430.99,3,0,1,-0.52,,,,,0
2020-06-30,sz.123050,122.88,124.46,122.88,124.01,122.26,96011.0,11906324.110000001,3,0,1,1.43,,,,,0
2020-07-01,sz.123050,124.0,124.9,122.07,123.77,124.01,86624.0,10721452.48,3,0,1,-0.19,,,,,0
2020-07-02,sz.123050,123.81,124.97,122.5,124.33,123.77,108896.0,13539039.68,3,0,1,0.45,,,,,0
2020-07-03,sz.123050,124.0,129.95,123.8,128.28,124.33,214549.0,27522989.367,3,0,1,3.18,,,,,0
2020-07-06,sz.123050,127.1,131.52,127.1,130.51,128.28,226832.0,29603844.319999997,3,0,1,1.74,,,,,0
2020-07-07,sz.123050,131.11,137.0,128.0,135.0,130.51,330917.0,44673795.0,3,0,1,3.44,,,,,0
2020-07-08,sz.123050,135.0,135.88,133.28,134.57,135.0,53804.0,7240404.279999999,3,0,1,-0.32,,,,,0
2020-07-09,sz.123050,134.57,137.8,134.18,137.7,134.57,366382.0,50450801.4,3,0,1,2.33,,,,,0
2020-07-10,sz.123050,135.0,137.8,134.0,135.1,137.7,190902.0,25790860.2,3,0,1,-1.89,,,,,0
2020-07-13,sz.123050,135.1,139.8,134.0,139.02,135.1,195357.0,27158725.496999998,3,0,1,2.9,,,,,0
2020-07-14,sz.123050,139.5,139.5,134.0,137.4,139.02,188440.0,25891279.12,3,0,1,-1.17,,,,,0
2020-07-15,sz.123050,137.4,138.0,130.0,132.6,137.4,159309.0,21124373.4,3,0,1,-3.49,,,,,0
2020-07-16,sz.123050,132.6,133.9,124.0,126.8,132.6,148457.0,18824347.599999998,3,0,1,-4.37,,,,,0
2020-07-17,sz.123050,126.8,129.37,125.0,126.0,126.8,63217.0,7965342.0,3,0,1,-0.63,,,,,0
