date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-06-30,sz.123051,113.0,115.0,109.1,109.7,109.7,2217520.0,243261944.0,3,0,1,0.0,,,,,0
2020-07-01,sz.123051,110.2,115.0,110.1,110.85,109.7,1576434.0,174747708.89999998,3,0,1,1.05,,,,,0
2020-07-02,sz.123051,111.59,111.97,110.85,111.76,110.85,1333678.0,149051853.28,3,0,1,0.82,,,,,0
2020-07-03,sz.123051,111.9,112.75,111.7,112.49,111.76,356115.0,40060800.81,3,0,1,0.66,,,,,0
2020-07-06,sz.123051,113.11,115.97,113.11,115.0,112.49,903913.0,103949995.0,3,0,1,2.23,,,,,0
2020-07-07,sz.123051,115.88,117.37,114.0,116.3,115.0,329796.0,38355934.392000005,3,0,1,1.13,,,,,0
2020-07-08,sz.123051,116.3,117.24,115.76,117.12,116.3,100070.0,11720198.4,3,0,1,0.7,,,,,0
2020-07-09,sz.123051,117.1,118.5,116.6,117.21,117.12,278974.0,32698542.54,3,0,1,0.08,,,,,0
2020-07-10,sz.123051,117.3,119.5,116.38,116.6,117.21,172564.0,20120789.836,3,0,1,-0.52,,,,,0
2020-07-13,sz.123051,117.44,123.2,116.78,122.0,116.6,327376.0,39938235.120000005,3,0,1,4.63,,,,,0
2020-07-14,sz.123051,121.81,124.99,120.4,122.59,122.0,201381.0,24687296.79,3,0,1,0.49,,,,,0
2020-07-15,sz.123051,122.75,123.6,119.5,120.19,122.59,231342.0,27804532.296,3,0,1,-1.96,,,,,0
2020-07-16,sz.123051,120.2,121.0,116.0,116.0,120.19,269402.0,31250362.597999997,3,0,1,-3.49,,,,,0
2020-07-17,sz.123051,116.1,118.49,116.1,117.35,116.0,175967.0,20649903.417,3,0,1,1.17,,,,,0
2020-07-20,sz.123051,117.5,121.17,117.5,120.25,117.35,154472.0,18575258.0,3,0,1,2.47,,,,,0
2020-07-21,sz.123051,120.32,125.0,120.32,122.4,120.25,246354.0,30153729.6,3,0,1,1.79,,,,,0
2020-07-22,sz.123051,122.2,125.6,122.03,124.27,122.4,196715.0,24445773.05,3,0,1,1.53,,,,,0
2020-07-23,sz.123051,123.45,124.29,120.94,122.5,124.27,148664.0,18211340.0,3,0,1,-1.42,,,,,0
2020-07-24,sz.123051,122.15,123.38,118.51,119.97,122.5,117190.0,14059284.3,3,0,1,-2.07,,,,,0
2020-07-27,sz.123051,118.77,120.44,118.77,119.02,119.97,45511.0,5416719.22,3,0,1,-0.79,,,,,0
2020-07-28,sz.123051,119.07,120.81,119.05,119.99,119.02,72159.0,8658286.251,3,0,1,0.81,,,,,0
2020-07-29,sz.123051,120.0,122.22,119.2,121.79,119.99,50068.0,6097781.720000001,3,0,1,1.5,,,,,0
2020-07-30,sz.123051,121.8,122.45,120.0,120.99,121.79,39055.0,4725225.3950000005,3,0,1,-0.66,,,,,0
2020-07-31,sz.123051,121.2,122.26,120.81,122.0,120.99,94404.0,11517382.404000001,3,0,1,0.84,,,,,0
2020-08-03,sz.123051,122.99,125.5,122.18,124.5,122.0,68284.0,8501358.0,3,0,1,2.05,,,,,0
2020-08-04,sz.123051,124.6,125.38,122.6,123.18,124.5,49499.0,6097286.82,3,0,1,-1.06,,,,,0
2020-08-05,sz.123051,123.53,125.18,122.02,123.96,123.18,110060.0,13643037.6,3,0,1,0.63,,,,,0
2020-08-06,sz.123051,123.8,135.0,123.8,127.43,123.96,1619893.0,206422964.99,3,0,1,2.8,,,,,0
2020-08-07,sz.123051,127.8,127.8,122.86,124.4,127.43,369790.0,46001876.0,3,0,1,-2.38,,,,,0
2020-08-10,sz.123051,124.0,129.2,123.54,127.45,124.4,460981.0,58752028.45,3,0,1,2.45,,,,,0
2020-08-11,sz.123051,127.5,128.44,123.5,124.8,127.45,195509.0,24399523.2,3,0,1,-2.08,,,,,0
2020-08-12,sz.123051,124.08,124.8,120.11,120.88,124.8,207626.0,25097830.88,3,0,1,-3.14,,,,,0
2020-08-13,sz.123051,121.5,122.94,120.57,121.0,120.88,137520.0,16639920.0,3,0,1,0.1,,,,,0
2020-08-14,sz.123051,121.5,122.0,120.01,121.98,121.0,43774.0,5339727.615999999,3,0,1,0.81,,,,,0
2020-08-17,sz.123051,121.9,123.45,121.88,122.95,121.98,51688.0,6354936.223999999,3,0,1,0.79,,,,,0
2020-08-18,sz.123051,123.0,124.0,123.0,123.8,122.95,54503.0,6747416.897000001,3,0,1,0.69,,,,,0
2020-08-19,sz.123051,123.8,123.8,112.39,121.99,123.8,94693.0,11551599.07,3,0,1,-1.46,,,,,0
2020-08-20,sz.123051,122.34,122.67,120.1,121.2,121.99,38914.0,4716376.8,3,0,1,-0.65,,,,,0
