date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-12-04,sz.003021,90.1400,108.1700,90.1400,108.1700,75.1200,609435,65767636.9500,3,2.285100,1,43.996300,37.994910,8.678203,-541.240442,13.228136,0
2020-12-07,sz.003021,118.8000,118.8000,97.3500,97.3500,108.1700,9405624,956919598.7300,3,35.266700,1,-10.002800,34.194365,7.810142,-487.101387,11.904955,0
2020-12-08,sz.003021,89.0000,96.5000,87.6300,93.4000,97.3500,7894736,712074798.8100,3,29.601600,1,-4.057500,32.806920,7.493244,-467.337129,11.421909,0
2020-12-09,sz.003021,90.3000,91.6600,88.6000,88.9000,93.4000,3777226,341120003.9600,3,14.162800,1,-4.818000,31.226287,7.132220,-444.820886,10.871603,0
2020-12-10,sz.003021,88.0000,88.0000,83.5800,83.6600,88.9000,4568170,389292831.0600,3,17.128500,1,-5.894300,29.385728,6.711829,-418.601972,10.230802,0
2020-12-11,sz.003021,81.2500,85.1900,81.2500,81.8300,83.6600,3011315,249338754.8100,3,11.291000,1,-2.187400,28.742937,6.565012,-409.445367,10.007011,0
2020-12-14,sz.003021,82.0100,82.7900,78.0400,78.3300,81.8300,3376533,268284379.7300,3,12.660400,1,-4.277200,27.513555,6.284216,-391.932734,9.578995,0
2020-12-15,sz.003021,78.0600,79.6200,77.4700,78.6500,78.3300,2101558,165626019.2400,3,7.879900,1,0.408500,27.625956,6.309889,-393.533889,9.618128,0
2020-12-16,sz.003021,78.2400,79.1100,77.3300,77.3500,78.6500,1930737,150349322.6200,3,7.239400,1,-1.652900,27.169329,6.205593,-387.029196,9.459150,0
2020-12-17,sz.003021,77.3400,80.9400,77.3200,80.2200,77.3500,2731682,216401956.1300,3,10.242500,1,3.710400,28.177421,6.435846,-401.389556,9.810123,0
2020-12-18,sz.003021,79.5000,80.2000,77.9800,78.0000,80.2200,1932921,152126679.0200,3,7.247500,1,-2.767400,27.397642,6.257741,-390.281542,9.538639,0
2020-12-21,sz.003021,78.4700,79.2000,77.0500,78.4100,78.0000,1738734,135682851.3300,3,6.519400,1,0.525600,27.541655,6.290634,-392.333022,9.588778,0
2020-12-22,sz.003021,77.7000,78.0100,76.1000,76.1600,78.4100,2241140,172747606.3300,3,8.403200,1,-2.869500,26.751339,6.110123,-381.074901,9.313625,0
2020-12-23,sz.003021,76.3800,76.8000,75.3100,75.4900,76.1600,1779904,134804593.0000,3,6.673800,1,-0.879700,26.516000,6.056370,-377.722482,9.231691,0
2020-12-24,sz.003021,75.3100,75.3200,71.1200,71.1800,75.4900,2727833,199393790.3100,3,10.228100,1,-5.709400,25.002105,5.710590,-356.156925,8.704620,0
2020-12-25,sz.003021,70.0000,70.9900,69.1600,70.1000,71.1800,1557242,109356519.5600,3,5.838900,1,-1.517300,24.622753,5.623944,-350.753027,8.572546,0
2020-12-28,sz.003021,70.0000,70.5000,66.8200,66.8500,70.1000,2206565,149969155.2600,3,8.273600,1,-4.636200,23.481184,5.363205,-334.491296,8.175103,0
2020-12-29,sz.003021,66.4000,68.4800,65.3000,66.5400,66.8500,1881123,125675179.3900,3,7.053300,1,-0.463700,23.372296,5.338335,-332.940177,8.137193,0
2020-12-30,sz.003021,66.2500,70.4500,65.8600,69.9500,66.5400,2131038,144928594.7600,3,7.990400,1,5.124700,24.570065,5.611910,-350.002486,8.554203,0
2020-12-31,sz.003021,70.1200,73.2900,70.1200,71.1200,69.9500,2198185,157858073.0600,3,8.242200,1,1.672600,24.981030,5.705776,-355.856709,8.697282,0
2021-01-04,sz.003021,71.0000,72.0900,69.5800,71.1900,71.1200,1642983,116107426.2400,3,6.160400,1,0.098400,25.005617,5.711392,-356.206962,8.705843,0
2021-01-05,sz.003021,71.1800,73.2800,70.2700,72.5600,71.1900,1874969,134866134.6200,3,7.030300,1,1.924400,25.486832,5.821304,-363.061907,8.873380,0
2021-01-06,sz.003021,72.5800,76.4900,72.5800,74.6300,72.5600,2849549,213139097.0300,3,10.684500,1,2.852800,26.213924,5.987375,-373.419378,9.126521,0
2021-01-07,sz.003021,74.0000,74.0000,71.0000,71.2200,74.6300,1955765,141319938.3600,3,7.333200,1,-4.569200,25.016155,5.713799,-356.357070,8.709511,0
2021-01-08,sz.003021,70.9000,73.2900,68.6800,72.8300,71.2200,1528777,109058270.8900,3,5.732200,1,2.260600,25.581670,5.842965,-364.412881,8.906399,0
2021-01-11,sz.003021,73.2800,73.2900,71.0200,71.1900,72.8300,1141004,82075180.0700,3,4.278200,1,-2.251800,25.005617,5.711392,-356.206962,8.705843,0
2021-01-12,sz.003021,70.5100,71.4800,69.3700,69.5500,71.1900,1208656,84725357.6400,3,4.531900,1,-2.303700,24.429564,5.579819,-348.001042,8.505287,0
2021-01-13,sz.003021,69.9700,70.0000,66.6700,66.9400,69.5500,1479957,100281336.1800,3,5.549100,1,-3.752700,23.512797,5.370426,-334.941621,8.186109,0
2021-01-14,sz.003021,66.8900,68.6600,66.0000,68.1800,66.9400,1120002,76117104.6100,3,4.199500,1,1.852400,23.948349,5.469908,-341.146097,8.337749,0
2021-01-15,sz.003021,68.1000,70.8900,67.7500,70.6000,68.1800,1320037,92419403.9000,3,4.949500,1,3.549400,24.798379,5.664058,-353.254832,8.633691,0
2021-01-18,sz.003021,70.6300,71.8700,69.9100,71.3300,70.6000,1115737,79015857.3500,3,4.183500,1,1.034000,25.054793,5.722624,-356.907467,8.722963,0
2021-01-19,sz.003021,71.3300,72.4800,70.7100,71.1600,71.3300,1159823,83237711.7600,3,4.348800,1,-0.238300,24.995080,5.708985,-356.056853,8.702174,0
2021-01-20,sz.003021,71.5000,72.5600,71.1600,72.0000,71.1600,951501,68428761.6400,3,3.567700,1,1.180400,25.290131,5.776376,-360.259885,8.804898,0
2021-01-21,sz.003021,71.7700,71.7900,70.0100,70.1500,72.0000,1248538,88529131.5600,3,4.681400,1,-2.569400,24.640315,5.627956,-351.003208,8.578661,0
2021-01-22,sz.003021,69.0000,69.0000,67.1200,67.2000,70.1500,1793179,121724961.0400,3,6.723600,1,-4.205300,23.604122,5.391285,-336.242560,8.217904,0
2021-01-25,sz.003021,67.2000,72.4700,67.1100,72.1100,67.2000,2497154,175501165.5800,3,9.363200,1,7.306500,25.328769,5.785202,-360.810282,8.818350,0
2021-01-26,sz.003021,71.0100,73.6800,71.0100,71.6800,72.1100,1656933,119974182.3900,3,6.212700,1,-0.596300,25.177731,5.750704,-358.658730,8.765765,0
2021-01-27,sz.003021,70.8000,73.6900,70.8000,73.5000,71.6800,1913053,139419256.2100,3,7.173100,1,2.539100,25.817009,5.896718,-367.765300,8.988333,0
2021-01-28,sz.003021,72.6000,74.5500,71.2200,71.6000,73.5000,1574181,114748142.6000,3,5.902400,1,-2.585000,25.149631,5.744286,-358.258441,8.755982,0
2021-01-29,sz.003021,71.6000,72.5700,69.5000,70.1300,71.6000,1116143,78673399.8900,3,4.185000,1,-2.053100,24.633290,5.626351,-350.903135,8.576215,0
2021-02-01,sz.003021,69.8000,70.9600,68.6600,70.6800,70.1300,818794,57177646.1800,3,3.070100,1,0.784300,24.826479,5.670476,-353.655121,8.643475,0
2021-02-02,sz.003021,71.0100,77.5000,71.0100,75.5100,70.6800,3466714,260971960.5100,3,12.998600,1,6.833600,26.523025,6.057975,-377.822555,9.234136,0
2021-02-03,sz.003021,74.9900,75.7600,72.3100,72.3500,75.5100,1850156,136753383.3000,3,6.937200,1,-4.184900,25.413069,5.804456,-362.011149,8.847699,0
2021-02-04,sz.003021,72.2400,74.5000,69.8000,73.8000,72.3500,2016222,146541435.5700,3,7.559900,1,2.004100,25.922385,5.920786,-369.266382,9.025020,0
2021-02-05,sz.003021,73.0800,73.9800,69.0000,69.0800,73.8000,1934584,138063716.1400,3,7.253800,1,-6.395700,24.264476,5.542112,-345.649345,8.447810,0
2021-02-08,sz.003021,69.0000,69.0000,63.0000,63.7600,69.0800,2275939,146778469.7700,3,8.533700,1,-7.701200,27.420368,5.663596,-319.030143,7.797226,0
2021-02-09,sz.003021,63.2600,64.5300,63.0300,63.8300,63.7600,899089,57510802.0300,3,3.371200,1,0.109800,27.450472,5.669814,-319.380396,7.805786,0
2021-02-10,sz.003021,63.9500,65.9900,63.9100,64.8000,63.8300,1050267,68518528.2400,3,3.938000,1,1.519700,27.867627,5.755976,-324.233897,7.924408,0
2021-02-18,sz.003021,65.5100,67.7800,65.0000,67.4400,64.8000,992886,66214154.8400,3,3.722900,1,4.074100,29.002974,5.990479,-337.443426,8.247254,0
2021-02-19,sz.003021,67.4600,68.1100,66.1400,67.7800,67.4400,853177,57236393.2200,3,3.199000,1,0.504200,29.149193,6.020680,-339.144653,8.288833,0
2021-02-22,sz.003021,68.0000,68.7800,67.2200,67.5400,67.7800,1102292,74850968.3700,3,4.133100,1,-0.354100,29.045980,5.999361,-337.943787,8.259483,0
2021-02-23,sz.003021,67.4500,68.9900,67.0000,68.7100,67.5400,1044181,71476408.4400,3,3.915200,1,1.732300,29.549145,6.103289,-343.798010,8.402563,0
2021-02-24,sz.003021,68.7000,68.8000,67.5500,67.9200,68.7100,752875,51271271.4600,3,2.822900,1,-1.149800,29.209401,6.033116,-339.845158,8.305953,0
2021-02-25,sz.003021,67.7600,68.1800,66.0000,66.1300,67.9200,828681,55375175.9600,3,3.107200,1,-2.635500,28.439601,5.874116,-330.888697,8.087054,0
2021-02-26,sz.003021,66.1100,67.2700,66.1000,66.6200,66.1300,560268,37435655.5400,3,2.100700,1,0.741000,28.650328,5.917641,-333.340466,8.146976,0
