date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2023-12-18,sz.301413,80.0000,96.0000,74.5000,93.0000,33.2500,13304434,1097321954.9100,3,82.393100,1,179.699200,82.802704,9.871654,-193.075696,12.033354,0
2023-12-19,sz.301413,83.3000,84.9900,75.5100,80.9900,93.0000,11147877,893915364.3100,3,69.037700,1,-12.914000,72.109580,8.596830,-168.141942,10.479369,0
2023-12-20,sz.301413,79.3000,89.8800,76.6000,76.8500,80.9900,9983025,826700586.9100,3,61.823900,1,-5.111700,68.423525,8.157383,-159.546960,9.943691,0
2023-12-21,sz.301413,73.8500,78.3700,71.0000,72.8900,76.8500,8102091,596538693.4600,3,50.175500,1,-5.152900,64.897732,7.737041,-151.325672,9.431303,0
2023-12-22,sz.301413,71.4300,77.2300,68.7000,69.7000,72.8900,8145093,595177502.2100,3,50.441800,1,-4.376500,62.057510,7.398433,-144.702968,9.018546,0
2023-12-25,sz.301413,72.0200,76.5000,71.5000,75.1700,69.7000,8122225,601557155.1200,3,50.300100,1,7.847900,66.927734,7.979056,-156.059141,9.726314,0
2023-12-26,sz.301413,72.9100,81.2000,71.1200,75.5000,75.1700,8521583,645849424.9700,3,52.773300,1,0.439000,67.221550,8.014084,-156.744248,9.769013,0
2023-12-27,sz.301413,75.0000,77.9700,73.7600,75.2400,75.5000,5448204,410745331.6800,3,33.740200,1,-0.344400,66.990058,7.986486,-156.204467,9.735371,0
2023-12-28,sz.301413,76.0500,77.2000,71.1200,72.1700,75.2400,6453551,472321112.4500,3,39.966200,1,-4.080300,64.256679,7.660616,-149.830892,9.338141,0
2023-12-29,sz.301413,72.1700,75.6500,72.1600,74.2000,72.1700,5309312,391947908.2800,3,32.880100,1,2.812800,66.064093,7.876094,-154.045340,9.600805,0
2024-01-02,sz.301413,75.1100,76.4800,72.1300,73.2000,74.2000,4424053,328182920.5700,3,27.397700,1,-1.347700,65.173741,7.769947,-151.969258,9.471414,0
2024-01-03,sz.301413,72.0000,74.3000,68.5100,69.4200,73.2000,4574708,324482250.9200,3,28.330700,1,-5.163900,61.808212,7.368712,-144.121665,8.982316,0
2024-01-04,sz.301413,68.8700,72.7200,66.0500,71.4600,69.4200,4180316,292582504.5100,3,25.888300,1,2.938600,63.624529,7.585251,-148.356874,9.246274,0
2024-01-05,sz.301413,70.5200,71.9700,67.0500,67.2600,71.4600,2840172,196292922.4700,3,17.588900,1,-5.877400,59.885052,7.139435,-139.637326,8.702832,0
2024-01-08,sz.301413,67.5500,68.7800,65.3200,65.4000,67.2600,2187935,146184199.6800,3,13.549700,1,-2.765400,58.228998,6.942002,-135.775812,8.462165,0
2024-01-09,sz.301413,65.1000,67.3200,63.1600,64.0000,65.4000,2553911,166575000.7000,3,15.816100,1,-2.140700,56.982506,6.793396,-132.869296,8.281018,0
2024-01-10,sz.301413,63.0000,64.2300,61.7900,63.0500,64.0000,2044856,128402814.0000,3,12.663600,1,-1.484400,56.136672,6.692557,-130.897018,8.158096,0
2024-01-11,sz.301413,62.9100,65.3500,62.6000,65.2300,63.0500,2369825,151909362.4200,3,14.676100,1,3.457600,58.077638,6.923957,-135.422878,8.440168,0
2024-01-12,sz.301413,64.6000,67.4900,63.7000,63.9000,65.2300,2388086,156475289.4000,3,14.789200,1,-2.038900,56.893471,6.782781,-132.661688,8.268078,0
2024-01-15,sz.301413,63.6800,64.5800,62.2000,62.3000,63.9000,1863665,117752662.0000,3,11.541500,1,-2.503900,55.468908,6.612947,-129.339956,8.061053,0
2024-01-16,sz.301413,61.9800,62.3500,60.8800,62.3000,62.3000,1495777,91932347.2100,3,9.263200,1,0.000000,55.468908,6.612947,-129.339956,8.061053,0
2024-01-17,sz.301413,61.8800,61.8800,58.3600,58.5500,62.3000,2102282,125719534.6300,3,13.019200,1,-6.019300,52.130089,6.214896,-121.554645,7.575837,0
2024-01-18,sz.301413,58.7300,59.2000,56.0100,57.9400,58.5500,1582828,91078704.1400,3,9.802300,1,-1.041800,51.586975,6.150146,-120.288235,7.496909,0
