date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2011-10-28,sh.601100,23.0000,24.1000,22.2000,23.7800,23.0000,66347839,1546351315.0000,3,78.985523,1,3.391307,28.637965,8.533369,-168.463808,13.077792,0
2011-10-31,sh.601100,24.7500,25.3500,24.1100,24.5900,23.7800,34531918,850092341.0000,3,41.109426,1,3.406200,29.613438,8.824034,-174.202062,13.523251,0
2011-11-01,sh.601100,24.9500,25.5500,24.5100,24.8200,24.5900,26333826,656522625.0000,3,31.349793,1,0.935300,29.890425,8.906569,-175.831443,13.649739,0
2011-11-02,sh.601100,24.4000,25.8400,24.1800,25.7000,24.8200,22286307,558689980.0000,3,26.531318,1,3.545500,30.950198,9.222354,-182.065595,14.133695,0
2011-11-03,sh.601100,25.2000,25.5500,24.1200,24.3200,25.7000,28360661,702329338.0000,3,33.762692,1,-5.369600,29.288281,8.727146,-172.289311,13.374765,0
2011-11-04,sh.601100,24.8000,25.2000,24.4000,24.6300,24.3200,18550764,459297823.0000,3,22.084243,1,1.274700,29.661610,8.838388,-174.485432,13.545249,0
2011-11-07,sh.601100,24.3000,24.3900,23.4500,23.4900,24.6300,15055149,358211824.0000,3,17.922796,1,-4.628500,28.288722,8.429303,-166.409371,12.918307,0
2011-11-08,sh.601100,23.4000,24.0800,23.3600,23.8900,23.4900,10603255,250849043.0000,3,12.622923,1,1.702900,28.770437,8.572842,-169.243077,13.138287,0
2011-11-09,sh.601100,23.9000,24.0500,23.5000,23.9800,23.8900,7839781,186629165.0000,3,9.333073,1,0.376700,28.878823,8.605138,-169.880661,13.187782,0
2011-11-10,sh.601100,23.7000,24.2400,23.4600,23.5400,23.9800,8099292,193114696.0000,3,9.642014,1,-1.834900,28.348936,8.447245,-166.763584,12.945804,0
2011-11-11,sh.601100,23.3500,23.5800,22.6800,22.9700,23.5400,11876301,273134628.0000,3,14.138454,1,-2.421400,27.662492,8.242703,-162.725554,12.632333,0
2011-11-14,sh.601100,23.1000,23.5300,22.9300,23.3600,22.9700,9422592,218651311.0000,3,11.217371,1,1.697900,28.132164,8.382653,-165.488417,12.846813,0
2011-11-15,sh.601100,23.2300,23.4800,23.0300,23.3500,23.3600,6489412,150692018.0000,3,7.725490,1,-0.042800,28.120121,8.379065,-165.417574,12.841314,0
2011-11-16,sh.601100,23.3300,23.7900,22.8900,23.0200,23.3500,7996344,187224918.0000,3,9.519457,1,-1.413300,27.722706,8.260645,-163.079767,12.659831,0
2011-11-17,sh.601100,22.9600,23.4800,22.9600,23.1300,23.0200,4434115,102889742.0000,3,5.278708,1,0.477800,27.855178,8.300118,-163.859036,12.720325,0
2011-11-18,sh.601100,22.9900,23.1300,22.0100,22.0500,23.1300,7924121,178022584.0000,3,9.433477,1,-4.669300,26.554547,7.912564,-156.208030,12.126380,0
