date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2018-06-27,sh.603650,17.7400,17.7400,17.7400,17.7400,12.3200,50545,896668.0000,3,0.085961,1,43.993510,29.627244,5.335941,277.836261,8.878686,0
2018-06-28,sh.603650,19.5100,19.5100,19.5100,19.5100,17.7400,36391,709988.0000,3,0.061889,1,9.977455,32.583288,5.868332,305.557240,9.764553,0
2018-06-29,sh.603650,21.4600,21.4600,21.4600,21.4600,19.5100,66127,1419085.0000,3,0.112461,1,9.994868,35.839947,6.454865,336.097303,10.740507,0
2018-07-02,sh.603650,23.6100,23.6100,23.6100,23.6100,21.4600,178964,4225340.0000,3,0.304361,1,10.018650,39.430622,7.101554,369.769679,11.816560,0
2018-07-03,sh.603650,25.9700,25.9700,25.9700,25.9700,23.6100,296149,7690990.0000,3,0.503655,1,9.995758,43.372014,7.811409,406.730986,12.997716,0
2018-07-04,sh.603650,28.5700,28.5700,28.5700,28.5700,25.9700,225376,6438992.0000,3,0.383293,1,10.011550,47.714226,8.593452,447.451069,14.298989,0
2018-07-05,sh.603650,31.4300,31.4300,31.4300,31.4300,28.5700,532745,16744175.0000,3,0.906029,1,10.010500,52.490659,9.453700,492.243161,15.730389,0
2018-07-06,sh.603650,34.5700,34.5700,34.5700,34.5700,31.4300,2343363,81010059.0000,3,3.985311,1,9.990453,57.734715,10.398168,541.420492,17.301927,0
2018-07-09,sh.603650,38.0300,38.0300,38.0300,38.0300,34.5700,9107267,346349364.0000,3,15.488549,1,10.008680,63.513196,11.438887,595.609526,19.033621,0
2018-07-10,sh.603650,40.7000,41.8300,40.0100,41.5800,38.0300,43760329,1784070831.0000,3,74.422328,1,9.334743,69.441985,12.506676,651.208101,20.810359,0
2018-07-11,sh.603650,40.0000,45.2300,39.7800,43.1700,41.5800,39537666,1698452121.0000,3,67.240929,1,3.823945,72.097415,12.984926,676.109998,21.606137,0
2018-07-12,sh.603650,44.0500,47.4900,41.7000,45.3700,43.1700,36862502,1640779205.0000,3,62.691330,1,5.096133,75.771594,13.646655,710.565453,22.707215,0
2018-07-13,sh.603650,43.5000,47.3700,43.2000,44.6800,45.3700,33812609,1525453634.0000,3,57.504437,1,-1.520826,74.619238,13.439113,699.758970,22.361877,0
2018-07-16,sh.603650,43.9000,49.1500,42.4200,49.1500,44.6800,36762875,1703166420.0000,3,62.521896,1,10.004480,82.084502,14.783625,769.766190,24.599065,0
2018-07-17,sh.603650,46.8800,50.8300,44.2400,47.1300,49.1500,38230357,1776492111.0000,3,65.017614,1,-4.109869,78.710937,14.176038,738.129817,23.588076,0
2018-07-18,sh.603650,47.1300,48.5100,43.8100,44.1800,47.1300,27315877,1259431106.0000,3,46.455573,1,-6.259284,73.784197,13.288720,691.928184,22.111632,0
2018-07-19,sh.603650,42.8900,47.5500,42.0800,45.9500,44.1800,28926043,1298034061.0000,3,49.193951,1,4.006339,76.740241,13.821111,719.649164,22.997499,0
2018-07-20,sh.603650,45.2600,46.4300,43.5000,45.0400,45.9500,22006589,990060707.0000,3,37.426172,1,-1.980413,75.220467,13.547396,705.397135,22.542053,0
2018-07-23,sh.603650,44.2200,49.5400,44.0100,47.2200,45.0400,32779296,1545236248.0000,3,55.747102,1,4.840143,78.861244,14.203109,739.539359,23.633120,0
2018-07-24,sh.603650,48.0300,50.8800,46.1900,46.5900,47.2200,35498653,1722073762.0000,3,60.371859,1,-1.334183,77.809093,14.013614,729.672569,23.317812,0
2018-07-25,sh.603650,48.1300,48.9900,44.0900,44.9000,46.5900,30373006,1425521647.0000,3,51.654772,1,-3.627385,74.986656,13.505286,703.204515,22.471984,0
2018-07-26,sh.603650,42.6000,43.3300,40.4100,40.9700,44.9000,27083738,1125753143.0000,3,46.060779,1,-8.752784,68.423236,12.323197,641.654543,20.505060,0
2018-07-27,sh.603650,40.0100,41.7700,40.0100,40.6200,40.9700,15706317,641942822.0000,3,26.711423,1,-0.854289,67.838707,12.217922,636.172993,20.329889,0
2018-07-30,sh.603650,40.5300,41.1500,37.8100,39.2500,40.6200,15256683,598304143.0000,3,25.946740,1,-3.372720,65.550696,11.805845,614.716642,19.644218,0
2018-07-31,sh.603650,38.9000,39.3000,37.8000,38.1500,39.2500,12445522,478927564.0000,3,21.165854,1,-2.802544,63.713606,11.474981,597.488914,19.093679,0
2018-08-01,sh.603650,38.1800,39.9700,37.5000,39.1000,38.1500,19172780,748067718.0000,3,32.606769,1,2.490162,65.300183,11.760727,612.367406,19.569145,0
2018-08-02,sh.603650,38.5000,41.2200,37.6700,40.6500,39.1000,22200256,879880505.0000,3,37.755537,1,3.964202,67.888810,12.226946,636.642841,20.344904,0
2018-08-03,sh.603650,40.0000,40.3900,36.5900,36.5900,40.6500,18815463,716224870.0000,3,31.999087,1,-9.987703,61.108279,11.005755,573.056864,18.312916,0
2018-08-06,sh.603650,34.4800,35.0000,32.9300,32.9300,36.5900,14631363,494331658.0000,3,24.883270,1,-10.002730,54.995781,9.904879,515.735516,16.481124,0
2018-08-07,sh.603650,33.4600,34.5000,33.0600,34.2400,32.9300,12619491,426993296.0000,3,21.461719,1,3.978140,57.183588,10.298908,536.252174,17.136765,0
2018-08-08,sh.603650,33.8900,34.1900,30.9000,31.3800,34.2400,16590120,534557688.0000,3,28.214490,1,-8.352811,52.407155,9.438661,491.460082,15.705365,0
2018-08-09,sh.603650,31.0000,32.6300,30.7100,31.8100,31.3800,13646218,437095827.0000,3,23.207854,1,1.370301,53.125290,9.567999,498.194557,15.920575,0
2018-08-10,sh.603650,31.8100,32.9300,31.8100,32.2600,31.8100,12194115,394064537.0000,3,20.738291,1,1.414646,53.876826,9.703352,505.242264,16.145796,0
2018-08-13,sh.603650,31.2000,34.1900,31.0200,33.4800,32.2600,16236478,535196167.0000,3,27.613058,1,3.781777,55.914326,10.070311,524.349380,16.756393,0
2018-08-14,sh.603650,33.7600,34.1500,32.5200,33.9800,33.4800,16781551,565047172.0000,3,28.540053,1,1.493429,51.449144,9.445322,25.410839,9.620202,0
2018-08-15,sh.603650,33.5900,34.3000,32.0300,32.2500,33.9800,12522752,415898748.0000,3,21.297197,1,-5.091228,48.829750,8.964439,24.117115,9.130415,0
2018-08-16,sh.603650,31.1000,32.1900,30.3800,31.1500,32.2500,10449342,327463176.0000,3,17.770990,1,-3.410854,47.164239,8.658675,23.294515,8.818990,0
2018-08-17,sh.603650,31.9000,34.2700,31.6000,34.2700,31.1500,23640845,803731873.0000,3,40.205519,1,10.016050,51.888233,9.525932,25.627706,9.702305,0
2018-08-20,sh.603650,34.1500,36.3900,33.5500,34.8700,34.2700,31040391,1079253109.0000,3,52.789781,1,1.750798,52.796694,9.692713,26.076396,9.872173,0
2018-08-21,sh.603650,34.0200,34.3400,32.2800,33.8000,34.8700,20844345,698576629.0000,3,35.449566,1,-3.068540,51.176606,9.395288,25.276232,9.569241,0
2018-08-22,sh.603650,33.6400,33.6400,31.5200,31.8700,33.8000,14857553,483123475.0000,3,25.267947,1,-5.710054,48.254391,8.858811,23.832944,9.022832,0
2018-08-23,sh.603650,31.5500,32.6800,31.5000,32.3900,31.8700,11496213,369670752.0000,3,19.551383,1,1.631624,49.041724,9.003354,24.221809,9.170051,0
2018-08-24,sh.603650,32.3300,32.3300,30.7100,30.8200,32.3900,12727664,397716683.0000,3,21.645687,1,-4.847174,46.664586,8.566946,23.047736,8.725563,0
2018-08-27,sh.603650,30.9000,32.2300,30.4800,32.0800,30.8200,12881481,403953553.0000,3,21.907281,1,4.088261,48.572353,8.917184,23.989986,9.082286,0
2018-08-28,sh.603650,32.0700,32.4300,31.5100,32.1400,32.0800,11426686,364984617.0000,3,19.433139,1,0.187025,48.663199,8.933862,24.034855,9.099273,0
2018-08-29,sh.603650,31.9800,32.1000,31.2100,31.5100,32.1400,7842122,247795109.0000,3,13.336942,1,-1.960172,47.709315,8.758743,23.563730,8.920911,0
2018-08-30,sh.603650,31.5000,32.3600,31.4100,31.7100,31.5100,10773180,344151797.0000,3,18.321735,1,0.634715,48.012135,8.814337,23.713293,8.977534,0
2018-08-31,sh.603650,31.6000,31.6000,29.0000,29.1300,31.7100,13686969,408907862.0000,3,23.277158,1,-8.136234,44.105755,8.097181,21.783924,8.247101,0
2018-09-03,sh.603650,28.7000,28.7300,26.6600,27.9100,29.1300,10201957,282127595.0000,3,17.350267,1,-4.188120,42.258552,7.758062,20.871587,7.901702,0
2018-09-04,sh.603650,27.6500,28.2900,27.5200,28.0400,27.9100,8301369,232222031.0000,3,14.117974,1,0.465787,42.455385,7.794197,20.968803,7.938507,0
2018-09-05,sh.603650,27.8500,28.5000,27.6200,27.9000,28.0400,8411335,236726309.0000,3,14.304991,1,-0.499291,42.243411,7.755282,20.864108,7.898871,0
2018-09-06,sh.603650,27.2500,29.2000,26.9900,28.6600,27.9000,12065988,341764045.0000,3,20.520388,1,2.724015,43.394128,7.966537,21.432450,8.114037,0
2018-09-07,sh.603650,28.6400,29.3500,27.5200,28.3100,28.6600,10249158,292059082.0000,3,17.430541,1,-1.221215,42.864193,7.869248,21.170714,8.014947,0
2018-09-10,sh.603650,28.5000,29.9900,28.3200,29.4100,28.3100,13828716,402661295.0000,3,23.518224,1,3.885554,44.529703,8.175012,21.993313,8.326372,0
2018-09-11,sh.603650,28.9300,30.7100,28.5300,30.3000,29.4100,13280818,391027641.0000,3,22.586425,1,3.026180,45.877253,8.422403,22.658870,8.578344,0
2018-09-12,sh.603650,29.9400,31.0000,29.8200,30.3500,30.3000,13315174,405408467.0000,3,22.644854,1,0.165020,45.952958,8.436301,22.696261,8.592499,0
2018-09-13,sh.603650,30.6500,30.9300,29.0600,29.7500,30.3500,10422822,310234873.0000,3,17.725888,1,-1.976937,45.044498,8.269521,22.247571,8.422631,0
2018-09-14,sh.603650,29.8000,29.8000,27.0000,27.3700,29.7500,11265455,317425835.0000,3,19.158937,1,-7.999997,41.440938,7.607959,20.467765,7.748821,0
2018-09-17,sh.603650,26.8800,26.8800,25.6800,25.8900,27.3700,6925964,180683325.0000,3,11.778850,1,-5.407385,39.200069,7.196568,19.360995,7.329812,0
2018-09-18,sh.603650,25.7400,26.7600,25.6700,26.6300,25.8900,6151640,161459417.0000,3,10.461973,1,2.858246,40.320503,7.402264,19.914380,7.539317,0
2018-09-19,sh.603650,26.4000,27.1800,25.9200,26.6000,26.6300,7597451,201630871.0000,3,12.920835,1,-0.112650,40.275080,7.393925,19.891946,7.530823,0
2018-09-20,sh.603650,26.5900,27.0000,25.9100,25.9800,26.6000,5898876,155621461.0000,3,10.032102,1,-2.330830,39.336338,7.221585,19.428299,7.355293,0
2018-09-21,sh.603650,25.8500,26.7300,25.8500,26.4500,25.9800,5991516,157153293.0000,3,10.189653,1,1.809089,40.047965,7.352230,19.779773,7.488356,0
2018-09-25,sh.603650,26.5500,29.1000,26.3900,27.3300,26.4500,11120947,304869105.0000,3,18.913175,1,3.327029,41.380374,7.596841,20.437852,7.737496,0
2018-09-26,sh.603650,27.6100,29.1000,27.6100,28.3000,27.3300,14702966,417600612.0000,3,25.005044,1,3.549211,42.849052,7.866469,21.163235,8.012116,0
2018-09-27,sh.603650,27.6400,27.8200,26.0000,26.0100,28.3000,11920199,320078223.0000,3,20.272447,1,-8.091869,39.381761,7.229924,19.450733,7.363786,0
2018-09-28,sh.603650,26.0100,27.5000,26.0100,27.1700,26.0100,8953151,241627664.0000,3,15.226447,1,4.459823,41.138118,7.552366,20.318202,7.692198,0
2018-10-08,sh.603650,26.4200,27.7800,26.0000,27.0000,27.1700,7988331,214416423.0000,3,13.585597,1,-0.625690,40.880721,7.505112,20.191073,7.644069,0
2018-10-09,sh.603650,27.0000,28.3800,26.9600,28.3800,27.0000,12332872,342532896.0000,3,20.974272,1,5.111108,42.970180,7.888706,21.223061,8.034765,0
2018-10-10,sh.603650,28.4500,28.8300,27.8000,28.1900,28.3800,11425519,322863130.0000,3,19.431155,1,-0.669481,42.682501,7.835892,21.080975,7.980974,0
2018-10-11,sh.603650,26.7400,27.0000,25.3700,25.3700,28.1900,9475854,248357646.0000,3,16.115398,1,-10.003550,38.412736,7.052025,18.972130,7.182593,0
2018-10-12,sh.603650,24.4500,24.9600,23.0600,24.6000,25.3700,8611250,209137760.0000,3,14.644983,1,-3.035083,37.246879,6.837991,18.396311,6.964596,0
2018-10-15,sh.603650,24.9300,25.2600,24.1100,24.1300,24.6000,4981565,123423429.0000,3,8.472049,1,-1.910574,36.535251,6.707346,18.044836,6.831532,0
2018-10-16,sh.603650,24.2200,24.5600,22.0100,22.9300,24.1300,8258441,191239426.0000,3,14.044968,1,-4.973058,34.718331,6.373785,17.147455,6.491796,0
2018-10-17,sh.603650,23.4900,23.6800,22.3000,23.3000,22.9300,6883885,159176068.0000,3,11.707287,1,1.613602,35.278548,6.476633,17.424148,6.596548,0
2018-10-18,sh.603650,23.0100,23.0700,22.0100,22.0200,23.3000,5233186,118004346.0000,3,8.899976,1,-5.493557,33.340499,6.120835,16.466941,6.234163,0
2018-10-19,sh.603650,21.4000,22.8900,21.4000,22.7200,22.0200,5623001,125155080.0000,3,9.562927,1,3.178923,34.400369,6.315412,16.990414,6.432342,0
2018-10-22,sh.603650,22.8200,23.9800,22.7900,23.8800,22.7200,8381430,197120207.0000,3,14.254133,1,5.105633,36.156726,6.637854,17.857882,6.760754,0
2018-10-23,sh.603650,23.7600,24.4900,23.2500,23.3200,23.8800,7988906,189323353.0000,3,13.586575,1,-2.345057,35.308830,6.482193,17.439104,6.602210,0
2018-10-24,sh.603650,23.2500,23.7500,22.3100,23.1700,23.3200,6800528,157132960.0000,3,11.565524,1,-0.643223,35.081715,6.440498,17.326932,6.559743,0
2018-10-25,sh.603650,21.8000,22.6500,21.7100,22.3800,23.1700,6138480,136120056.0000,3,10.439592,1,-3.409585,31.647414,6.134780,119.749120,6.026985,0
2018-10-26,sh.603650,22.7900,22.9500,22.3000,22.3000,22.3800,4968405,112249338.0000,3,8.449668,1,-0.357462,31.534286,6.112850,119.321062,6.005441,0
2018-10-29,sh.603650,22.0000,23.8500,21.8500,23.0100,22.3000,9433273,217349737.0000,3,16.042981,1,3.183861,32.538292,6.307475,123.120073,6.196645,0
2018-10-30,sh.603650,22.7500,23.6500,22.2100,23.5300,23.0100,8734306,201589644.0000,3,14.854262,1,2.259889,33.273621,6.450016,125.902448,6.336682,0
2018-10-31,sh.603650,23.4000,23.9400,23.2300,23.6200,23.5300,10066626,238137284.0000,3,17.120112,1,0.382491,33.400890,6.474687,126.384013,6.360920,0
2018-11-01,sh.603650,23.9000,24.3500,23.3000,23.3200,23.6200,9871193,234163128.0000,3,16.787743,1,-1.270115,32.976661,6.392451,124.778797,6.280129,0
2018-11-02,sh.603650,23.6600,23.9700,23.3100,23.8700,23.3200,9232139,218466814.0000,3,15.700917,1,2.358495,33.754413,6.543217,127.721693,6.428245,0
2018-11-05,sh.603650,24.3000,24.5700,23.3000,23.6000,23.8700,9971012,238609392.0000,3,16.957503,1,-1.131129,33.372608,6.469205,126.276998,6.355534,0
2018-11-06,sh.603650,23.0900,23.1600,22.0800,22.5300,23.6000,8981873,201587959.0000,3,15.275294,1,-4.533897,31.859528,6.175897,120.551728,6.067380,0
2018-11-07,sh.603650,22.5000,22.7500,22.2100,22.2100,22.5300,5979213,134637811.0000,3,10.168730,1,-1.420336,31.407018,6.088179,118.839497,5.981203,0
2018-11-08,sh.603650,22.5800,22.6500,22.2200,22.3100,22.2100,4407449,98600020.0000,3,7.495662,1,0.450249,31.548427,6.115591,119.374569,6.008134,0
2018-11-09,sh.603650,22.3500,22.6100,22.1600,22.1700,22.3100,4143912,92564158.0000,3,7.047469,1,-0.627519,31.350454,6.077215,118.625468,5.970431,0
2018-11-12,sh.603650,21.8000,22.8000,21.7700,22.7200,22.1700,5711845,127788794.0000,3,9.714022,1,2.480827,32.128205,6.227980,121.568364,6.118548,0
2018-11-13,sh.603650,22.3300,22.9400,22.2200,22.8400,22.7200,7097443,160242312.0000,3,12.070481,1,0.528173,32.297897,6.260874,122.210451,6.150864,0
2018-11-14,sh.603650,22.7200,23.4700,22.7100,23.3700,22.8400,9807986,227203094.0000,3,16.680248,1,2.320493,33.047366,6.406157,125.046333,6.293594,0
2018-11-15,sh.603650,23.3100,23.8600,23.0300,23.8500,23.3700,11117212,261007128.0000,3,18.906823,1,2.053913,33.726131,6.537734,127.614678,6.422859,0
2018-11-16,sh.603650,23.7900,23.8700,23.4000,23.5300,23.8500,7999832,189001919.0000,3,13.605156,1,-1.341718,33.273621,6.450016,125.902448,6.336682,0
2018-11-19,sh.603650,23.4200,24.3600,23.2700,23.9000,23.5300,9884042,236396978.0000,3,16.809595,1,1.572456,33.796836,6.551440,127.882214,6.436324,0
2018-11-20,sh.603650,23.5000,23.5100,22.8400,22.8700,23.9000,7116938,165039655.0000,3,12.103636,1,-4.309618,32.340319,6.269098,122.370972,6.158943,0
2018-11-21,sh.603650,22.3700,22.8900,22.3000,22.7500,22.8700,4129411,93358565.0000,3,7.022808,1,-0.524709,32.170628,6.236204,121.728886,6.126627,0
2018-11-22,sh.603650,22.8500,23.0600,22.5700,22.7400,22.7500,3650788,83230955.0000,3,6.208823,1,-0.043957,32.156487,6.233462,121.675379,6.123934,0
2018-11-23,sh.603650,22.7500,23.1800,21.6800,21.6900,22.7400,5931316,132666150.0000,3,10.087272,1,-4.617411,30.671689,5.945638,116.057123,5.841166,0
2018-11-26,sh.603650,21.7500,21.9000,20.7000,20.8800,21.6900,5004442,106212318.0000,3,8.510956,1,-3.734446,29.526273,5.723601,111.723039,5.623031,0
2018-11-27,sh.603650,21.0000,21.1600,20.7300,21.0600,20.8800,3385367,70951380.0000,3,5.757427,1,0.862070,29.780810,5.772943,112.686169,5.671506,0
2018-11-28,sh.603650,21.0600,21.2500,20.3000,21.1700,21.0600,4034283,83926219.0000,3,6.861026,1,0.522320,29.936360,5.803096,113.274748,5.701129,0
2018-11-29,sh.603650,21.1300,21.2800,20.0700,20.0700,21.1700,4363614,90415568.0000,3,7.421112,1,-5.196034,28.380857,5.501565,107.388956,5.404897,0
2018-11-30,sh.603650,20.0700,20.3000,19.1800,19.8500,20.0700,4843037,95880698.0000,3,8.236457,1,-1.096160,28.069757,5.441259,106.211797,5.345650,0
2018-12-03,sh.603650,20.3500,20.8200,20.1800,20.6700,19.8500,4840412,99461878.0000,3,8.231993,1,4.130981,29.229314,5.666036,110.599388,5.566478,0
2018-12-04,sh.603650,20.6500,21.5800,20.5400,21.2200,20.6700,6256195,131762571.0000,3,10.639787,1,2.660857,30.007065,5.816802,113.542284,5.714594,0
2018-12-05,sh.603650,20.5200,20.9000,20.4000,20.5600,21.2200,4343824,89702631.0000,3,7.387456,1,-3.110273,29.073763,5.635883,110.010809,5.536855,0
2018-12-06,sh.603650,20.5500,20.8600,20.2900,20.4100,20.5600,3417776,70404332.0000,3,5.812544,1,-0.729570,28.861649,5.594766,109.208201,5.496459,0
2018-12-07,sh.603650,20.5200,20.5800,20.1100,20.1900,20.4100,2579943,52390626.0000,3,4.387658,1,-1.077900,28.550549,5.534459,108.031042,5.437213,0
2018-12-10,sh.603650,20.0900,20.0900,19.5400,19.6600,20.1900,2600170,51363634.0000,3,4.422058,1,-2.625065,27.801079,5.389176,105.195160,5.294483,0
2018-12-11,sh.603650,19.7900,20.0700,19.6800,19.9900,19.6600,2238673,44538693.0000,3,3.807267,1,1.678535,28.267730,5.479636,106.960898,5.383352,0
2018-12-12,sh.603650,20.1500,20.8700,20.0000,20.6500,19.9900,5023929,102956403.0000,3,8.544097,1,3.301650,29.201032,5.660554,110.492373,5.561092,0
2018-12-13,sh.603650,20.7000,20.7300,20.2500,20.4900,20.6500,3997117,82050310.0000,3,6.797818,1,-0.774818,28.974777,5.616695,109.636258,5.518004,0
2018-12-14,sh.603650,20.6000,20.9900,20.2700,20.6600,20.4900,5091916,105064496.0000,3,8.659721,1,0.829673,29.215173,5.663295,110.545881,5.563785,0
2018-12-17,sh.603650,21.3500,22.7300,21.0500,22.3700,20.6600,15325441,341306869.0000,3,26.063675,1,8.276869,31.633273,6.132038,119.695612,6.024292,0
2018-12-18,sh.603650,21.5000,21.8800,21.3800,21.5500,22.3700,9536275,206368125.0000,3,16.218155,1,-3.665631,30.473716,5.907261,115.308022,5.803464,0
2018-12-19,sh.603650,21.5500,21.6500,20.7800,20.9900,21.5500,5386712,114675431.0000,3,9.161075,1,-2.598605,29.681824,5.753754,112.311618,5.652655,0
2018-12-20,sh.603650,20.8800,21.5300,20.7000,21.5000,20.9900,5518814,116725245.0000,3,9.385738,1,2.429729,30.403011,5.893555,115.040486,5.789999,0
2018-12-21,sh.603650,21.1700,21.9700,21.1300,21.8600,21.5000,6420598,138934417.0000,3,10.919384,1,1.674422,30.912085,5.992238,116.966745,5.886948,0
2018-12-24,sh.603650,21.6800,22.3500,21.5600,22.2500,21.8600,6986553,154190173.0000,3,11.881893,1,1.784078,31.463581,6.099144,119.053526,5.991976,0
2018-12-25,sh.603650,21.8400,22.2000,21.0000,22.1000,22.2500,6872457,147732267.0000,3,11.687852,1,-0.674156,31.251467,6.058026,118.250918,5.951580,0
2018-12-26,sh.603650,21.8600,22.3700,21.8000,22.0000,22.1000,6633798,146309183.0000,3,11.281969,1,-0.452490,31.110058,6.030615,117.715846,5.924650,0
2018-12-27,sh.603650,22.4600,22.4800,20.8000,20.8000,22.0000,6372521,137849561.0000,3,10.837621,1,-5.454549,29.413146,5.701672,111.294982,5.601487,0
2018-12-28,sh.603650,20.8000,20.9500,19.7000,19.8300,20.8000,5295219,107354421.0000,3,9.005474,1,-4.663458,28.041475,5.435777,106.104783,5.340264,0
2019-01-02,sh.603650,19.9100,20.0200,19.5600,19.7200,19.8300,2798285,55444708.0000,3,4.758988,1,-0.554718,27.885925,5.405624,105.516204,5.310641,0
2019-01-03,sh.603650,19.7400,19.8800,19.2100,19.2400,19.7200,3196242,62471137.0000,3,5.435786,1,-2.434075,27.207160,5.274047,102.947858,5.181376,0
2019-01-04,sh.603650,19.0000,19.6600,18.8100,19.6300,19.2400,3617281,70135099.0000,3,6.151838,1,2.027024,27.758656,5.380953,105.034639,5.286404,0
2019-01-07,sh.603650,19.7000,20.1000,19.6000,19.9300,19.6300,3977652,78994629.0000,3,6.764714,1,1.528279,28.182884,5.463189,106.639855,5.367194,0
2019-01-08,sh.603650,19.8300,19.9000,19.5300,19.5600,19.9300,3470142,68347673.0000,3,5.901602,1,-1.856502,27.659670,5.361765,104.660088,5.267552,0
2019-01-09,sh.603650,19.5600,20.1000,19.5200,19.6000,19.5600,4369559,86639643.0000,3,7.431223,1,0.204504,27.716233,5.372729,104.874117,5.278325,0
2019-01-10,sh.603650,19.6300,19.9300,19.4000,19.5000,19.6000,3138327,61808750.0000,3,5.337291,1,-0.510206,27.574824,5.345317,104.339045,5.251394,0
2019-01-11,sh.603650,19.5000,20.4600,19.5000,20.4300,19.5000,7088482,142324756.0000,3,12.055241,1,4.769232,28.889931,5.600248,109.315215,5.501845,0
2019-01-14,sh.603650,20.6100,20.7200,19.8100,19.8700,20.4300,5322166,107068425.0000,3,9.051303,1,-2.741064,28.098039,5.446741,106.318812,5.351036,0
2019-01-15,sh.603650,19.6700,20.1500,19.6200,20.0200,19.8700,3638677,72351591.0000,3,6.188226,1,0.754905,28.310153,5.487859,107.121420,5.391432,0
