date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2019-07-22,sh.688019,152.0000,243.2000,110.0000,196.0100,39.1900,9976814,1582280873.0000,3,86.193105,1,400.153100,178.076041,39.296812,146.625562,27.685622,0
2019-07-23,sh.688019,160.0000,198.2000,155.8800,178.7500,196.0100,6036318,1063292968.0000,3,52.149814,1,-8.805671,162.395247,35.836463,133.714195,25.247717,0
2019-07-24,sh.688019,180.5000,188.8500,170.0000,183.0000,178.7500,4997399,898642993.0000,3,43.174238,1,2.377622,166.256393,36.688519,136.893413,25.848012,0
2019-07-25,sh.688019,180.0000,200.8000,177.0200,200.8000,183.0000,5921301,1115617838.0000,3,51.156143,1,9.726778,182.427780,40.257129,150.208729,28.362190,0
2019-07-26,sh.688019,191.0000,194.8800,175.0000,176.2500,200.8000,4003606,740648806.0000,3,34.588500,1,-12.226100,160.123985,35.335254,131.844066,24.894602,0
2019-07-29,sh.688019,176.7600,186.5900,175.5000,182.5000,176.2500,3150572,575056706.0000,3,27.218868,1,3.546099,165.802140,36.588277,136.519387,25.777389,0
2019-07-30,sh.688019,183.8600,196.0000,180.2300,190.0200,182.5000,4303888,822199785.0000,3,37.182800,1,4.120600,172.634097,38.095914,142.144734,26.839559,0
2019-07-31,sh.688019,190.0000,194.9800,187.0500,193.8000,190.0200,3715031,711507079.0000,3,32.095400,1,1.989300,176.068245,38.853743,144.972369,27.373469,0
2019-08-01,sh.688019,195.5000,204.5500,193.2800,202.4800,193.8000,5188034,1030753703.0000,3,44.821200,1,4.478800,183.954068,40.593941,151.465455,28.599484,0
2019-08-02,sh.688019,195.9500,225.9800,194.0300,208.2000,202.4800,6628306,1378756097.0000,3,57.264200,1,2.825000,189.150716,41.740708,155.744309,29.407411,0
2019-08-05,sh.688019,205.0000,210.5000,194.0000,208.5000,208.2000,4317634,886124258.0000,3,37.301500,1,0.144100,189.423267,41.800853,155.968725,29.449784,0
2019-08-06,sh.688019,204.8000,216.6800,179.0000,185.8000,208.5000,4912800,1009288495.0000,3,42.443400,1,-10.887300,168.800206,37.249873,138.987957,26.243501,0
2019-08-07,sh.688019,188.1300,191.5000,175.3300,183.0000,185.8000,3216684,588082507.0000,3,27.790000,1,-1.507000,166.256393,36.688519,136.893413,25.848012,0
2019-08-08,sh.688019,182.0000,183.8800,175.3500,175.6600,183.0000,2167405,388669516.0000,3,18.725000,1,-4.010900,159.587967,35.216968,131.402716,24.811267,0
2019-08-09,sh.688019,177.4900,177.8200,165.9600,166.3800,175.6600,2642792,454092156.0000,3,22.832000,1,-5.282900,151.157042,33.356479,124.460798,23.500504,0
2019-08-12,sh.688019,167.9600,168.3700,158.8800,163.4800,166.3800,1913534,311544910.0000,3,16.531700,1,-1.743000,148.522377,32.775077,122.291449,23.090891,0
2019-08-13,sh.688019,162.0000,171.0000,161.8400,169.9900,163.4800,2114814,351588646.0000,3,18.270600,1,3.982100,154.436744,34.080226,127.161264,24.010402,0
2019-08-14,sh.688019,170.1000,176.6800,169.5000,173.1900,169.9900,2246612,387715735.0000,3,19.409200,1,1.882500,157.343960,34.721774,129.555029,24.462389,0
2019-08-15,sh.688019,168.1000,172.0000,167.0000,170.8500,173.1900,1320864,224412866.0000,3,11.411400,1,-1.351100,155.218058,34.252642,127.804588,24.131874,0
2019-08-16,sh.688019,170.9800,172.5000,168.2500,169.0700,170.8500,1384072,236138582.0000,3,11.957500,1,-1.041800,153.600920,33.895781,126.473057,23.880456,0
2019-08-19,sh.688019,169.0000,169.1000,161.8800,166.8800,169.0700,1637258,270473368.0000,3,14.144800,1,-1.295300,151.611294,33.456721,124.834824,23.571127,0
2019-08-20,sh.688019,166.9400,169.9900,165.5800,167.2700,166.8800,1673733,280895529.0000,3,14.460000,1,0.233700,151.965611,33.534910,125.126564,23.626213,0
2019-08-21,sh.688019,166.0100,167.4400,155.6400,155.8000,167.2700,1896943,303635037.0000,3,16.388300,1,-6.857200,141.545060,31.235362,116.546414,22.006122,0
