date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2015-04-24,sz.300442,25.0700,27.6000,25.0700,27.6000,19.1700,21000,579337.0000,3,0.084000,1,43.974960,29.746461,4.665833,-20.320110,5.400788,0
2015-04-27,sz.300442,30.3600,30.3600,30.3600,30.3600,27.6000,6600,200376.0000,3,0.026400,1,10.000000,32.721107,5.132416,-22.352121,5.940867,0
2015-04-28,sz.300442,33.4000,33.4000,33.4000,33.4000,30.3600,10075,336505.0000,3,0.040300,1,10.013200,35.997529,5.646334,-24.590278,6.535737,0
2015-04-29,sz.300442,36.7400,36.7400,36.7400,36.7400,33.4000,8400,308616.0000,3,0.033600,1,10.000000,39.597282,6.210967,-27.049306,7.189310,0
2015-04-30,sz.300442,40.4100,40.4100,40.4100,40.4100,36.7400,36300,1466883.0000,3,0.145200,1,9.989100,43.552699,6.831388,-29.751291,7.907459,0
2015-05-04,sz.300442,44.4500,44.4500,44.4500,44.4500,40.4100,35400,1573530.0000,3,0.141600,1,9.997500,47.906891,7.514357,-32.725684,8.698009,0
2015-05-05,sz.300442,48.9000,48.9000,48.9000,48.9000,44.4500,102700,5022030.0000,3,0.410800,1,10.011200,52.702969,8.266638,-36.001934,9.568788,0
2015-05-06,sz.300442,52.0000,52.0000,47.5000,47.8000,48.9000,11865424,586878608.0000,3,47.461696,1,-2.249500,51.517421,8.080681,-35.192074,9.353539,0
2015-05-07,sz.300442,45.5000,46.4500,43.0200,43.1900,47.8000,6866491,301667040.0000,3,27.465964,1,-9.644400,46.548900,7.301352,-31.798027,8.451451,0
2015-05-08,sz.300442,44.5100,47.3500,43.7000,47.2600,43.1900,6747156,308955888.0000,3,26.988624,1,9.423500,50.935425,7.989393,-34.794507,9.247872,0
2015-05-11,sz.300442,48.5000,51.9900,48.0000,51.9900,47.2600,7412263,373817328.0000,3,29.649052,1,10.008500,56.033279,8.789009,-38.276903,10.173442,0
2015-05-12,sz.300442,55.2000,57.1900,54.5400,57.1900,51.9900,7255207,410711168.0000,3,29.020828,1,10.001900,61.637685,9.668079,-42.105329,11.190982,0
2015-05-13,sz.300442,57.7600,62.8900,52.5200,62.8800,57.1900,7413114,441614096.0000,3,29.652456,1,9.949300,67.770198,10.629984,-46.294511,12.304405,0
2015-05-14,sz.300442,62.0000,69.1700,62.0000,69.1700,62.8800,5164701,352028336.0000,3,20.658804,1,10.003200,74.549373,11.693321,-50.925435,13.535237,0
2015-05-15,sz.300442,73.0000,76.0900,73.0000,76.0900,69.1700,3888998,292251248.0000,3,15.555992,1,10.004300,82.007544,12.863160,-56.020187,14.889348,0
2015-05-18,sz.300442,83.7000,83.7000,82.0000,83.7000,76.0900,865095,72270016.0000,3,3.460380,1,10.001300,90.209376,14.149645,-61.622942,16.378478,0
2015-05-19,sz.300442,92.0700,92.0700,79.1000,91.0000,83.7000,8771483,765414128.0000,3,35.085932,1,8.721600,98.077099,15.383724,-66.997464,17.806947,0
2015-05-20,sz.300442,94.0000,100.1000,87.7800,100.1000,91.0000,4746984,461500400.0000,3,18.987936,1,10.000000,107.884809,16.922096,-73.697210,19.587642,0
2015-05-21,sz.300442,105.0000,110.1100,98.0000,110.1100,100.1000,4874908,517451984.0000,3,19.499632,1,10.000000,118.673290,18.614306,-81.066931,21.546406,0
2015-05-22,sz.300442,119.6200,121.1200,115.0100,121.1200,110.1100,5296191,632616400.0000,3,21.184764,1,9.999100,130.539542,20.475567,-89.172888,23.700851,0
2015-05-25,sz.300442,122.0000,133.2300,121.1300,133.2300,121.1200,4386320,562561104.0000,3,17.545280,1,9.998300,143.591340,22.522786,-98.088704,26.070545,0
2015-05-26,sz.300442,142.0000,146.5500,142.0000,146.5500,133.2300,2189411,318342080.0000,3,8.757644,1,9.997800,157.947241,24.774557,-107.895366,28.677012,0
2015-05-27,sz.300442,161.2100,161.2100,156.0000,161.2100,146.5500,1175120,189012201.0000,3,4.700480,1,10.003400,173.747354,27.252858,-118.688583,31.545692,0
2015-05-28,sz.300442,177.3300,177.3300,145.0900,145.0900,161.2100,2107401,347895024.0000,3,8.429604,1,-9.999400,156.373696,24.527742,-106.820461,28.391319,0
2015-05-29,sz.300442,130.5800,158.0000,130.5800,130.9000,145.0900,10139111,1371748224.0000,3,40.556444,1,-9.780100,141.080135,22.128895,-96.373274,25.614609,0
2015-06-01,sz.300442,125.1500,125.2000,117.8100,117.8100,130.9000,6092755,726047968.0000,3,24.371020,1,-10.000000,126.972122,19.916006,-86.735947,23.053148,0
2015-06-02,sz.300442,113.0000,116.6300,106.0300,106.4900,117.8100,8495263,925290848.0000,3,33.981052,1,-9.608700,114.771762,18.002338,-78.401757,20.838042,0
