date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2019-05-16,sz.300777,7.2700,8.7300,7.2700,8.7300,6.0600,25565,221502.4500,3,0.063897,1,44.059400,25.847775,14.699560,-81.348535,5.315626,0
2019-05-17,sz.300777,9.6000,9.6000,9.6000,9.6000,8.7300,12067,115843.2000,3,0.030160,1,9.965646,28.423670,16.164465,-89.455434,5.845362,0
2019-05-20,sz.300777,10.5600,10.5600,10.5600,10.5600,9.6000,16155,170596.8000,3,0.040377,1,10.000000,31.266037,17.780911,-98.400977,6.429899,0
2019-05-21,sz.300777,11.6200,11.6200,11.6200,11.6200,10.5600,23368,271536.1600,3,0.058405,1,10.037870,34.404484,19.565738,-108.278348,7.075324,0
2019-05-22,sz.300777,12.7800,12.7800,12.7800,12.7800,11.6200,69107,883187.4600,3,0.172724,1,9.982787,37.839011,21.518944,-119.087546,7.781639,0
2019-05-23,sz.300777,14.0600,14.0600,14.0600,14.0600,12.7800,210803,2963890.1800,3,0.526876,1,10.015660,41.628834,23.674206,-131.014938,8.561020,0
2019-05-24,sz.300777,15.4700,15.4700,15.4700,15.4700,14.0600,158843,2457301.2100,3,0.397008,1,10.028450,45.803560,26.048362,-144.153705,9.419558,0
2019-05-27,sz.300777,17.0200,17.0200,17.0200,17.0200,15.4700,141040,2400500.8000,3,0.352512,1,10.019390,50.392799,28.658249,-158.597030,10.363341,0
2019-05-28,sz.300777,18.7200,18.7200,18.7200,18.7200,17.0200,196232,3673463.0400,3,0.490457,1,9.988242,55.426157,31.520707,-174.438096,11.398457,0
2019-05-29,sz.300777,20.5900,20.5900,20.5900,20.5900,18.7200,160311,3300803.4900,3,0.400677,1,9.989321,60.962851,34.669410,-191.863269,12.537085,0
2019-05-30,sz.300777,22.6500,22.6500,22.6500,22.6500,20.5900,207116,4691177.4000,3,0.517661,1,10.004850,67.062097,38.138035,-211.058915,13.791402,0
2019-05-31,sz.300777,24.9200,24.9200,24.9200,24.9200,22.6500,595237,14833306.0400,3,1.487721,1,10.022080,73.783110,41.960257,-232.211397,15.173587,0
2019-06-03,sz.300777,27.4100,27.4100,27.4100,27.4100,24.9200,586886,16086545.2600,3,1.466848,1,9.991974,81.155500,46.152915,-255.413901,16.689728,0
2019-06-04,sz.300777,30.1500,30.1500,27.8100,30.1500,27.4100,32907961,972098770.1200,3,82.249340,1,9.996351,89.268089,50.766523,-280.945972,18.358091,0
2019-06-05,sz.300777,28.5700,31.6800,27.9200,30.5100,30.1500,27120840,790190331.1500,3,67.785154,1,1.194032,90.333977,51.372690,-284.300551,18.577293,0
2019-06-06,sz.300777,29.3600,29.7200,27.4600,27.4600,30.5100,18604600,525042273.5000,3,46.499875,1,-9.996726,81.303540,46.237105,-255.879814,16.720172,0
2019-06-10,sz.300777,27.3900,28.2000,26.7500,28.0700,27.4600,14060395,389851984.4500,3,35.142202,1,2.221415,83.109627,47.264222,-261.563962,17.091596,0
2019-06-11,sz.300777,27.7700,30.2700,26.9000,29.7000,28.0700,19528203,563284435.6000,3,48.808305,1,5.806915,87.935729,50.008814,-276.752749,18.084090,0
2019-06-12,sz.300777,29.6000,32.1900,28.8200,29.8200,29.7000,23928583,732552916.1600,3,59.806506,1,0.404037,88.291025,50.210869,-277.870942,18.157157,0
2019-06-13,sz.300777,28.7900,32.0000,28.2000,31.3500,29.8200,22213682,672017540.8200,3,55.520325,1,5.130787,92.821048,52.787081,-292.127902,19.088762,0
2019-06-14,sz.300777,30.4100,32.6000,30.0200,30.9600,31.3500,21180262,664303387.1000,3,52.937421,1,-1.244023,91.666336,52.130400,-288.493775,18.851294,0
2019-06-17,sz.300777,30.1000,34.0600,29.5400,34.0600,30.9600,20587644,670170226.3900,3,51.456246,1,10.012930,100.844813,57.350175,-317.380425,20.738859,0
2019-06-18,sz.300777,35.0000,37.4700,35.0000,37.4700,34.0600,13361347,485306522.4700,3,33.395019,1,10.011740,110.941137,63.091927,-349.155741,22.815180,0
2019-06-19,sz.300777,41.2200,41.2200,39.8800,41.2200,37.4700,8769380,360934417.4000,3,21.917971,1,10.008010,122.044134,69.406172,-384.099270,25.098525,0
2019-06-20,sz.300777,42.0000,45.3400,41.4200,45.3400,41.2200,8206869,359110603.4100,3,20.512044,1,9.995146,134.242625,76.343421,-422.490560,27.607160,0
2019-06-21,sz.300777,46.7000,49.8700,46.5100,49.8700,45.3400,6671598,326159952.2200,3,16.674826,1,9.991175,147.655045,83.971028,-464.702343,30.365440,0
2019-06-24,sz.300777,54.8600,54.8600,44.8800,45.2000,49.8700,29709175,1482981230.8500,3,74.254374,1,-9.364345,133.828114,76.107689,-421.186002,27.521915,0
2019-06-25,sz.300777,43.0000,43.4900,40.6800,40.6800,45.2000,11259528,470541319.2300,3,28.141785,1,-10.000000,120.445302,68.496920,-379.067401,24.769723,0
2019-06-26,sz.300777,39.7200,40.4000,37.8100,38.3300,40.6800,16658942,648189023.5100,3,41.636946,1,-5.776791,113.487425,64.539994,-357.169457,23.338827,0
2019-06-27,sz.300777,38.5000,38.6600,37.3000,37.5000,38.3300,12198406,463777686.9100,3,30.488393,1,-2.165410,111.029961,63.142441,-349.435289,22.833447,0
2019-06-28,sz.300777,37.2900,38.3300,36.4000,36.8000,37.5000,11277273,421701481.1800,3,28.186136,1,-1.866669,108.957402,61.963782,-342.912497,22.407223,0
2019-07-01,sz.300777,37.2200,38.2800,37.0200,37.7000,36.8000,10975950,413399011.9600,3,27.433017,1,2.445657,111.622121,63.479201,-351.298944,22.955225,0
2019-07-02,sz.300777,37.3000,39.3700,36.8100,39.1600,37.7000,14480960,555402806.8500,3,36.193352,1,3.872677,115.944888,65.937547,-364.903624,23.844208,0
2019-07-03,sz.300777,38.3000,38.3200,36.3600,36.3600,39.1600,11639724,431619639.5500,3,29.092037,1,-7.150152,107.654651,61.222911,-338.812456,22.139310,0
2019-07-04,sz.300777,36.2400,37.8500,34.6000,37.2100,36.3600,14793704,536663231.8800,3,36.975016,1,2.337729,110.171330,62.654140,-346.732989,22.656868,0
2019-07-05,sz.300777,36.0000,38.1700,35.1000,37.4300,37.2100,11900541,439224057.1700,3,29.743917,1,0.591242,110.822706,63.024575,-348.783010,22.790825,0
2019-07-08,sz.300777,36.9400,38.2600,35.7600,35.7600,37.4300,11566497,428085386.8000,3,28.909015,1,-4.461667,105.878171,60.212632,-333.221492,21.773975,0
2019-07-09,sz.300777,34.5000,34.5900,32.6900,33.0400,35.7600,11801021,395430531.4000,3,29.495179,1,-7.606257,97.824798,55.632700,-307.875785,20.117789,0
2019-07-10,sz.300777,33.2800,33.8600,32.8800,33.5000,33.0400,7512837,250845750.9600,3,18.777398,1,1.392249,99.186766,56.407248,-312.162191,20.397879,0
2019-07-11,sz.300777,33.8700,33.8700,31.8100,32.1400,33.5000,7516209,245323072.1000,3,18.785826,1,-4.059703,95.160079,54.117282,-299.489338,19.569786,0
2019-07-12,sz.300777,32.1000,32.7000,31.5600,32.2100,32.1400,6753114,217268498.8100,3,16.878565,1,0.217796,95.367335,54.235148,-300.141618,19.612409,0
2019-07-15,sz.300777,32.4000,33.8000,32.0200,33.7500,32.2100,7773790,257475909.6800,3,19.429618,1,4.781127,99.926965,56.828197,-314.491760,20.550102,0
2019-07-16,sz.300777,33.5200,34.2900,33.1600,34.0600,33.7500,7390408,249545672.9600,3,18.471402,1,0.918523,100.844813,57.350175,-317.380425,20.738859,0
2019-07-17,sz.300777,33.9600,33.9600,32.5100,32.5400,34.0600,7773500,257255627.7200,3,19.428893,1,-4.462714,96.344399,54.790801,-303.216648,19.813343,0
2019-07-18,sz.300777,32.1000,33.7000,31.3100,32.9000,32.5400,8374779,272875445.2000,3,20.931715,1,1.106333,97.410286,55.396969,-306.571227,20.032544,0
2019-07-19,sz.300777,31.9200,33.0800,31.6300,31.6900,32.9000,6031466,194808600.7600,3,15.074896,1,-3.677814,93.827719,53.359572,-295.296115,19.295785,0
