date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2019-06-18,sz.300782,42.3500,50.8200,42.3500,50.8200,35.2900,39796,2012694.0000,3,0.159184,1,44.006800,28.239976,8.279848,41.601122,9.847690,0
2019-06-19,sz.300782,55.9000,55.9000,55.9000,55.9000,50.8200,18272,1021404.8000,3,0.073088,1,9.996069,31.062862,9.107507,45.759597,10.832071,0
2019-06-20,sz.300782,61.4900,61.4900,61.4900,61.4900,55.9000,17991,1106266.5900,3,0.071964,1,10.000000,34.169149,10.018258,50.335557,11.915278,0
2019-06-21,sz.300782,67.6400,67.6400,67.6400,67.6400,61.4900,34593,2339870.5200,3,0.138372,1,10.001620,37.586619,11.020246,55.369931,13.107000,0
2019-06-24,sz.300782,74.4000,74.4000,74.4000,74.4000,67.6400,147502,10974148.8000,3,0.590008,1,9.994089,41.343058,12.121619,60.903650,14.416925,0
2019-06-25,sz.300782,81.8400,81.8400,81.8400,81.8400,74.4000,136930,11206351.2000,3,0.547720,1,9.999992,45.477364,13.333781,66.994015,15.858618,0
2019-06-26,sz.300782,90.0200,90.0200,90.0200,90.0200,81.8400,87662,7891333.2400,3,0.350648,1,9.995113,50.022878,14.666508,73.690142,17.443704,0
2019-06-27,sz.300782,99.0200,99.0200,99.0200,99.0200,90.0200,121686,12049347.7200,3,0.486744,1,9.997778,55.024054,16.132833,81.057519,19.187687,0
2019-06-28,sz.300782,108.9200,108.9200,108.9200,108.9200,99.0200,282635,30784604.2000,3,1.130540,1,9.997982,60.525348,17.745790,89.161634,21.106068,0
2019-07-01,sz.300782,119.8100,119.8100,119.8100,119.8100,108.9200,158228,18957296.6800,3,0.632912,1,9.998163,66.576772,19.520043,98.076160,23.216287,0
2019-07-02,sz.300782,131.7900,131.7900,131.7900,131.7900,119.8100,306093,40339996.4700,3,1.224372,1,9.999162,73.233893,21.471884,107.882957,25.537722,0
2019-07-03,sz.300782,144.9700,144.9700,136.8100,144.9700,131.7900,16198740,2315985768.6500,3,64.794960,1,10.000760,80.557838,23.619236,118.672071,28.091688,0
2019-07-04,sz.300782,150.0000,159.4700,148.2000,159.4700,144.9700,11131589,1715228304.1700,3,44.526356,1,10.002070,88.615289,25.981648,130.541734,30.901439,0
2019-07-05,sz.300782,175.4200,175.4200,175.4200,175.4200,159.4700,762628,133780203.7600,3,3.050512,1,10.001880,97.478485,28.580302,143.598364,33.992164,0
2019-07-08,sz.300782,186.9800,192.9600,176.1000,185.1900,175.4200,10873114,2017805818.4800,3,43.492456,1,5.569493,102.907540,30.172079,151.596061,35.885354,0
2019-07-09,sz.300782,188.0000,188.1000,176.0200,180.0000,185.1900,6372042,1157555662.0200,3,25.488168,1,-2.802528,100.023528,29.326498,147.347540,34.879657,0
2019-07-10,sz.300782,184.3100,190.5000,180.7000,189.5000,180.0000,6594697,1226946380.0500,3,26.378788,1,5.277778,105.302548,30.874286,155.124216,36.720528,0
2019-07-11,sz.300782,186.0000,193.7900,183.5100,189.0000,189.5000,5889802,1109264141.9900,3,23.559208,1,-0.263852,105.024705,30.792823,154.714917,36.623640,0
2019-07-12,sz.300782,184.8600,187.5000,180.1400,184.4000,189.0000,4407673,809670187.3800,3,17.630692,1,-2.433866,102.468548,30.043368,150.949369,35.732271,0
2019-07-15,sz.300782,202.8400,202.8400,198.0000,202.8400,184.4000,3486170,706833353.0000,3,13.944680,1,10.000000,112.715403,33.047705,166.044305,39.305498,0
2019-07-16,sz.300782,213.0900,223.1200,209.0000,223.1200,202.8400,3511858,761070184.9800,3,14.047432,1,9.998027,123.984720,36.351824,182.645462,43.235273,0
2019-07-17,sz.300782,227.5800,239.0000,215.2500,217.2000,223.1200,7305301,1655747676.6300,3,29.221204,1,-2.653280,120.695058,35.387308,177.799365,42.088120,0
2019-07-18,sz.300782,218.0000,221.8000,210.1100,215.3500,217.2000,5273356,1141398704.4500,3,21.093424,1,-0.851745,119.667038,35.085897,176.284959,41.729634,0
2019-07-19,sz.300782,215.3500,216.8800,205.0100,206.0500,215.3500,5185652,1096301156.4700,3,20.742608,1,-4.318552,114.499156,33.570694,168.672003,39.927519,0
2019-07-22,sz.300782,211.0000,216.5800,203.0000,208.7500,206.0500,5532280,1162459190.1100,3,22.129120,1,1.310360,115.999509,34.010592,170.882216,40.450714,0
2019-07-23,sz.300782,204.2100,228.9900,204.1100,224.0300,208.7500,4711614,1026972576.9000,3,18.846456,1,7.319759,124.490395,36.500086,183.390385,43.411609,0
2019-07-24,sz.300782,224.0300,246.4300,224.0300,244.3000,224.0300,5017896,1198837771.7900,3,20.071584,1,9.047897,135.754156,39.802575,199.983355,47.339446,0
2019-07-25,sz.300782,242.0000,246.0000,225.5500,231.0000,244.3000,4504140,1060885546.7800,3,18.016560,1,-5.444127,128.363528,37.635673,189.096009,44.762227,0
2019-07-26,sz.300782,229.0000,233.3000,224.6000,233.0000,231.0000,2624917,600163813.3800,3,10.499700,1,0.865800,129.474901,37.961523,190.733204,45.149779,0
2019-07-29,sz.300782,231.5000,240.2000,226.3100,231.9600,233.0000,2863722,667760446.8100,3,11.454888,1,-0.446349,128.896987,37.792081,189.881863,44.948252,0
2019-07-30,sz.300782,230.0000,235.0000,225.0100,230.9500,231.9600,2131011,489587569.9300,3,8.524000,1,-0.435400,128.335744,37.627526,189.055080,44.752538,0
2019-07-31,sz.300782,230.5000,244.8000,228.0000,242.5000,230.9500,3895526,926301991.9800,3,15.582100,1,5.001100,134.753920,39.509310,198.509880,46.990649,0
2019-08-01,sz.300782,239.7100,245.9400,236.0000,242.0000,242.5000,2315166,555305769.0200,3,9.260700,1,-0.206200,134.476077,39.427848,198.100581,46.893762,0
2019-08-02,sz.300782,231.0000,243.7000,230.0000,231.2000,242.0000,2798845,661978123.1600,3,11.195400,1,-4.462800,128.474665,37.668258,189.259729,44.800982,0
2019-08-05,sz.300782,227.9500,236.6600,226.6200,230.5000,231.2000,2045640,474583680.3800,3,8.182600,1,-0.302800,128.085685,37.554210,188.686711,44.665339,0
2019-08-06,sz.300782,225.0100,234.8600,220.6200,231.1200,230.5000,2036473,465289559.7300,3,8.145900,1,0.269000,128.430211,37.655224,189.194241,44.785480,0
2019-08-07,sz.300782,231.2900,245.0000,226.1000,236.0300,231.1200,2495278,590331236.9900,3,9.981100,1,2.124400,131.158630,38.455185,193.213555,45.736920,0
2019-08-08,sz.300782,240.0000,259.6300,236.1700,257.0100,236.0300,3697922,933356021.0400,3,14.791700,1,8.888700,142.816928,41.873352,210.387729,49.802337,0
2019-08-09,sz.300782,251.0000,260.8300,244.6000,253.0100,257.0100,3111226,785200240.5800,3,12.444900,1,-1.556400,140.594183,41.221652,207.113339,49.027234,0
2019-08-12,sz.300782,251.9900,278.3100,250.1000,278.3100,253.0100,2831011,765874139.8600,3,11.324000,1,9.999600,154.653046,45.343654,227.823854,53.929763,0
2019-08-13,sz.300782,274.0000,287.5100,268.0000,284.0000,278.3100,2461933,687922434.6900,3,9.847700,1,2.044500,157.814900,46.270697,232.481674,55.032348,0
2019-08-14,sz.300782,284.0000,296.2300,264.1100,267.9100,284.0000,3595227,999241996.1600,3,14.380900,1,-5.665500,148.873908,43.649234,219.310441,51.914494,0
2019-08-15,sz.300782,258.0800,273.5000,256.9800,270.8000,267.9100,2079946,553792807.0700,3,8.319800,1,1.078700,150.479842,44.120087,221.676188,52.474507,0
2019-08-16,sz.300782,270.0000,294.0300,268.3200,282.0000,270.8000,2612934,735586531.5300,3,10.451700,1,4.135900,156.703528,45.944847,230.844479,54.644796,0
2019-08-19,sz.300782,283.6200,300.8800,283.6200,291.3500,282.0000,2336659,687231812.2600,3,9.346600,1,3.315600,161.899194,47.468196,238.498365,56.456601,0
2019-08-20,sz.300782,291.0000,296.9000,285.8800,296.9000,291.3500,1602068,465761124.8700,3,6.408300,1,1.904900,164.983253,48.372430,243.041581,57.532057,0
2019-08-21,sz.300782,295.0000,317.5500,291.0000,313.2000,296.9000,2309767,698344337.9100,3,9.239100,1,5.490100,174.040939,51.028107,256.384719,60.690604,0
2019-08-22,sz.300782,312.0100,318.2000,289.0000,295.5500,313.2000,2668604,806395070.5200,3,10.674400,1,-5.635400,164.233077,48.152481,241.936474,57.270460,0
2019-08-23,sz.300782,293.0100,298.6900,287.2200,294.7700,295.5500,1785091,522602021.9200,3,7.140400,1,-0.263900,163.799642,48.025399,241.297968,57.119314,0
2019-08-26,sz.300782,289.0100,295.8000,283.7000,291.5300,294.7700,1535209,444249943.7300,3,6.140800,1,-1.099200,161.999218,47.497522,238.645713,56.491481,0
2019-08-27,sz.300782,295.0000,302.4700,288.0000,295.4000,291.5300,1643483,486626561.1100,3,6.573900,1,1.327500,164.149724,48.128042,241.813685,57.241393,0
2019-08-28,sz.300782,294.0000,308.8000,292.0000,304.6700,295.4000,1990960,602789503.9000,3,7.963800,1,3.138100,169.300936,49.638357,249.402083,59.037696,0
2019-08-29,sz.300782,308.0000,323.4000,304.7000,320.0000,304.6700,1945482,615004886.8700,3,7.781900,1,5.031700,177.819606,52.135997,261.951182,62.008280,0
2019-08-30,sz.300782,309.9600,319.5000,303.0300,304.0000,320.0000,3117976,963538751.9100,3,12.471900,1,-5.000000,123.808702,37.226828,31.249288,20.863436,0
2019-09-02,sz.300782,303.0200,333.0000,302.0400,331.0000,304.0000,2434936,778178676.4800,3,9.739700,1,8.881600,134.804870,40.533158,34.024719,22.716439,0
2019-09-03,sz.300782,328.2000,338.8000,323.9100,335.0000,331.0000,1904207,628938924.6200,3,7.616800,1,1.208500,136.433932,41.022985,34.435893,22.990958,0
2019-09-04,sz.300782,334.0000,348.8800,323.3500,330.0000,335.0000,2043489,681982439.5700,3,8.174000,1,-1.492500,134.397604,40.410702,33.921925,22.647809,0
2019-09-05,sz.300782,330.0000,338.5000,324.0000,327.4000,330.0000,1664284,547890053.2300,3,6.657100,1,-0.787900,133.338714,40.092314,33.654661,22.469372,0
2019-09-06,sz.300782,325.7000,327.5700,305.2000,318.8900,327.4000,2332571,737960689.8500,3,9.330300,1,-2.599300,129.872885,39.050208,32.779887,21.885333,0
2019-09-09,sz.300782,319.9000,346.0800,315.0000,345.4000,318.8900,2612650,863996355.5900,3,10.450600,1,8.313200,140.669493,42.296534,35.504948,23.704707,0
2019-09-10,sz.300782,341.1700,348.1000,332.0000,341.9000,345.4000,1857118,630470830.6200,3,7.428500,1,-1.013300,139.244063,41.867936,35.145170,23.464503,0
2019-09-11,sz.300782,343.9700,348.5800,331.0000,337.5000,341.9000,1605134,544878638.7800,3,6.420500,1,-1.286900,137.452095,41.329127,34.692878,23.162532,0
2019-09-12,sz.300782,338.8000,346.4600,330.1200,338.3300,337.5000,1228678,416025307.6200,3,4.914700,1,0.245900,137.790126,41.430766,34.778197,23.219495,0
2019-09-16,sz.300782,337.0000,345.9700,332.0300,341.0000,338.3300,1278186,434245918.3600,3,5.112700,1,0.789200,138.877525,41.757725,35.052656,23.402736,0
2019-09-17,sz.300782,341.9900,345.8800,328.1100,334.4500,341.0000,1504355,506385151.4500,3,6.017400,1,-1.920800,136.209936,40.955634,34.379357,22.953211,0
2019-09-18,sz.300782,335.0000,341.0000,322.0000,336.8000,334.4500,1781317,591258641.9000,3,7.125300,1,0.702600,137.167010,41.243407,34.620922,23.114491,0
2019-09-19,sz.300782,331.1700,351.8800,330.0000,344.8000,336.8000,1917329,657221150.8400,3,7.669300,1,2.375300,140.425133,42.223060,35.443272,23.663529,0
2019-09-20,sz.300782,343.1100,359.8300,341.9900,354.5700,344.8000,1825719,640818457.2400,3,7.302900,1,2.833500,144.404117,43.419462,36.447566,24.334041,0
2019-09-23,sz.300782,353.9400,387.8300,350.1000,385.9900,354.5700,2124652,785100877.8600,3,8.498600,1,8.861400,157.200398,47.267051,39.677345,26.490387,0
