date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2007-03-01,sh.601318,50.0000,50.9700,45.8000,46.7900,33.8000,197763351,9500302911.0000,3,34.393626,1,38.431960,102.958372,4.542061,148.519899,10.521524,0
2007-03-02,sh.601318,47.0000,47.4400,45.8800,46.4100,46.7900,42504832,1981445189.0000,3,7.392145,1,-0.812142,102.122206,4.505173,147.313710,10.436074,0
2007-03-05,sh.601318,45.9800,46.1700,43.5300,44.3800,46.4100,41919674,1880502808.0000,3,7.290378,1,-4.374055,97.655323,4.308114,140.870124,9.979594,0
2007-03-06,sh.601318,44.0000,46.0000,43.7500,45.2500,44.3800,29772788,1337719318.0000,3,5.177876,1,1.960340,99.569701,4.392568,143.631661,10.175228,0
2007-03-07,sh.601318,45.2900,46.9000,44.9100,46.4800,45.2500,28746378,1317764044.0000,3,4.999370,1,2.718231,102.276237,4.511968,147.535903,10.451815,0
2007-03-08,sh.601318,46.1000,46.3300,45.6800,45.9200,46.4800,13098383,601904452.0000,3,2.277980,1,-1.204822,101.043993,4.457607,145.758362,10.325889,0
2007-03-09,sh.601318,45.9000,46.1000,44.7000,45.5300,45.9200,16088779,729237345.0000,3,2.798049,1,-0.849302,100.185823,4.419749,144.520431,10.238191,0
2007-03-12,sh.601318,45.3000,45.3000,44.5000,44.7100,45.5300,14535306,651218161.0000,3,2.527879,1,-1.801010,98.381466,4.340148,141.917604,10.053800,0
2007-03-13,sh.601318,44.8100,45.2600,44.6200,44.8900,44.7100,10231968,459295478.0000,3,1.779473,1,0.402595,98.777545,4.357622,142.488956,10.094276,0
2007-03-14,sh.601318,44.3000,45.1000,43.7900,44.9400,44.8900,17330656,767078398.0000,3,3.014027,1,0.111382,98.887566,4.362475,142.647665,10.105520,0
2007-03-15,sh.601318,45.5200,46.4900,44.8000,44.9600,44.9400,15252190,693085265.0000,3,2.652555,1,0.044505,98.931575,4.364417,142.711149,10.110017,0
2007-03-16,sh.601318,44.9900,45.9500,44.4000,45.2100,44.9600,22754724,1025880313.0000,3,3.957343,1,0.556050,99.481684,4.388685,143.504694,10.166234,0
2007-03-19,sh.601318,45.2100,45.2100,45.2100,45.2100,45.2100,0,0.0000,3,,0,0.000000,99.481684,4.388685,143.504694,10.166234,0
2007-03-20,sh.601318,46.8000,46.9200,45.5000,45.7800,45.2100,22202687,1022520826.0000,3,3.861337,1,1.260782,100.735932,4.444017,145.313977,10.294408,0
2007-03-21,sh.601318,45.8000,46.0000,44.9000,45.1000,45.7800,13672832,618375507.0000,3,2.377884,1,-1.485366,99.239636,4.378007,143.155534,10.141498,0
2007-03-22,sh.601318,45.4500,45.9200,45.2300,45.3600,45.1000,16750984,762792451.0000,3,2.913215,1,0.576501,99.811749,4.403246,143.980821,10.199964,0
2007-03-23,sh.601318,45.3400,45.5300,44.7100,45.1600,45.3600,13981014,631651813.0000,3,2.431481,1,-0.440919,99.371662,4.383831,143.345985,10.154990,0
2007-03-26,sh.601318,45.2000,46.2000,45.1800,45.9400,45.1600,22326679,1024315888.0000,3,3.882901,1,1.727190,101.088002,4.459549,145.821845,10.330387,0
2007-03-27,sh.601318,45.7900,46.3600,45.6300,45.9100,45.9400,13933819,640740822.0000,3,2.423273,1,-0.065300,101.021989,4.456636,145.726620,10.323641,0
2007-03-28,sh.601318,45.9000,46.9000,45.5800,46.5800,45.9100,25826369,1197347468.0000,3,4.491542,1,1.459381,102.496280,4.521676,147.853321,10.474302,0
2007-03-29,sh.601318,46.8100,48.7900,46.4800,47.4000,46.5800,46198618,2209005944.0000,3,8.034542,1,1.760412,104.300638,4.601276,150.456149,10.658692,0
2007-03-30,sh.601318,46.9600,47.8700,46.7200,47.0500,47.4000,14461720,683029951.0000,3,2.515082,1,-0.738401,103.530485,4.567300,149.345186,10.579989,0
2007-04-02,sh.601318,47.0500,48.7000,47.0500,48.3900,47.0500,23144503,1118052954.0000,3,4.025131,1,2.848034,106.479069,4.697378,153.598587,10.881311,0
2007-04-03,sh.601318,48.4200,48.7600,47.9000,48.2100,48.3900,13271204,640969005.0000,3,2.308035,1,-0.371978,106.082990,4.679905,153.027235,10.840835,0
