date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2004-03-18,sh.600392,15.1300,15.2500,15.0600,15.0700,15.1900,325100,4918726.0000,3,1.371730,1,-0.790000,40.450821,3.119715,4.320894,3.394330,0
2004-03-19,sh.600392,15.0100,15.1500,14.8300,15.1200,15.0700,329638,4931184.0000,3,1.390878,1,0.330000,40.585031,3.130066,4.335231,3.405592,0
2004-03-22,sh.600392,15.1500,15.4400,15.1000,15.3800,15.1200,241241,3694715.0000,3,1.017895,1,1.720000,41.282921,3.183890,4.409778,3.464154,0
2004-03-23,sh.600392,15.4000,15.4000,15.1600,15.2100,15.3800,204146,3107541.0000,3,0.861376,1,-1.110000,40.826608,3.148697,4.361035,3.425863,0
2004-03-24,sh.600392,15.1800,15.6500,15.1800,15.6300,15.2100,440882,6799482.0000,3,1.860262,1,2.760000,41.953970,3.235644,4.481459,3.520463,0
2004-03-25,sh.600392,15.6300,16.1800,15.6300,15.9500,15.6300,919149,14706867.0000,3,3.878266,1,2.050000,42.812913,3.301888,4.573209,3.592539,0
2004-03-26,sh.600392,16.0400,16.1800,15.6800,16.0600,15.9500,554534,8870041.0000,3,2.339806,1,0.690000,43.108174,3.324660,4.604749,3.617315,0
2004-03-29,sh.600392,16.1400,16.2700,15.9000,15.9300,16.0600,368438,5919364.0000,3,1.554591,1,-0.810000,42.759229,3.297748,4.567475,3.588034,0
2004-03-30,sh.600392,15.9300,17.5200,15.9000,17.1600,15.9300,2995629,51125596.0000,3,12.639785,1,7.720000,46.060789,3.552376,4.920143,3.865076,0
2004-03-31,sh.600392,17.1300,17.1900,16.7500,16.8000,17.1600,1380911,23392119.0000,3,5.826629,1,-2.100000,45.094479,3.477851,4.816923,3.783991,0
2004-04-01,sh.600392,16.8500,16.9000,16.5200,16.8500,16.8000,975676,16258723.0000,3,4.116776,1,0.300000,45.228688,3.488202,4.831259,3.795253,0
2004-04-02,sh.600392,16.8700,17.4800,16.8300,17.0500,16.8500,1124729,19301661.0000,3,4.745692,1,1.190000,45.765527,3.529605,4.888603,3.840300,0
2004-04-05,sh.600392,17.0500,17.8000,17.0000,17.0800,17.0500,1791581,31176455.0000,3,7.559414,1,0.180000,45.846053,3.535815,4.897205,3.847057,0
2004-04-06,sh.600392,17.0000,17.0000,16.3800,16.4900,17.0800,2119146,35075044.0000,3,8.941544,1,-3.450000,43.778377,3.271935,4.538426,3.635068,0
2004-04-07,sh.600392,16.4900,16.7800,16.3100,16.3600,16.4900,922448,15204987.0000,3,3.892186,1,-0.790000,43.433247,3.246140,4.502647,3.606411,0
2004-04-08,sh.600392,16.3000,16.6400,16.1200,16.5200,16.3600,823717,13554043.0000,3,3.475599,1,0.980000,43.858022,3.277887,4.546683,3.641681,0
2004-04-09,sh.600392,16.4800,16.7700,16.0000,16.0600,16.5200,937347,15409081.0000,3,3.955051,1,-2.780000,42.636794,3.186614,4.420080,3.540278,0
2004-04-12,sh.600392,15.9500,16.2400,15.7100,16.0800,16.0600,617478,9842591.0000,3,2.605392,1,0.120000,42.689891,3.190583,4.425585,3.544687,0
2004-04-13,sh.600392,16.0800,16.1300,15.7500,15.7700,16.0800,436782,6959102.0000,3,1.842962,1,-1.930000,41.866889,3.129073,4.340265,3.476351,0
2004-04-14,sh.600392,15.7000,15.9700,15.4100,15.7600,15.7700,489074,7653788.0000,3,2.063603,1,-0.060000,41.840341,3.127089,4.337513,3.474146,0
2004-04-15,sh.600392,15.7300,15.8000,15.3800,15.3900,15.7600,323610,5040017.0000,3,1.365443,1,-2.350000,40.858048,3.053674,4.235681,3.392583,0
2004-04-16,sh.600392,15.4100,15.5700,14.7500,15.1900,15.3900,529258,7968878.0000,3,2.233156,1,-1.300000,40.327080,3.013990,4.180636,3.348495,0
2004-04-19,sh.600392,15.1800,15.2000,14.9100,14.9200,15.1900,277310,4171992.0000,3,1.170084,1,-1.780000,39.610272,2.960416,4.106326,3.288976,0
2004-04-20,sh.600392,14.9100,15.1500,14.7900,14.9400,14.9200,205093,3059342.0000,3,0.865371,1,0.130000,39.663369,2.964385,4.111830,3.293385,0
