date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2015-01-29,sh.603799,5.7200,6.8700,5.7200,6.8700,4.7700,64900,443333.0000,3,0.071319,1,44.025150,28.165345,0.881349,44.023704,1.682593,0
2015-01-30,sh.603799,7.5600,7.5600,7.5600,7.5600,6.8700,29600,223776.0000,3,0.032527,1,10.043700,30.994178,0.969869,48.445299,1.851587,0
2015-02-02,sh.603799,8.3200,8.3200,8.3200,8.3200,7.5600,33100,275392.0000,3,0.036374,1,10.052900,34.109995,1.067369,53.315461,2.037726,0
2015-02-03,sh.603799,9.1500,9.1500,9.1500,9.1500,8.3200,31400,287310.0000,3,0.034505,1,9.976000,37.512795,1.173849,58.634191,2.241009,0
2015-02-04,sh.603799,10.0700,10.0700,10.0700,10.0700,9.1500,35500,357485.0000,3,0.039011,1,10.054600,41.284574,1.291876,64.529650,2.466334,0
2015-02-05,sh.603799,11.0800,11.0800,11.0800,11.0800,10.0700,54700,606076.0000,3,0.060110,1,10.029800,45.425330,1.421448,71.001840,2.713702,0
2015-02-06,sh.603799,12.1900,12.1900,12.1900,12.1900,11.0800,700400,8537876.0000,3,0.769670,1,10.018000,49.976063,1.563850,78.114840,2.985562,0
2015-02-09,sh.603799,13.4100,13.4100,13.4100,13.4100,12.1900,2302765,30880079.0000,3,2.530511,1,10.008200,54.977769,1.720363,85.932732,3.284364,0
2015-02-10,sh.603799,14.7500,14.7500,14.7500,14.7500,13.4100,2466932,36387247.0000,3,2.710914,1,9.992500,60.471446,1.892271,94.519597,3.612555,0
2015-02-11,sh.603799,16.2300,16.2300,16.2300,16.2300,14.7500,1225437,19888843.0000,3,1.346634,1,10.033900,66.539089,2.082140,104.003597,3.975035,0
2015-02-12,sh.603799,17.8500,17.8500,17.8500,17.8500,16.2300,949967,16956911.0000,3,1.043920,1,9.981500,73.180699,2.289969,114.384733,4.371804,0
2015-02-13,sh.603799,19.6400,19.6400,19.6400,19.6400,17.8500,996753,19576229.0000,3,1.095333,1,10.028000,80.519268,2.519607,125.855246,4.810209,0
2015-02-16,sh.603799,21.6000,21.6000,21.6000,21.6000,19.6400,1478079,31926506.0000,3,1.624263,1,9.979600,88.554795,2.771055,138.415139,5.290250,0
2015-02-17,sh.603799,23.7600,23.7600,22.5800,23.7600,21.6000,30973151,734246608.0000,3,34.036430,1,10.000000,97.410275,3.048160,152.256653,5.819275,0
2015-02-25,sh.603799,24.0300,24.5000,21.3800,21.3800,23.7600,34660718,779556672.0000,3,38.088701,1,-10.016800,87.652848,2.742831,137.005355,5.236368,0
2015-02-26,sh.603799,20.2100,21.0000,19.9000,20.7700,21.3800,36407974,745252432.0000,3,40.008763,1,-2.853100,85.151995,2.664574,133.096409,5.086967,0
2015-02-27,sh.603799,20.7800,22.8500,20.3800,22.8500,20.7700,38728386,842686016.0000,3,42.558666,1,10.014400,93.679494,2.931416,146.425274,5.596399,0
2015-03-02,sh.603799,23.0000,23.0000,21.5000,22.2300,22.8500,36106329,798680304.0000,3,39.677285,1,-2.713400,91.137644,2.851877,142.452247,5.444549,0
2015-03-03,sh.603799,22.2000,22.2000,21.0000,21.0700,22.2300,29700510,635844048.0000,3,32.637923,1,-5.218200,86.381923,2.703061,135.018841,5.160443,0
2015-03-04,sh.603799,20.5500,20.6200,20.1100,20.5000,21.0700,20696369,421807328.0000,3,22.743263,1,-2.705300,84.045060,2.629936,131.366220,5.020839,0
2015-03-05,sh.603799,20.5600,21.3000,20.1800,21.0400,20.5000,22476997,466724224.0000,3,24.699997,1,2.634200,86.258930,2.699212,134.826598,5.153095,0
2015-03-06,sh.603799,20.7300,20.8100,20.0000,20.0300,21.0400,17414743,352909712.0000,3,19.137080,1,-4.800400,82.118174,2.569640,128.354409,4.905727,0
2015-03-09,sh.603799,19.3000,19.4300,18.8100,19.1500,20.0300,14191586,270590944.0000,3,15.595149,1,-4.393400,78.510386,2.456745,122.715273,4.690198,0
2015-03-10,sh.603799,19.0500,19.5700,18.9100,19.3800,19.1500,8895665,172063455.0000,3,9.775456,1,1.201000,79.453330,2.486252,124.189138,4.746530,0
2015-03-11,sh.603799,19.2500,19.3000,18.9000,18.9700,19.3800,8569370,163702491.0000,3,9.416890,1,-2.115600,77.772429,2.433653,121.561814,4.646113,0
2015-03-12,sh.603799,18.9400,19.0300,18.2100,18.3100,18.9700,11151564,206654947.0000,3,12.254466,1,-3.479200,75.066588,2.348982,117.332462,4.484467,0
2015-03-13,sh.603799,18.4400,19.2100,18.4200,18.9000,18.3100,9469295,178546510.0000,3,10.405819,1,3.222300,77.485446,2.424673,121.113246,4.628969,0
2015-03-16,sh.603799,19.0000,19.5500,18.8500,19.5100,18.9000,13115316,252708313.0000,3,14.412435,1,3.227500,79.986299,2.502929,125.022192,4.778369,0
2015-03-17,sh.603799,19.5100,20.0000,19.3000,19.7100,19.5100,14298067,280777488.0000,3,15.712162,1,1.025100,80.806251,2.528587,126.303814,4.827353,0
2015-03-18,sh.603799,19.5500,19.9500,19.5100,19.8500,19.7100,11076390,219057666.0000,3,12.171857,1,0.710300,81.380217,2.546548,127.200949,4.861642,0
2015-03-19,sh.603799,19.8600,21.1500,19.7000,20.8100,19.8500,21210140,437117632.0000,3,23.307846,1,4.836300,85.315986,2.669706,133.352733,5.096764,0
2015-03-20,sh.603799,20.7000,20.7000,20.2000,20.4400,20.8100,12686029,258855740.0000,3,13.940691,1,-1.778000,83.799075,2.622239,130.981733,5.006144,0
2015-03-23,sh.603799,20.5800,20.8300,20.3800,20.5200,20.4400,12769175,262903612.0000,3,14.032060,1,0.391400,84.127056,2.632502,131.494382,5.025737,0
2015-03-24,sh.603799,20.4800,20.6600,19.8000,20.1700,20.5200,12577059,254617488.0000,3,13.820944,1,-1.705700,82.692140,2.587600,129.251544,4.940016,0
2015-03-25,sh.603799,20.0200,20.6500,19.9600,20.4300,20.1700,9828559,199614494.0000,3,10.800614,1,1.289000,83.758077,2.620956,130.917652,5.003695,0
2015-03-26,sh.603799,20.1800,21.4900,20.1100,20.8100,20.4300,16904091,351843632.0000,3,18.575924,1,1.860000,85.315986,2.669706,133.352733,5.096764,0
2015-03-27,sh.603799,20.9000,21.1000,20.5000,20.5200,20.8100,11426444,237241900.0000,3,12.556532,1,-1.393600,84.127056,2.632502,131.494382,5.025737,0
2015-03-30,sh.603799,20.3200,20.4000,20.1000,20.1300,20.5200,8936276,180328359.0000,3,9.820084,1,-1.900600,82.528150,2.582469,128.995220,4.930219,0
2015-03-31,sh.603799,20.1900,20.3900,20.0800,20.1800,20.1300,6441047,130244240.0000,3,7.078074,1,0.248400,82.733138,2.588883,129.315625,4.942465,0
2015-04-01,sh.603799,20.0500,20.3300,20.0500,20.3100,20.1800,6670672,134969003.0000,3,7.330409,1,0.644200,83.266106,2.605561,130.148679,4.974304,0
2015-04-02,sh.603799,20.7600,20.9900,20.3500,20.7000,20.3100,11049791,228087162.0000,3,12.142627,1,1.920200,84.865012,2.655594,132.647841,5.069823,0
2015-04-03,sh.603799,20.6100,21.3000,20.5000,21.2800,20.7000,16772418,350718864.0000,3,18.431229,1,2.801900,87.242873,2.730002,136.364544,5.211876,0
2015-04-07,sh.603799,21.3200,22.3800,21.0700,22.3100,21.2800,23111923,498147904.0000,3,25.397718,1,4.840200,91.465624,2.862140,142.964896,5.464142,0
2015-04-08,sh.603799,22.1000,22.2800,21.2100,21.5700,22.3100,16220625,352087632.0000,3,17.824863,1,-3.316900,88.431803,2.767206,138.222895,5.282902,0
2015-04-09,sh.603799,21.4000,21.4900,20.2000,20.9100,21.5700,12756581,265066210.0000,3,14.018221,1,-3.059800,85.725962,2.682535,133.993544,5.121256,0
2015-04-10,sh.603799,20.7600,21.4800,20.5700,21.2700,20.9100,9753179,206534054.0000,3,10.717779,1,1.721700,87.201875,2.728719,136.300463,5.209427,0
2015-04-13,sh.603799,21.3500,21.8700,21.0500,21.7000,21.2700,13583552,293189520.0000,3,14.926980,1,2.021600,88.964771,2.783883,139.055950,5.314742,0
2015-04-14,sh.603799,21.4500,21.6800,21.0800,21.1800,21.7000,11283644,241030396.0000,3,12.399609,1,-2.396300,86.832897,2.717173,135.723733,5.187384,0
2015-04-15,sh.603799,20.9000,23.3000,20.8200,22.6600,21.1800,26278978,584493152.0000,3,28.877998,1,6.987700,92.900540,2.907041,145.207733,5.549864,0
2015-04-16,sh.603799,22.0000,22.6500,21.2000,22.4000,22.6600,15954012,352417552.0000,3,17.531881,1,-1.147400,91.834603,2.873686,143.541625,5.486185,0
2015-04-17,sh.603799,22.8000,24.6000,22.4000,23.9100,22.4000,26954010,637278272.0000,3,29.619791,1,6.741100,98.025239,3.067403,153.217869,5.856013,0
2015-04-20,sh.603799,23.8800,26.2000,23.5000,25.2400,23.9100,32189318,803027024.0000,3,35.372877,1,5.562500,92.919600,3.102957,-475.469144,6.005042,0
2015-04-21,sh.603799,24.8000,25.4500,24.0700,25.3800,25.2400,18372275,453571264.0000,3,20.189313,1,0.554700,93.435002,3.120168,-478.106453,6.038350,0
2015-04-22,sh.603799,25.9800,26.1600,24.8600,24.9800,25.3800,18449649,467149184.0000,3,20.274340,1,-1.576000,91.962425,3.070993,-470.571284,5.943183,0
