date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2019-04-04,sz.300762,96.0000,97.9300,94.1200,97.9300,89.0300,15126467,1457229577.8900,3,45.343126,1,9.996633,127.296858,30.674659,355.497960,21.289439,0
2019-04-08,sz.300762,98.0000,98.9900,91.6000,94.9000,97.9300,17284304,1651689816.9300,3,51.811463,1,-3.094045,123.358234,29.725571,344.498687,20.630734,0
2019-04-09,sz.300762,93.5500,96.9700,88.8300,90.1100,94.9000,11848229,1098093154.8200,3,35.516274,1,-5.047419,117.131828,28.225197,327.110397,19.589415,0
2019-04-10,sz.300762,91.5000,92.8300,87.1700,88.8800,90.1100,7653609,691360709.5500,3,22.942473,1,-1.365002,115.532980,27.839924,322.645345,19.322020,0
2019-04-11,sz.300762,87.2000,92.5800,86.0600,88.9800,88.8800,7913105,711304999.2200,3,23.720339,1,0.112518,115.662968,27.871247,323.008357,19.343759,0
2019-04-12,sz.300762,86.9900,89.6000,85.8800,87.6000,88.9800,6053131,528665292.5900,3,18.144877,1,-1.550916,113.869139,27.438989,317.998788,19.043755,0
2019-04-15,sz.300762,87.7500,91.3000,81.3800,81.3800,87.6000,8638118,747881691.2200,3,25.893639,1,-7.100459,105.783910,25.490695,295.419422,17.691561,0
2019-04-16,sz.300762,80.0100,81.9400,76.5800,80.3000,81.3800,8421169,669118497.6500,3,25.243312,1,-1.327100,104.380044,25.152406,291.498889,17.456775,0
2019-04-17,sz.300762,80.3000,82.6800,80.0000,80.0000,80.3000,6671797,542350179.3900,3,19.999391,1,-0.373603,103.990081,25.058437,290.409852,17.391557,0
2019-04-18,sz.300762,78.8000,82.5000,77.5000,79.7000,80.0000,6407066,512962942.2400,3,19.205833,1,-0.375004,103.600118,24.964468,289.320815,17.326338,0
2019-04-19,sz.300762,79.8800,81.6000,79.1000,81.0800,79.7000,5729765,461704087.0700,3,17.175555,1,1.731499,105.393947,25.396726,294.330385,17.626343,0
2019-04-22,sz.300762,80.0000,81.8500,79.0000,80.1500,81.0800,5554602,447461521.2800,3,16.650486,1,-1.147016,104.185063,25.105422,290.954370,17.424166,0
