date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2017-06-06,sz.300661,39.3600,42.9400,39.3600,42.9400,29.8200,6700,287340.0000,3,0.044667,1,43.997310,31.332758,5.726773,60.556183,9.808887,0
2017-06-07,sz.300661,47.2300,47.2300,47.2300,47.2300,42.9400,1400,66122.0000,3,0.009333,1,9.990687,34.463115,6.298917,66.606160,10.788862,0
2017-06-08,sz.300661,51.9500,51.9500,51.9500,51.9500,47.2300,4900,254555.0000,3,0.032667,1,9.993650,37.907237,6.928408,73.262546,11.867063,0
2017-06-09,sz.300661,57.1500,57.1500,57.1500,57.1500,51.9500,5900,337185.0000,3,0.039333,1,10.009630,41.701609,7.621916,80.595852,13.054912,0
2017-06-12,sz.300661,62.8700,62.8700,62.8700,62.8700,57.1500,27800,1747786.0000,3,0.185333,1,10.008740,45.875419,8.384774,88.662488,14.361545,0
2017-06-13,sz.300661,69.1600,69.1600,69.1600,69.1600,62.8700,153399,10609074.0000,3,1.022660,1,10.004780,50.465150,9.223652,97.532968,15.798385,0
2017-06-14,sz.300661,76.0800,76.0800,76.0800,76.0800,69.1600,405108,30820616.0000,3,2.700720,1,10.005780,55.514583,10.146551,107.291905,17.379137,0
2017-06-15,sz.300661,77.0100,78.8800,73.8100,74.0600,76.0800,7465919,562878512.0000,3,49.772793,1,-2.655106,54.040616,9.877150,104.443198,16.917704,0
2017-06-16,sz.300661,74.5800,75.1000,70.8700,70.9100,74.0600,4911732,354784992.0000,3,32.744880,1,-4.253300,51.742102,9.457044,100.000907,16.198142,0
2017-06-19,sz.300661,69.3500,71.5000,68.5200,69.3100,70.9100,3012371,209419129.0000,3,20.082473,1,-2.256390,50.574603,9.243657,97.744505,15.832650,0
2017-06-20,sz.300661,69.9900,70.6100,68.8200,70.0800,69.3100,2670384,186375640.0000,3,17.802560,1,1.110957,51.136462,9.346350,98.830399,16.008543,0
2017-06-21,sz.300661,69.5800,69.6600,67.7100,68.0700,70.0800,2166766,148163709.0000,3,14.445107,1,-2.868154,49.669791,9.078282,95.995794,15.549394,0
2017-06-22,sz.300661,68.1900,71.3500,67.7300,70.4600,68.0700,3288425,228238501.0000,3,21.922833,1,3.511091,51.413743,9.397029,99.366294,16.095347,0
