date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2019-12-30,sz.300811,31.4600,37.7600,31.4600,37.7600,26.2200,57910,2173780.6000,3,0.402200,1,44.012200,25.977148,5.699943,-657.539773,5.143061,0
2019-12-31,sz.300811,41.5400,41.5400,41.5400,41.5400,37.7600,11700,486018.0000,3,0.081300,1,10.010600,28.577615,6.270542,-723.363405,5.657912,0
2020-01-02,sz.300811,45.6900,45.6900,45.6900,45.6900,41.5400,15442,705544.9800,3,0.107200,1,9.990400,31.432624,6.896992,-795.630091,6.223158,0
2020-01-03,sz.300811,50.2600,50.2600,50.2600,50.2600,45.6900,34327,1725275.0200,3,0.238400,1,10.002200,34.576575,7.586842,-875.210513,6.845610,0
2020-01-06,sz.300811,55.2900,55.2900,55.2900,55.2900,50.2600,78027,4314112.8300,3,0.541900,1,10.008000,38.036984,8.346130,-962.801219,7.530716,0
2020-01-07,sz.300811,60.8200,60.8200,60.8200,60.8200,55.2900,45000,2736900.0000,3,0.312500,1,10.001800,41.841371,9.180894,-1059.098755,8.283924,0
2020-01-08,sz.300811,66.9000,66.9000,66.9000,66.9000,60.8200,46083,3082952.7000,3,0.320000,1,9.996700,46.024132,10.098681,-1164.973803,9.112044,0
2020-01-09,sz.300811,73.5900,73.5900,73.5900,73.5900,66.9000,110445,8127647.5500,3,0.767000,1,10.000000,50.626545,11.108550,-1281.471183,10.023248,0
2020-01-10,sz.300811,80.9500,80.9500,80.9500,80.9500,73.5900,137662,11143738.9000,3,0.956000,1,10.001400,55.689887,12.219556,-1409.635715,11.025709,0
2020-01-13,sz.300811,89.0500,89.0500,89.0500,89.0500,80.9500,272462,24262741.1000,3,1.892100,1,10.006200,61.262316,13.442266,-1550.686355,12.128961,0
2020-01-14,sz.300811,97.9600,97.9600,97.9600,97.9600,89.0500,167255,16384299.8000,3,1.161500,1,10.005600,67.391987,14.787247,-1705.842059,13.342538,0
2020-01-15,sz.300811,107.7600,107.7600,107.7600,107.7600,97.9600,4284706,461719918.5600,3,29.754900,1,10.004100,74.133938,16.266576,-1876.495919,14.677337,0
2020-01-16,sz.300811,106.0000,107.8700,100.0000,102.5000,107.7600,8548994,886405326.1700,3,59.368000,1,-4.881200,70.515299,15.472569,-1784.900072,13.960904,0
2020-01-17,sz.300811,97.7100,99.4600,92.2500,92.2700,102.5000,6937428,656911854.3500,3,48.176600,1,-9.980500,63.477528,13.928331,-1606.758338,12.567538,0
2020-01-20,sz.300811,90.1600,92.0900,88.3100,90.6100,92.2700,3961893,356809662.5300,3,27.513100,1,-1.799100,62.335524,13.677751,-1577.851664,12.341439,0
2020-01-21,sz.300811,89.0100,92.3000,86.0100,86.0100,90.6100,4088404,364214479.6800,3,28.391700,1,-5.076700,59.170935,12.983372,-1497.748831,11.714901,0
2020-01-22,sz.300811,84.0300,86.9900,83.1500,85.8200,86.0100,2731252,232617946.7000,3,18.967000,1,-0.220900,59.040224,12.954691,-1494.440236,11.689023,0
2020-01-23,sz.300811,85.0200,87.0100,80.0600,80.7000,85.8200,2858865,238657199.6100,3,19.853200,1,-5.966000,55.517899,12.181818,-1405.282301,10.991658,0
2020-02-03,sz.300811,72.6300,72.6300,72.6300,72.6300,80.7000,272500,19791675.0000,3,1.892400,1,-10.000000,49.966109,10.963636,-1264.754070,9.892493,0
2020-02-04,sz.300811,65.3700,73.5800,65.3700,71.9600,72.6300,3268314,226545711.7900,3,22.696600,1,-0.922500,49.505180,10.862498,-1253.086919,9.801236,0
2020-02-05,sz.300811,70.9900,75.1700,70.9900,72.3000,71.9600,2589949,190154873.0400,3,17.985800,1,0.472500,49.739084,10.913822,-1259.007563,9.847545,0
2020-02-06,sz.300811,71.4000,73.9100,70.2000,73.9100,72.3000,2182663,158123711.7700,3,15.157400,1,2.226800,50.846690,11.156854,-1287.043554,10.066834,0
2020-02-07,sz.300811,73.1800,81.3000,73.1000,80.6800,73.9100,3581693,283180705.7800,3,24.872900,1,9.159800,55.504140,12.178799,-1404.934027,10.988934,0
