date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1995-11-15,sh.600879,12.5000,13.2000,10.2000,12.2500,1.0000,15860200,180089082.0000,3,63.440800,1,1125.000000,55.923964,5.615582,0.000000,6.892709,0
1995-11-16,sh.600879,11.5600,13.4900,11.5500,12.2000,12.2500,18387199,227368348.0000,3,73.548796,1,-0.408165,55.695703,5.592661,0.000000,6.864575,0
1995-11-17,sh.600879,11.8600,11.9800,11.0800,11.1800,12.2000,8308075,95463002.0000,3,33.232300,1,-8.360652,51.039177,5.125078,0.000000,6.290652,0
1995-11-20,sh.600879,10.8800,11.6700,10.8800,11.5000,11.1800,4064647,46324178.0000,3,16.258588,1,2.862251,52.500048,5.271771,0.000000,6.470706,0
1995-11-21,sh.600879,11.6800,11.9900,11.3800,11.8800,11.5000,3333166,38894393.0000,3,13.332664,1,3.304349,54.234832,5.445968,0.000000,6.684521,0
1995-11-22,sh.600879,12.0000,12.0000,11.3300,11.3900,11.8800,3821813,44540504.0000,3,15.287252,1,-4.124578,51.997873,5.221345,0.000000,6.408812,0
1995-11-23,sh.600879,11.3900,11.7800,11.2500,11.3200,11.3900,3012398,34721987.0000,3,12.049592,1,-0.614580,51.678308,5.189256,0.000000,6.369426,0
1995-11-24,sh.600879,11.3200,11.6000,11.1200,11.3500,11.3200,1337250,15206997.0000,3,5.349000,1,0.265024,51.815265,5.203008,0.000000,6.386306,0
1995-11-27,sh.600879,11.3000,11.4800,10.6000,10.6000,11.3500,1744100,19144225.0000,3,6.976400,1,-6.607930,48.391348,4.859197,0.000000,5.964303,0
1995-11-28,sh.600879,10.5100,10.7800,10.2300,10.7400,10.6000,2329700,24426803.0000,3,9.318800,1,1.320749,49.030479,4.923375,0.000000,6.043077,0
1995-11-29,sh.600879,10.7400,10.7400,10.2000,10.2900,10.7400,1165490,12211151.0000,3,4.661960,1,-4.189942,46.976130,4.717089,0.000000,5.789875,0
1995-11-30,sh.600879,10.2100,10.9800,9.9200,10.3700,10.2900,2070543,21365249.0000,3,8.282172,1,0.777453,47.341347,4.753762,0.000000,5.834889,0
1995-12-01,sh.600879,10.0000,10.4000,9.8000,10.0600,10.3700,1612906,16322783.0000,3,6.451624,1,-2.989387,45.926129,4.611653,0.000000,5.660461,0
1995-12-04,sh.600879,10.1000,10.2500,10.0300,10.2500,10.0600,583700,5926708.0000,3,2.334800,1,1.888664,46.793521,4.698752,0.000000,5.767369,0
1995-12-05,sh.600879,10.1700,10.3800,10.1700,10.2700,10.2500,754896,7735629.0000,3,3.019584,1,0.195126,46.884825,4.707920,0.000000,5.778622,0
1995-12-06,sh.600879,10.2400,10.2600,9.8000,9.8300,10.2700,977599,9791240.0000,3,3.910396,1,-4.284328,44.876128,4.506218,0.000000,5.531047,0
1995-12-07,sh.600879,9.7200,10.1600,9.7100,10.0000,9.8300,597731,5904199.0000,3,2.390924,1,1.729401,45.652216,4.584148,0.000000,5.626701,0
1995-12-08,sh.600879,10.1000,10.4000,9.9500,10.0800,10.0000,1615965,16546420.0000,3,6.463860,1,0.799999,46.017433,4.620822,0.000000,5.671715,0
1995-12-11,sh.600879,10.1500,10.1800,9.1800,9.1800,10.0800,1377400,13417703.0000,3,5.509600,1,-8.928568,41.908734,4.208248,0.000000,5.165312,0
1995-12-12,sh.600879,9.1500,9.2000,8.6500,8.8700,9.1800,1661830,14876548.0000,3,6.647320,1,-3.376911,40.493515,4.066140,0.000000,4.990884,0
1995-12-13,sh.600879,8.8800,9.3400,8.6500,8.6500,8.8700,1392370,12501619.0000,3,5.569480,1,-2.480274,39.489166,3.965288,0.000000,4.867096,0
1995-12-14,sh.600879,8.5000,8.8000,8.4500,8.5300,8.6500,640623,5482857.0000,3,2.562492,1,-1.387282,38.941340,3.910279,0.000000,4.799576,0
1995-12-15,sh.600879,8.5000,8.5000,7.9500,8.0000,8.5300,1163100,9439149.0000,3,4.652400,1,-6.213362,36.521772,3.667319,0.000000,4.501361,0
1995-12-18,sh.600879,7.9000,8.2000,7.7500,7.8900,8.0000,717070,5737504.0000,3,2.868280,1,-1.375002,36.019598,3.616893,0.000000,4.439467,0
1995-12-19,sh.600879,7.8900,8.1700,7.8500,8.0000,7.8900,697680,5607767.0000,3,2.790720,1,1.394172,36.521772,3.667319,0.000000,4.501361,0
1995-12-20,sh.600879,8.0500,8.1700,7.9600,8.1700,8.0000,542160,4385924.0000,3,2.168640,1,2.125001,37.297860,3.745249,0.000000,4.597015,0
1995-12-21,sh.600879,8.1500,8.2700,7.9000,7.9300,8.1700,596000,4828259.0000,3,2.384000,1,-2.937580,36.202207,3.635230,0.000000,4.461974,0
1995-12-22,sh.600879,7.8900,8.0000,7.7500,7.8000,7.9300,432800,3392807.0000,3,1.731200,1,-1.639340,35.608728,3.575636,0.000000,4.388827,0
1995-12-25,sh.600879,7.5000,7.7500,7.4000,7.4800,7.8000,536900,4048141.0000,3,2.147600,1,-4.102566,34.147857,3.428943,0.000000,4.208772,0
1995-12-26,sh.600879,7.4500,7.6000,7.4100,7.4500,7.4800,367690,2759434.0000,3,1.470760,1,-0.401072,34.010901,3.415191,0.000000,4.191892,0
1995-12-27,sh.600879,7.4300,7.6900,7.3500,7.4900,7.4500,442315,3318359.0000,3,1.769260,1,0.536912,34.193509,3.433527,0.000000,4.214399,0
1995-12-28,sh.600879,7.5000,7.5300,7.0200,7.0600,7.4900,399800,2896264.0000,3,1.599200,1,-5.740986,32.230464,3.236409,0.000000,3.972451,0
1995-12-29,sh.600879,7.0000,7.1600,6.8800,6.9000,7.0600,645095,4512383.0000,3,2.580380,1,-2.266287,31.500029,3.163062,0.000000,3.882424,0
1996-01-02,sh.600879,6.7100,6.8000,6.6700,6.6700,6.9000,311100,2094308.0000,3,1.244400,1,-3.333333,30.450028,3.057627,0.000000,3.753010,0
1996-01-03,sh.600879,6.6300,6.8800,6.6300,6.8500,6.6700,367600,2488267.0000,3,1.470400,1,2.698648,31.271768,3.140142,0.000000,3.854290,0
1996-01-04,sh.600879,6.7700,7.1200,6.7600,7.1000,6.8500,744764,5179138.0000,3,2.979056,1,3.649635,32.413073,3.254745,0.000000,3.994958,0
1996-01-05,sh.600879,7.0500,7.1800,6.6000,6.6300,7.1000,987700,6863328.0000,3,3.950800,1,-6.619716,30.267419,3.039290,0.000000,3.730503,0
1996-01-08,sh.600879,6.5000,6.7500,6.3700,6.6800,6.6300,406660,2679095.0000,3,1.626640,1,0.754143,30.495680,3.062211,0.000000,3.758636,0
1996-01-09,sh.600879,6.5800,7.4300,6.5800,7.3600,6.6800,2565704,18468335.0000,3,10.262816,1,10.179650,33.600031,3.373933,0.000000,4.141252,0
1996-01-10,sh.600879,7.2000,7.6000,7.0600,7.2800,7.3600,2745629,20012999.0000,3,10.982516,1,-1.086955,33.234813,3.337260,0.000000,4.096238,0
1996-01-11,sh.600879,7.3300,7.4800,7.1500,7.2900,7.2800,1293164,9423118.0000,3,5.172656,1,0.137359,33.280465,3.341844,0.000000,4.101865,0
1996-01-12,sh.600879,7.2700,7.4400,7.0700,7.2900,7.2900,1232385,8955647.0000,3,4.929540,1,0.000000,33.280465,3.341844,0.000000,4.101865,0
1996-01-15,sh.600879,7.2700,7.4600,7.2600,7.4200,7.2900,989230,7292990.0000,3,3.956920,1,1.783266,33.873944,3.401438,0.000000,4.175012,0
1996-01-16,sh.600879,7.4500,7.4500,7.2000,7.2800,7.4200,611480,4466535.0000,3,2.445920,1,-1.886791,33.234813,3.337260,0.000000,4.096238,0
1996-01-17,sh.600879,7.1700,7.2500,6.8000,7.0000,7.2800,989000,6911905.0000,3,3.956000,1,-3.846157,31.956551,3.208904,0.000000,3.938691,0
1996-01-18,sh.600879,6.8500,6.8500,6.4500,6.4600,7.0000,1311500,8634278.0000,3,5.246000,1,-7.714285,29.491331,2.961360,0.000000,3.634849,0
1996-01-19,sh.600879,6.3600,6.6000,6.3100,6.6000,6.4600,609250,3959112.0000,3,2.437000,1,2.167181,30.130462,3.025538,0.000000,3.713623,0
1996-01-22,sh.600879,6.5400,6.6600,6.3500,6.4700,6.6000,565460,3670230.0000,3,2.261840,1,-1.969699,29.536983,2.965944,0.000000,3.640476,0
1996-01-23,sh.600879,6.3100,6.6100,6.3100,6.5000,6.4700,440500,2872207.0000,3,1.762000,1,0.463682,29.673940,2.979696,0.000000,3.657356,0
1996-01-24,sh.600879,6.5200,6.6100,6.5000,6.5100,6.5000,297735,1951765.0000,3,1.190940,1,0.153850,29.719592,2.984281,0.000000,3.662982,0
1996-01-25,sh.600879,6.6200,6.8800,6.4000,6.4000,6.5100,971700,6496832.0000,3,3.886800,1,-1.689710,29.217418,2.933855,0.000000,3.601089,0
1996-01-26,sh.600879,6.3100,6.6800,6.3100,6.6000,6.4000,493185,3213633.0000,3,1.972740,1,3.124997,30.130462,3.025538,0.000000,3.713623,0
1996-01-29,sh.600879,6.7000,6.7000,6.5200,6.6100,6.6000,376508,2488042.0000,3,1.506032,1,0.151519,30.176114,3.030122,0.000000,3.719249,0
1996-01-30,sh.600879,6.7500,6.7500,6.5100,6.6300,6.6100,280500,1844806.0000,3,1.122000,1,0.302572,30.267419,3.039290,0.000000,3.730503,0
1996-01-31,sh.600879,6.6200,6.7500,6.5100,6.7000,6.6300,600310,3990227.0000,3,2.401240,1,1.055802,30.586984,3.071379,0.000000,3.769890,0
1996-02-01,sh.600879,6.7600,6.9700,6.7600,6.8300,6.7000,936120,6417048.0000,3,3.744480,1,1.940300,31.180463,3.130973,0.000000,3.843037,0
1996-02-02,sh.600879,6.8300,6.9500,6.6800,6.9000,6.8300,680286,4635574.0000,3,2.721144,1,1.024893,31.500029,3.163062,0.000000,3.882424,0
1996-02-05,sh.600879,6.9800,7.1500,6.4700,6.5800,6.9000,1834098,12694868.0000,3,7.336392,1,-4.637683,30.039158,3.016370,0.000000,3.702369,0
1996-02-06,sh.600879,6.5000,6.5900,6.4100,6.4500,6.5800,639990,4143542.0000,3,2.559960,1,-1.975686,29.445679,2.956776,0.000000,3.629222,0
1996-02-07,sh.600879,6.4800,6.5500,6.4500,6.5000,6.4500,230900,1499506.0000,3,0.923600,1,0.775197,29.673940,2.979696,0.000000,3.657356,0
1996-02-08,sh.600879,6.5500,6.6000,6.4500,6.4900,6.5000,171600,1121427.0000,3,0.686400,1,-0.153850,29.628288,2.975112,0.000000,3.651729,0
1996-02-09,sh.600879,6.4400,6.6600,6.4400,6.6600,6.4900,219500,1440763.0000,3,0.878000,1,2.619416,30.404376,3.053043,0.000000,3.747383,0
1996-02-12,sh.600879,6.5200,6.5600,6.5000,6.5500,6.6600,140880,919509.0000,3,0.563520,1,-1.651647,29.902201,3.002617,0.000000,3.685489,0
1996-02-13,sh.600879,6.6300,6.6800,6.5000,6.6200,6.5500,245600,1620980.0000,3,0.982400,1,1.068698,30.221767,3.034706,0.000000,3.724876,0
1996-02-14,sh.600879,6.6500,6.7000,6.5200,6.5700,6.6200,173150,1146912.0000,3,0.692600,1,-0.755283,29.993506,3.011785,0.000000,3.696743,0
1996-02-15,sh.600879,6.5400,6.7500,6.5400,6.6000,6.5700,296513,1970168.0000,3,1.186052,1,0.456617,30.130462,3.025538,0.000000,3.713623,0
1996-02-16,sh.600879,6.7000,6.9000,6.6900,6.8200,6.6000,703654,4789912.0000,3,2.814616,1,3.333338,31.134811,3.126389,0.000000,3.837410,0
1996-03-04,sh.600879,7.8000,7.9000,7.2100,7.6700,6.8200,2862142,21498073.0000,3,11.448568,1,12.463340,35.015249,3.516042,0.000000,4.315680,0
1996-03-05,sh.600879,7.6000,7.7000,7.2600,7.3000,7.6700,1856888,13928984.0000,3,7.427552,1,-4.823988,33.326117,3.346428,0.000000,4.107492,0
1996-03-06,sh.600879,7.2500,7.4100,6.8500,6.8900,7.3000,1192697,8538636.0000,3,4.770788,1,-5.616443,31.454376,3.158478,0.000000,3.876797,0
1996-03-07,sh.600879,7.0000,7.2000,6.9300,7.1600,6.8900,613830,4333065.0000,3,2.455320,1,3.918723,32.686986,3.282250,0.000000,4.028718,0
1996-03-08,sh.600879,7.0400,7.1500,6.8800,7.0300,7.1600,414000,2898260.0000,3,1.656000,1,-1.815637,32.093508,3.222656,0.000000,3.955571,0
1996-03-11,sh.600879,7.0300,7.1000,6.9500,7.0000,7.0300,313550,2196310.0000,3,1.254200,1,-0.426745,31.956551,3.208904,0.000000,3.938691,0
1996-03-12,sh.600879,6.8900,7.0000,6.7000,6.8500,7.0000,258540,1776279.0000,3,1.034160,1,-2.142859,31.271768,3.140142,0.000000,3.854290,0
1996-03-13,sh.600879,6.8500,6.9600,6.8000,6.9000,6.8500,228140,1569715.0000,3,0.912560,1,0.729930,31.500029,3.163062,0.000000,3.882424,0
1996-03-14,sh.600879,6.8800,6.9900,6.7200,6.9000,6.9000,206898,1429916.0000,3,0.827592,1,0.000000,31.500029,3.163062,0.000000,3.882424,0
1996-03-15,sh.600879,6.9000,6.9200,6.8000,6.9000,6.9000,155700,1066078.0000,3,0.622800,1,0.000000,31.500029,3.163062,0.000000,3.882424,0
1996-03-18,sh.600879,6.8200,7.0200,6.8200,7.0100,6.9000,339800,2366581.0000,3,1.359200,1,1.594205,32.002203,3.213488,0.000000,3.944317,0
1996-03-19,sh.600879,7.0500,7.0500,6.8800,6.9000,7.0100,192000,1338301.0000,3,0.768000,1,-1.569189,31.500029,3.163062,0.000000,3.882424,0
1996-03-20,sh.600879,6.8200,7.0300,6.8200,7.0100,6.9000,228000,1589191.0000,3,0.912000,1,1.594205,32.002203,3.213488,0.000000,3.944317,0
