date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-10-29,sz.300900,70.0000,88.8800,70.0000,72.2900,17.8700,33108083,2475298579.3900,3,74.460300,1,304.532700,182.807538,48.495981,-26486.444228,25.893329,0
2020-10-30,sz.300900,65.0000,74.4900,63.9800,67.7000,72.2900,20941255,1449096665.3600,3,47.097000,1,-6.349400,171.200309,45.416765,-24804.707072,24.249251,0
2020-11-02,sz.300900,69.8800,70.9800,65.1000,68.5000,67.7000,17367394,1183124821.9000,3,39.059400,1,1.181700,173.223355,45.953447,-25097.820301,24.535801,0
2020-11-03,sz.300900,66.0000,72.0400,65.5000,69.4500,68.5000,16706001,1151120587.3400,3,37.571900,1,1.386900,175.625723,46.590758,-25445.892262,24.876078,0
2020-11-04,sz.300900,70.1300,71.9000,66.7500,67.0500,69.4500,16709307,1150914292.6000,3,37.579300,1,-3.455700,169.556583,44.980710,-24566.552572,24.016430,0
2020-11-05,sz.300900,64.0000,64.5000,60.5100,62.0000,67.0500,17315035,1077812355.0200,3,38.941600,1,-7.531700,156.786102,41.592901,-22716.275309,22.207586,0
2020-11-06,sz.300900,61.3900,63.5500,60.8800,62.2000,62.0000,12007643,748986175.5900,3,27.005300,1,0.322600,157.291864,41.727072,-22789.553617,22.279223,0
2020-11-09,sz.300900,61.0000,65.2000,60.0200,64.7900,62.2000,15360396,963827534.2600,3,34.545600,1,4.164000,163.841477,43.464582,-23738.507698,23.206927,0
2020-11-10,sz.300900,65.2000,71.8000,65.0000,65.3700,64.7900,18433342,1255488961.4600,3,41.456700,1,0.895200,165.308186,43.853677,-23951.014790,23.414676,0
2020-11-11,sz.300900,62.8800,64.9000,61.6800,63.0800,65.3700,11341298,719012965.1300,3,25.506700,1,-3.503100,159.517215,42.317423,-23111.978170,22.594428,0
2020-11-12,sz.300900,63.5000,64.4600,60.1300,60.1500,63.0800,9954063,612757435.0500,3,22.386800,1,-4.644900,152.107807,40.351823,-22038.450965,21.544940,0
2020-11-13,sz.300900,58.5900,64.5000,58.2300,62.6300,60.1500,11110733,686789708.5200,3,24.988100,1,4.123000,158.379252,42.015539,-22947.101978,22.433244,0
2020-11-16,sz.300900,61.4000,62.5000,60.5100,61.1700,62.6300,7550357,463472277.3400,3,16.980800,1,-2.331200,154.687192,41.036093,-22412.170333,21.910291,0
2020-11-17,sz.300900,61.0100,62.9700,58.9900,60.3000,61.1700,8853939,540864742.1400,3,19.912600,1,-1.422300,152.487129,40.452451,-22093.409696,21.598668,0
2020-11-18,sz.300900,60.0000,63.5000,59.4000,63.3500,60.3000,11569089,716241257.2200,3,26.019000,1,5.058000,160.199993,42.498553,-23210.903885,22.691138,0
2020-11-19,sz.300900,62.4700,71.5000,61.8900,66.7500,63.3500,18939245,1256607861.4200,3,42.594500,1,5.367000,168.797941,44.779454,-24456.635111,23.908974,0
2020-11-20,sz.300900,65.6600,67.9700,62.2300,62.8800,66.7500,14513501,933404763.3900,3,32.641000,1,-5.797800,159.011454,42.183252,-23038.699862,22.522791,0
2020-11-23,sz.300900,62.0600,64.6400,60.5100,62.9500,62.8800,11881898,742969715.4000,3,26.722500,1,0.111300,159.188470,42.230212,-23064.347270,22.547864,0
2020-11-24,sz.300900,61.6000,63.9500,60.8500,61.0300,62.9500,8537001,528710488.8700,3,19.199800,1,-3.050000,154.333159,40.942174,-22360.875518,21.860145,0
2020-11-25,sz.300900,60.5000,61.5700,59.5000,60.7000,61.0300,7257363,438016962.6300,3,16.321900,1,-0.540700,153.498652,40.720792,-22239.966311,21.741943,0
2020-11-26,sz.300900,60.8600,66.0000,60.6000,63.2900,60.7000,14338143,907494123.0900,3,32.246600,1,4.266900,160.048265,42.458302,-23188.920392,22.669647,0
2020-11-27,sz.300900,62.6900,65.2900,61.0300,61.7600,63.2900,12091674,759387482.0600,3,27.194300,1,-2.417400,156.179188,41.431897,-22628.341340,22.121621,0
2020-11-30,sz.300900,60.5800,62.1900,60.2500,60.9800,61.7600,8021143,490012036.9500,3,18.039600,1,-1.263000,154.206718,40.908631,-22342.555941,21.842236,0
2020-12-01,sz.300900,60.7200,62.2000,60.7200,61.5500,60.9800,7431060,457178720.7900,3,16.712500,1,0.934700,155.648139,41.291017,-22551.399118,22.046402,0
2020-12-02,sz.300900,61.0800,61.5400,59.7800,60.3000,61.5500,7922690,479537658.4600,3,17.818200,1,-2.030900,152.487129,40.452451,-22093.409696,21.598668,0
2020-12-03,sz.300900,59.9100,59.9300,56.8600,56.8700,60.3000,10185206,592633847.3600,3,22.906600,1,-5.688200,143.813317,38.151424,-20836.686723,20.370087,0
2020-12-04,sz.300900,56.6000,58.1700,56.4900,56.9100,56.8700,5476518,313820271.0300,3,12.316700,1,0.070300,143.914469,38.178258,-20851.342385,20.384415,0
2020-12-07,sz.300900,56.5000,56.9200,55.2300,55.2600,56.9100,5696995,318551566.5200,3,12.812600,1,-2.899300,139.741936,37.071350,-20246.796348,19.793407,0
2020-12-08,sz.300900,55.1000,55.9700,54.3200,54.4500,55.2600,4751815,262054425.3400,3,10.686900,1,-1.465800,137.693601,36.527959,-19950.019203,19.503275,0
2020-12-09,sz.300900,54.5000,55.5900,52.6200,54.1600,54.4500,7544123,262054425.3400,3,16.966800,1,-0.532600,136.960247,36.333412,-19843.765657,19.399401,0
2020-12-10,sz.300900,53.6000,54.3800,52.1300,52.3400,54.1600,5413598,287821023.6100,3,12.175200,1,-3.360400,132.357816,35.112459,-19176.933060,18.747501,0
2020-12-11,sz.300900,51.9200,52.7000,49.7000,50.3600,52.3400,5767742,294703827.3600,3,12.971700,1,-3.783000,127.350776,33.784170,-18451.477816,18.038291,0
2020-12-14,sz.300900,50.0000,52.1000,49.6500,50.9400,50.3600,4352815,221623633.8500,3,9.789500,1,1.151700,128.817485,34.173264,-18663.984907,18.246039,0
2020-12-15,sz.300900,50.5300,52.2000,50.4000,51.1900,50.9400,4307046,221436690.7100,3,9.686600,1,0.490800,129.449687,34.340978,-18755.582792,18.335586,0
2020-12-16,sz.300900,50.6200,52.5000,49.7000,51.5600,51.1900,6402348,327807334.1400,3,14.398900,1,0.722800,130.385346,34.589193,-18891.147660,18.468115,0
2020-12-17,sz.300900,51.0000,51.5700,49.0100,50.3100,51.5600,5597803,281149248.9300,3,12.589500,1,-2.424400,127.224336,33.750627,-18433.158239,18.020382,0
2020-12-18,sz.300900,50.1600,50.8000,48.0300,48.0800,50.3100,5914349,291577248.4600,3,13.301400,1,-4.432500,121.585094,32.254624,-17616.105111,17.221625,0
2020-12-21,sz.300900,47.4900,48.8300,47.3300,47.8000,48.0800,4604199,221759015.0300,3,10.354900,1,-0.582400,120.877027,32.066785,-17513.515480,17.121333,0
2020-12-22,sz.300900,47.4000,47.7800,44.9700,45.1700,47.8000,6667155,309382003.0800,3,14.994500,1,-5.502100,114.226262,30.302441,-16549.905737,16.179301,0
2020-12-23,sz.300900,45.3900,46.9500,44.3700,46.7600,45.1700,7334764,335487148.6200,3,16.495900,1,3.520000,118.247067,31.369098,-17132.468282,16.748818,0
2020-12-24,sz.300900,47.2000,51.3300,47.1900,47.5000,46.7600,11145887,549317245.7800,3,25.067200,1,1.582500,120.118385,31.865529,-17403.598019,17.013876,0
2020-12-25,sz.300900,46.2400,48.6600,45.5800,47.7400,47.5000,6691532,317122400.1600,3,15.049300,1,0.505300,120.725299,32.026534,-17491.531988,17.099841,0
2020-12-28,sz.300900,47.8800,48.7000,45.0900,45.2200,47.7400,6113730,285158660.5700,3,13.749800,1,-5.278600,114.352702,30.335984,-16568.225314,16.197210,0
2020-12-29,sz.300900,44.5100,45.8500,42.8900,42.9900,45.2200,5918103,260450373.2900,3,13.309900,1,-4.931400,108.713460,28.839981,-15751.172186,15.398454,0
2020-12-30,sz.300900,42.7000,43.6200,41.6300,43.5100,42.9900,5787749,247552467.7400,3,13.016700,1,1.209600,110.028441,29.188825,-15941.695786,15.584711,0
2020-12-31,sz.300900,43.2000,45.5700,43.0800,45.2900,43.5100,6859657,304645893.1900,3,15.427400,1,4.091000,114.529719,30.382944,-16593.872722,16.222283,0
2021-01-04,sz.300900,45.3100,47.5300,45.3100,46.5000,45.2900,6335850,295478291.3800,3,14.249400,1,2.671700,117.589577,31.194676,-17037.206482,16.655690,0
2021-01-05,sz.300900,46.1300,51.1400,46.1300,47.7100,46.5000,9128913,441681778.2500,3,20.531000,1,2.602200,120.649435,32.006408,-17480.540242,17.089096,0
2021-01-06,sz.300900,47.0100,50.9900,47.0100,49.2500,47.7100,11011507,544981412.2400,3,24.765000,1,3.227800,124.543799,33.039522,-18044.783209,17.640703,0
2021-01-07,sz.300900,48.4300,48.7300,44.3500,44.8300,49.2500,9400064,438150808.8100,3,21.140800,1,-8.974600,113.366467,30.074351,-16425.332615,16.057518,0
2021-01-08,sz.300900,44.9100,45.0000,41.8900,42.9300,44.8300,6322213,271027399.2600,3,14.218700,1,-4.238200,108.561732,28.799730,-15729.188694,15.376962,0
2021-01-11,sz.300900,43.3400,43.6400,40.6000,40.7800,42.9300,6162576,259654208.2100,3,13.859700,1,-5.008200,103.124794,27.357395,-14941.446889,14.606861,0
2021-01-12,sz.300900,39.4000,42.7400,39.4000,41.8000,40.7800,5469807,227715164.1400,3,12.301600,1,2.501200,105.704179,28.041666,-15315.166257,14.972211,0
2021-01-13,sz.300900,41.4100,41.9900,38.5200,38.5300,41.8000,6964055,276804607.7200,3,15.662200,1,-7.823000,97.434976,25.847976,-14117.065930,13.800940,0
2021-01-14,sz.300900,38.5100,40.3800,36.6800,38.7600,38.5300,6360010,244199557.4100,3,14.303700,1,0.596900,98.016602,26.002272,-14201.335984,13.883323,0
2021-01-15,sz.300900,39.4000,43.4500,39.4000,42.3600,38.7600,9252636,385722950.6800,3,20.809200,1,9.287900,107.120311,28.417344,-15520.345518,15.172796,0
2021-01-18,sz.300900,42.3900,44.2700,41.8900,42.0800,42.3600,7378727,315465773.4600,3,16.594800,1,-0.661000,106.412245,28.229505,-15417.755887,15.072504,0
2021-01-19,sz.300900,41.8000,43.6000,41.0000,43.2800,42.0800,7518072,321371784.9300,3,16.908200,1,2.851700,109.446815,29.034529,-15857.425732,15.502328,0
2021-01-20,sz.300900,43.0100,44.1400,41.8800,42.3800,43.2800,6592951,282779824.3800,3,14.827600,1,-2.079500,107.170887,28.430761,-15527.673349,15.179960,0
2021-01-21,sz.300900,41.4500,42.1700,40.5100,40.5400,42.3800,5999721,248050890.4100,3,13.493400,1,-4.341700,102.517881,27.196391,-14853.512920,14.520896,0
2021-01-22,sz.300900,40.0800,41.3700,40.0500,40.4400,40.5400,3997922,162561028.5900,3,8.991400,1,-0.246700,102.265000,27.129305,-14816.873766,14.485077,0
2021-01-25,sz.300900,41.1500,42.3000,39.0000,39.6400,40.4400,4858533,199399269.2800,3,10.926900,1,-1.978200,100.241953,26.592623,-14523.760536,14.198528,0
2021-01-26,sz.300900,38.9200,40.5000,38.2200,39.1300,39.6400,4133878,162486289.5500,3,9.297100,1,-1.286600,98.952261,26.250488,-14336.900853,14.015852,0
2021-01-27,sz.300900,39.3000,39.7600,38.0000,38.4300,39.1300,3500347,135100022.1500,3,7.872300,1,-1.788900,97.182095,25.780890,-14080.426776,13.765122,0
2021-01-28,sz.300900,38.0000,40.1000,37.7600,38.2500,38.4300,4054744,157310433.0100,3,9.119100,1,-0.468400,96.726910,25.660137,-14014.476300,13.700648,0
2021-01-29,sz.300900,38.6100,39.7000,37.6500,39.2100,38.2500,4792398,184815604.6000,3,10.778100,1,2.509800,99.154566,26.304156,-14366.212175,14.044507,0
2021-02-01,sz.300900,39.7000,41.3600,39.5000,40.5200,39.2100,5322508,215618811.1200,3,11.970400,1,3.341000,102.467304,27.182974,-14846.185089,14.513732,0
2021-02-02,sz.300900,40.1800,41.8200,39.5200,39.5300,40.5200,5231920,211577684.0600,3,11.766600,1,-2.443200,99.963784,26.518829,-14483.457467,14.159127,0
2021-02-03,sz.300900,39.3600,40.0000,36.9200,37.0800,39.5300,5123471,194667749.8500,3,11.522700,1,-6.197800,93.768204,24.875238,-13585.798201,13.281569,0
2021-02-04,sz.300900,36.7300,37.8000,35.5900,36.1800,37.0800,4076459,148617883.5000,3,9.168000,1,-2.427200,91.492277,24.271470,-13256.045818,12.959201,0
2021-02-05,sz.300900,36.7300,37.6600,34.8200,35.0200,36.1800,4031022,146300206.1300,3,9.065800,1,-3.206200,88.558860,23.493281,-12831.031634,12.543704,0
2021-02-08,sz.300900,35.0000,35.2600,33.4400,33.4900,35.0200,3623818,123713557.2600,3,8.150000,1,-4.368900,84.689783,22.466875,-12270.452582,11.995678,0
2021-02-09,sz.300900,33.6200,35.4400,33.5200,34.7900,33.4900,4243382,146376710.1100,3,9.543400,1,3.881800,87.977234,23.338984,-12746.761581,12.461321,0
2021-02-10,sz.300900,34.9700,35.1800,33.8600,34.0600,34.7900,3133919,107598914.3400,3,7.048200,1,-2.098300,86.131204,22.849262,-12479.295759,12.199845,0
2021-02-18,sz.300900,34.8000,35.7500,34.4900,35.5000,34.0600,3327394,117282198.5000,3,7.483300,1,4.227800,89.772688,23.815290,-13006.899572,12.715634,0
2021-02-19,sz.300900,35.4000,36.7300,35.1500,36.5800,35.5000,3497800,126496579.9500,3,7.866600,1,3.042300,92.503800,24.539812,-13402.602433,13.102476,0
2021-02-22,sz.300900,36.7000,37.4500,35.8000,35.8300,36.5800,4247522,155736033.8300,3,9.552700,1,-2.050300,90.607194,24.036672,-13127.808780,12.833836,0
2021-02-23,sz.300900,35.6400,38.8500,34.7600,38.8500,35.8300,7894477,294208075.2700,3,17.754700,1,8.428700,98.244195,26.062649,-14234.311222,13.915560,0
2021-02-24,sz.300900,39.0000,39.7800,37.2800,37.6000,38.8500,5269416,200844507.0600,3,11.851000,1,-3.217500,95.083185,25.224082,-13776.321801,13.467826,0
2021-02-25,sz.300900,37.3900,39.0000,37.3900,37.5800,37.6000,4743653,180588318.5800,3,10.668500,1,-0.053200,95.032609,25.210665,-13768.993970,13.460663,0
2021-02-26,sz.300900,36.8500,38.0300,36.3400,36.3600,37.5800,3472912,128183730.2100,3,7.810600,1,-3.246400,91.947463,24.392224,-13321.996294,13.023675,0
2021-03-01,sz.300900,36.8000,37.1700,36.2600,37.1700,36.3600,2826789,103930293.2600,3,6.357500,1,2.227700,93.995797,24.935615,-13618.773440,13.313806,0
2021-03-02,sz.300900,38.2000,39.4000,37.7200,38.2700,37.1700,5341113,205234445.1200,3,12.012200,1,2.959400,96.777486,25.673554,-14021.804130,13.707812,0
2021-03-03,sz.300900,37.5500,38.9700,37.2000,38.7200,38.2700,4322656,164527930.0300,3,9.721700,1,1.175900,97.915450,25.975438,-14186.680322,13.868996,0
2021-03-04,sz.300900,38.5100,39.8500,37.7000,37.7400,38.7200,5050426,196249547.6300,3,11.358400,1,-2.531000,95.437218,25.318002,-13827.616616,13.517973,0
2021-03-05,sz.300900,37.3300,38.6300,36.4000,38.0200,37.7400,3956292,148832450.2900,3,8.897700,1,0.741900,96.145284,25.505840,-13930.206246,13.618265,0
2021-03-08,sz.300900,38.0000,38.7800,36.7500,36.7700,38.0200,4456082,167833700.0200,3,10.021800,1,-3.287700,92.984274,24.667274,-13472.216825,13.170531,0
2021-03-09,sz.300900,36.5300,36.6800,34.0100,34.2400,36.7700,4176801,145926588.5600,3,9.393700,1,-6.880600,86.586389,22.970015,-12545.246235,12.264319,0
2021-03-10,sz.300900,34.6600,34.9100,33.6600,33.8700,34.2400,2237903,76262756.4900,3,5.033100,1,-1.080600,85.650730,22.721799,-12409.681367,12.131789,0
2021-03-11,sz.300900,33.8200,34.4000,33.3700,34.2500,33.8700,2461088,83905618.5100,3,5.535000,1,1.121900,86.611678,22.976724,-12548.910151,12.267900,0
2021-03-12,sz.300900,34.2000,34.6000,33.1100,33.2300,34.2500,2867733,96558033.0600,3,6.449600,1,-2.978100,84.032293,22.292453,-12175.190783,11.902550,0
2021-03-15,sz.300900,33.2200,33.9600,33.0300,33.5100,33.2300,2379818,79565795.9500,3,5.352200,1,0.842600,84.740360,22.480292,-12277.780413,12.002842,0
2021-03-16,sz.300900,33.3900,33.9000,33.2000,33.6500,33.5100,1998859,67118907.8500,3,4.495400,1,0.417800,85.094393,22.574212,-12329.075228,12.052988,0
2021-03-17,sz.300900,33.5400,34.9000,33.2500,34.6100,33.6500,3340718,114678698.4800,3,7.513300,1,2.852900,87.522048,23.218231,-12680.811104,12.396848,0
2021-03-18,sz.300900,34.3100,35.6900,34.3000,35.4400,34.6100,4029423,141965533.6000,3,9.062200,1,2.398200,89.620959,23.775039,-12984.916080,12.694143,0
2021-03-19,sz.300900,35.0000,40.9900,34.9500,38.5400,35.4400,10451705,398339725.9700,3,23.506000,1,8.747200,97.460264,25.854684,-14120.729846,13.804522,0
2021-03-22,sz.300900,37.7900,39.0000,37.5200,37.9800,38.5400,6506373,248314457.6700,3,14.632900,1,-1.453000,96.044132,25.479006,-13915.550585,13.603937,0
2021-03-23,sz.300900,37.9800,38.6000,37.1800,37.1800,37.9800,5314124,201163897.3600,3,11.951500,1,-2.106400,94.021085,24.942324,-13622.437355,13.317388,0
