date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2000-10-18,sh.600276,26.8800,28.4500,26.5000,27.7000,11.9800,27193003,748996054.0000,3,67.982507,1,131.218700,71.688449,8.890261,60.716968,19.786074,0
2000-10-19,sh.600276,27.6100,28.1900,27.0100,27.2100,27.7000,7747636,214900952.0000,3,19.369090,1,-1.768959,70.420314,8.732996,59.642913,19.436068,0
2000-10-20,sh.600276,26.9800,27.8800,26.3000,27.7500,27.2100,5119527,138248375.0000,3,12.798818,1,1.984568,71.817851,8.906308,60.826565,19.821789,0
2000-10-23,sh.600276,27.8800,28.0900,27.4000,27.9000,27.7500,2143731,59486626.0000,3,5.359328,1,0.540539,72.206055,8.954450,61.155358,19.928934,0
2000-10-24,sh.600276,27.9800,28.5600,27.6100,28.2800,27.9000,2655946,74935642.0000,3,6.639865,1,1.362011,73.189507,9.076411,61.988298,20.200367,0
2000-10-25,sh.600276,28.0100,28.9500,27.9000,27.9000,28.2800,3596403,102213937.0000,3,8.991008,1,-1.343709,72.206055,8.954450,61.155358,19.928934,0
2000-10-26,sh.600276,27.9800,28.1000,27.6100,27.7300,27.9000,1486658,41407743.0000,3,3.716645,1,-0.609319,71.766090,8.899889,60.782726,19.807503,0
2000-10-27,sh.600276,27.8000,28.7900,27.7500,28.4500,27.7300,2041136,57890751.0000,3,5.102840,1,2.596470,73.629472,9.130972,62.360929,20.321798,0
2000-10-30,sh.600276,28.4600,28.4900,27.7800,28.0800,28.4500,1139913,31942502.0000,3,2.849782,1,-1.300530,72.671901,9.012221,61.549908,20.057508,0
2000-10-31,sh.600276,28.0300,28.1800,27.6100,27.6900,28.0800,1310503,36514079.0000,3,3.276258,1,-1.388887,71.662569,8.887051,60.695048,19.778931,0
2000-11-01,sh.600276,27.6500,28.0900,27.5000,28.0000,27.6900,1549265,43018501.0000,3,3.873162,1,1.119536,72.464858,8.986545,61.374552,20.000364,0
2000-11-02,sh.600276,28.0800,28.4500,27.8000,28.3700,28.0000,1338530,37739147.0000,3,3.346325,1,1.321432,73.422430,9.105296,62.185573,20.264654,0
2000-11-03,sh.600276,28.0500,28.4500,27.9500,28.1200,28.3700,757601,21330207.0000,3,1.894003,1,-0.881212,72.775422,9.025059,61.637586,20.086079,0
2000-11-06,sh.600276,28.1500,28.8500,27.9000,28.6600,28.1200,1171234,33437132.0000,3,2.928085,1,1.920338,74.172959,9.198371,62.821238,20.471801,0
2000-11-07,sh.600276,28.8800,29.3800,28.6000,29.1000,28.6600,1563540,45456988.0000,3,3.908850,1,1.535243,75.311692,9.339588,63.785696,20.786092,0
2000-11-08,sh.600276,29.2000,29.5400,29.0200,29.4800,29.1000,1729766,50711847.0000,3,4.324415,1,1.305839,76.295144,9.461548,64.618636,21.057526,0
2000-11-09,sh.600276,29.3800,29.6000,29.0200,29.2000,29.4800,1327798,38995629.0000,3,3.319495,1,-0.949792,75.570495,9.371683,64.004890,20.857522,0
2000-11-10,sh.600276,29.3000,29.4700,29.1000,29.4600,29.2000,1298566,37987359.0000,3,3.246415,1,0.890405,76.243383,9.455129,64.574797,21.043240,0
