date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2015-04-23,sh.603883,19.6900,23.6300,19.6900,23.6300,16.4100,50900,1198827.0000,3,0.075970,1,43.997560,29.718426,1.552751,-111.277967,6.104471,0
2015-04-24,sh.603883,25.9900,25.9900,25.9900,25.9900,23.6300,18500,480815.0000,3,0.027612,1,9.987300,32.686496,1.707829,-122.391636,6.714144,0
2015-04-27,sh.603883,28.5900,28.5900,28.5900,28.5900,25.9900,12500,357375.0000,3,0.018657,1,10.003800,35.956403,1.878678,-134.635509,7.385816,0
2015-04-28,sh.603883,31.4500,31.4500,31.4500,31.4500,28.5900,40300,1267435.0000,3,0.060149,1,10.003500,39.553301,2.066611,-148.103769,8.124656,0
2015-04-29,sh.603883,34.6000,34.6000,34.6000,34.6000,31.4500,69499,2404665.0000,3,0.103730,1,10.015900,43.514920,2.273601,-162.937691,8.938413,0
2015-04-30,sh.603883,38.0600,38.0600,38.0600,38.0600,34.6000,108299,4121860.0000,3,0.161640,1,10.000000,47.866412,2.500961,-179.231460,9.832255,0
2015-05-04,sh.603883,41.8700,41.8700,41.8700,41.8700,38.0600,188900,7909243.0000,3,0.281940,1,10.010500,52.658083,2.751320,-197.173443,10.816514,0
2015-05-05,sh.603883,46.0600,46.0600,46.0600,46.0600,41.8700,416100,19165566.0000,3,0.621045,1,10.007200,57.927665,3.026649,-216.904915,11.898940,0
2015-05-06,sh.603883,50.6700,50.6700,49.0000,50.6700,46.0600,15613625,787552032.0000,3,23.303918,1,10.008700,63.725462,3.329577,-238.614243,13.089867,0
2015-05-07,sh.603883,50.0000,55.7400,49.1500,55.7400,50.6700,22379580,1184652416.0000,3,33.402358,1,10.005900,70.101781,3.662732,-262.489795,14.399629,0
2015-05-08,sh.603883,58.0000,61.1800,55.7500,59.0000,55.7400,28444936,1666769360.0000,3,42.455128,1,5.848600,74.201742,3.876949,-277.841728,15.241803,0
2015-05-11,sh.603883,59.0100,64.9000,59.0100,64.9000,59.0000,19885253,1236222032.0000,3,29.679482,1,10.000000,81.621916,4.264644,-305.625901,16.765984,0
2015-05-12,sh.603883,67.0000,71.3900,66.0000,71.3900,64.9000,15287324,1062843760.0000,3,22.816901,1,10.000000,89.784107,4.691109,-336.188491,18.442582,0
2015-05-13,sh.603883,75.0000,78.5300,73.0000,78.5300,71.3900,11248313,865421568.0000,3,16.788527,1,10.001400,98.763776,5.160285,-369.812049,20.287099,0
2015-05-14,sh.603883,84.5000,86.3800,83.0000,86.3800,78.5300,6626878,567468448.0000,3,9.890863,1,9.996200,108.636380,5.676117,-406.779127,22.315033,0
2015-05-15,sh.603883,94.0000,95.0200,79.0000,87.9700,86.3800,27695801,2481075152.0000,3,41.337016,1,1.840700,110.636054,5.780597,-414.266726,22.725787,0
2015-05-18,sh.603883,84.0000,96.7700,81.6800,96.7700,87.9700,23039800,2112334176.0000,3,34.387761,1,10.003400,121.703433,6.358854,-455.707526,24.999141,0
2015-05-19,sh.603883,100.1100,106.4000,92.9800,93.4700,96.7700,22429448,2201765936.0000,3,33.476788,1,-3.410100,117.553166,6.142008,-440.167226,24.146633,0
2015-05-20,sh.603883,90.0000,97.9000,88.0000,90.6100,93.4700,16263013,1499294272.0000,3,24.273154,1,-3.059800,113.956268,5.954074,-426.698966,23.407793,0
2015-05-21,sh.603883,87.9100,90.2100,86.0000,87.7900,90.6100,17144751,1496401728.0000,3,25.589181,1,-3.112200,110.409676,5.768769,-413.419073,22.679287,0
2015-05-22,sh.603883,88.8000,96.5700,86.1000,96.5700,87.7900,22140108,2039390080.0000,3,33.044937,1,10.001100,121.451902,6.345712,-454.765689,24.947474,0
2015-05-25,sh.603883,96.5700,105.0100,91.0000,98.3600,96.5700,21986669,2172843744.0000,3,32.815924,1,1.853600,123.703107,6.463335,-463.195125,25.409894,0
2015-05-26,sh.603883,95.9000,102.0000,95.0000,99.8300,98.3600,18415697,1834063776.0000,3,27.486115,1,1.494500,125.551862,6.559930,-470.117622,25.789648,0
2015-05-27,sh.603883,99.3000,109.8100,98.0100,109.8100,99.8300,14905015,1563486720.0000,3,22.246291,1,9.997000,138.103275,7.215726,-517.115257,28.367838,0
2015-05-28,sh.603883,118.9900,120.7900,98.8500,105.4400,109.8100,24860871,2943807264.0000,3,37.105778,1,-3.979600,132.607316,6.928569,-496.536132,27.238911,0
2015-05-29,sh.603883,94.9000,110.0000,94.9000,97.2200,105.4400,24511262,2419441840.0000,3,36.583973,1,-7.795900,122.269378,6.388424,-457.826658,25.115392,0
2015-06-01,sh.603883,95.9300,95.9300,89.0000,90.7500,97.2200,17190715,1569231616.0000,3,25.657784,1,-6.655000,114.132340,5.963274,-427.358251,23.443960,0
2015-06-02,sh.603883,89.8400,92.1900,86.4000,91.7100,90.7500,13014232,1163131584.0000,3,19.424227,1,1.057900,115.339690,6.026357,-431.879066,23.691962,0
2015-06-03,sh.603883,93.1000,96.8100,89.1000,95.0800,91.7100,12985186,1216735744.0000,3,19.380875,1,3.674600,119.577993,6.247803,-447.749008,24.562554,0
2015-06-04,sh.603883,95.0000,95.0000,85.5700,87.9000,95.0800,10103838,894083008.0000,3,15.080355,1,-7.551500,110.548019,5.775998,-413.937083,22.707704,0
2015-06-05,sh.603883,88.1800,90.5000,85.0000,85.6500,87.9000,9424043,822425040.0000,3,14.065736,1,-2.559700,107.718291,5.628148,-403.341424,22.126448,0
2015-06-08,sh.603883,85.6500,86.3600,77.3800,78.9300,85.6500,11687911,937903728.0000,3,17.444643,1,-7.845900,99.266838,5.186570,-371.695722,20.390433,0
2015-06-09,sh.603883,80.0200,84.8900,80.0200,83.2900,78.9300,8356303,692860464.0000,3,12.472094,1,5.523900,104.750221,5.473070,-392.227755,21.516776,0
2015-06-10,sh.603883,82.4000,88.0000,81.0000,86.1700,83.2900,8531061,731550864.0000,3,12.732927,1,3.457800,108.372273,5.662318,-405.790198,22.260783,0
2015-06-11,sh.603883,84.2500,90.7900,84.2500,88.7100,86.1700,9493276,835979632.0000,3,14.169069,1,2.947700,111.566720,5.829224,-417.751520,22.916955,0
2015-06-12,sh.603883,88.0000,89.4900,83.0100,86.1900,88.7100,9154817,786579840.0000,3,13.663906,1,-2.840700,108.397426,5.663632,-405.884382,22.265950,0
2015-06-15,sh.603883,84.8800,84.8800,78.0800,79.2100,86.1900,6979489,567286656.0000,3,10.417148,1,-8.098400,99.618982,5.204969,-373.014293,20.462767,0
2015-06-16,sh.603883,77.0100,80.9200,75.1000,78.1500,79.2100,5416441,422089728.0000,3,8.084240,1,-1.338200,98.285866,5.135315,-368.022560,20.188931,0
2015-06-17,sh.603883,78.6000,83.0000,77.0200,82.0100,78.1500,5120938,408178800.0000,3,7.643191,1,4.939200,103.140421,5.388960,-386.200002,21.186107,0
2015-06-18,sh.603883,81.5900,85.0000,77.2100,79.1200,82.0100,6027584,495645440.0000,3,8.996394,1,-3.524000,99.505793,5.199055,-372.590466,20.439517,0
2015-06-19,sh.603883,75.3600,80.2900,75.0000,76.7200,79.1200,4798931,374268064.0000,3,7.162584,1,-3.033400,96.487417,5.041349,-361.288430,19.819511,0
2015-06-23,sh.603883,77.0500,84.0900,76.7200,83.0300,76.7200,9078677,735616528.0000,3,13.550264,1,8.224700,104.423231,5.455985,-391.003367,21.449609,0
2015-06-24,sh.603883,83.9800,88.0000,82.3600,85.4300,83.0300,7462129,633568192.0000,3,11.137506,1,2.890500,107.441607,5.613691,-402.305404,22.069615,0
2015-06-25,sh.603883,86.9900,87.1800,81.0000,82.3500,85.4300,6791245,574063776.0000,3,10.136187,1,-3.605300,103.568024,5.411302,-387.801124,21.273941,0
2015-06-26,sh.603883,79.4200,80.9700,74.1200,74.1200,82.3500,5450788,419056048.0000,3,8.135504,1,-9.993900,93.217510,4.870500,-349.044557,19.147838,0
2015-06-29,sh.603883,77.0000,77.0000,66.7100,66.7100,74.1200,4921105,340678544.0000,3,7.344933,1,-9.997300,83.898274,4.383581,-314.149520,17.233571,0
2015-06-30,sh.603883,62.8800,73.2600,60.0400,73.1900,66.7100,9894156,634567488.0000,3,14.767397,1,9.713700,92.047889,4.809389,-344.665018,18.907586,0
2015-07-01,sh.603883,70.0000,77.1600,68.1100,68.4500,73.1900,6291603,459724272.0000,3,9.390452,1,-6.476300,86.086597,4.497919,-322.343496,17.683075,0
