date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2015-02-17,sh.603939,28.0400,28.0400,28.0400,28.0400,19.4700,42862,1201850.0000,3,0.107155,1,44.016450,31.917769,2.011635,378.396024,7.599124,0
2015-02-25,sh.603939,30.8400,30.8400,30.8400,30.8400,28.0400,21600,666144.0000,3,0.054000,1,9.985700,35.104992,2.212512,416.181647,8.357952,0
2015-02-26,sh.603939,33.9200,33.9200,33.9200,33.9200,30.8400,21000,712320.0000,3,0.052500,1,9.987000,38.610938,2.433476,457.745832,9.192663,0
2015-02-27,sh.603939,37.3100,37.3100,37.3100,37.3100,33.9200,72600,2708706.0000,3,0.181500,1,9.994100,42.469756,2.676680,503.493426,10.111387,0
2015-03-02,sh.603939,41.0400,41.0400,41.0400,41.0400,37.3100,391499,16067119.0000,3,0.978747,1,9.997300,46.715593,2.944276,553.829274,11.122255,0
2015-03-03,sh.603939,45.1400,45.1400,40.0000,45.1400,41.0400,25238758,1099504128.0000,3,63.096895,1,9.990200,51.382599,3.238417,609.158222,12.233397,0
2015-03-04,sh.603939,43.2100,49.5000,42.4600,48.1900,45.1400,19386331,879896224.0000,3,48.465828,1,6.756800,54.854396,3.457229,650.317561,13.059977,0
2015-03-05,sh.603939,49.7800,53.0100,49.0000,53.0100,48.1900,14735515,753155648.0000,3,36.838787,1,10.002100,60.340974,3.803023,715.362812,14.366246,0
2015-03-06,sh.603939,52.0000,52.8000,49.6600,50.0900,53.0100,13055347,663741536.0000,3,32.638368,1,-5.508400,57.017155,3.593538,675.957805,13.574897,0
2015-03-09,sh.603939,49.3500,49.4900,46.5100,48.2400,50.0900,7695673,370537136.0000,3,19.239182,1,-3.693300,54.911311,3.460816,650.992304,13.073528,0
2015-03-10,sh.603939,48.0000,49.4700,47.2100,49.2900,48.2400,6892756,334315104.0000,3,17.231890,1,2.176600,56.106520,3.536144,665.161913,13.358089,0
