date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2021-07-05,sz.301017,33.8400,36.5000,29.5100,29.5500,8.8600,28496358,949045920.9300,3,83.188400,1,233.521400,49.650379,2.546021,-235.396095,7.690370,0
2021-07-06,sz.301017,27.1000,29.0000,25.0000,26.9100,29.5500,22011157,590047985.0700,3,64.256400,1,-8.934000,45.214609,2.318559,-214.365784,7.003311,0
2021-07-07,sz.301017,25.7600,26.7900,25.0100,25.4200,26.9100,14350802,368779743.4500,3,41.893800,1,-5.537000,42.711087,2.190181,-202.496404,6.615540,0
2021-07-08,sz.301017,25.2000,26.1300,24.7600,25.0300,25.4200,12332071,314293967.6600,3,36.000600,1,-1.534200,42.055803,2.156579,-199.389654,6.514042,0
2021-07-09,sz.301017,25.3600,25.6000,23.7000,23.8000,25.0300,11694463,286804274.0000,3,34.139200,1,-4.914100,39.989138,2.050602,-189.591441,6.193936,0
2021-07-12,sz.301017,23.6000,24.0700,23.1700,23.3800,23.8000,7808940,183645851.5200,3,22.796400,1,-1.764700,39.283447,2.014415,-186.245709,6.084631,0
2021-07-13,sz.301017,23.4400,23.9100,22.7600,23.7800,23.3800,9955220,232087348.6000,3,29.061900,1,1.710900,39.955533,2.048879,-189.432120,6.188731,0
2021-07-14,sz.301017,23.3600,24.2500,23.2000,23.5000,23.7800,7723369,182797112.9700,3,22.546600,1,-1.177500,39.485073,2.024754,-187.201632,6.115861,0
2021-07-15,sz.301017,23.0600,23.9800,22.2200,23.1500,23.5000,8064894,185552002.2700,3,23.543600,1,-1.489400,38.896997,1.994598,-184.413523,6.024774,0
2021-07-16,sz.301017,22.8800,23.4800,22.6600,22.8300,23.1500,5367057,123600426.9300,3,15.667900,1,-1.382300,38.359328,1.967027,-181.864394,5.941494,0
2021-07-19,sz.301017,22.7600,23.5500,22.0900,23.2800,22.8300,7727465,177370712.6300,3,22.558500,1,1.971100,39.115425,2.005799,-185.449107,6.058606,0
2021-07-20,sz.301017,22.9000,23.4600,22.4000,22.4900,23.2800,6118478,139649691.9200,3,17.861500,1,-3.393500,37.788055,1.937733,-179.155945,5.853009,0
2021-07-21,sz.301017,22.6000,22.9500,22.2000,22.3800,22.4900,4664841,104734488.1600,3,13.617900,1,-0.489100,37.603231,1.928255,-178.279682,5.824381,0
2021-07-22,sz.301017,22.3500,22.8100,22.1900,22.6200,22.3800,4938419,110918249.6800,3,14.416600,1,1.072400,38.006483,1.948934,-180.191529,5.886841,0
2021-07-23,sz.301017,22.8000,25.0200,22.4800,22.4800,22.6200,8832605,205766352.1900,3,25.784700,1,-0.618900,37.771253,1.936871,-179.076285,5.850406,0
2021-07-26,sz.301017,22.8100,22.8100,20.4600,20.5200,22.4800,7739085,163841488.3800,3,22.592400,1,-8.718900,34.478030,1.767998,-163.462872,5.340318,0
2021-07-27,sz.301017,20.1000,20.5500,19.3500,19.3600,20.5200,5618624,111318167.0100,3,16.402300,1,-5.653000,32.528979,1.668053,-154.222281,5.038428,0
2021-07-28,sz.301017,19.3000,20.2400,19.2200,19.5800,19.3600,5025284,99139272.7100,3,14.670100,1,1.136400,32.898627,1.687008,-155.974807,5.095683,0
2021-07-29,sz.301017,19.5100,19.9500,19.3500,19.5300,19.5800,4611673,90270161.4000,3,13.462700,1,-0.255400,32.814616,1.682700,-155.576506,5.082671,0
2021-07-30,sz.301017,19.4700,20.1300,18.6500,19.6800,19.5300,6608318,127578018.1800,3,19.291400,1,0.768000,33.066648,1.695624,-156.771410,5.121708,0
2021-08-02,sz.301017,19.7000,19.9700,19.2700,19.8500,19.6800,4491528,88496166.9700,3,13.112000,1,0.863800,33.352285,1.710271,-158.125634,5.165951,0
2021-08-03,sz.301017,20.1300,21.5000,19.8800,20.2500,19.8500,6338631,129944333.8000,3,18.504100,1,2.015100,34.024371,1.744735,-161.312045,5.270050,0
2021-08-04,sz.301017,19.5000,19.9800,19.2900,19.9200,20.2500,3753289,74004730.0700,3,10.956800,1,-1.629600,33.469900,1.716302,-158.683256,5.184168,0
2021-08-05,sz.301017,20.0200,20.3600,19.6500,19.8000,19.9200,3622797,72156901.3600,3,10.575900,1,-0.602400,33.268274,1.705963,-157.727333,5.152938,0
2021-08-06,sz.301017,19.9000,20.0000,19.0000,19.0100,19.8000,3489965,67171834.2000,3,10.188100,1,-3.989900,31.940904,1.637897,-151.434172,4.947341,0
2021-08-09,sz.301017,18.8800,19.8000,18.8600,19.6000,19.0100,3497033,67909848.9300,3,10.208800,1,3.103600,32.932231,1.688731,-156.134127,5.100888,0
2021-08-10,sz.301017,19.4700,20.3000,19.3100,19.9900,19.6000,4387056,86952233.3000,3,12.807000,1,1.989800,33.587515,1.722333,-159.240878,5.202385,0
2021-08-11,sz.301017,19.9300,20.4900,19.9000,20.0700,19.9900,4391144,88468791.5900,3,12.818900,1,0.400200,33.721932,1.729226,-159.878160,5.223205,0
2021-08-12,sz.301017,19.8000,20.1200,19.5200,19.6500,20.0700,3290419,65161523.2000,3,9.605600,1,-2.092700,33.016242,1.693039,-156.532429,5.113901,0
2021-08-13,sz.301017,19.6500,19.8600,19.3700,19.4800,19.6500,2390996,46719909.0900,3,6.980000,1,-0.865100,32.730605,1.678392,-155.178204,5.069658,0
2021-08-16,sz.301017,19.6600,20.7800,19.3600,20.5600,19.3700,6809122,137801923.8100,3,19.877600,1,6.143500,34.545238,1.771445,-163.781513,5.350728,0
2021-08-17,sz.301017,20.4300,21.5000,19.9300,20.9400,20.5600,8734590,181555652.6000,3,25.498600,1,1.848200,35.183720,1.804185,-166.808604,5.449622,0
2021-08-18,sz.301017,20.6600,21.4900,20.4600,21.2700,20.9400,7424801,156454570.9000,3,21.675000,1,1.575900,35.738191,1.832618,-169.437392,5.535505,0
2021-08-19,sz.301017,20.5000,20.9000,19.9100,19.9800,21.2700,5808100,117967331.0800,3,16.955400,1,-6.064900,33.570713,1.721472,-159.161218,5.199783,0
2021-08-20,sz.301017,19.8000,19.8000,18.7100,18.8700,19.9800,4478831,85558799.1100,3,13.074900,1,-5.555600,31.705673,1.625835,-150.318928,4.910906,0
2021-08-23,sz.301017,18.8700,19.2600,18.8700,19.1900,18.8700,2390500,45752617.2000,3,6.978500,1,1.695800,32.243342,1.653406,-152.868056,4.994186,0
2021-08-24,sz.301017,19.3000,19.5700,19.0200,19.4300,19.1900,2948783,57036787.2700,3,8.608300,1,1.250700,32.646594,1.674084,-154.779903,5.056646,0
2021-08-25,sz.301017,19.5700,19.7600,19.2700,19.3300,19.4300,2791043,54235790.5500,3,8.147800,1,-0.514700,32.478573,1.665468,-153.983300,5.030621,0
2021-08-26,sz.301017,19.3300,19.3800,18.9100,18.9100,19.3300,2584341,49280413.9400,3,7.544400,1,-2.172800,32.967466,1.573756,20.004881,4.021069,0
2021-08-27,sz.301017,18.9300,19.1700,18.7300,18.9100,18.9100,2126725,40239409.0000,3,6.208500,1,0.000000,32.967466,1.573756,20.004881,4.021069,0
2021-08-30,sz.301017,18.8000,19.3000,18.3300,18.3300,18.9100,2900040,54418267.4400,3,8.466000,1,-3.067200,31.956301,1.525486,19.391300,3.897736,0
2021-08-31,sz.301017,18.3000,18.3000,17.6100,17.7900,18.3300,2566932,45897149.9600,3,7.493600,1,-2.946000,31.014872,1.480545,18.820034,3.782909,0
2021-09-01,sz.301017,17.7500,18.2500,17.5300,18.1600,17.7900,2193746,39340182.8400,3,6.404100,1,2.079800,31.659925,1.511338,19.211457,3.861587,0
2021-09-02,sz.301017,18.2000,18.2900,17.9300,18.1500,18.1600,1646002,29768151.7600,3,4.805100,1,-0.055100,31.642491,1.510506,19.200878,3.859461,0
2021-09-03,sz.301017,18.0600,18.4400,18.0600,18.3200,18.1500,1795800,32819831.4000,3,5.242400,1,0.936600,31.938867,1.524654,19.380721,3.895610,0
2021-09-06,sz.301017,18.3700,19.0700,18.3000,18.8600,18.3200,2847402,53244401.0800,3,8.312300,1,2.947600,32.880297,1.569594,19.951986,4.010437,0
2021-09-07,sz.301017,18.6500,18.8600,18.5500,18.6500,18.8600,1883130,35127126.8400,3,5.497400,1,-1.113500,32.514185,1.552118,19.729827,3.965782,0
2021-09-08,sz.301017,18.6100,18.7300,18.3100,18.4200,18.6500,1930737,35667991.0700,3,5.636300,1,-1.233200,32.113206,1.532976,19.486511,3.916874,0
2021-09-09,sz.301017,18.4200,18.5300,18.2800,18.5100,18.4200,1460626,26888267.0800,3,4.264000,1,0.488600,32.270111,1.540466,19.581722,3.936012,0
2021-09-10,sz.301017,18.5100,18.5100,18.1700,18.2500,18.5100,1384593,25353473.8700,3,4.042000,1,-1.404600,31.816830,1.518828,19.306668,3.880725,0
2021-09-13,sz.301017,18.3000,18.4900,18.0000,18.0600,18.2500,1272944,23196062.1500,3,3.716100,1,-1.041100,31.485587,1.503016,19.105667,3.840323,0
2021-09-14,sz.301017,18.0600,18.1700,17.7700,17.8800,18.0600,1573041,28266470.2200,3,4.592100,1,-0.996700,31.171777,1.488035,18.915245,3.802047,0
2021-09-15,sz.301017,17.8000,18.0400,17.6800,17.9400,17.8800,1314897,23494711.3000,3,3.838500,1,0.335600,31.276380,1.493029,18.978719,3.814806,0
2021-09-16,sz.301017,17.8900,19.7600,17.7600,18.7300,17.9400,6314343,119839305.3400,3,18.433200,1,4.403600,32.653656,1.558775,19.814459,3.982793,0
2021-09-17,sz.301017,18.0200,18.9500,17.8100,18.5100,18.7300,4892594,89525120.5100,3,14.282800,1,-1.174600,32.270111,1.540466,19.581722,3.936012,0
2021-09-22,sz.301017,18.1500,18.3700,17.9900,18.0800,18.5100,2206499,39975024.8100,3,6.441400,1,-2.323100,31.520454,1.504680,19.126825,3.844576,0
2021-09-23,sz.301017,18.0200,18.3600,18.0200,18.1800,18.0800,1835961,33417049.9300,3,5.359700,1,0.553100,31.694793,1.513002,19.232615,3.865840,0
2021-09-24,sz.301017,18.6000,19.6000,18.6000,19.0000,18.1800,5888223,112574471.6500,3,17.189300,1,4.510500,33.124371,1.581246,20.100092,4.040207,0
