date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1997-10-07,sh.600110,12.2800,12.3800,11.5200,12.0000,7.5200,15387175,182492287.0000,3,51.290583,1,59.574470,47.373572,17.640773,0.000000,7.990580,0
1997-10-08,sh.600110,12.2700,12.6000,11.8300,12.1300,12.0000,8344998,102014694.0000,3,27.816660,1,1.083334,47.886786,17.831881,0.000000,8.077145,0
1997-10-09,sh.600110,12.0800,12.2900,11.7800,11.9100,12.1300,3481050,42029960.0000,3,11.603500,1,-1.813687,47.018270,17.508467,0.000000,7.930651,0
1997-10-10,sh.600110,11.9700,13.0400,11.9200,12.8600,11.9100,6662770,83588811.0000,3,22.209233,1,7.976489,50.768678,18.905028,0.000000,8.563238,0
1997-10-13,sh.600110,12.9600,13.4700,12.8600,13.3000,12.8600,6157394,80776705.0000,3,20.524647,1,3.421466,52.505709,19.551856,0.000000,8.856226,0
1997-10-14,sh.600110,13.2400,13.4200,12.8200,13.4000,13.3000,3084427,40476093.0000,3,10.281423,1,0.751875,52.900489,19.698863,0.000000,8.922815,0
1997-10-15,sh.600110,13.3000,13.6200,13.1100,13.1600,13.4000,2232196,29920239.0000,3,7.440653,1,-1.791043,51.953017,19.346047,0.000000,8.763003,0
1997-10-16,sh.600110,13.4000,14.3000,13.2300,13.9000,13.1600,3052818,42481388.0000,3,10.176060,1,5.623098,54.874387,20.433895,0.000000,9.255755,0
1997-10-17,sh.600110,14.0000,14.3500,13.8000,13.9700,13.9000,2810874,39600168.0000,3,9.369580,1,0.503602,55.150733,20.536799,0.000000,9.302367,0
1997-10-20,sh.600110,14.3000,15.3700,14.2100,15.3700,13.9700,3909278,58268186.0000,3,13.030927,1,10.021470,60.677650,22.594890,0.000000,10.234601,0
1997-10-21,sh.600110,15.6000,16.4600,15.0100,16.2300,15.3700,2818622,44267443.0000,3,9.395407,1,5.595314,64.072756,23.859145,0.000000,10.807260,0
1997-10-22,sh.600110,16.1300,16.8500,15.0500,15.1500,16.2300,4544850,71809835.0000,3,15.149500,1,-6.654344,59.809135,22.271475,0.000000,10.088108,0
1997-10-23,sh.600110,15.3000,15.9200,15.1600,15.4200,15.1500,3154538,48906796.0000,3,10.515127,1,1.782181,60.875040,22.668393,0.000000,10.267896,0
1997-10-24,sh.600110,15.5000,16.1500,15.2900,15.9000,15.4200,2239754,35338803.0000,3,7.465847,1,3.112838,62.769983,23.374024,0.000000,10.587519,0
1997-10-27,sh.600110,16.3000,16.4600,15.7600,16.2400,15.9000,2235262,35894890.0000,3,7.450873,1,2.138366,64.112234,23.873846,0.000000,10.813919,0
1997-10-28,sh.600110,16.2100,16.2400,15.2100,15.4000,16.2400,1876528,29344438.0000,3,6.255093,1,-5.172415,60.796084,22.638991,0.000000,10.254578,0
1997-10-29,sh.600110,15.2500,16.9400,15.1800,16.7400,15.4000,2500185,40400126.0000,3,8.333950,1,8.701300,66.086133,24.608878,0.000000,11.146859,0
1997-10-30,sh.600110,16.8000,17.8800,16.5300,16.7900,16.7400,3793498,65618311.0000,3,12.644993,1,0.298693,66.283523,24.682381,0.000000,11.180153,0
